پژمُردگی	smutek	پژمُردگی	smutek	N;NOM;MASC;SG;3	N;INAN;NOM;MASC;SG;POS
پژمُردہ	smutný	پژمُردہ	smutný	ADJ	ADJ;ANIM;NOM;MASC;SG;POS
پژمُردہ	smutná	پژمُردہ	smutný	ADJ	ADJ;NOM;FEM;SG;POS
پژمُردہ	smutné	پژمُردہ	smutný	ADJ	ADJ;NOM;NEUT;SG;POS
پسپا	poražen	پسپا	poražený	ADJ	ADJ;MASC;SG;POS;V.PTCP;PASS
پسپا	poražený	پسپا	poražený	ADJ	ADJ;ANIM;NOM;MASC;SG;POS
پسپا	poraženi	پسپا	poražený	ADJ	ADJ;ANIM;MASC;PL;POS;V.PTCP;PASS
پسپائی	ústup	پسپائی	ústup	N;NOM;FEM;SG;3	N;INAN;NOM;MASC;SG;POS
پسپائی	porážka	پسپائی	porážka	N;NOM;FEM;SG;3	N;NOM;FEM;SG;POS
پست	unavený	پست	unavený	ADJ	ADJ;ANIM;NOM;MASC;SG;POS
پست	unavená	پست	unavený	ADJ	ADJ;NOM;FEM;SG;POS
پست	unaven	پست	unavený	ADJ	ADJ;MASC;SG;POS;V.PTCP;PASS
پست	neaktivní	پست	neaktivní	ADJ	ADJ;NOM;MASC;SG;NEG
پست	špatný	پست	špatný	ADJ	ADJ;INAN;NOM;MASC;SG;POS
پست	unavený	پست	unavený	ADJ	ADJ;ANIM;NOM;MASC;SG;POS
پست	unavená	پست	unavený	ADJ	ADJ;NOM;FEM;SG;POS
پست	unaven	پست	unavený	ADJ	ADJ;MASC;SG;POS;V.PTCP;PASS
پست	neaktivní	پست	neaktivní	ADJ	ADJ;NOM;MASC;SG;NEG
پست	špatný	پست	špatný	ADJ	ADJ;INAN;NOM;MASC;SG;POS
پسندیدگی	schválení	پسندیدگی	schválení	N;NOM;MASC;SG;3	N;NOM;NEUT;SG;POS
پسندیدگی	schvalování	پسندیدگی	schvalování	N;NOM;MASC;SG;3	N;NOM;NEUT;SG;POS
پسندیدہ	schváleno	پسندیدہ	schválený	ADJ	ADJ;NEUT;SG;POS;V.PTCP;PASS
پسندیدہ	schválené	پسندیدہ	schválený	ADJ	ADJ;NOM;MASC;PL;POS
پسندیدہ	schválen	پسندیدہ	schválený	ADJ	ADJ;MASC;SG;POS;V.PTCP;PASS
پسندیدہ	schválená	پسندیدہ	schválený	ADJ	ADJ;NOM;FEM;SG;POS
پسندیدہ	schválený	پسندیدہ	schválený	ADJ	ADJ;INAN;NOM;MASC;SG;POS
پسندیدہ	schválena	پسندیدہ	schválený	ADJ	ADJ;POS;V.PTCP;PASS
پسندیدہ	vybrán	پسندیدہ	vybraný	ADJ	ADJ;MASC;SG;POS;V.PTCP;PASS
پسندیدہ	vybraná	پسندیدہ	vybraný	ADJ	ADJ;NOM;FEM;SG;POS
پسندیدہ	vybráno	پسندیدہ	vybraný	ADJ	ADJ;NEUT;SG;POS;V.PTCP;PASS
پسندیدہ	vybrané	پسندیدہ	vybraný	ADJ	ADJ;NOM;MASC;PL;POS
پسندیدہ	vybraný	پسندیدہ	vybraný	ADJ	ADJ;INAN;NOM;MASC;SG;POS
پسندیدہ	zvolen	پسندیدہ	zvolený	ADJ	ADJ;MASC;SG;POS;V.PTCP;PASS
پسندیدہ	vybrána	پسندیدہ	vybraný	ADJ	ADJ;POS;V.PTCP;PASS
پسندیدہ	zvolený	پسندیدہ	zvolený	ADJ	ADJ;ANIM;NOM;MASC;SG;POS
پسندیدہ	zvolená	پسندیدہ	zvolený	ADJ	ADJ;NOM;FEM;SG;POS
پسندیدہ	oblíbené	پسندیدہ	oblíbený	ADJ	ADJ;NOM;NEUT;SG;POS
پسندیدہ	oblíbená	پسندیدہ	oblíbený	ADJ	ADJ;NOM;FEM;SG;POS
پسندیدہ	schváleno	پسندیدہ	schválený	ADJ	ADJ;NEUT;SG;POS;V.PTCP;PASS
پسندیدہ	schválené	پسندیدہ	schválený	ADJ	ADJ;NOM;MASC;PL;POS
