年	aasta	年	aasta	N	N;NOM;SG
月	kuu	月	kuu	N	N;NOM;SG
月	moon	月	moon	N	N;NOM;SG
月	kuud	月	kuu	N	N;PRT;SG
月	kuude	月	kuu	N	N;GEN;PL
月	kuu	月	kuu	N	N;NOM;SG
村	küla	村	küla	N	N;NOM;SG
村	külas	村	küla	N	N;IN+ESS;SG
人	mehel	人	mees	N	N;AT+ESS
;SG
人	mees	人	mees	N	N;NOM;SG
人	man	人	man	N	N;NOM;SG
人	inimesed	人	inimene	N	N;NOM;PL
人	rahvas	人	rahvas	N	N;NOM;SG
人	people	人	peo_plema	N	N;NOM;SG
一	ühe	一	üks	NUM	NUM;GEN;SG
也	samuti	也	samuti	ADV	ADV
也	ka	也	ka	ADV	ADV
後	pärast	後	pärast	ADV	ADV
留言	sõnum	留言	sõnum	N	N;NOM;SG
留言	teade	留言	teade	N	N;NOM;SG
市	linn	市	linn	N	N;NOM;SG
市	linna	市	linn	N	N;IN+ALL;LGSPEC1;SG
市	city	市	city	N	N;NOM;SG
市	omavalitsus	市	oma_valitsus	N	N;NOM;SG
市	vald	市	vald	N	N;NOM;SG
站	jaamas	站	jaam	N	N;IN+ESS;SG
站	jaam	站	jaam	N	N;NOM;SG
站	jaama	站	jaam	N	N;NOM;SG
州	riik	州	riik	N	N;NOM;SG
州	olek	州	olek	N	N;NOM;SG
州	osariik	州	osa_riik	N	N;NOM;SG
三	kolm	三	kolm	NUM	NUM;NOM;SG
家	kodu	家	kodu	N	N;NOM;SG
家	koju	家	kodu	N	N;IN+ALL;LGSPEC1;SG
家	kodus	家	kodu	N	N;IN+ESS;SG
米	riis	米	riis	N	N;NOM;SG
米	meetri	米	meeter	N	N;GEN;SG
米	meetrit	米	meeter	N	N;PRT;SG
使用	kasutades	使用	kasutama	V	V;V.CVB
使用	kasuta	使用	kasutama	V	V;IMP;SG;2;PRS;FIN;ACT
使用	kasutatud	使用	kasutama	V	V;PST;V.PTCP;PASS
公司	ettevõtte	公司	ette_võte	N	N;GEN;SG
公司	äriühing	公司	äri_ühing	N	N;NOM;SG
公司	ettevõte	公司	ette_võte	N	N;NOM;SG
公司	seltskond	公司	seltskond	N	N;NOM;SG
公司	äriühingud	公司	äri_ühing	N	N;NOM;PL
公司	firmad	公司	firma	N	N;NOM;PL
公司	ettevõtted	公司	ette_võte	N	N;NOM;PL
一	ühe	一	üks	NUM	NUM;GEN;SG
西	west	西	west	N	N;NOM;SG
西	lääs	西	lääs	N	N;NOM;SG
西	lääne	西	lääs	N	N;NOM;SG
省	provints	省	provints	N	N;NOM;SG
省	kubernerkond	省	kubernerkond	N	N;NOM;SG
省	vojevoodkond	省	vojevoodkond	N	N;NOM;SG
度	kraadi	度	kraad	N	N;PRT;SG
度	kraadides	度	kraad	N	N;IN+ESS;PL
度	kraadi	度	kraad	N	N;PRT;SG
度	kraad	度	kraad	N	N;NOM;SG
二	kaks	二	kaks	NUM	NUM;NOM;SG
區	tsoon	區	tsoon	N	N;NOM;SG
區	vöönd	區	vöönd	N	N;NOM;SG
區	ringkond	區	ringkond	N	N;NOM;SG
區	rajoon	區	rajoon	N	N;NOM;SG
區	pindala	區	pind_ala	N	N;NOM;SG
區	valdkond	區	valdkond	N	N;NOM;SG
區	piirkond	區	piirkond	N	N;NOM;SG
區	ala	區	ala	N	N;NOM;SG
人口	demograafia	人口	demograafia	N	N;NOM;SG
人口	demograafia	人口	demograafia	N	N;NOM;SG
人口	populatsioon	人口	populatsioon	N	N;NOM;SG
人口	populatsiooni	人口	populatsioon	N	N;PRT;SG
人口	rahvastik	人口	rahvastik	N	N;NOM;SG
人口	elanikkond	人口	elanikkond	N	N;NOM;SG
人口	rahvaarv	人口	rahva_arv	N	N;NOM;SG
四	neli	四	neli	NUM	NUM;NOM;SG
政府	valitsus	政府	valitsus	N	N;NOM;SG
集	komplekti	集	komplekt	N	N;PRT;SG
集	komplekt	集	komplekt	N	N;NOM;SG
集	määra	集	määr	N	N;PRT;SG
集	episood	集	episoo	N	N;NOM;SG
世界	maailma	世界	maa_ilm	N	N;PRT;SG
世界	maailm	世界	maa_ilm	N	N;NOM;SG
南	lõuna	南	lõuna	N	N;NOM;SG
南	lõunasse	南	lõuna	N	N;IN+ALL;SG
南	lõunas	南	lõuna	N	N;IN+ESS;SG
南	nam	南	nam	N	N;NOM;SG
路	maantee	路	maan_tee	N	N;NOM;SG
路	tee	路	tee	N	N;NOM;SG
路	road	路	road	N	N;NOM;SG
五	viis	五	viis	NUM	NUM;NOM;SG
文	wen	文	wen	N	N;NOM;SG
人民	inimesed	人民	inimene	N	N;NOM;PL
人民	rahvas	人民	rahvas	N	N;NOM;SG
