oli	tuvo	olema	tener	V;IND;SG;3;PST;FIN;ACT	V;IND;SG;3;PST;FIN
ning	y	ning	y	CONJ	CONJ
kui	cuando	kui	cuando	CONJ	CONJ
aasta	año	aasta	año	N;NOM;SG	N;MASC;SG
see	este	see	este	PRO;NOM;SG	PRO;MASC;SG
see	esto	see	este	PRO;NOM;SG	PRO;SG
see	esta	see	este	PRO;NOM;SG	PRO;FEM;SG
see	eso	see	ese	PRO;NOM;SG	PRO;SG
tema	ella	tema	él	PRO;NOM;SG;3	PRO;FEM;SG;3
selle	este	see	este	PRO;GEN;SG	PRO;MASC;SG
selle	esto	see	este	PRO;GEN;SG	PRO;SG
selle	esta	see	este	PRO;GEN;SG	PRO;FEM;SG
sai	consiguió	saama	conseguir	V;IND;SG;3;PST;FIN;ACT	V;IND;SG;3;PST;FIN
kuid	sino	kuid	sino	CONJ	CONJ
kuid	pero	kuid	pero	CONJ	CONJ
seda	este	see	este	PRO;PRT;SG	PRO;MASC;SG
seda	esto	see	este	PRO;PRT;SG	PRO;SG
seda	esta	see	este	PRO;PRT;SG	PRO;FEM;SG
seda	eso	see	ese	PRO;PRT;SG	PRO;SG
aga	sino	aga	sino	CONJ	CONJ
aga	pero	aga	pero	CONJ	CONJ
pärast	después	pärast	después	ADV	ADV
välja	fuera	välja	fuera	ADV	ADV
ehk	quizás	ehk	quizás	ADV	ADV
ehk	quizá	ehk	quizá	ADV	ADV
ehk	quizás	ehk	quizás	ADV	ADV
ehk	quizá	ehk	quizá	ADV	ADV
tallinna	tallin	tallinna	tallin	N;IN+ALL;LGSPEC1;SG	N;MASC;SG
saksa	alemana	saksa	alemán	ADJ	ADJ;FEM;SG
siis	luego	siis	luego	ADV	ADV
siis	entonces	siis	entonces	ADV	ADV
vaata	ver	vaatama	ver	V;IMP;SG;2;PRS;FIN;ACT	V;NFIN
vaata	mirar	vaatama	mirar	V;IMP;SG;2;PRS;FIN;ACT	V;NFIN
vaata	mira	vaatama	mirar	V;IMP;SG;2;PRS;FIN;ACT	V;IMP;SG;2;FIN
vaata	mira	vaatama	mirar	V;IMP;SG;2;PRS;FIN;ACT	V;IMP;SG;2;FIN
üks	uno	üks	uno	PRO;NOM;SG	PRO;MASC;SG
vene	rusas	vene	ruso	ADJ	ADJ;FEM;PL
vene	rusa	vene	ruso	ADJ	ADJ;FEM;SG
vene	ruso	vene	ruso	ADJ	ADJ;MASC;SG
nad	ellos	tema	él	PRO;NOM;PL;3	PRO;MASC;PL;3
nad	ellas	tema	él	PRO;NOM;PL;3	PRO;FEM;PL;3
vald	parroquia	vald	parroquia	N;NOM;SG	N;FEM;SG
vald	municipalidad	vald	municipalidad	N;NOM;SG	N;FEM;SG
vald	municipio	vald	municipio	N;NOM;SG	N;MASC;SG
aastad	años	aasta	año	N;NOM;PL	N;MASC;PL
aastad	anos	aasta	ano	N;NOM;PL	N;MASC;PL
august	agosto	auk	agosto	N;IN+ABL;SG	N
tallinn	tallin	tallinn	tallin	N;NOM;SG	N;MASC;SG
euroopa	europa	euroopa	europa	N;NOM;SG	N;FEM;SG
ameerika	americano	ameerika	americano	ADJ	ADJ;MASC;SG
ameerika	estadounidense	ameerika	estadounidense	ADJ	ADJ;SG
ameerika	americana	ameerika	americana	ADJ	ADJ;FEM;SG
venemaa	rusia	vene_maa	rusia	N;NOM;SG	N;FEM;SG
esimene	primera	esimene	primero	ADJ;NOM;SG	ADJ;FEM;SG
esimene	primer	esimene	primero	ADJ;NOM;SG	ADJ;MASC;SG
nagu	como	nagu	como	CONJ	CONJ
hiljem	posteriormente	hiljem	posteriormente	ADV	ADV
hiljem	después	hiljem	después	ADV	ADV
rootsi	sueco	rootsi	sueco	ADJ	ADJ;MASC;SG
saab	puede	saama	poder	V;IND;SG;3;PRS;FIN;ACT	V;IND;SG;3;PRS;FIN
umbes	acerca	umbes	acerca	ADV	ADV
liidu	union	liit	union	N;GEN;SG	N;SG
liidu	unión	liit	unión	N;GEN;SG	N;FEM;SG
liidu	sindicato	liit	sindicato	N;GEN;SG	N;MASC;SG
küla	pueblo	küla	pueblo	N;NOM;SG	N;MASC;SG
