the	el	the	el	DET;DEF	DET;DEF;MASC;SG
and	y	and	y	CONJ	CONJ
was	fue	be	ser	V;IND;SG;3;PST;FIN	V;IND;SG;3;PST;FIN
that	eso	that	ese	PRO;SG	PRO;SG
with	con	with	con	ADP	ADP
this	este	this	este	PRO;SG	PRO;MASC;SG
this	esto	this	este	PRO;SG	PRO;SG
this	esta	this	este	PRO;SG	PRO;FEM;SG
are	son	be	ser	V;IND;PRS;FIN	V;IND;PL;3;PRS;FIN
talk	hablar	talk	hablar	V;IMP;FIN	V;NFIN
talk	hable	talk	hablar	V;IMP;FIN	V;IMP;SG;3;FIN
which	cuáles	which	cuál	PRO	PRO;PL
which	cuál	which	cuál	PRO	PRO;SG
also	igualmente	also	igualmente	ADV	ADV
also	además	also	además	ADV	ADV
also	también	also	también	ADV	ADV
has	ha	have	haber	V;IND;SG;3;PRS;FIN	V;IND;SG;3;PRS;FIN
were	fueron	be	ser	V;IND;PST;FIN	V;IND;PL;3;PST;FIN
but	sino	but	sino	CONJ	CONJ
but	pero	but	pero	CONJ	CONJ
have	tener	have	tener	V;IMP;FIN	V;NFIN
have	tengan	have	tener	V;IMP;FIN	V;IMP;PL;3;PRS;FIN
new	nuevas	new	nuevo	ADJ	ADJ;FEM;PL
new	nuevos	new	nuevo	ADJ	ADJ;MASC;PL
new	nuevo	new	nuevo	ADJ	ADJ;MASC;SG
new	nueva	new	nuevo	ADJ	ADJ;FEM;SG
first	primero	first	primero	ADV	ADV
page	pagina	page	pagina	N;SG	N;FEM;SG
page	página	page	página	N;SG	N;FEM;SG
page	page	page	pager	N;SG	N
you	te	you	tú	PRO;ACC;2	PRO;SG;2
you	usted	you	tú	PRO;ACC;2	PRO;SG;2;FORM
you	vos	you	vo	PRO;ACC;2	PRO;SG;2
they	ellos	they	él	PRO;NOM;PL;3	PRO;MASC;PL;3
they	ellas	they	él	PRO;NOM;PL;3	PRO;FEM;PL;3
had	tuvo	have	tener	V;IND;PST;FIN	V;IND;SG;3;PST;FIN
article	articulo	article	articulo	N;SG	N;MASC;SG
article	artículo	article	artículo	N;SG	N;MASC;SG
who	quiénes	who	quién	PRO	PRO;PL
who	quién	who	quién	PRO	PRO;SG
there	allí	there	allí	ADV	ADV
there	ahí	there	ahí	ADV	ADV
people	personas	people	persona	N;PL	N;FEM;PL
after	después	after	después	ADV	ADV
should	debería	should	deber	V;FIN	V;COND;SG;3;FIN
should	deberían	should	deber	V;FIN	V;COND;PL;3;FIN
two	dos	two	dos	NUM	NUM;PL
score	puntuación	score	puntuación	N;SG	N;FEM;SG
score	partitura	score	partitura	N;SG	N;FEM;SG
her	ella	she	él	PRO;ACC;FEM;SG;3	PRO;FEM;SG;3
she	ella	she	él	PRO;NOM;FEM;SG;3	PRO;FEM;SG;3
about	acerca	about	acerca	ADV	ADV
time	hora	time	hora	N;SG	N;FEM;SG
time	tiempo	time	tiempo	N;SG	N;MASC;SG
time	time	time	time	N;SG	N
team	equipo	team	equipo	N;SG	N;MASC;SG
team	team	team	team	N;SG	N
american	americano	american	americano	ADJ	ADJ;MASC;SG
american	estadounidense	american	estadounidense	ADJ	ADJ;SG
american	americana	american	americana	ADJ	ADJ;FEM;SG
discussion	debate	discussion	debate	N;SG	N;MASC;SG
discussion	discusión	discussion	discusión	N;SG	N;FEM;SG
links	acoplamientos	link	acoplamiento	N;PL	N;MASC;PL
links	vínculos	link	vínculo	N;PL	N;MASC;PL
links	enlaces	link	enlace	N;PL	N;MASC;PL
links	links	link	link	N;PL	N;MASC;PL
only	únicamente	only	únicamente	ADV	ADV
only	solo	only	solo	ADV	ADV
only	sólo	only	sólo	ADV	ADV
only	solamente	only	solamente	ADV	ADV
see	ver	see	ver	V;IMP;FIN	V;NFIN
see	vea	see	ver	V;IMP;FIN	V;IMP;SG;3;FIN
years	años	year	año	N;PL	N;MASC;PL
years	anos	year	ano	N;PL	N;MASC;PL
school	colegio	school	colegio	N;SG	N;MASC;SG
school	escuela	school	escuela	N;SG	N;FEM;SG
world	mundo	world	mundo	N;SG	N;MASC;SG
world	world	world	world	N;SG	N
university	universitario	university	universitario	N;SG	N;MASC;SG
university	universidad	university	universidad	N;SG	N;FEM;SG
out	fuera	out	fuera	ADV	ADV
state	state	state	state	N;SG	N
state	estado	state	estado	N;SG	N;MASC;SG
states	estados	state	estado	N;PL	N;MASC;PL
national	nacionales	national	nacional	ADJ	ADJ;PL
national	national	national	national	ADJ	ADJ;SG
national	nacional	national	nacional	ADJ	ADJ;SG
wikipedia	wikipedia	wikipedia	wikipedia	N;SG	N;FEM;SG
year	año	year	año	N;SG	N;MASC;SG
city	ciudad	city	ciudad	N;SG	N;FEM;SG
then	luego	then	luego	ADV	ADV
then	entonces	then	entonces	ADV	ADV
county	condado	county	condado	N;SG	N;MASC;SG
external	externa	external	externo	ADJ	ADJ;FEM;SG
external	externo	external	externo	ADJ	ADJ;MASC;SG
external	externos	external	externo	ADJ	ADJ;MASC;PL
external	exterior	external	exterior	ADJ	ADJ;SG
what	qué	what	qué	PRO	PRO;SG
delete	borrar	delete	borrar	V;IMP;FIN	V;NFIN
delete	eliminar	delete	eliminar	V;IMP;FIN	V;NFIN
delete	suprimir	delete	suprimir	V;IMP;FIN	V;NFIN
