اِبتدائی	initial	اِبتدائی	initial	N;NOM;MASC;SG;3	N;NOM;INDF;MASC+FEM;SG
اِبتدائیات	grunderna	اِبتدائیات	grund	N;NOM;MASC;PL;3	N;NOM;DEF;MASC+FEM;PL
اِبتدائیات	grundprinciper	اِبتدائیات	grundprincip	N;NOM;MASC;PL;3	N;NOM;INDF;MASC+FEM;PL
اِبتدائیات	grundprinciperna	اِبتدائیات	grundprincip	N;NOM;MASC;PL;3	N;NOM;DEF;MASC+FEM;PL
ابتر	eländiga	ابتر	eländig	ADJ	ADJ;NOM;PL
ابتر	olycklig	ابتر	olycklig	ADJ	ADJ;NOM;INDF;MASC+FEM;SG
ابتر	spridda	ابتر	spridd	ADJ	ADJ;NOM;PL;PST;V.PTCP
ابتر	utspridd	ابتر	utspridd	ADJ	ADJ;NOM;INDF;MASC+FEM;SG;PST;V.PTCP
ابتر	utspridda	ابتر	utspridd	ADJ	ADJ;NOM;PL;PST;V.PTCP
ابتر	spridd	ابتر	spridd	ADJ	ADJ;NOM;INDF;MASC+FEM;SG;PST;V.PTCP
ابتر	bortskämd	ابتر	bortskämd	ADJ	ADJ;NOM;INDF;MASC+FEM;SG
ابتر	bortskämda	ابتر	bortskämd	ADJ	ADJ;NOM;PL
ابتر	försämrad	ابتر	försämra	ADJ	ADJ;NOM;INDF;MASC+FEM;SG;PST;V.PTCP
ابتر	ruinerad	ابتر	ruinera	ADJ	ADJ;NOM;INDF;MASC+FEM;SG;PST;V.PTCP
ابتر	förstörd	ابتر	förstöra	ADJ	ADJ;NOM;INDF;MASC+FEM;SG;PST;V.PTCP
ابتر	förstört	ابتر	förstöra	ADJ	ADJ;NOM;INDF;NEUT;SG;PST;V.PTCP
ابتر	förvirrat	ابتر	förvirra	ADJ	ADJ;NOM;INDF;NEUT;SG;PST;V.PTCP
ابتر	förvirrade	ابتر	förvirra	ADJ	ADJ;NOM;PL;PST;V.PTCP
ابتر	förvirrad	ابتر	förvirra	ADJ	ADJ;NOM;INDF;MASC+FEM;SG;PST;V.PTCP
ابتری	försämrad	ابتری	försämra	ADJ	ADJ;NOM;INDF;MASC+FEM;SG;PST;V.PTCP
ابجد	början	ابجد	början	N;NOM;MASC;SG;3	N;NOM;DEF;MASC+FEM;SG
ابجد	abjad	ابجد	abja	N;NOM;MASC;SG;3	N;NOM;INDF;MASC+FEM;SG
اُبکنا	utvisa	اُبک	utvisa	V;SG;NFIN;ACT	V;IMP;FIN;ACT
اُبکنا	spy	اُبک	spy	V;SG;NFIN;ACT	V;IMP;FIN;ACT
اُبلنا	koka	اُبل	koka	V;MASC;SG;NFIN;ACT	V;IMP;FIN;ACT
اُبلنا	stiga	اُبل	stiga	V;MASC;SG;NFIN;ACT	V;IMP;NFIN;ACT
ابواب	skatter	ابواب	skatt	N;NOM;MASC;PL;3	N;NOM;INDF;MASC+FEM;PL
ابواب	dörrarna	ابواب	dörr	N;NOM;MASC;PL;3	N;NOM;DEF;MASC+FEM;PL
ابواب	dörrar	ابواب	dörr	N;NOM;MASC;PL;3	N;NOM;INDF;MASC+FEM;PL
ابواب	kapitlen	ابواب	kapitel	N;NOM;MASC;PL;3	N;NOM;DEF;NEUT;PL
اُبھار	övertala	اُبھار	övertala	V;PFV;MASC;SG;V.PTCP;ACT	V;IMP;NFIN;ACT
اُبھار	övertala	اُبھار	övertala	V;PFV;MASC;SG;V.PTCP;ACT	V;IMP;NFIN;ACT
اُبھارنا	övertyga	اُبھارنا	övertyga	V;NFIN;ACT	V;IMP;NFIN;ACT
اُبھارنا	övertala	اُبھارنا	övertala	V;NFIN;ACT	V;IMP;NFIN;ACT
اُبھارنا	höj	اُبھارنا	höj	V;NFIN;ACT	V;IMP;FIN;ACT
اُبھارنا	höja	اُبھارنا	höja	V;NFIN;ACT	V;IMP;FIN;ACT
اُبھارنا	uppmanar	اُبھارنا	uppmana	V;NFIN;ACT	V;IND;PRS;FIN;ACT
اُبھارنا	yrka	اُبھارنا	yrka	V;NFIN;ACT	V;IMP;FIN;ACT
