και	och	και	och	CONJ	CONJ
από	från	από	från	ADP	ADP
με	med	με	med	ADP	ADP
που	vilket	που	vilken	PRO;ACC;NEUT;SG;3	PRO;INDF;NEUT;SG
για	för	για	för	ADP	ADP
κατηγορία	kategori	κατηγορία	kategori	N;NOM;FEM;SG	N;NOM;INDF;MASC+FEM;SG
κατηγορία	kategorin	κατηγορία	kategori	N;NOM;FEM;SG	N;NOM;DEF;MASC+FEM;SG
ένα	en	ένας	en	NUM;NOM;NEUT;SG	NUM;NOM;INDF;MASC+FEM;SG
ένα	ett	ένας	en	NUM;NOM;NEUT;SG	NUM;NOM;INDF;NEUT;SG
μια	en	ένας	en	NUM;NOM;FEM;SG	NUM;NOM;INDF;MASC+FEM;SG
μια	ett	ένας	en	NUM;NOM;FEM;SG	NUM;NOM;INDF;NEUT;SG
έχει	har	έχω	ha	V;IPFV;IND;SG;3;PRS;FIN;ACT	V;IND;PRS;FIN;ACT
αλλά	men	αλλά	men	CONJ	CONJ
μετά	sedan	μετά	sedan	ADV	ADV
μετά	sen	μετά	sen	ADV	ADV
μετά	då	μετά	då	ADV	ADV
μετά	efteråt	μετά	efteråt	ADV	ADV
επίσης	också	επίσης	också	ADV	ADV
επίσης	även	επίσης	även	ADV	ADV
είχε	hadde	έχω	ha	V;IPFV;IND;SG;3;PST;FIN;ACT	V;IND;PST;FIN;ACT
είχε	hade	έχω	ha	V;IPFV;IND;SG;3;PST;FIN;ACT	V;IND;PST;FIN;ACT
είχε	haft	έχω	ha	V;IPFV;IND;SG;3;PST;FIN;ACT	V;V.CVB;ACT
ενώ	medan	ενώ	medan	CONJ	CONJ
δύο	två	δύο	två	NUM;NOM;MASC;PL	NUM;NOM
αυτό	denna	αυτός	denna	PRO;NOM;NEUT;SG;3	PRO;DEF;MASC+FEM;SG
αυτό	detta	αυτός	denna	PRO;NOM;NEUT;SG;3	PRO;DEF;NEUT;SG
όπου	varhelst	όπου	varhels	ADV	ADV
όπου	där	όπου	där	ADV	ADV
μία	en	ένας	en	NUM;NOM;FEM;SG	NUM;NOM;INDF;MASC+FEM;SG
μία	ett	ένας	en	NUM;NOM;FEM;SG	NUM;NOM;INDF;NEUT;SG
μεταξύ	emellan	μεταξύ	emellan	ADP	ADP
μεταξύ	mellan	μεταξύ	mellan	ADP	ADP
χρόνια	åratal	χρόνος	åratal	N;NOM;NEUT;PL	N;NOM;INDF;NEUT;PL
χρόνια	åren	χρόνος	år	N;NOM;NEUT;PL	N;NOM;DEF;NEUT;PL
πιο	mera	πιο	mycket	ADV	ADV;CMPR
πιο	mer	πιο	mycket	ADV	ADV;CMPR
πόλη	town	πόλη	town	N;NOM;FEM;SG	N;NOM;INDF;MASC+FEM;SG
πόλη	stad	πόλη	stad	N;NOM;FEM;SG	N;NOM;INDF;MASC+FEM;SG
πόλη	staden	πόλη	stad	N;NOM;FEM;SG	N;NOM;DEF;MASC+FEM;SG
πόλη	staden	πόλη	stad	N;NOM;FEM;SG	N;NOM;DEF;MASC+FEM;SG
πόλη	city	πόλη	city	N;NOM;FEM;SG	N;NOM;INDF;NEUT;SG
πόλη	ort	πόλη	ort	N;NOM;FEM;SG	N;NOM;INDF;MASC+FEM;SG
πόλη	stad	πόλη	stad	N;NOM;FEM;SG	N;NOM;INDF;MASC+FEM;SG
πόλη	orten	πόλη	ort	N;NOM;FEM;SG	N;NOM;DEF;MASC+FEM;SG
μόνο	bara	μόνο	bara	ADV	ADV
μόνο	enbart	μόνο	enbart	ADV	ADV
μόνο	endast	μόνο	endast	ADV	ADV
πολύ	mycket	πολύ	mycket	ADV	ADV
περιοχή	region	περιοχή	region	N;NOM;FEM;SG	N;NOM;INDF;MASC+FEM;SG
περιοχή	regionen	περιοχή	region	N;NOM;FEM;SG	N;NOM;DEF;MASC+FEM;SG
περιοχή	area	περιοχή	are	N;NOM;FEM;SG	N;NOM;INDF;MASC+FEM;SG
περιοχή	område	περιοχή	område	N;NOM;FEM;SG	N;NOM;INDF;NEUT;SG
περιοχή	området	περιοχή	område	N;NOM;FEM;SG	N;NOM;DEF;NEUT;SG
περιοχή	yta	περιοχή	yta	N;NOM;FEM;SG	N;NOM;INDF;MASC+FEM;SG
τότε	sedan	τότε	sedan	ADV	ADV
τότε	sen	τότε	sen	ADV	ADV
τότε	då	τότε	då	ADV	ADV
όνομα	namn	όνομα	namn	N;NOM;NEUT;SG	N;NOM;INDF;NEUT;SG
όνομα	name	όνομα	name	N;NOM;NEUT;SG	N;NOM;INDF;NEUT;SG
μέρος	delen	μέρος	del	N;NOM;NEUT;SG	N;NOM;DEF;MASC+FEM;SG
μέρος	del	μέρος	del	N;NOM;NEUT;SG	N;NOM;INDF;MASC+FEM;SG
μέρος	ställe	μέρος	ställe	N;NOM;NEUT;SG	N;NOM;INDF;NEUT;SG
μέρος	place	μέρος	place	N;NOM;NEUT;SG	N;NOM;INDF;NEUT;SG
μέρος	plats	μέρος	plats	N;NOM;NEUT;SG	N;NOM;INDF;MASC+FEM;SG
σήμερα	idag	σήμερα	idag	ADV	ADV
μέσα	inomhus	μέσα	inomhus	ADV	ADV
μέσα	inne	μέσα	inne	ADV	ADV
μαζί	tillsammans	μαζί	tillsammans	ADV	ADV
ιστορία	berättelse	ιστορία	berättelse	N;NOM;FEM;SG	N;NOM;INDF;MASC+FEM;SG
ιστορία	händelse	ιστορία	händelse	N;NOM;FEM;SG	N;NOM;INDF;MASC+FEM;SG
ιστορία	story	ιστορία	story	N;NOM;FEM;SG	N;NOM;INDF;MASC+FEM;SG
ιστορία	historia	ιστορία	historia	N;NOM;FEM;SG	N;NOM;INDF;MASC+FEM;SG
ιστορία	historia	ιστορία	historia	N;NOM;FEM;SG	N;NOM;INDF;MASC+FEM;SG
ιστορία	historik	ιστορία	historik	N;NOM;FEM;SG	N;NOM;INDF;MASC+FEM;SG
ιστορία	historiken	ιστορία	historik	N;NOM;FEM;SG	N;NOM;DEF;MASC+FEM;SG
πρωτάθλημα	ligan	πρωτάθλημα	ligan	N;NOM;NEUT;SG	N;NOM;DEF;MASC+FEM;SG
πρωτάθλημα	league	πρωτάθλημα	league	N;NOM;NEUT;SG	N;NOM;INDF;MASC+FEM;SG
πρωτάθλημα	förbundet	πρωτάθλημα	förbund	N;NOM;NEUT;SG	N;NOM;DEF;NEUT;SG
πρωτάθλημα	liga	πρωτάθλημα	lig	N;NOM;NEUT;SG	N;NOM;INDF;MASC+FEM;SG
πρωτάθλημα	mästerskap	πρωτάθλημα	mästerskap	N;NOM;NEUT;SG	N;NOM;INDF;NEUT;SG
πρωτάθλημα	championship	πρωτάθλημα	championship	N;NOM;NEUT;SG	N;NOM;INDF;MASC+FEM;SG
πρωτάθλημα	mästerskapet	πρωτάθλημα	mästerskap	N;NOM;NEUT;SG	N;NOM;DEF;NEUT;SG
αργότερα	senare	αργά	sen	ADV;CMPR	ADV;CMPR
νέα	nya	νέος	ny	ADJ;NOM;NEUT;PL	ADJ;NOM;PL
περίπου	ungefär	περίπου	ungefär	ADV	ADV
περίπου	cirka	περίπου	cirka	ADV	ADV
περίπου	ungefär	περίπου	ungefär	ADV	ADV
αυτά	dessa	αυτός	denna	PRO;NOM;NEUT;PL;3	PRO;DEF;PL
πριν	förut	πριν	förut	ADV	ADV
χωρίς	utan	χωρίς	utan	ADP	ADP
