nicht	नहीं	nicht	नहीं	PART;NEG	PART;NEG
war	था	sein	था	V;IND;SG;3;PST;FIN	V;MASC;IND;SG;PST;FIN;ACT
war	थी	sein	था	V;IND;SG;3;PST;FIN	V;FEM;IND;SG;PST;FIN;ACT
sie	तुम	sie	तुम	PRO;NOM;FEM;SG;3	PRO;NOM;SG;3
sie	वे	sie	वह	PRO;NOM;FEM;SG;3	PRO;NOM;SG;3
cest	cest	cest	cest		
sind	हैं	sein	है	V;IND;PL;3;PRS;FIN	V;IND;PL;3;PRS;FIN;ACT
aber	लेकिन	aber	लेकिन	CONJ	CONJ
aber	मगर	aber	मगर	CONJ	CONJ
vom	से	vom	से		
diskussion	चर्चाएँ	diskussion	चर्चा	N	N;NOM;FEM;PL;3
diskussion	परिचर्चा	diskussion	परिचर्चा	N	N;NOM;FEM;SG;3
diskussion	चर्चा	diskussion	चर्चा	N	N;NOM;FEM;SG;3
diskussion	बहस	diskussion	बहस	N	N;NOM;FEM;SG;3
jahr	वर्ष	Jahr	वर्ष	N;NOM;NEUT;SG	N;NOM;MASC;SG;3
jahr	साल	Jahr	साल	N;NOM;NEUT;SG	N;NOM;MASC;SG;3
dann	फिर	dann	फिर	ADV	ADV
zwei	दो	zwei	दो	NUM	NUM
was	क्या	was	क्या	PRO;NOM;NEUT;SG	PRO
team	टीम	team	टीम	N;NOM;NEUT;SG	N;NOM;FEM;SG;3
team	टोली	team	टोली	N;NOM;NEUT;SG	N;NOM;FEM;SG;3
gegen	खिलाफ	gegen	खिलाफ	ADP	ADP
gegen	विरुद्ध	gegen	विरुद्ध	ADP	ADP
wieder	पीछे	wieder	पीछे	ADV	ADV;NOM;MASC;SG;3
gibt	देता	geben	दे	V;IND;SG;3;PRS;FIN	V;IPFV;MASC;SG;V.PTCP;ACT
mal	एकबार	mal	एकबार	ADV	ADV
ersten	प्रथम	erst	प्रथम	ADJ;NOM;PL	ADJ
siehe	देख	sehen	देख	V;IMP;SG;FIN	V;ACT
siehe	निहारने	sehen	निहार	V;IMP;SG;FIN	V;NFIN;ACT
drei	तीन	drei	तीन	NUM	NUM
ihr	आप	ihr	आप	PRO;NOM;MASC;SG	PRO;NOM;SG;2;FORM
