まで	inntil	まで	inntil	ADP	ADP
もの	ting	もの	ting	N	N;INDF;MASC;PL
もの	things	もの	things	N	N
大学	universiteter	大学	universitet	N	N;INDF;FEM;PL
大学	university	大学	university	N	N;INDF;NEUT;SG
大学	universitet	大学	universitet	N	N;INDF;NEUT;SG
大学	universitetet	大学	universitet	N	N;DEF;NEUT;SG
大学	college	大学	colleg	N	N;INDF;NEUT;SG
大学	høgskole	大学	høgskole	N	N;INDF;MASC;SG
大学	høyskole	大学	høyskole	N	N;INDF;MASC;SG
大学	høyskoler	大学	høyskoler	N	N;INDF;MASC;SG
テレビ	tv	テレビ	tv	N	N;INDF;MASC;SG
テレビ	fjernsyn	テレビ	fjernsyn	N	N;INDF;NEUT;SG
現在	gjeldende	現在	gjeldende	N	N;INDF;MASC;SG
現在	nåværende	現在	nåværende	N	N;INDF;NEUT;SG
現在	nåværende	現在	nåværende	N	N;INDF;NEUT;SG
現在	presang	現在	presang	N	N;INDF;MASC;SG
現在	nåtid	現在	nåtid	N	N;INDF;FEM;SG
現在	tilstede	現在	tilsted	N	N;INDF;MASC;SG
学校	skolene	学校	skole	N	N;DEF;FEM;PL
学校	skoler	学校	skole	N	N;INDF;FEM;PL
学校	skolen	学校	skole	N	N;DEF;MASC;SG
学校	skole	学校	skole	N	N;INDF;MASC;SG
学校	skulen	学校	skule	N	N;DEF;MASC;SG
学校	skule	学校	skule	N	N;INDF;MASC;SG
これ	dette	これ	dette	PRO	PRO;NEUT;SG;3
これ	denne	これ	denne	PRO	PRO;SG;3
これ	detta	これ	dette	PRO	PRO;NEUT;SG;3
世界	verdens	世界	verd	N	N;GEN;DEF;MASC;SG
世界	world	世界	world	N	N
でも	men	でも	men	CONJ	CONJ
について	om	について	om	ADP	ADP
作品	funker	作品	funker	N	N;INDF;MASC;SG
作品	diskografi	作品	diskografi	N	N;INDF;MASC;SG
時代	æra	時代	ære	N	N;DEF;MASC;SG
時代	era	時代	ere	N	N
時代	epoke	時代	epoke	N	N;INDF;MASC;SG
映画	movie	映画	movie	N	N;INDF
映画	film	映画	film	N	N;INDF;MASC;SG
映画	kino	映画	kino	N	N;INDF;MASC;SG
映画	cinema	映画	cinema	N	N
映画	film	映画	film	N	N;INDF;MASC;SG
映画	kino	映画	kino	N	N;INDF;MASC;SG
映画	filmer	映画	film	N	N;INDF;FEM;PL
監督	direktør	監督	direktør	N	N;INDF;MASC;SG
監督	regissør	監督	regissør	N	N;INDF;MASC;SG
