bagdad	bagdad	bagdar	bagdad	N	N;INDF;MASC;SG
cervo	cerbi	cervo	cerb	N	N;INDF;MASC;PL
cervo	caprioare	cervo	caprioară	N	N;INDF;FEM;PL
cervo	cerb	cervo	cerb	N	N;INDF;MASC;SG
cervo	caprioara	cervo	caprioară	N	N;DEF;FEM;SG
cervo	cerb	cervo	cerb	N	N;INDF;MASC;SG
matarme	ucide	matarme	ucide	V	V;IND;SG;3;PRS;FIN
matarme	omoara	matarme	omorî	V	V;IND;SG;3;IPFV;FIN
quixeches	vrut	quixeche	vrea	V	V;MASC;SG;V.PTCP
xenerosa	generoasa	xeneroso	generos	ADJ	ADJ;DEF;FEM;SG
xenerosa	generos	xeneroso	generos	ADJ	ADJ;INDF;MASC;SG
xenerosa	generoase	xeneroso	generos	ADJ	ADJ;INDF;FEM;PL
culto	cult	culto	cult	N	N;INDF;MASC;SG
culto	cultul	culto	cult	N	N;DEF;MASC;SG
culto	secta	culto	secta	N	N;DEF;FEM;SG
irlandesa	irlandezi	irlandesa	irlandez	ADJ	ADJ;INDF;MASC;PL
irlandesa	irlandez	irlandesa	irlandez	ADJ	ADJ;INDF;MASC;SG
irlandesa	irlandeza	irlandesa	irlandeză	ADJ	ADJ;DEF;FEM;SG
lagoa	laguna	lagoa	lagună	N	N;DEF;FEM;SG
lagoa	laguna	lagoa	lagună	N	N;DEF;FEM;SG
meniña	fata	meniña	fată	N	N;DEF;FEM;SG
meniña	fata	meniña	fată	N	N;DEF;FEM;SG
católicos	catolic	católico	catolic	ADJ	ADJ;INDF;MASC;SG
clans	clan	clan	clan	N	N;INDF;MASC;SG
clans	clanul	clan	clan	N	N;DEF;MASC;SG
clans	clanurile	clan	clan	N	N;DEF;FEM;PL
clans	clanuri	clan	clan	N	N;INDF;FEM;PL
marquesa	marchiza	marquesa	marchiza	N	N;DEF;FEM;SG
nomura	nomura	nomura	nomură	N	N;DEF;FEM;SG
cuarteto	cvartet	cuarteto	cvartet	N	N;INDF;MASC;SG
corría	ruleaza	corría	rulează	V	V;IND;SG;3;IPFV;FIN
ensino	predare	ensino	predare	N	N;INDF;FEM;SG
informática	calculator	informática	calculator	N	N;INDF;MASC;SG
informática	computer	informática	computer	N	N;INDF;MASC;SG
informática	calculatorul	informática	calculator	N	N;DEF;MASC;SG
técnicas	tehnici	técnica	tehnic	N	N;INDF;MASC;PL
confesión	spovedanie	confesión	spovedanie	N	N;INDF;FEM;SG
confesión	marturisire	confesión	marturisire	N	N;INDF;FEM;SG
confesión	confesiune	confesión	confesiune	N	N;INDF;FEM;SG
confesión	confesiunea	confesión	confesiune	N	N;DEF;FEM;SG
medicinas	medicament	medicina	medicament	N	N;INDF;MASC;SG
medicinas	medicina	medicina	medicină	N	N;DEF;FEM;SG
medicinas	medicina	medicina	medicină	N	N;DEF;FEM;SG
perden	pierzi	perder	pierde	V	V;IND;SG;2;PRS;FIN
perden	pierd	perder	pierde	V	V;IND;PL;3;PRS;FIN
perden	pierde	perder	pierde	V	V;IND;SG;3;PRS;FIN
culturas	culturile	cultura	cultură	N	N;DEF;FEM;PL
culturas	culturi	cultura	cultură	N	N;INDF;FEM;PL
interpretación	interpretarea	interpretación	interpretare	N	N;DEF;FEM;SG
interpretación	interpretare	interpretación	interpretare	N	N;INDF;FEM;SG
escoitan	ascult	escoitar	asculta	V	V;IND;SG;1;PRS;FIN
dinámica	dinamica	dinámica	dinamică	N	N;DEF;FEM;SG
dinámica	dinamica	dinámica	dinamică	N	N;DEF;FEM;SG
dinámica	dinamica	dinámica	dinamică	N	N;DEF;FEM;SG
dinámica	dynamics	dinámica	dynamics	N	N;INDF;MASC;SG
populares	popular	popular	popular	ADJ	ADJ;INDF;MASC;SG
populares	populare	popular	popular	ADJ	ADJ;INDF;FEM;PL
aumenta	creste	aumentar	creste	V	V;IND;SG;3;PRS;FIN
similar	asemanator	similar	asemanator	ADJ	ADJ;INDF;MASC;SG
similar	similar	similar	similar	ADJ	ADJ;INDF;MASC;SG
similar	asemanator	similar	asemanator	ADJ	ADJ;INDF;MASC;SG
similar	asemanatoare	similar	asemanator	ADJ	ADJ;INDF;FEM
similar	similara	similar	similar	ADJ	ADJ;DEF;FEM;SG
similar	similare	similar	similar	ADJ	ADJ;INDF;FEM;PL
espectadores	telespectatori	espectador	telespectator	N	N;INDF;MASC;PL
espectadores	telespectatorii	espectador	telespectator	N	N;DEF;MASC;PL
espectadores	spectatori	espectador	spectator	N	N;INDF;MASC;PL
garantía	garantia	garantía	garantie	N	N;DEF;FEM;SG
garantía	garantie	garantía	garantie	N	N;INDF;FEM;SG
bambú	bambus	bambú	bambus	N	N;INDF;MASC;SG
falsos	fals	falso	fals	ADJ	ADJ;INDF;MASC;SG
falsos	falsa	falso	fals	ADJ	ADJ;DEF;FEM;SG
falsos	falsa	falso	fals	ADJ	ADJ;DEF;FEM;SG
falsos	false	falso	fals	ADJ	ADJ;INDF;FEM;PL
xulgado	tribunal	xulgado	tribunal	N	N;INDF;MASC;SG
xulgado	curtea	xulgado	curte	N	N;DEF;FEM;SG
xulgado	court	xulgado	court	N	N;INDF;MASC;SG
xulgado	curte	xulgado	curte	N	N;INDF;FEM;SG
xulgado	instanta	xulgado	instant	N	N;DEF;FEM;SG
extensión	extensie	extensión	extensie	N	N;INDF;FEM;SG
extensión	prelungirea	extensión	prelungire	N	N;DEF;FEM;SG
extensión	extindere	extensión	extindere	N	N;INDF;FEM;SG
extensión	prelungire	extensión	prelungire	N	N;INDF;FEM;SG
extensión	extensia	extensión	extensie	N	N;DEF;FEM;SG
expansión	expansiune	expansión	expansiune	N	N;INDF;FEM;SG
expansión	extinderea	expansión	extindere	N	N;DEF;FEM;SG
expansión	expansiunea	expansión	expansiune	N	N;DEF;FEM;SG
expansión	extindere	expansión	extindere	N	N;INDF;FEM;SG
azar	sansa	azar	sansa	N	N;DEF;FEM;SG
azar	sansa	azar	sansa	N	N;DEF;FEM;SG
organizacións	organizatii	organización	organizat	N	N;INDF;FEM;PL
organizacións	organizatii	organización	organizat	N	N;INDF;FEM;PL
individual	individual	individual	individual	ADJ	ADJ;INDF;MASC;SG
individual	individuale	individual	individual	ADJ	ADJ;INDF;FEM;PL
intres	momentele	intres	moment	N	N;DEF;FEM;PL
intres	clipe	intres	clipă	N	N;INDF;FEM;PL
intres	momente	intres	moment	N	N;INDF;FEM;PL
específico	specific	específico	specific	ADJ	ADJ;INDF;MASC;SG
específico	specifice	específico	specific	ADJ	ADJ;INDF;FEM;PL
