категория	категория	категория	категория	N;INAN;NOM;FEM;SG	N;INDF;FEM;SG
для	за	для	за	ADP	ADP
как	като	как	като	CONJ	CONJ
его	него	он	аз	PRO;ACC;MASC;SG;3	PRO;ACC;MASC;SG;3
также	също	также	също	ADV	ADV
это	това	это	този	PRO;INAN;NOM;NEUT;SG	PRO;NOM;NEUT;SG
после	след	после	след	ADP	ADP
области	райони	область	район	N;INAN;NOM;FEM;PL	N;INDF;MASC;PL
области	зони	область	зоня	N;INAN;NOM;FEM;PL	N;INDF;FEM;PL
области	площи	область	площ	N;INAN;NOM;FEM;PL	N;INDF;FEM;PL
области	области	область	област	N;INAN;NOM;FEM;PL	N;INDF;FEM;PL
год	година	год	година	N;INAN;NOM;MASC;SG	N;INDF;FEM;SG
год	годината	год	година	N;INAN;NOM;MASC;SG	N;DEF;FEM;SG
время	времето	время	време	N;INAN;NOM;NEUT;SG	N;DEF;NEUT;SG
время	време	время	време	N;INAN;NOM;NEUT;SG	N;INDF;NEUT;SG
состав	състав	состав	състав	N;INAN;NOM;MASC;SG	N;INDF;MASC;SG
состав	композиция	состав	композиция	N;INAN;NOM;MASC;SG	N;INDF;FEM;SG
была	бе	быть	съм	V;IPFV;FEM;IND;SG;PST;FIN;ACT	V;IPFV;IND;SG;3;PST;FIN;ACT
место	спот	место	спот	N;INAN;NOM;NEUT;SG	N;INDF;MASC;SG
место	петно	место	петно	N;INAN;NOM;NEUT;SG	N;INDF;NEUT;SG
место	място	место	място	N;INAN;NOM;NEUT;SG	N;INDF;NEUT;SG
место	местоположение	место	местоположение	N;INAN;NOM;NEUT;SG	N;INDF;NEUT;SG
место	място	место	място	N;INAN;NOM;NEUT;SG	N;INDF;NEUT;SG
место	местонахождение	место	местонахождение	N;INAN;NOM;NEUT;SG	N;INDF;NEUT;SG
место	локация	место	локация	N;INAN;NOM;NEUT;SG	N;INDF;FEM;SG
район	махала	район	махала	N;INAN;NOM;MASC;SG	N;INDF;FEM;SG
район	квартал	район	квартал	N;INAN;NOM;MASC;SG	N;INDF;MASC;SG
район	квартала	район	квартал	N;INAN;NOM;MASC;SG	N;DEF;MASC;SG
район	окръг	район	окръг	N;INAN;NOM;MASC;SG	N;INDF;MASC;SG
район	област	район	област	N;INAN;NOM;MASC;SG	N;INDF;FEM;SG
район	район	район	район	N;INAN;NOM;MASC;SG	N;INDF;MASC;SG
район	зона	район	зона	N;INAN;NOM;MASC;SG	N;INDF;FEM;SG
район	площ	район	площ	N;INAN;NOM;MASC;SG	N;INDF;FEM;SG
район	област	район	област	N;INAN;NOM;MASC;SG	N;INDF;FEM;SG
район	район	район	район	N;INAN;NOM;MASC;SG	N;INDF;MASC;SG
вид	вид	вид	вид	N;INAN;NOM;MASC;SG	N;INDF;MASC;SG
вид	изглед	вид	изглед	N;INAN;NOM;MASC;SG	N;INDF;MASC;SG
вид	гледка	вид	гледка	N;INAN;NOM;MASC;SG	N;INDF;FEM;SG
вид	оглед	вид	оглед	N;INAN;NOM;MASC;SG	N;INDF;MASC;SG
