اِبتدائیات	fonaments	اِبتدائیات	fonament	N;NOM;MASC;PL;3	N;MASC;PL
ابتر	miserable	ابتر	miserable	ADJ	ADJ;SG
ابتر	dispersos	ابتر	dispers	ADJ	ADJ;MASC;PL
ابتر	consentida	ابتر	consentit	ADJ	ADJ;FEM;SG;V.PTCP
ابتر	deteriorada	ابتر	deteriorat	ADJ	ADJ;FEM;SG;V.PTCP
ابتر	arruïnat	ابتر	arruïnat	ADJ	ADJ;MASC;SG;V.PTCP
ابتر	confús	ابتر	confús	ADJ	ADJ;MASC;SG
ابتر	confós	ابتر	confondre	ADJ	ADJ;MASC;SG;V.PTCP
ابتر	confosa	ابتر	confós	ADJ	ADJ;FEM;SG;V.PTCP
اُبنہ	sodomia	اُبنہ	sodomia		
ابواب	impostos	ابواب	impost	N;NOM;MASC;PL;3	N;MASC;PL
ابواب	portes	ابواب	porta	N;NOM;MASC;PL;3	N;FEM;PL
ابواب	capítols	ابواب	capítol	N;NOM;MASC;PL;3	N;MASC;PL
اُبھارنا	excitar	اُبھارنا	excitar	V;NFIN;ACT	V;NFIN
اُپاڑنا	arrancar	اُپاڑنا	arrancar	V;SG;NFIN;ACT	V;NFIN
اُپاڑنا	eradicar	اُپاڑنا	eradicar	V;SG;NFIN;ACT	V;NFIN
اپج	mean	اپج	mean		
اپیل	recurs	اپیل	recurs	N;NOM;MASC;SG;3	N;MASC;SG
اُتار	baixada	اُتار	baixada	N;NOM;MASC;SG;3	N;FEM;SG
اُتار	desnivell	اُتار	desnivell	N;NOM;MASC;SG;3	N;MASC;SG
اُتار	exorcisme	اُتار	exorcisme	N;NOM;MASC;SG;3	N;MASC;SG
اُتار	disminució	اُتار	disminució	N;NOM;MASC;SG;3	N;FEM;SG
اُتار	caiguda	اُتار	caiguda	N;NOM;MASC;SG;3	N;FEM;SG
اُتار	reducció	اُتار	reducció	N;NOM;MASC;SG;3	N;FEM;SG
اُتارنا	revelar	اُتار	revelar	V;NFIN;ACT	V;NFIN
اُتارنا	revelen	اُتار	revelar	V;NFIN;ACT	V;IND;PL;3;PRS;FIN
اُتارنا	còpia	اُتار	còpia	V;NFIN;ACT	V;IND;SG;3;PRS;FIN
اُتارنا	revelar	اُتار	revelar	V;NFIN;ACT	V;NFIN
اُتارنا	revelen	اُتار	revelar	V;NFIN;ACT	V;IND;PL;3;PRS;FIN
اُتارنا	còpia	اُتار	còpia	V;NFIN;ACT	V;IND;SG;3;PRS;FIN
اُتاق	room	اُتاق	room		
اِتّحادی	partidari	اِتّحادی	partidari	ADJ	ADJ;MASC;SG
اِتّحادی	aliat	اِتّحادی	aliat	ADJ	ADJ;MASC;SG;V.PTCP
اُترتا	mean	اُتر	mean		
اُترتا	caient	اُتر	caure		
اُترنا	creu	اُتر	creure	V;MASC;SG;ACT	V;IND;SG;3;PRS;FIN
اِتّفاقاً	circumstancialment	اِتّفاقاً	circumstancialment	ADV	ADV
اِتّفاقی	informal	اِتّفاقی	informal	ADJ;NOM	ADJ;SG
اِتّفاقی	casual	اِتّفاقی	casual	ADJ;NOM	ADJ;SG
اٹکلنا	endevina	اٹکل	endeví	V;NFIN;ACT	V;IND;SG;3;PRS;FIN
اٹکنا	atura	اٹک	aturar	V;NFIN;ACT	V;IND;SG;3;PRS;FIN
اٹم	pila	اٹم	pila		
اُٹھانا	erigir	اُٹھا	erigir	V;MASC;SG;NFIN;ACT	V;NFIN
اُٹھانا	elimina	اُٹھا	eliminar	V;MASC;SG;NFIN;ACT	V;IND;SG;3;PRS;FIN
اُٹھانا	robar	اُٹھا	robar	V;MASC;SG;NFIN;ACT	V;NFIN
اُٹھانا	portar	اُٹھا	portar	V;MASC;SG;NFIN;ACT	V;NFIN
اثاثہ	riquesa	اثاثہ	riquesa	N;NOM;MASC;SG;3	N;FEM;SG
اثاثہ	propietat	اثاثہ	propietat	N;NOM;MASC;SG;3	N;FEM;SG
اثر	efecte	اثر	efecte	N;NOM;MASC;SG;3	N;MASC;SG
اثر	influència	اثر	influència	N;NOM;MASC;SG;3	N;FEM;SG
اثر	conseqüència	اثر	conseqüència	N;NOM;MASC;SG;3	N;FEM;SG
اثرورسوخ	influència	اثرورسوخ	influència	N;NOM;MASC;SG;3	N;FEM;SG
اثنا	temps	اثنا	temps	N;NOM;MASC;SG;3	N;MASC
اثنا	període	اثنا	període	N;NOM;MASC;SG;3	N;MASC;SG
اثنا	temps	اثنا	temps	N;NOM;MASC;SG;3	N;MASC
اثنا	període	اثنا	període	N;NOM;MASC;SG;3	N;MASC;SG
اُجاڑنا	destruir	اُجاڑنا	destruir	V;SG;NFIN;ACT	V;NFIN
اِجازت	excedència	اِجازت	excedència	N;NOM;MASC;SG;3	N;FEM;SG
اِجازت	permís	اِجازت	permís	N;NOM;MASC;SG;3	N;MASC;SG
اِجازت	llibertat	اِجازت	llibertat	N;NOM;MASC;SG;3	N;FEM;SG
اِجازت	llicència	اِجازت	llicència	N;NOM;MASC;SG;3	N;FEM;SG
اُجالنا	amenitzar	اُجال	amenitzar	V;MASC;SG;NFIN;ACT	V;NFIN
اِجتماعی	congregational	اِجتماعی	congregational	ADJ	ADJ;SG
اجر	recompensa	اجر	recompensa	N;NOM;MASC;SG;3	N;FEM;SG
اجر	retribució	اجر	retribució	N;NOM;MASC;SG;3	N;FEM;SG
اجر	compensació	اجر	compensació	N;NOM;MASC;SG;3	N;FEM;SG
اجر	indemnització	اجر	indemnització	N;NOM;MASC;SG;3	N;FEM;SG
اُجرت	recompensa	اُجرت	recompensa	N;NOM;MASC;SG;3	N;FEM;SG
اُجرت	retribució	اُجرت	retribució	N;NOM;MASC;SG;3	N;FEM;SG
اِجمالاً	abruptament	اِجمالاً	abruptament	ADV	ADV
اِجمالاً	breument	اِجمالاً	breument	ADV	ADV
اجناس	mercaderies	جنس	mercaderia	N;NOM;MASC;PL;3	N;FEM;PL
اجناس	béns	جنس	bé	N;NOM;MASC;PL;3	N;MASC;PL
اجناس	espècies	جنس	espècie	N;NOM;MASC;PL;3	N;FEM;PL
اجیرن	difícil	اجیرن	difícil	ADJ	ADJ;SG
اُچانا	elevar	اُچا	elevar	V;MASC;SG;NFIN;ACT	V;NFIN
اُچانا	elevarà	اُچا	elevar	V;MASC;SG;NFIN;ACT	V;IND;SG;3;FUT;FIN
اچانک	inesperadament	اچانک	inesperadament	ADV	ADV
اُچانک	caper	اُچانک	caper		
اُچکنا	agafa	اُچک	agafar	V;SG;ACT	V;IND;SG;3;PRS;FIN
اُچھلنا	alegra	اُچھل	alegrar	V;SG;NFIN;ACT	V;IND;SG;3;PRS;FIN
اِحاطہ	recinte	اِحاطہ	recinte	N;NOM;MASC;SG;3	N;MASC;SG
اِحتمالی	incert	اِحتمالی	incert	ADJ	ADJ;MASC;SG
اِحتمالی	incerta	اِحتمالی	incertar	ADJ	ADJ;FEM;SG
اِحتمالی	probable	اِحتمالی	probable	ADJ	ADJ;SG
اِحتمالی	hipotètic	اِحتمالی	hipotètic	ADJ	ADJ;MASC;SG
اِحتمالی	dubtós	اِحتمالی	dubtós	ADJ	ADJ;MASC;SG
احکام	encàrrecs	حکم	encàrrec	N;NOM;MASC;PL;3	N;MASC;PL
احکام	comandes	حکم	comanda	N;NOM;MASC;PL;3	N;FEM;PL
احکام	ordenances	حکم	ordenança	N;NOM;MASC;PL;3	N;FEM;PL
احکام	decrets	حکم	decret	N;NOM;MASC;PL;3	N;MASC;PL
احوال	condició	احوال	condició	N;NOM;MASC;SG;3	N;FEM;SG
احیاناً	ocasionalment	احیاناً	ocasionalment	ADV	ADV
اخبار	diari	اخبار	diari	N;NOM;MASC;SG;3	N;MASC;SG
اخبار	notícia	اخبار	notícia	N;NOM;MASC;SG;3	N;FEM;SG
اخبار	diari	اخبار	diari	N;NOM;MASC;SG;3	N;MASC;SG
اخبار	notícia	اخبار	notícia	N;NOM;MASC;SG;3	N;FEM;SG
اُخت	sister	اُخت	sister		
اِختباریت	empirisme	اِختباریت	empirisme	N;NOM;MASC;SG;3	N;MASC;SG
اِختباطی	maníac	اِختباطی	maníac	ADJ	ADJ;MASC;SG
اِختتامی	darrer	اِختتامی	darrer	ADJ	ADJ;MASC;SG
اِختتامی	últim	اِختتامی	últim	ADJ	ADJ;MASC;SG
اِختتامی	última	اِختتامی	últim	ADJ	ADJ;FEM;SG
اِختتامی	darrera	اِختتامی	darrer	ADJ	ADJ;FEM;SG
اِختراع	invent	اِختراع	invent	N;NOM;MASC;SG;3	N;MASC;SG
اِختراع	innovació	اِختراع	innovació	N;NOM;MASC;SG;3	N;FEM;SG
اِختراع	beuratge	اِختراع	beuratge	N;NOM;MASC;SG;3	N;MASC;SG
اِختراع	mentida	اِختراع	mentida	N;NOM;MASC;SG;3	N;FEM;SG
اِختراع	fabricació	اِختراع	fabricació	N;NOM;MASC;SG;3	N;FEM;SG
اِختراع	creació	اِختراع	creació	N;NOM;MASC;SG;3	N;FEM;SG
اِختراعی	innovadora	اِختراعی	innovador	ADJ;NOM	ADJ;FEM;SG
اِختراعی	innovadors	اِختراعی	innovador	ADJ;NOM	ADJ;MASC;PL
اِختراعی	innovadores	اِختراعی	innovador	ADJ;NOM	ADJ;FEM;PL
اِختراعی	innovador	اِختراعی	innovador	ADJ;NOM	ADJ;MASC;SG
اِختصار	abreviació	اِختصار	abreviació	N;NOM;MASC;SG;3	N;FEM;SG
اِختصاصی	especialitzats	اِختصاصی	especialitzat	ADJ;NOM	ADJ;MASC;PL;V.PTCP
اِختصاصی	especialitzat	اِختصاصی	especialitzat	ADJ;NOM	ADJ;MASC;SG;V.PTCP
اِختلاط	amistat	اِختلاط	amistat	N;NOM;MASC;SG;3	N;FEM;SG
اِختلافی	controvertit	اِختلافی	controvertit	ADJ;NOM	ADJ;MASC;SG;V.PTCP
اِختلافی	polèmic	اِختلافی	polèmic	ADJ;NOM	ADJ;MASC;SG
اِختلافی	disputada	اِختلافی	disputat	ADJ;NOM	ADJ;FEM;SG;V.PTCP
اِختلافی	discordants	اِختلافی	discordant	ADJ;NOM	ADJ;PL
اِختلافی	discordant	اِختلافی	discordar	ADJ;NOM	ADJ;SG
اِختلال	obstrucció	اِختلال	obstrucció	N;NOM;MASC;SG;3	N;FEM;SG
اِختلال	trastorn	اِختلال	trastorn	N;NOM;MASC;SG;3	N;MASC;SG
اِختلال	confusió	اِختلال	confusió	N;NOM;MASC;SG;3	N;FEM;SG
اِختلال	deficiència	اِختلال	deficiència	N;NOM;MASC;SG;3	N;FEM;SG
اِختناق	asfíxia	اِختناق	asfíxia	N;NOM;MASC;SG;3	N;FEM;SG
اِختیار	elecció	اِختیار	elecció	N;NOM;MASC;SG;3	N;FEM;SG
اِختیار	potència	اِختیار	potència	N;NOM;MASC;SG;3	N;FEM;SG
اِختیار	voluntat	اِختیار	voluntat	N;NOM;MASC;SG;3	N;FEM;SG
اِختیار	jurisdicció	اِختیار	jurisdicció	N;NOM;MASC;SG;3	N;FEM;SG
اِختیار	control	اِختیار	control	N;NOM;MASC;SG;3	N;MASC;SG
اِختیار	opció	اِختیار	opció	N;NOM;MASC;SG;3	N;FEM;SG
اِختیار	autoritat	اِختیار	autoritat	N;NOM;MASC;SG;3	N;FEM;SG
اِختیار	autonomia	اِختیار	autonomia	N;NOM;MASC;SG;3	N;FEM;SG
اخذ	deducció	اخذ	deducció	N;NOM;MASC;SG;3	N;FEM;SG
اخذ	extracció	اخذ	extracció	N;NOM;MASC;SG;3	N;FEM;SG
اخذ	deducció	اخذ	deducció	N;NOM;MASC;SG;3	N;FEM;SG
اخذ	derivació	اخذ	derivació	N;NOM;MASC;SG;3	N;FEM;SG
اخراج	despesa	اخراج	despesa	N;NOM;MASC;SG;3	N;FEM;SG
اخراجات	despeses	خرچ	despesa	N;NOM;MASC;PL;3	N;FEM;PL
اخضر	green	اخضر	grear		
اخضر	verd	اخضر	verd		
