talent	талант	talent	талант	N;NOM;MASC;SG	N;INDF;MASC;SG
podrejen	покорна	podrejen	покорен	ADJ;NOM;INDF;MASC;SG;V.PTCP	ADJ;INDF;FEM;SG
amsterdam	амстердам	amsterda	амстердам	N;NOM;MASC;SG	N;INDF;MASC;SG
gosti	гостите	gost	гост	N;NOM;MASC;PL	N;DEF;MASC;PL
gosti	гости	gost	гост	N;NOM;MASC;PL	N;INDF;MASC;PL
zelandija	зеландия	zelandija	зеландия	N;NOM;FEM;SG	N;INDF;FEM;SG
jez	язовир	jez	язовир	N;NOM;MASC;SG	N;INDF;MASC;SG
party	парти	party	парта	N;NOM;MASC;SG	N;INDF;NEUT;SG
party	купон	party	купон	N;NOM;MASC;SG	N;INDF;MASC;SG
party	партия	party	партия	N;NOM;MASC;SG	N;INDF;FEM;SG
dovoljenja	лицензи	dovoljenje	лиценз	N;NOM;NEUT;PL	N;INDF;MASC;PL
dovoljenja	лицензии	dovoljenje	лицензия	N;NOM;NEUT;PL	N;INDF;FEM;PL
dovoljenja	разрешителни	dovoljenje	разрешителен	N;NOM;NEUT;PL	N;INDF;MASC;PL
dovoljenja	разрешения	dovoljenje	разрешение	N;NOM;NEUT;PL	N;INDF;NEUT;PL
dovoljenja	разрешения	dovoljenje	разрешение	N;NOM;NEUT;PL	N;INDF;NEUT;PL
regij	райони	regija	район	N;GEN;FEM;PL	N;INDF;MASC;PL
regij	региони	regija	регион	N;GEN;FEM;PL	N;INDF;MASC;PL
regij	регионите	regija	регион	N;GEN;FEM;PL	N;DEF;MASC;PL
pozitiven	позитивна	pozitiven	позитивен	ADJ;NOM;INDF;MASC;SG	ADJ;INDF;FEM;SG
pozitiven	положителен	pozitiven	положителен	ADJ;NOM;INDF;MASC;SG	ADJ;INDF;MASC;SG
pozitiven	положителна	pozitiven	положителен	ADJ;NOM;INDF;MASC;SG	ADJ;INDF;FEM;SG
galerije	галерии	galerija	галерия	N;NOM;FEM;PL	N;INDF;FEM;PL
dež	рейн	dež	рейн	N;NOM;MASC;SG	N;INDF;MASC;SG
dež	дъжд	dež	дъжд	N;NOM;MASC;SG	N;INDF;MASC;SG
nasledstvo	наследяването	nasledstvo	наследяване	N;NOM;NEUT;SG	N;DEF;NEUT;SG
nasledstvo	завет	nasledstvo	завет	N;NOM;NEUT;SG	N;INDF;MASC;SG
nasledstvo	наследство	nasledstvo	наследство	N;NOM;NEUT;SG	N;INDF;NEUT;SG
nasledstvo	наследството	nasledstvo	наследство	N;NOM;NEUT;SG	N;DEF;NEUT;SG
nasledstvo	наследство	nasledstvo	наследство	N;NOM;NEUT;SG	N;INDF;NEUT;SG
tovor	товар	tovor	товар	N;NOM;MASC;SG	N;INDF;MASC;SG
tovor	товар	tovor	товар	N;NOM;MASC;SG	N;INDF;MASC;SG
razporeditev	дистрибуция	razporeditev	дистрибуция	N;NOM;FEM;SG	N;INDF;FEM;SG
razporeditev	разпределяне	razporeditev	разпределяне	N;NOM;FEM;SG	N;INDF;NEUT;SG
razporeditev	разпространение	razporeditev	разпространение	N;NOM;FEM;SG	N;INDF;NEUT;SG
razporeditev	разпределение	razporeditev	разпределение	N;NOM;FEM;SG	N;INDF;NEUT;SG
razporeditev	оформление	razporeditev	оформление	N;NOM;FEM;SG	N;INDF;NEUT;SG
razporeditev	подредба	razporeditev	подредба	N;NOM;FEM;SG	N;INDF;FEM;SG
