den	den	den	den	PRO;DEF;MASC+FEM;SG	PRO;SG;3
och	og	och	og	CONJ	CONJ
med	med	med	med	ADP	ADP
månaden	måneden	månad	måned	N;NOM;DEF;MASC+FEM;SG	N;DEF;MASC;SG
nederbörd	nedbør	nederbörd	nedbør	N;NOM;INDF;MASC+FEM;SG	N;INDF;MASC;SG
nederbörd	nedbør	nederbörd	nedbør	N;NOM;INDF;MASC+FEM;SG	N;INDF;MASC;SG
ingår	inkluderes	ingå	inkluderes	V;IND;PRS;FIN;ACT	V;FIN
ingår	inkluderer	ingå	inkludere	V;IND;PRS;FIN;ACT	V;IND;PRS;FIN
ingår	omfatter	ingå	omfatter	V;IND;PRS;FIN;ACT	V;IND;PRS;FIN
över	over	över	over	ADP	ADP
familjen	familien	familj	familie	N;NOM;DEF;MASC+FEM;SG	N;DEF;MASC;SG
för	for	för	for	ADP	ADP
life	liv	life	liv	N;NOM;INDF;MASC+FEM;SG	N;INDF;NEUT;SG
life	life	life	life	N;NOM;INDF;MASC+FEM;SG	N;INDF;MASC;SG
landet	landet	land	land	N;NOM;DEF;NEUT;SG	N;DEF;NEUT;SG
meter	meter	meter	meter	N;NOM;INDF;MASC+FEM;PL	N;INDF;MASC;PL
meter	meter	meter	meter	N;NOM;INDF;MASC+FEM;PL	N;INDF;MASC;PL
meter	meter	meter	meter	N;NOM;INDF;MASC+FEM;PL	N;INDF;MASC;PL
havet	havet	hav	hav	N;NOM;DEF;NEUT;SG	N;DEF;NEUT;SG
havet	ocean	hav	ocean	N;NOM;DEF;NEUT;SG	N
januari	januar	januari	januar	N;NOM;INDF;MASC+FEM;SG	N;INDF;MASC;SG
millimeter	millimeter	millimet	millimeter	N;NOM;INDF;MASC+FEM;PL	N;INDF;MASC;PL
millimeter	millimeter	millimet	millimeter	N;NOM;INDF;MASC+FEM;PL	N;INDF;MASC;PL
millimeter	millimeter	millimet	millimeter	N;NOM;INDF;MASC+FEM;PL	N;INDF;MASC;PL
genomsnitt	gjennomsnitt	genomsnitt	gjennomsnitt	N;NOM;INDF;NEUT;SG	N;INDF;NEUT;SG
genomsnitt	gjennomsnittlig	genomsnitt	gjennomsnittlig	N;NOM;INDF;NEUT;SG	N;INDF;MASC;SG
juli	juli	juli	juli	N;NOM;INDF;MASC+FEM;SG	N;INDF;MASC;SG
juli	july	juli	july	N;NOM;INDF;MASC+FEM;SG	N
juli	juli	juli	juli	N;NOM;INDF;MASC+FEM;SG	N;INDF;MASC;SG
han	han	han	han	PRO;NOM;DEF;MASC+FEM;SG	PRO;NOM;MASC;SG;3
har	har	ha	ha	V;IND;PRS;FIN;ACT	V;IND;PRS;FIN
har	har	ha	ha	V;IND;PRS;FIN;ACT	V;IND;PRS;FIN
per	per	per	per	ADP	ADP
vattendrag	vannløp	vattendrag	vannløp	N;NOM;INDF;NEUT;SG	N;INDF;NEUT;SG
vattendrag	rivers	vattendrag	rivers	N;NOM;INDF;NEUT;SG	N;INDF;NEUT;SG
från	frå	från	frå	ADP	ADP
provinsen	provinsen	provins	provins	N;NOM;DEF;MASC+FEM;SG	N;DEF;MASC;SG
men	men	men	men	CONJ	CONJ
men	men	men	men	CONJ	CONJ
augusti	august	augusti	august	N;NOM;INDF;MASC+FEM;SG	N;INDF;MASC;SG
