beachtung	pozor	beachtung	pozor		
technischer	tehnični	technisch	tehničen	ADJ	ADJ;NOM;MASC;SG
technischer	tehnična	technisch	tehničen	ADJ	ADJ;NOM;FEM;SG
orthodoxen	pravoslavne	orthodox	pravoslaven	ADJ	ADJ;NOM;FEM;PL
epoche	epoch	epoch	epoch	N;SG	N;NOM;MASC;SG
wertung	rating	wertung	rating	N;FEM;SG	N;NOM;MASC;SG
eintragen	registrira	eintragen	registrirati	V;NFIN	V;IND;SG;3;PRS;FIN
eintragen	vstopi	eintragen	vstop	V;NFIN	V;PFV;IND;SG;3;PRS;FIN
beitragen	prispeva	beitragen	prispevati	V;NFIN	V;IND;SG;3;PRS;FIN
beitragen	prispevati	beitragen	prispevati	V;NFIN	V;NFIN
kopiert	kopiral	kopieren	kopirati	V;V.PTCP	V;IPFV;MASC;SG;V.PTCP
dünn	suha	dünn	suh	ADJ	ADJ;NOM;FEM;SG
dünn	suhi	dünn	suh	ADJ	ADJ;NOM;DEF;MASC;SG
dünn	suh	dünn	suh	ADJ	ADJ;NOM;INDF;MASC;SG
dünn	tanke	dünn	tanek	ADJ	ADJ;NOM;FEM;PL
dünn	tanka	dünn	tanek	ADJ	ADJ;NOM;FEM;SG
dünn	tanek	dünn	tanek	ADJ	ADJ;NOM;INDF;MASC;SG
berechnet	zaračuna	berechnen	zaračun	V;V.PTCP	V;PFV;IND;SG;3;PRS;FIN
verlieren	izgublja	verlieren	izgubljati	V;NFIN	V;IPFV;IND;SG;3;PRS;FIN
verlieren	izgubi	verlieren	izgubiti	V;NFIN	V;PFV;IND;SG;3;PRS;FIN
verlieren	izgubi	verlieren	izgubiti	V;NFIN	V;PFV;IND;SG;3;PRS;FIN
wem	čigavo	wer	čigav	ADV	ADV
gültigen	veljavna	gültig	veljaven	ADJ	ADJ;NOM;FEM;SG
gültigen	veljaven	gültig	veljaven	ADJ	ADJ;NOM;INDF;MASC;SG
gültigen	veljavni	gültig	veljaven	ADJ	ADJ;NOM;MASC;PL
gültigen	veljavno	gültig	veljaven	ADJ	ADJ;NOM;NEUT;SG
wohnen	živeti	wohnen	živeti	V;NFIN	V;IPFV;NFIN
wohnen	živel	wohnen	živeti	V;NFIN	V;IPFV;MASC;SG;V.PTCP
wohnen	živela	wohnen	živeti	V;NFIN	V;IPFV;FEM;SG;V.PTCP
wohnen	živi	wohnen	živeti	V;NFIN	V;IPFV;IND;SG;3;PRS;FIN
wohnen	živeti	wohnen	živeti	V;NFIN	V;IPFV;NFIN
wohnen	živel	wohnen	živeti	V;NFIN	V;IPFV;MASC;SG;V.PTCP
wohnen	živeli	wohnen	živeti	V;NFIN	V;IPFV;MASC;PL;V.PTCP
wohnen	živela	wohnen	živeti	V;NFIN	V;IPFV;FEM;SG;V.PTCP
zeichnen	narisal	zeichnen	narisati	V;NFIN	V;PFV;MASC;SG;V.PTCP
österreichisch	avstrijski	österreichisch	avstrijski	ADJ	ADJ;NOM;DEF;MASC;SG
österreichisch	avstrijska	österreichisch	avstrijski	ADJ	ADJ;NOM;FEM;SG
österreichisch	avstrijsko	österreichisch	avstrijski	ADJ	ADJ;NOM;NEUT;SG
österreichisch	avstrijsko	österreichisch	avstrijski	ADJ	ADJ;NOM;NEUT;SG
klarer	jasnejše	klar	jasen	ADJ	ADJ;NOM;CMPR;NEUT;SG
anfangen	začni	anfangen	začeti	V;NFIN	V;PFV;IMP;SG;2;FIN
ankunft	prihod	ankunft	prihod	N;FEM;SG	N;NOM;MASC;SG
verändern	spreminja	verändern	spreminjati	V;NFIN	V;IPFV;IND;SG;3;PRS;FIN
verändern	spremeni	verändern	spremeniti	V;NFIN	V;PFV;IND;SG;3;PRS;FIN
heller	svetlejše	hell	svetel	ADJ	ADJ;NOM;CMPR;NEUT;SG
befreit	osvobodili	befreien	osvoboditi	V;V.PTCP	V;PFV;MASC;PL;V.PTCP
befreit	osvobodil	befreien	osvoboditi	V;V.PTCP	V;PFV;MASC;SG;V.PTCP
nordischen	nordijski	nordisch	nordijski	ADJ	ADJ;NOM;MASC;SG
nordischen	nordijskih	nordisch	nordijski	ADJ	ADJ;GEN;MASC;PL
gebeten	vprašal	bitten	vprašati	V;V.PTCP	V;PFV;MASC;SG;V.PTCP
gebeten	vprašali	bitten	vprašati	V;V.PTCP	V;PFV;MASC;PL;V.PTCP
kritisierte	kritiziral	kritisieren	kritizirati	V;IND;SG;3;PST;FIN	V;IPFV;MASC;SG;V.PTCP
kritisierte	kritiziral	kritisieren	kritizirati	V;IND;SG;3;PST;FIN	V;IPFV;MASC;SG;V.PTCP
jemals	kdaj	jemals	kdaj	ADV	ADV
verschwunden	odšel	verschwinden	oditi	V;V.PTCP	V;PFV;MASC;SG;V.PTCP
verschwunden	izginil	verschwinden	izginiti	V;V.PTCP	V;PFV;MASC;SG;V.PTCP
verschwunden	izginila	verschwinden	izginiti	V;V.PTCP	V;PFV;FEM;SG;V.PTCP
verschwunden	izginil	verschwinden	izginiti	V;V.PTCP	V;PFV;MASC;SG;V.PTCP
verschwunden	izginila	verschwinden	izginiti	V;V.PTCP	V;PFV;FEM;SG;V.PTCP
aufeinander	zaporedoma	aufeinander	zaporedoma	ADV	ADV
kirchliche	cerkvene	kirchlich	cerkven	ADJ;NOM;FEM;PL	ADJ;NOM;FEM;PL
startet	prične	starten	pričeti	V;IND;SG;3;PRS;FIN	V;PFV;IND;SG;3;PRS;FIN
älterer	starejša	alt	star	ADJ	ADJ;NOM;CMPR;FEM;SG
älterer	starejši	alt	star	ADJ	ADJ;NOM;DEF;CMPR;MASC;SG
älterer	starejše	alt	star	ADJ	ADJ;NOM;CMPR;FEM;SG
erwachsenen	odrasle	erwachsen	odrasel	ADJ	ADJ;NOM;FEM;PL;V.PTCP
erwachsenen	odrasli	erwachsen	odrasel	ADJ	ADJ;NOM;MASC;PL;V.PTCP
erwachsenen	odraslih	erwachsen	odrasel	ADJ	ADJ;GEN;MASC;PL;V.PTCP
erwachsenen	odrasel	erwachsen	odrasel	ADJ	ADJ;NOM;INDF;MASC;SG;V.PTCP
erwachsenen	odrasli	erwachsen	odrasel	ADJ	ADJ;NOM;MASC;PL;V.PTCP
trennen	ločuje	trennen	ločevati	V;NFIN	V;IPFV;IND;SG;3;PRS;FIN
trennen	odklopi	trennen	odklopiti	V;NFIN	V;PFV;IND;SG;3;PRS;FIN
zwingend	obvezen	zwingend	obvezen	ADJ	ADJ;NOM;INDF;MASC;SG
zwingend	obvezna	zwingend	obvezen	ADJ	ADJ;NOM;FEM;SG
zwingend	obvezni	zwingend	obvezen	ADJ	ADJ;NOM;DEF;MASC;SG
zwingend	obvezne	zwingend	obvezen	ADJ	ADJ;NOM;FEM;PL
zwingend	obvezna	zwingend	obvezen	ADJ	ADJ;NOM;FEM;SG
zwingend	obvezni	zwingend	obvezen	ADJ	ADJ;NOM;DEF;MASC;SG
zwingend	obvezne	zwingend	obvezen	ADJ	ADJ;NOM;FEM;PL
innenraum	notranja	innenraum	notranji	ADJ	ADJ;NOM;FEM;SG
innenraum	notranje	innenraum	notranji	ADJ	ADJ;NOM;FEM;PL
innenraum	notranji	innenraum	notranji	ADJ	ADJ;NOM;DEF;MASC;SG
innenraum	notranji	innenraum	notranji	ADJ	ADJ;NOM;DEF;MASC;SG
germanistik	germanski	germanistik	germanski	ADJ	ADJ;NOM;MASC;SG
benachbarte	sosednje	benachbart	sosednji	ADJ;NOM;FEM;PL	ADJ;NOM;FEM;PL
benachbarte	sosednje	benachbart	sosednji	ADJ;NOM;FEM;PL	ADJ;NOM;FEM;PL
singen	poje	singen	peti	V;NFIN	V;IPFV;IND;SG;3;PRS;FIN
singen	vzklikajo	singen	vzklikati	V;NFIN	V;PFV;IND;PL;3;PRS;FIN
woher	kako	woher	kako	ADV	ADV
überprüfung	revizija	überprüfung	revizija	N;NOM;FEM;SG	N;NOM;FEM;SG
überprüfung	pregledovanje	überprüfung	pregledovanje	N;NOM;FEM;SG	N;NOM;NEUT;SG
überprüfung	pregled	überprüfung	pregled	N;NOM;FEM;SG	N;NOM;MASC;SG
überprüfung	preverjanje	überprüfung	preverjanje	N;NOM;FEM;SG	N;NOM;NEUT;SG
überprüfung	preveritev	überprüfung	preveritev	N;NOM;FEM;SG	N;NOM;FEM;SG
ständigen	trajni	ständig	trajen	ADJ	ADJ;NOM;DEF;MASC;SG
ständigen	trajen	ständig	trajen	ADJ	ADJ;NOM;INDF;MASC;SG;V.PTCP
ständigen	trajna	ständig	trajen	ADJ	ADJ;NOM;FEM;SG
ständigen	stalna	ständig	stalen	ADJ	ADJ;NOM;FEM;SG
bühnen	platforme	bühnen	platform	N;NOM;PL	N;NOM;FEM;PL
bühnen	faze	bühnen	faza	N;NOM;PL	N;NOM;FEM;PL
bühnen	stopnje	bühnen	stopnja	N;NOM;PL	N;NOM;FEM;PL
abgehalten	držal	abhalten	držati	V;V.PTCP	V;IPFV;MASC;SG;V.PTCP
abgehalten	potekala	abhalten	potekati	V;V.PTCP	V;IPFV;FEM;SG;V.PTCP
japanisch	japonski	japanisch	japonski	ADJ	ADJ;NOM;DEF;MASC;SG
japanisch	japonsko	japanisch	japonski	ADJ	ADJ;NOM;NEUT;SG
japanisch	japonska	japanisch	japonski	ADJ	ADJ;NOM;FEM;SG
gewählten	izvoljeni	gewählt	izvoljen	ADJ;PL	ADJ;NOM;MASC;PL;V.PTCP
stoffe	tkanine	stoffen	tkanina	N;NOM;PL	N;NOM;FEM;PL
stoffe	učinkovine	stoffen	učinkovina	N;NOM;PL	N;NOM;FEM;PL
stoffe	snovi	stoffen	snov	N;NOM;PL	N;NOM;FEM;PL
fraglich	vprašljivo	fraglich	vprašljiv	ADJ	ADJ;NOM;NEUT;SG
fraglich	vprašljiva	fraglich	vprašljiv	ADJ	ADJ;NOM;FEM;SG
fraglich	vprašljivo	fraglich	vprašljiv	ADJ	ADJ;NOM;NEUT;SG
empfangen	prejeti	empfangen	prejeti	V;V.PTCP	V;PFV;NFIN
empfangen	prejeti	empfangen	prejeti	V;V.PTCP	V;PFV;NFIN
empfangen	sprejemam	empfangen	sprejemati	V;V.PTCP	V;IPFV;IND;SG;1;PRS;FIN
pflicht	obvezen	pflicht	obvezen	ADJ	ADJ;NOM;INDF;MASC;SG
pflicht	obvezna	pflicht	obvezen	ADJ	ADJ;NOM;FEM;SG
pflicht	obvezni	pflicht	obvezen	ADJ	ADJ;NOM;DEF;MASC;SG
pflicht	obvezne	pflicht	obvezen	ADJ	ADJ;NOM;FEM;PL
pflicht	obvezna	pflicht	obvezen	ADJ	ADJ;NOM;FEM;SG
pflicht	obvezni	pflicht	obvezen	ADJ	ADJ;NOM;DEF;MASC;SG
pflicht	obvezne	pflicht	obvezen	ADJ	ADJ;NOM;FEM;PL
türkisch	turška	türkisch	turški	ADJ	ADJ;NOM;FEM;SG
türkisch	turški	türkisch	turški	ADJ	ADJ;NOM;MASC;SG
türkisch	turško	türkisch	turški	ADJ	ADJ;NOM;NEUT;SG
nummern	številke	nummern	številka	N	N;NOM;FEM;PL
nummern	števila	nummern	število	N	N;GEN;NEUT;SG
schnellen	hitri	schnell	hiter	ADJ	ADJ;NOM;DEF;MASC;SG
schnellen	hiter	schnell	hiter	ADJ	ADJ;NOM;INDF;MASC;SG
schnellen	hitra	schnell	hiter	ADJ	ADJ;NOM;FEM;SG
wusste	vedel	wissen	vedeti	V;IND;SG;3;PST;FIN	V;IPFV;MASC;SG;V.PTCP
wusste	vedela	wissen	vedeti	V;IND;SG;3;PST;FIN	V;IPFV;FEM;SG;V.PTCP
hinreichend	zadostno	hinreichend	zadostno	ADJ	ADJ;NOM;NEUT;SG
hinreichend	zadostna	hinreichend	zadosten	ADJ	ADJ;NOM;FEM;SG
theoretisch	teoretična	theoretisch	teoretičen	ADJ	ADJ;NOM;FEM;SG
theoretisch	teoretični	theoretisch	teoretičen	ADJ	ADJ;NOM;MASC;PL
persönlicher	osebno	persönlich	oseben	ADJ	ADJ;NOM;NEUT;SG
persönlicher	osebne	persönlich	oseben	ADJ	ADJ;NOM;FEM;PL
persönlicher	osebni	persönlich	oseben	ADJ	ADJ;NOM;MASC;SG
persönlicher	osebna	persönlich	oseben	ADJ	ADJ;NOM;FEM;SG
ernährung	prehrana	Ernährung	prehrana	N;NOM;FEM;SG	N;NOM;FEM;SG
ernährung	prehrana	Ernährung	prehrana	N;NOM;FEM;SG	N;NOM;FEM;SG
ernährung	dieta	Ernährung	dieta	N;NOM;FEM;SG	N;NOM;FEM;SG
vergleichen	primerjaj	vergleichen	primerjaj	V;NFIN	V;IPFV;IMP;SG;2;FIN
vergleichen	primerjati	vergleichen	primerjati	V;NFIN	V;IPFV;NFIN
gestrichen	naslikal	gestrechen	naslikati	V;V.PTCP	V;PFV;MASC;SG;V.PTCP
gestrichen	odpovedal	gestrechen	odpovedati	V;V.PTCP	V;PFV;MASC;SG;V.PTCP
geistliche	duhovne	geistlich	duhoven	ADJ;NOM;FEM;PL	ADJ;NOM;FEM;PL
anerkannte	priznan	anerkannt	priznan	ADJ;SG	ADJ;NOM;INDF;MASC;SG;V.PTCP
anerkannte	priznana	anerkannt	priznan	ADJ;SG	ADJ;NOM;FEM;SG;V.PTCP
anerkannte	priznano	anerkannt	priznan	ADJ;SG	ADJ;NOM;NEUT;SG;V.PTCP
anerkannte	priznana	anerkannt	priznan	ADJ;SG	ADJ;NOM;FEM;SG;V.PTCP
anerkannte	priznan	anerkannt	priznan	ADJ;SG	ADJ;NOM;INDF;MASC;SG;V.PTCP
anerkannte	priznan	anerkannt	priznan	ADJ;SG	ADJ;NOM;INDF;MASC;SG;V.PTCP
anerkannte	priznana	anerkannt	priznan	ADJ;SG	ADJ;NOM;FEM;SG;V.PTCP
anerkannte	priznano	anerkannt	priznan	ADJ;SG	ADJ;NOM;NEUT;SG;V.PTCP
ära	era	ära	era	N;NOM;FEM;SG	N;NOM;MASC;SG
annehmen	sprejeti	annehmen	sprejeti	V;NFIN	V;PFV;NFIN
annehmen	sprejmi	annehmen	sprejeti	V;NFIN	V;PFV;IMP;SG;2;FIN
genügt	zadostuje	nügen	zadostovati	V;IND;SG;3;PRS;FIN	V;IPFV;IND;SG;3;PRS;FIN
abteilungen	delitve	abteilingen	delitev	N;NOM;FEM;PL	N;NOM;FEM;PL
abteilungen	divizije	abteilingen	divizija	N;NOM;FEM;PL	N;NOM;FEM;PL
abteilungen	oddelki	abteilingen	oddelek	N;NOM;FEM;PL	N;NOM;MASC;PL
abteilungen	oddelki	abteilingen	oddelek	N;NOM;FEM;PL	N;NOM;MASC;PL
erläutert	pojasnil	erläutern	pojasniti	V;V.PTCP	V;PFV;MASC;SG;V.PTCP
erläutert	razloži	erläutern	razložiti	V;V.PTCP	V;PFV;IND;SG;3;PRS;FIN
erläutert	pojasnjuje	erläutern	pojasnjevati	V;V.PTCP	V;IPFV;IND;SG;3;PRS;FIN
nachweisbar	dokazljivo	nachweisbar	dokazljiv	ADJ	ADJ;NOM;NEUT;SG
kritischen	kritični	kritisch	kritičen	ADJ	ADJ;NOM;MASC;PL
kritischen	kritična	kritisch	kritičen	ADJ	ADJ;NOM;FEM;SG
kritischen	kritičen	kritisch	kritičen	ADJ	ADJ;NOM;INDF;MASC;SG
kritischen	kritične	kritisch	kritičen	ADJ	ADJ;NOM;FEM;PL
teilgenommen	udeležili	teilnehmen	udeležiti	V;V.PTCP	V;PFV;MASC;PL;V.PTCP
