категория	categoria	категория	categoria	N;INAN;NOM;FEM;SG	N;FEM;SG
для	por	для	por	ADP	ADP
для	para	для	para	ADP	ADP
также	igualmente	также	igualmente	ADV	ADV
также	também	также	também	ADV	ADV
это	esta	это	este	PRO;INAN;NOM;NEUT;SG	PRO;FEM;SG
это	isso	это	isso	PRO;INAN;NOM;NEUT;SG	PRO;MASC;SG
это	isto	это	isto	PRO;INAN;NOM;NEUT;SG	PRO;MASC;SG
это	essa	это	esse	PRO;INAN;NOM;NEUT;SG	PRO;FEM;SG
это	essa	это	esse	PRO;INAN;NOM;NEUT;SG	PRO;FEM;SG
это	isso	это	isso	PRO;INAN;NOM;NEUT;SG	PRO;MASC;SG
это	que	это	que	PRO;INAN;NOM;NEUT;SG	PRO;MASC;SG
после	após	после	após	ADP	ADP
области	áreas	область	área	N;INAN;NOM;FEM;PL	N;FEM;PL
год	ano	год	ano	N;INAN;NOM;MASC;SG	N;MASC;SG
время	hora	время	hora	N;INAN;NOM;NEUT;SG	N;FEM;SG
время	horário	время	horário	N;INAN;NOM;NEUT;SG	N;MASC;SG
время	tempo	время	tempo	N;INAN;NOM;NEUT;SG	N;MASC;SG
время	time	время	time	N;INAN;NOM;NEUT;SG	N;MASC;SG
состав	composição	состав	composição	N;INAN;NOM;MASC;SG	N;FEM;SG
место	spot	место	spot	N;INAN;NOM;NEUT;SG	N;MASC;SG
место	lugar	место	lugar	N;INAN;NOM;NEUT;SG	N;MASC;SG
место	place	место	place	N;INAN;NOM;NEUT;SG	N;MASC;SG
место	local	место	local	N;INAN;NOM;NEUT;SG	N;MASC;SG
место	sítio	место	sítio	N;INAN;NOM;NEUT;SG	N;MASC;SG
место	localização	место	localização	N;INAN;NOM;NEUT;SG	N;FEM;SG
район	bairro	район	bairro	N;INAN;NOM;MASC;SG	N;MASC;SG
район	vizinhança	район	vizinhança	N;INAN;NOM;MASC;SG	N;FEM;SG
район	distrito	район	distrito	N;INAN;NOM;MASC;SG	N;MASC;SG
район	area	район	area	N;INAN;NOM;MASC;SG	N;FEM;SG
район	área	район	área	N;INAN;NOM;MASC;SG	N;FEM;SG
вид	espécie	вид	espécie	N;INAN;NOM;MASC;SG	N;FEM;SG
вид	vista	вид	vista	N;INAN;NOM;MASC;SG	N;FEM;SG
под	sob	под	sob	ADP	ADP
язык	língua	язык	língua	N;INAN;NOM;MASC;SG	N;FEM;SG
язык	lingua	язык	lingua	N;INAN;NOM;MASC;SG	N;FEM;SG
язык	língua	язык	língua	N;INAN;NOM;MASC;SG	N;FEM;SG
язык	idioma	язык	idioma	N;INAN;NOM;MASC;SG	N;MASC;SG
язык	linguagem	язык	linguagem	N;INAN;NOM;MASC;SG	N;FEM;SG
районе	bairro	район	bairro	N;INAN;ESS;MASC;SG	N;MASC;SG
районе	vizinhança	район	vizinhança	N;INAN;ESS;MASC;SG	N;FEM;SG
код	codigo	код	codigo	N;INAN;NOM;MASC;SG	N;MASC;SG
код	código	код	código	N;INAN;NOM;MASC;SG	N;MASC;SG
более	mais	более	mais	ADV;CMPR	ADV
мая	may	май	may	N;INAN;GEN;MASC;SG	N;MASC;SG
мая	maio	май	maio	N;INAN;GEN;MASC;SG	N;MASC;SG
дата	data	дата	data	N;INAN;NOM;FEM;SG	N;FEM;SG
ноября	novembro	ноябрь	novembro	N;INAN;GEN;MASC;SG	N;MASC;SG
деревня	vila	деревня	vila	N;INAN;NOM;FEM;SG	N;FEM;SG
деревня	aldeia	деревня	aldeia	N;INAN;NOM;FEM;SG	N;FEM;SG
где	aonde	где	aonde	ADV	ADV
где	onde	где	onde	ADV	ADV
января	janeiro	январь	janeiro	N;INAN;GEN;MASC;SG	N;MASC;SG
марта	marta	март	marta	N;INAN;GEN;MASC;SG	N;FEM;SG
марта	marta	март	marta	N;INAN;GEN;MASC;SG	N;FEM;SG
марта	martha	март	martha	N;INAN;GEN;MASC;SG	N;FEM;SG
марта	march	март	march	N;INAN;GEN;MASC;SG	N;MASC;SG
марта	marcha	март	marcha	N;INAN;GEN;MASC;SG	N;FEM;SG
марта	março	март	março	N;INAN;GEN;MASC;SG	N;MASC;SG
все	tudo	все	tudo	PRO;INAN;NOM;NEUT;SG	PRO;MASC;SG
все	tudo	все	tudo	PRO;INAN;NOM;NEUT;SG	PRO;MASC;SG
августа	augusto	август	augusto	N;INAN;GEN;MASC;SG	N;MASC;SG
августа	august	август	august	N;INAN;GEN;MASC;SG	N;MASC;SG
августа	agosto	август	agosto	N;INAN;GEN;MASC;SG	N;MASC;SG
августа	augusta	август	augusta	N;INAN;GEN;MASC;SG	N;FEM;SG
октября	outubro	октябрь	outubro	N;INAN;GEN;MASC;SG	N;MASC;SG
октября	toc	октябрь	toc	N;INAN;GEN;MASC;SG	N;MASC;SG
октября	out	октябрь	out	N;INAN;GEN;MASC;SG	N;MASC;SG
сентября	setembro	сентябрь	setembro	N;INAN;GEN;MASC;SG	N;MASC;SG
статьи	artigos	статья	artigo	N;INAN;NOM;FEM;PL	N;MASC;PL
уже	já	уже	já	ADV	ADV
июня	june	июнь	june	N;INAN;GEN;MASC;SG	N;FEM;SG
июня	junho	июнь	junho	N;INAN;GEN;MASC;SG	N;MASC;SG
апреля	april	апрель	april	N;INAN;GEN;MASC;SG	N;FEM;SG
апреля	abril	апрель	abril	N;INAN;GEN;MASC;SG	N;MASC;SG
который	qual	который	qual	PRO;NOM	PRO;MASC;SG
название	nome	название	nome	N;INAN;NOM;NEUT;SG	N;MASC;SG
название	titulo	название	titulo	N;INAN;NOM;NEUT;SG	N;MASC;SG
название	título	название	título	N;INAN;NOM;NEUT;SG	N;MASC;SG
поселение	liquidação	поселение	liquidação	N;INAN;NOM;NEUT;SG	N;FEM;SG
поселение	povoamento	поселение	povoamento	N;INAN;NOM;NEUT;SG	N;MASC;SG
поселение	assentamento	поселение	assentamento	N;INAN;NOM;NEUT;SG	N;MASC;SG
человек	pessoa	человек	pessoa	N;ANIM;NOM;MASC;SG	N;FEM;SG
