med	com	med	com	ADP	ADP
månaden	mês	månad	mês	N;NOM;DEF;MASC+FEM;SG	N;MASC;SG
nederbörd	precipitação	nederbörd	precipitação	N;NOM;INDF;MASC+FEM;SG	N;FEM;SG
ligger	localizada	ligga	localizar	V;IND;PRS;FIN;ACT	V;FEM;SG;V.PTCP
ligger	localizado	ligga	localizar	V;IND;PRS;FIN;ACT	V;MASC;SG;V.PTCP
ligger	localizados	ligga	localizar	V;IND;PRS;FIN;ACT	V;MASC;PL;V.PTCP
ingår	incluído	ingå	incluir	V;IND;PRS;FIN;ACT	V;MASC;SG;V.PTCP
ingår	incluídas	ingå	incluir	V;IND;PRS;FIN;ACT	V;FEM;PL;V.PTCP
ingår	incluso	ingå	incluso	V;IND;PRS;FIN;ACT	V;MASC;SG;V.PTCP
ingår	incluido	ingå	incluir	V;IND;PRS;FIN;ACT	V;MASC;SG;V.PTCP
ingår	incluídos	ingå	incluir	V;IND;PRS;FIN;ACT	V;MASC;PL;V.PTCP
ingår	inclui	ingå	incluir	V;IND;PRS;FIN;ACT	V;IND;SG;3;PRS;FIN
ett	um	en	um	NUM;NOM;INDF;NEUT;SG	NUM
ett	uma	en	um	NUM;NOM;INDF;NEUT;SG	NUM
familjen	família	familj	família	N;NOM;DEF;MASC+FEM;SG	N;FEM;SG
familjen	familia	familj	familia	N;NOM;DEF;MASC+FEM;SG	N;FEM;SG
för	por	för	por	ADP	ADP
för	para	för	para	ADP	ADP
delen	part	del	part	N;NOM;DEF;MASC+FEM;SG	N;MASC;SG
delen	parte	del	parte	N;NOM;DEF;MASC+FEM;SG	N;FEM;SG
släktet	género	släkte	género	N;NOM;DEF;NEUT;SG	N;MASC;SG
släktet	gênero	släkte	gênero	N;NOM;DEF;NEUT;SG	N;MASC;SG
underarter	subespécies	underart	subespécie	N;NOM;INDF;MASC+FEM;PL	N;FEM;PL
life	vida	life	vida	N;NOM;INDF;MASC+FEM;SG	N;FEM;SG
life	life	life	life	N;NOM;INDF;MASC+FEM;SG	N;MASC;SG
landet	país	land	país	N;NOM;DEF;NEUT;SG	N;MASC;SG
meter	metros	meter	metro	N;NOM;INDF;MASC+FEM;PL	N;MASC;PL
meter	contadores	meter	contador	N;NOM;INDF;MASC+FEM;PL	N;MASC;PL
meter	metros	meter	metro	N;NOM;INDF;MASC+FEM;PL	N;MASC;PL
meter	medidores	meter	medidor	N;NOM;INDF;MASC+FEM;PL	N;MASC;PL
meter	jardas	meter	jarda	N;NOM;INDF;MASC+FEM;PL	N;FEM;PL
huvudstaden	capitol	huvudstad	capitol	N;NOM;DEF;MASC+FEM;SG	N;MASC;SG
huvudstaden	capitólio	huvudstad	capitólio	N;NOM;DEF;MASC+FEM;SG	N;MASC;SG
huvudstaden	capital	huvudstad	capital	N;NOM;DEF;MASC+FEM;SG	N;MASC;SG
havet	mar	hav	mar	N;NOM;DEF;NEUT;SG	N;MASC;SG
havet	oceano	hav	oceano	N;NOM;DEF;NEUT;SG	N;MASC;SG
invånare	habitantes	invånare	habitante	N;NOM;INDF;MASC+FEM;PL	N;PL
invånare	residentes	invånare	residente	N;NOM;INDF;MASC+FEM;PL	N;MASC;PL
invånare	moradores	invånare	morador	N;NOM;INDF;MASC+FEM;PL	N;MASC;PL
invånare	cidadãos	invånare	cidadão	N;NOM;INDF;MASC+FEM;PL	N;MASC;PL
januari	janeiro	januari	janeiro	N;NOM;INDF;MASC+FEM;SG	N;MASC;SG
millimeter	milímetros	millimet	milímetro	N;NOM;INDF;MASC+FEM;PL	N;MASC;PL
millimeter	milímetros	millimet	milímetro	N;NOM;INDF;MASC+FEM;PL	N;MASC;PL
genomsnitt	média	genomsnitt	média	N;NOM;INDF;NEUT;SG	N;FEM;SG
genomsnittlig	médio	genomsnittlig	médio	ADJ;NOM;INDF;MASC+FEM;SG	ADJ;MASC;SG
juli	julho	juli	julho	N;NOM;INDF;MASC+FEM;SG	N;MASC;SG
juli	juli	juli	juli	N;NOM;INDF;MASC+FEM;SG	N;FEM;SG
har	tem	ha	ter	V;IND;PRS;FIN;ACT	V;IND;SG;3;PRS;FIN
har	ter	ha	ter	V;IND;PRS;FIN;ACT	V;NFIN
från	de	från	de	ADP	ADP
provinsen	província	provins	província	N;NOM;DEF;MASC+FEM;SG	N;FEM;SG
närheten	proximidade	närhet	proximidade	N;NOM;DEF;MASC+FEM;SG	N;FEM;SG
men	mas	men	mas	CONJ	CONJ
augusti	augusto	augusti	augusto	N;NOM;INDF;MASC+FEM;SG	N;MASC;SG
augusti	august	augusti	august	N;NOM;INDF;MASC+FEM;SG	N;MASC;SG
augusti	agosto	augusti	agosto	N;NOM;INDF;MASC+FEM;SG	N;MASC;SG
länkar	ligações	länka	ligação	N;NOM;INDF;MASC+FEM;PL	N;FEM;PL
länkar	links	länka	link	N;NOM;INDF;MASC+FEM;PL	N;MASC;PL
externa	externas	ext	externo	N;NOM;DEF;MASC+FEM;PL	N;FEM;PL
läge	localização	läge	localização	N;NOM;INDF;NEUT;SG	N;FEM;SG
läge	mode	läge	mode	N;NOM;INDF;NEUT;SG	N;MASC;SG
läge	modalidade	läge	modalidade	N;NOM;INDF;NEUT;SG	N;FEM;SG
läge	modo	läge	modo	N;NOM;INDF;NEUT;SG	N;MASC;SG
även	igualmente	även	igualmente	ADV	ADV
även	também	även	também	ADV	ADV
februari	fevereiro	februari	fevereiro	N;NOM;INDF;MASC+FEM;SG	N;MASC;SG
under	durante	under	durante	ADP	ADP
under	sob	under	sob	ADP	ADP
lake	lago	lake	lago	N;NOM;INDF;NEUT;SG	N;MASC;SG
sjö	lago	sjö	lago	N;NOM;INDF;MASC+FEM;SG	N;MASC;SG
sjö	mar	sjö	mar	N;NOM;INDF;MASC+FEM;SG	N;MASC;SG
kommun	município	kommun	município	N;NOM;INDF;MASC+FEM;SG	N;MASC;SG
kommun	concelho	kommun	concelho	N;NOM;INDF;MASC+FEM;SG	N;MASC;SG
två	duas	två	dois	NUM;NOM	NUM
två	dois	två	dois	NUM;NOM	NUM
terrängen	terreno	terräng	terreno	N;NOM;DEF;MASC+FEM;SG	N;MASC;SG
long	comprido	long	comprido	N;NOM;INDF;MASC+FEM;SG	N;MASC;SG
long	long	long	long	N;NOM;INDF;MASC+FEM;SG	N;MASC;SG
juni	juni	juni	juni	N;NOM;INDF;MASC+FEM;SG	N;MASC;SG
juni	june	juni	june	N;NOM;INDF;MASC+FEM;SG	N;FEM;SG
juni	junho	juni	junho	N;NOM;INDF;MASC+FEM;SG	N;MASC;SG
lat	lat	lat	lat	N;NOM;INDF;MASC+FEM;SG	N;MASC;SG
lat	preguiça	lat	preguiça	N;NOM;INDF;MASC+FEM;SG	N;FEM;SG
december	dezembro	december	dezembro	N;NOM;INDF;MASC+FEM;SG	N;MASC;SG
växer	crescendo	växa	crescender	V;IND;PRS;FIN;ACT	V;V.MSDR
växer	crescer	växa	crescer	V;IND;PRS;FIN;ACT	V;NFIN
växer	cresce	växa	crescer	V;IND;PRS;FIN;ACT	V;IND;SG;3;PRS;FIN
växer	crescem	växa	crescer	V;IND;PRS;FIN;ACT	V;IND;PL;3;PRS;FIN
växer	cresce	växa	crescer	V;IND;PRS;FIN;ACT	V;IND;SG;3;PRS;FIN
många	muitos	mången	muito	PRO;INDF;PL	PRO;MASC;PL
många	muitas	mången	muito	PRO;INDF;PL	PRO;FEM;PL
efter	após	efter	após	ADP	ADP
nära	perto	nära	perto	ADV	ADV
nära	perto	nära	perto	ADV	ADV
nära	próximo	nära	próximo	ADV	ADV
väster	west	väster	west	N;NOM;INDF;MASC+FEM;SG	N;MASC;SG
väster	ocidente	väster	ocidente	N;NOM;INDF;MASC+FEM;SG	N;MASC;SG
väster	oeste	väster	oeste	N;NOM;INDF;MASC+FEM;SG	N;MASC;SG
provins	província	provins	província	N;NOM;INDF;MASC+FEM;SG	N;FEM;SG
öster	oriente	öster	oriente	N;NOM;INDF;MASC+FEM;SG	N;MASC;SG
öster	leste	öster	leste	N;NOM;INDF;MASC+FEM;SG	N;MASC;SG
öster	east	öster	east	N;NOM;INDF;MASC+FEM;SG	N;MASC;SG
först	primeiramente	först	primeiramente	ADV	ADV
först	primeiro	först	primeiro	ADV	ADV
berg	montanha	berg	montanha	N;NOM;INDF;NEUT;SG	N;FEM;SG
berg	berg	berg	berg	N;NOM;INDF;NEUT;SG	N;MASC;SG
mars	march	mars	march	N;NOM;INDF;MASC+FEM;SG	N;MASC;SG
mars	marcha	mars	marcha	N;NOM;INDF;MASC+FEM;SG	N;FEM;SG
mars	março	mars	março	N;NOM;INDF;MASC+FEM;SG	N;MASC;SG
mars	marte	mars	marte	N;NOM;INDF;MASC+FEM;SG	N;MASC;SG
mars	mars	mars	mar	N;NOM;INDF;MASC+FEM;SG	N;MASC;SG
mindre	menos	lite	menos	ADV;CMPR	ADV
