nie	не	nie	не	PART;NEG	PART;NEG
przez	через	przez	через	ADP	ADP;ACC
oraz	та	oraz	та	CONJ	CONJ
był	був	być	бути	V;IPFV;MASC;IND;SG;PST;FIN;ACT	V;IPFV;MASC;IND;SG;PST;FIN
był	була	być	бути	V;IPFV;MASC;IND;SG;PST;FIN;ACT	V;IPFV;FEM;IND;SG;PST;FIN
był	було	być	бути	V;IPFV;MASC;IND;SG;PST;FIN;ACT	V;IPFV;NEUT;IND;SG;PST;FIN
dla	для	dla	для	ADP	ADP;GEN
pod	під	pod	під	ADP	ADP;ACC
dyskusja	дискусія	dyskusja	дискусія	N;NOM;FEM;SG	N;INAN;NOM;FEM;SG
dyskusja	обговорення	dyskusja	обговорення	N;NOM;FEM;SG	N;INAN;NOM;NEUT;SG
miejsce	місце	miejsce	місце	N;NOM;NEUT;SG	N;INAN;NOM;NEUT;SG
miejsce	пляма	miejsce	пляма	N;NOM;NEUT;SG	N;INAN;NOM;FEM;SG
miejsce	місце	miejsce	місце	N;NOM;NEUT;SG	N;INAN;NOM;NEUT;SG
polski	польська	polski	польський	ADJ;NOM;MASC;SG	ADJ;NOM;FEM;SG
polski	польське	polski	польський	ADJ;NOM;MASC;SG	ADJ;NOM;NEUT;SG
polski	польський	polski	польський	ADJ;NOM;MASC;SG	ADJ;NOM;MASC;SG
linki	лінки	linka	лінка	N;NOM;FEM;PL	N;INAN;NOM;MASC;PL
linki	посилання	linka	посилання	N;NOM;FEM;PL	N;INAN;NOM;NEUT;PL
zewnętrzne	зовнішнє	zewnętrzny	зовнішній	ADJ;NOM;NEUT;SG	ADJ;NOM;NEUT;SG
zewnętrzne	зовнішнє	zewnętrzny	зовнішній	ADJ;NOM;NEUT;SG	ADJ;NOM;NEUT;SG
zewnętrzne	зовнішній	zewnętrzny	зовнішній	ADJ;NOM;NEUT;SG	ADJ;NOM;MASC;SG
zewnętrzne	зовнішня	zewnętrzny	зовнішній	ADJ;NOM;NEUT;SG	ADJ;NOM;FEM;SG
ale	але	ale	але	CONJ	CONJ
który	яка	który	який	DET;NOM;MASC;SG	DET;NOM;FEM;SG
brak	бракує	brak	бракувати	V;IND;PRS;FIN	V;IPFV;IND;SG;3;PRS;FIN
była	був	być	бути	V;IPFV;FEM;IND;SG;PST;FIN;ACT	V;IPFV;MASC;IND;SG;PST;FIN
była	була	być	бути	V;IPFV;FEM;IND;SG;PST;FIN;ACT	V;IPFV;FEM;IND;SG;PST;FIN
była	було	być	бути	V;IPFV;FEM;IND;SG;PST;FIN;ACT	V;IPFV;NEUT;IND;SG;PST;FIN
miejscowość	містечко	miejscowość	містечко	N;NOM;FEM;SG	N;INAN;NOM;NEUT;SG
miejscowość	місто	miejscowość	місто	N;NOM;FEM;SG	N;INAN;NOM;NEUT;SG
miejscowość	місто	miejscowość	місто	N;NOM;FEM;SG	N;INAN;NOM;NEUT;SG
miejscowość	кредитування	miejscowość	кредитування	N;NOM;FEM;SG	N;INAN;NOM;NEUT;SG
gdzie	звідки	gdzie	звідки	ADV	ADV
gdzie	куди	gdzie	куди	ADV	ADV
stycznia	січня	styczeń	січень	N;GEN;MASC;SG	N;INAN;GEN;MASC;SG
tylko	лише	tylko	лише	PART	PART
tylko	тільки	tylko	тільки	PART	PART
tylko	просто	tylko	просто	PART	PART
października	жовтня	październik	жовтень	N;GEN;MASC;SG	N;INAN;GEN;MASC;SG
zobacz	подивитися	zobaczyć	подивитися	V;PFV;IMP;SG;2;FIN;ACT	V;PFV;NFIN
zobacz	переглянути	zobaczyć	переглянути	V;PFV;IMP;SG;2;FIN;ACT	V;PFV;NFIN
zobacz	переглянути	zobaczyć	переглянути	V;PFV;IMP;SG;2;FIN;ACT	V;PFV;NFIN
sierpnia	серпня	sierpień	серпень	N;GEN;MASC;SG	N;INAN;GEN;MASC;SG
było	був	być	бути	V;IPFV;NEUT;IND;SG;PST;FIN;ACT	V;IPFV;MASC;IND;SG;PST;FIN
było	була	być	бути	V;IPFV;NEUT;IND;SG;PST;FIN;ACT	V;IPFV;FEM;IND;SG;PST;FIN
było	було	być	бути	V;IPFV;NEUT;IND;SG;PST;FIN;ACT	V;IPFV;NEUT;IND;SG;PST;FIN
rok	рік	rok	рік	N;NOM;MASC;SG	N;INAN;NOM;MASC;SG
wieś	село	wieś	село	N;NOM;FEM;SG	N;INAN;NOM;NEUT;SG
listopada	листопада	listopada	листопад	N;GEN;MASC;SG	N;INAN;GEN;MASC;SG
czerwca	червня	czerwiec	червень	N;GEN;MASC;SG	N;INAN;GEN;MASC;SG
później	згодом	późno	згодом	ADV;CMPR	ADV
później	пізніше	późno	пізніше	ADV;CMPR	ADV;CMPR
przed	перед	przed	перед	ADP	ADP;INS
pierwszy	перша	pierwszy	перший	ADJ;NOM;MASC;SG	ADJ;NOM;FEM;SG
pierwszy	перший	pierwszy	перший	ADJ;NOM;MASC;SG	ADJ;NOM;MASC;SG
która	яка	który	який	DET;NOM;FEM;SG	DET;NOM;FEM;SG
znajduje	знаходить	znajdować	знаходити	V;IPFV;IND;SG;3;PRS;FIN;ACT	V;IPFV;IND;SG;3;PRS;FIN
miasto	містечко	miasto	містечко	N;NOM;NEUT;SG	N;INAN;NOM;NEUT;SG
miasto	місто	miasto	місто	N;NOM;NEUT;SG	N;INAN;NOM;NEUT;SG
miasto	місто	miasto	місто	N;NOM;NEUT;SG	N;INAN;NOM;NEUT;SG
lata	роки	rok	рік	N;NOM;MASC;PL	N;INAN;NOM;MASC;PL
nazwa	назва	nazwa	назва	N;NOM;FEM;SG	N;INAN;NOM;FEM;SG
obecnie	зараз	obecnie	зараз	ADV	ADV
obecnie	наразі	obecnie	наразі	ADV	ADV
dwa	двох	dwa	два	NUM;ACC;MASC;PL	NUM;ACC
liczba	число	liczba	число	N;NOM;FEM;SG	N;INAN;NOM;NEUT;SG
liczba	кількість	liczba	кількість	N;NOM;FEM;SG	N;INAN;NOM;FEM;SG
liczba	номер	liczba	номер	N;NOM;FEM;SG	N;INAN;NOM;MASC;SG
część	частина	część	частина	N;NOM;FEM;SG	N;INAN;NOM;FEM;SG
mieszkańców	мешканців	mieszkaniec	мешканець	N;ACC;MASC;PL	N;ANIM;ACC;MASC;PL
bardzo	дуже	bardzo	дуже	ADV	ADV
bez	без	bez	без	ADP	ADP;GEN
między	між	między	між	ADP	ADP;INS
skład	будова	skład	будова	N;NOM;MASC;SG	N;INAN;NOM;FEM;SG
skład	композиція	skład	композиція	N;NOM;MASC;SG	N;INAN;NOM;FEM;SG
strona	сторінка	strona	сторінка	N;NOM;FEM;SG	N;INAN;NOM;FEM;SG
strona	сайт	strona	сайт	N;NOM;FEM;SG	N;INAN;NOM;MASC;SG
udział	поширити	udział	поширити	V;PFV;MASC;IND;SG;PST;FIN;ACT	V;PFV;NFIN
udział	поділитися	udział	поділитися	V;PFV;MASC;IND;SG;PST;FIN;ACT	V;PFV;NFIN
udział	поділитись	udział	поділитися	V;PFV;MASC;IND;SG;PST;FIN;ACT	V;PFV;NFIN
zespół	гурт	zespół	гурт	N;NOM;MASC;SG	N;INAN;NOM;MASC;SG
zespół	команда	zespół	команда	N;NOM;MASC;SG	N;INAN;NOM;FEM;SG
kościół	церква	kościół	церква	N;NOM;MASC;SG	N;INAN;NOM;FEM;SG
kościół	костел	kościół	костел	N;NOM;MASC;SG	N;INAN;NOM;MASC;SG
tam	туди	tam	туди	ADV	ADV
tam	там	tam	там	ADV	ADV
miał	мав	mieć	мати	V;IPFV;MASC;IND;SG;PST;FIN;ACT	V;IPFV;MASC;IND;SG;PST;FIN
tych	тих	ten	той	DET;GEN;MASC;PL	DET;GEN;PL
dwóch	двох	dwa	два	NUM;ACC;MASC;PL	NUM;ACC
grupy	групу	grupa	група	N;ACC;FEM;SG	N;INAN;ACC;FEM;SG
wynik	рахунок	wynik	рахунок	N;NOM;MASC;SG	N;INAN;NOM;MASC;SG
wynik	результат	wynik	результат	N;NOM;MASC;SG	N;INAN;NOM;MASC;SG
wynik	оцінка	wynik	оцінка	N;NOM;MASC;SG	N;INAN;NOM;FEM;SG
wynik	результат	wynik	результат	N;NOM;MASC;SG	N;INAN;NOM;MASC;SG
wśród	серед	wśród	серед	ADP	ADP;GEN
wśród	серед	wśród	серед	ADP	ADP;GEN
lista	перелік	list	перелік	N;NOM;FEM;SG	N;INAN;NOM;MASC;SG
lista	список	list	список	N;NOM;FEM;SG	N;INAN;NOM;MASC;SG
album	альбом	album	альбом	N;NOM;MASC;SG	N;INAN;NOM;MASC;SG
zdobył	набрав	zdobyć	набрати	V;PFV;MASC;IND;SG;PST;FIN;ACT	V;PFV;MASC;IND;SG;PST;FIN
zdobył	набрала	zdobyć	набрати	V;PFV;MASC;IND;SG;PST;FIN;ACT	V;PFV;FEM;IND;SG;PST;FIN
rodziny	родини	rodzina	родина	N;NOM;FEM;PL	N;INAN;NOM;FEM;PL
amerykański	американський	amerykański	американський	ADJ;NOM;MASC;SG	ADJ;NOM;MASC;SG
amerykański	американська	amerykański	американський	ADJ;NOM;MASC;SG	ADJ;NOM;FEM;SG
medal	медаль	medal	медаль	N;ACC;MASC;SG	N;INAN;ACC;FEM;SG
wielu	багатьох	wiele	багато	DET;ACC;MASC;PL	DET;ACC
czas	тайм	czas	тайм	N;NOM;MASC;SG	N;INAN;NOM;MASC;SG
czas	час	czas	час	N;NOM;MASC;SG	N;INAN;NOM;MASC;SG
pierwsze	перша	pierwszy	перший	ADJ;NOM;NEUT;SG	ADJ;NOM;FEM;SG
pierwsze	перший	pierwszy	перший	ADJ;NOM;NEUT;SG	ADJ;NOM;MASC;SG
wiele	багатьох	wiele	багато	DET;ACC;MASC;PL	DET;ACC
źródło	джерело	źródło	джерело	N;NOM;NEUT;SG	N;INAN;NOM;NEUT;SG
strony	сторінки	strona	сторінка	N;NOM;FEM;PL	N;INAN;NOM;FEM;PL
strony	сторінки	strona	сторінка	N;NOM;FEM;PL	N;INAN;NOM;FEM;PL
nawet	навіть	nawet	навіть	PART	PART
piłkarz	футболіст	piłkarz	футболіст	N;NOM;MASC;SG	N;ANIM;NOM;MASC;SG
gęstość	щільність	gęstość	щільність	N;NOM;FEM;SG	N;INAN;NOM;FEM;SG
dnia	дня	dzień	день	N;GEN;MASC;SG	N;INAN;GEN;MASC;SG
kariera	кар	kariera	кар.	N;NOM;FEM;SG	N;INAN;NOM;FEM;SG
wszystkie	усі	wszystek	увесь	DET;NOM;MASC;PL	DET;NOM;PL
wszystkie	всі	wszystek	весь	DET;NOM;MASC;PL	DET;NOM;PL
miejsca	місця	miejsce	місце	N;NOM;NEUT;PL	N;INAN;NOM;NEUT;PL
miejsca	місцини	miejsce	місцина	N;NOM;NEUT;PL	N;INAN;NOM;FEM;PL
miejsca	адреси	miejsce	адреса	N;NOM;NEUT;PL	N;INAN;NOM;FEM;PL
miejsca	місця	miejsce	місце	N;NOM;NEUT;PL	N;INAN;NOM;NEUT;PL
profil	профіль	profil	профіль	N;NOM;MASC;SG	N;INAN;NOM;MASC;SG
regionie	ділянку	region	ділянка	N;ACC;MASC;SG	N;INAN;ACC;FEM;SG
często	часто	często	часто	ADV	ADV
często	часто	często	часто	ADV	ADV
będzie	буде	być	бути	V;IPFV;IND;SG;3;FUT;FIN	V;IPFV;IND;SG;3;FUT;FIN
dwie	двох	dwa	два	NUM;ACC;FEM;PL	NUM;ACC
jednostka	юніт	jednostka	юніт	N;NOM;FEM;SG	N;INAN;NOM;MASC;SG
jednostka	одиниця	jednostka	одиниця	N;NOM;FEM;SG	N;INAN;NOM;FEM;SG
jednostka	сутність	jednostka	сутність	N;NOM;FEM;SG	N;INAN;NOM;FEM;SG
nowy	нове	nowy	новий	ADJ;NOM;MASC;SG	ADJ;NOM;NEUT;SG
nowy	нова	nowy	новий	ADJ;NOM;MASC;SG	ADJ;NOM;FEM;SG
nowy	новий	nowy	новий	ADJ;NOM;MASC;SG	ADJ;NOM;MASC;SG
miała	мав	mieć	мати	V;IPFV;FEM;IND;SG;PST;FIN;ACT	V;IPFV;MASC;IND;SG;PST;FIN
osoby	особи	osoba	особа	N;NOM;FEM;PL	N;ANIM;NOM;FEM;PL
osoby	особи	osoba	особа	N;NOM;FEM;PL	N;ANIM;NOM;FEM;PL
osoby	люди	osoba	людина	N;NOM;FEM;PL	N;ANIM;NOM;FEM;PL
artykuł	стаття	artykuł	стаття	N;NOM;MASC;SG	N;INAN;NOM;FEM;SG
grupa	група	grupa	група	N;NOM;FEM;SG	N;INAN;NOM;FEM;SG
grupa	спільнота	grupa	спільнота	N;NOM;FEM;SG	N;INAN;NOM;FEM;SG
linii	рядка	linia	рядок	N;GEN;FEM;SG	N;INAN;GEN;MASC;SG
wojska	поповнення	wojsko	поповнення	N;NOM;NEUT;SG	N;INAN;NOM;NEUT;SG
wojska	армія	wojsko	армія	N;NOM;NEUT;SG	N;INAN;NOM;FEM;SG
wojska	військо	wojsko	військо	N;NOM;NEUT;SG	N;INAN;NOM;NEUT;SG
polityk	політик	polityk	політик	N;NOM;MASC;SG	N;ANIM;NOM;MASC;SG
razem	разом	razem	разом	ADV	ADV
ponownie	знов	ponownie	знов	ADV	ADV
ponownie	знову	ponownie	знову	ADV	ADV
trener	тренажер	trener	тренажер	N;NOM;MASC;SG	N;INAN;NOM;MASC;SG
trener	тренер	trener	тренер	N;NOM;MASC;SG	N;ANIM;NOM;MASC;SG
koniec	кінець	koniec	кінець	N;NOM;MASC;SG	N;INAN;NOM;MASC;SG
koniec	закінчення	koniec	закінчення	N;NOM;MASC;SG	N;INAN;NOM;NEUT;SG
bardziej	більше	bardzo	більше	ADV;CMPR	ADV;CMPR
klub	клуб	klub	клуб	N;NOM;MASC;SG	N;INAN;NOM;MASC;SG
gatunek	жанр	gatunek	жанр	N;NOM;MASC;SG	N;INAN;NOM;MASC;SG
gatunek	вид	gatunek	вид	N;NOM;MASC;SG	N;INAN;NOM;MASC;SG
wcześniej	раніше	wcześnie	раніше	ADV;CMPR	ADV;CMPR
