les	de	le	de	DET;DEF;PL	DET;DEF
une	een	un	een	DET;INDF;FEM;SG	DET;INDF
catégorie	categorie	catégorie	categorie	N;FEM;SG	N;MASC+FEM;SG
pour	voor	pour	voor	ADP	ADP
avec	met	avec	met	ADP	ADP
plus	plus	plus	plus	ADV	ADV
pas	niet	pas	niet	ADV;NEG	ADV
sont	zijn	être	zijn	V;IND;PL;3;PRS;FIN	V;PL;PRS;FIN
elle	ze	elle	ze	PRO;FEM;SG;3	PRO;3
elle	zij	elle	zij	PRO;FEM;SG;3	PRO;NOM;3
avancement	progress	avancement	progress	N;MASC;SG	N;MASC+FEM;SG
avancement	vooruitgang	avancement	vooruitgang	N;MASC;SG	N;MASC+FEM;SG
avancement	voortgang	avancement	voortgang	N;MASC;SG	N;MASC+FEM;SG
mais	maar	mais	maar	CONJ	CONJ
pop	pops	pop	pops	N;FEM;SG	N;MASC+FEM;SG
pop	paps	pop	paps	N;FEM;SG	N;MASC+FEM;SG
pop	pop	pop	pop	N;FEM;SG	N;MASC+FEM;SG
deux	twee	deux	twee	NUM	NUM
naissance	born	naissance	born	N;FEM;SG	N;MASC+FEM;SG
naissance	geboorte	naissance	geboorte	N;FEM;SG	N;MASC+FEM;SG
aussi	ook	aussi	ook	ADV	ADV
après	na	après	na	ADP	ADP
fait	gemaakt	faire	maken	V;MASC;SG;PST;V.PTCP	V;V.PTCP
fait	gedaan	faire	doen	V;MASC;SG;PST;V.PTCP	V;V.PTCP
notes	aantekeningen	note	aantekening	N;FEM;PL	N;PL
notes	notities	note	notitie	N;FEM;PL	N;PL
notes	noten	note	noten	N;FEM;PL	N;PL
entre	tussen	entre	tussen	ADP	ADP
sous	onder	sous	onder	ADP	ADP
même	zelfs	même	zelfs	ADV	ADV
nom	familienaam	nom	familienaam	N;MASC;SG	N;MASC+FEM;SG
nom	achternaam	nom	achternaam	N;MASC;SG	N;MASC+FEM;SG
nom	naam	nom	naam	N;MASC;SG	N;MASC+FEM;SG
français	franse	français	frans	ADJ;MASC;SG	ADJ
lui	hem	lui	hem	PRO;SG;3	PRO;ACC;3
lieu	plaats	lieu	plaats	N;MASC;SG	N;MASC+FEM;SG
lieu	lokatie	lieu	lokatie	N;MASC;SG	N;MASC+FEM;SG
lieu	locatie	lieu	locatie	N;MASC;SG	N;MASC+FEM;SG
lieu	ligging	lieu	ligging	N;MASC;SG	N;MASC+FEM;SG
cet	dit	ce	dit	PRO;SG;3	PRO;3
cet	deze	ce	deze	PRO;SG;3	PRO
décès	sterfte	décès	sterfte	N;MASC;SG	N;MASC+FEM;SG
références	verwijzingen	référence	verwijzing	N;FEM;PL	N;PL
références	referenties	référence	referentie	N;FEM;PL	N;PL
commune	commune	commune	commune	N;FEM;SG	N;MASC+FEM;SG
ville	stad	ville	stad	N;FEM;SG	N;MASC+FEM;SG
ville	stad	ville	stad	N;FEM;SG	N;MASC+FEM;SG
leur	hun	lui	hun	PRO;PL;3	PRO;ACC;3
date	datum	date	datum	N;FEM;SG	N;MASC+FEM;SG
cest	cest	cest	cest		
peut	kan	pouvoir	kunnen	V;IND;SG;3;PRS;FIN	V;SG;PRS;FIN
depuis	sinds	depuis	sinds	ADP	ADP
depuis	sedert	depuis	sedert	ADP	ADP
depuis	van	depuis	van	ADP	ADP
depuis	uit	depuis	uit	ADP	ADP
depuis	vanaf	depuis	vanaf	ADP	ADP
première	eerste	premier	één	ADJ;FEM;SG	ADJ
ans	jaren	an	jaar	N;MASC;PL	N;PL
alors	dan	alors	dan	ADV	ADV
alors	daarna	alors	daarna	ADV	ADV
externes	extern	externe	extern	ADJ;MASC;PL	ADJ
externes	uitwendig	externe	uitwendig	ADJ;MASC;PL	ADJ
externes	externe	externe	extern	ADJ;MASC;PL	ADJ
site	website	site	website	N;MASC;SG	N;MASC+FEM;SG
site	site	site	site	N;MASC;SG	N;MASC+FEM;SG
premier	eerste	premier	één	ADJ;MASC;SG	ADJ
ces	deze	ce	deze	PRO;PL;3	PRO
fut	was	être	zijn	V;IND;SG;3;PST;FIN	V;SG;PST;FIN
http	http	http	ht	N;MASC;SG	N;MASC+FEM;SG
film	filmpje	film	filmp	N;MASC;SG	N;NEUT;SG
film	film	film	film	N;MASC;SG	N;MASC+FEM;SG
film	film	film	film	N;MASC;SG	N;MASC+FEM;SG
voir	zien	voir	zien	V;NFIN	V;NFIN
voir	zie	voir	zien	V;NFIN	V;SG;PRS;FIN
