फौरन	فوراً	फौरन	فوراً	ADV	ADV
दमा	دمہ	दमा	دمہ	N;NOM;MASC;SG;3	N;NOM;MASC;SG;3
शहादत	شہادت	शहादत	شہادت	N;NOM;FEM;SG;3	N;NOM;MASC;SG;3
विदाई	رخصت	विदाई	رخصت	N;NOM;FEM;SG;3	N;NOM;FEM;SG;3
रबड़	رفالہ.	रबड़	رفالہ.		
पार्ट	بخرہ	पार्ट	بخرہ		
विषैला	موذی	विषैला	موذی	N;NOM;MASC;SG;3	N;NOM;MASC;SG;3
स्टिक	into	स्टिक	into		
स्टिक	باقی	स्टिक	باقی		
परामर्शदाता	مشیر	परामर्शदाता	مشیر	N;NOM;MASC;SG;3	N;NOM;MASC;SG;3
नौटंकी	تمثیل	नौटंकी	تمثیل	N;NOM;FEM;SG;3	N;NOM;MASC;SG;3
क्लस्टर	جھنڈ	कलस्टर	جھنڈ	N;NOM;MASC;SG;3	N;NOM;MASC;SG;3
क्लस्टर	یکجا	कलस्टर	یکجا	N;NOM;MASC;SG;3	N;NOM;MASC;SG;3
क्लस्टर	جھنڈ	कलस्टर	جھنڈ	N;NOM;MASC;SG;3	N;NOM;MASC;SG;3
क्लस्टर	یکجا	कलस्टर	یکجا	N;NOM;MASC;SG;3	N;NOM;MASC;SG;3
बदलें	بدلنا	बदल	بدل	V;SBJV;SG;FIN;ACT	V;MASC;SG;NFIN;ACT
पंछी	چڑیا	पंछा	چڑ	N;NOM;MASC;SG;3	N;NOM;FEM;SG;3
पंछी	پرندہ	पंछा	پرندہ	N;NOM;MASC;SG;3	N;NOM;MASC;SG;3
पंछी	چڑیا	पंछा	چڑ	N;NOM;MASC;SG;3	N;NOM;FEM;SG;3
तत्वावधान	پناہ	तत्वावधान	پناہ	N;NOM;MASC;SG;3	N;NOM;MASC;SG;3
पैच	ریزہ	पैच	ریزہ	N;NOM;MASC;SG;3	N;NOM;MASC;SG;3
सैलून	وضعدار	सैलून	وضعدار	N;NOM;MASC;SG;3	N
स्नेहक	چکنائی	स्नेहक	چکنائی	N;NOM;MASC;SG;3	N;NOM;FEM;SG;3
स्नेहक	روغن	स्नेहक	روغن	N;NOM;MASC;SG;3	N;NOM;MASC;SG;3
पिक	مضراب	पिक	مضراب		
पिक	چنیدہ	पिक	چنیدہ		
आफिस	مہربانی	आफिस	مہربانی	N;NOM;MASC;SG;3	N;NOM;MASC;SG;3
आफिस	عہدہ	आफिस	عہدہ	N;NOM;MASC;SG;3	N;NOM;MASC;SG;3
आफिस	مہربانی	आफिस	مہربانی	N;NOM;MASC;SG;3	N;NOM;MASC;SG;3
आफिस	دفتر	आफिस	دفتر	N;NOM;MASC;SG;3	N;NOM;MASC;SG;3
आफिस	عہدہ	आफिस	عہدہ	N;NOM;MASC;SG;3	N;NOM;MASC;SG;3
फार्मेसी	دواخانہ	फार्मेसी	دواخانہ	N;NOM;FEM;SG;3	N;NOM;MASC;SG;3
लिहाज़	(	लिहाज़	(		
लिहाज़	for	लिहाज़	for		
अंकल	چچا	अंकल	چچا	N;NOM;MASC;SG;3	N;NOM;MASC;SG;3
सर्किल	مدّت	सर्किल	مدّت	N;NOM;MASC;SG;3	N;NOM;MASC;SG;3
सर्किल	عرصہ	सर्किल	عرصہ	N;NOM;MASC;SG;3	N;NOM;MASC;SG;3
सर्किल	مدّت	सर्किल	مدّت	N;NOM;MASC;SG;3	N;NOM;MASC;SG;3
सर्किल	حلقہ	सर्किल	حلقہ	N;NOM;MASC;SG;3	N;NOM;MASC;SG;3
सर्किल	عرصہ	सर्किल	عرصہ	N;NOM;MASC;SG;3	N;NOM;MASC;SG;3
लंबित	متوقع	लंबित	متوقع	ADJ	ADJ
शर्म	غیرت	शर्म	غیرت	N;NOM;FEM;SG;3	N;NOM;MASC;SG;3
शर्म	شرم	शर्म	شرم	N;NOM;FEM;SG;3	N;NOM;MASC;SG;3
शर्म	غیرت	शर्म	غیرت	N;NOM;FEM;SG;3	N;NOM;MASC;SG;3
प्रिंसिपल	سربراہ	प्रिंसिपल	سربراہ	N;NOM;MASC;SG;3	N;NOM;MASC;SG;3
प्रिंसिपल	سرمایہ	प्रिंसिपल	سرمایہ	N;NOM;MASC;SG;3	N;NOM;MASC;SG;3
प्रिंसिपल	سربراہ	प्रिंसिपल	سربراہ	N;NOM;MASC;SG;3	N;NOM;MASC;SG;3
प्रिंसिपल	سرمایہ	प्रिंसिपल	سرمایہ	N;NOM;MASC;SG;3	N;NOM;MASC;SG;3
खाँसी	کھانسی	खाँसी	کھانسی	N;NOM;MASC;SG;3	N;NOM;FEM;SG;3
अभिवादन	اطاعت	अभिवादन	اطاعت	N;NOM;MASC;SG;3	N;NOM;FEM;SG;3
अभिवादन	تکریم	अभिवादन	تکریم	N;NOM;MASC;SG;3	N;NOM;MASC;SG;3
अभिवादन	بندگی	अभिवादन	بندگی	N;NOM;MASC;SG;3	N;NOM;MASC;SG;3
अभिवादन	تسلیم	अभिवादन	تسلیم	N;NOM;MASC;SG;3	N;NOM;MASC;SG;3
तैर	تیرنا	तैर	تیرنا	V;ACT	V;SG;ACT
पराकाष्ठा	منتہا	पराकाष्ठा	منتہا	N;NOM;FEM;SG;3	N;NOM;MASC;SG;3
पराकाष्ठा	عروج	पराकाष्ठा	عروج	N;NOM;FEM;SG;3	N;NOM;MASC;SG;3
टाइल	کنکریٹ	टाइल	کنکریٹ	N;NOM;MASC;SG;3	N;NOM;MASC;SG;3
धुंध	فضا	धुंध	فضا	N;NOM;FEM;SG;3	N;NOM;MASC;SG;3
