dari	從	dari	從	ADP	ADP
ini	這	ini	這	DET	DET
tahun	歲	tahun	歲	N;SG	N
tahun	年份	tahun	年份	N;SG	N
tahun	年度	tahun	年度	N;SG	N
tahun	年份	tahun	年份	N;SG	N
tahun	年	tahun	年	N;SG	N
juga	還	juga	還	ADV	ADV
juga	也	juga	也	ADV	ADV
menjadi	成	menjadi	成	V;SG;ACT	V
itu	那	itu	那	DET	DET
bagian	部件	bagian	部件	N;SG	N
spesies	魚種	spesies	魚種	N;SG	N
spesies	物種	spesies	物種	N;SG	N
orang	人	orang	人	N;SG	N
orang	人民	orang	人民	N;SG	N
mereka	她們	mereka	她	PRO;PL;3	PRO;PL;3
mereka	他們	mereka	他	PRO;PL;3	PRO;PL;3
mereka	它們	mereka	它	PRO;PL;3	PRO;PL;3
satu	一	satu	一	NUM	NUM
satu	一	satu	一	NUM	NUM
kota	城鎮	kota	城鎮	N;SG	N
kota	鎮	kota	鎮	N;SG	N
kota	城市	kota	城市	N;SG	N
kota	市	kota	市	N;SG	N
kota	城	kota	城	N;SG	N
kota	城市	kota	城市	N;SG	N
seperti	像	seperti	像	ADP	ADP
desa	鄉村	desa	鄉村	N;SG	N
desa	村	desa	村	N;SG	N
desa	村	desa	村	N;SG	N
desa	鄉村	desa	鄉村	N;SG	N
desa	村	desa	村	N;SG	N
desa	村落	desa	村落	N;SG	N
desa	村子	desa	村子	N;SG	N
lebih	更	lebih	更	ADV	ADV
nama	名字	nama	名字	N;SG	N
nama	名稱	nama	名稱	N;SG	N
nama	姓名	nama	姓名	N;SG	N
nama	人名	nama	人名	N;SG	N
nama	名稱	nama	名稱	N;SG	N
nama	姓名	nama	姓名	N;SG	N
kayu	木	kayu	木	N;SG	N
kayu	木材	kayu	木材	N;SG	N
kayu	木頭	kayu	木頭	N;SG	N
kayu	木材	kayu	木材	N;SG	N
kayu	木材	kayu	木材	N;SG	N
pertama	第一	pertama	第一	NUM	NUM
bahasa	語言	bahasa	語言	N;SG	N
bahasa	語文	bahasa	語文	N;SG	N
bahasa	語言	bahasa	語言	N;SG	N
bahasa	語	bahasa	語	N;SG	N
bahasa	語文	bahasa	語文	N;SG	N
besar	偉大	besar	偉大	ADJ;SG	ADJ
film	影片	film	影片	N;SG	N
film	電影	film	電影	N;SG	N
film	影片	film	影片	N;SG	N
film	電影	film	電影	N;SG	N
film	膠片	film	膠片	N;SG	N
film	影片	film	影片	N;SG	N
film	電影	film	電影	N;SG	N
kelas	類別	kelas	類別	N;SG	N
kelas	班級	kelas	班級	N;SG	N
kelas	階級	kelas	階級	N;SG	N
kelas	類	kelas	類	N;SG	N
kelas	類別	kelas	類別	N;SG	N
kelas	課堂	kelas	課堂	N;SG	N
kelas	班級	kelas	班級	N;SG	N
kecamatan	區	kecamatan	區	N;SG	N
kecamatan	地區	kecamatan	地區	N;SG	N
salah	錯誤	salah	錯誤	N;SG	N
salah	虛假	salah	虛假	N;SG	N
salah	假	salah	假	N;SG	N
negara	國家	negara	國家	N;SG	N
negara	國家	negara	國家	N;SG	N
negara	國家	negara	國家	N;SG	N
negara	州	negara	州	N;SG	N
negara	國家	negara	國家	N;SG	N
negara	各國	negara	各國	N;SG	N
biasanya	通常	biasanya	通常	ADV	ADV
biasanya	通常	biasanya	通常	ADV	ADV
kemudian	然後	kemudian	然後	ADV	ADV
kemudian	那麼	kemudian	那麼	ADV	ADV
kabupaten	郡	kabupaten	郡	N;SG	N
kabupaten	縣	kabupaten	縣	N;SG	N
kabupaten	各州	kabupaten	各州	N;SG	N
kabupaten	各縣	kabupaten	各縣	N;SG	N
kabupaten	區	kabupaten	區	N;SG	N
kabupaten	地區	kabupaten	地區	N;SG	N
kumbang	甲蟲	kumbang	甲蟲	N	N
lalat	飛	lalat	飛	N;SG	N
lalat	蒼蠅	lalat	蒼蠅	N;SG	N
lalat	飛翔	lalat	飛翔	N;SG	N
lalat	蒼蠅	lalat	蒼蠅	N;SG	N
genus	屬	genus	屬	N	N
isi	內容	isi	內容	N;SG	N
daftar	名單	daftar	名單	N;SG	N
daftar	清單	daftar	清單	N;SG	N
baru	新	baru	新	ADJ;SG	ADJ
barat	西邊	barat	西邊	N;SG	N
barat	西	barat	西	N;SG	N
barat	西部	barat	西部	N;SG	N
barat	西部	barat	西部	N;SG	N
wilayah	面積	wilayah	面積	N;SG	N
wilayah	地區	wilayah	地區	N;SG	N
wilayah	區域	wilayah	區域	N;SG	N
wilayah	區	wilayah	區	N;SG	N
wilayah	區域	wilayah	區域	N;SG	N
wilayah	區域	wilayah	區域	N;SG	N
wilayah	領土	wilayah	領土	N;SG	N
wilayah	領地	wilayah	領地	N;SG	N
wilayah	領土	wilayah	領土	N;SG	N
tanggal	日期	tanggal	日期	N;SG;ACT	N
tanggal	約會	tanggal	約會	N;SG;ACT	N
tanggal	日期	tanggal	日期	N;SG;ACT	N
dunia	世界	dunia	世界	N;SG	N
timur	東	timur	東	N;SG	N
timur	東部	timur	東部	N;SG	N
timur	東方	timur	東方	N;SG	N
timur	東區	timur	東區	N;SG	N
timur	東方	timur	東方	N;SG	N
timur	東部	timur	東部	N;SG	N
tempat	地方	tempat	地方	N;SG	N
tempat	地點	tempat	地點	N;SG	N
tempat	地方	tempat	地方	N;SG	N
tempat	地點	tempat	地點	N;SG	N
dua	兩	dua	兩	NUM	NUM
dua	兩	dua	兩	NUM	NUM
dua	二	dua	二	NUM	NUM
selatan	南部	selatan	南部	N;SG	N
selatan	南	selatan	南	N;SG	N
selatan	南部	selatan	南部	N;SG	N
anak	兒子	anak	兒子	N;SG	N
anak	兒童	anak	兒童	N;SG	N
anak	兒童	anak	兒童	N;SG	N
anak	孩子	anak	孩子	N;SG	N
species	魚種	species	魚種	N	N
species	物種	species	物種	N	N
hidup	生命	hidup	生命	N;SG	N
hidup	人生	hidup	人生	N;SG	N
lagu	歌曲	lagu	歌曲	N;SG	N
lagu	首歌	lagu	首歌	N;SG	N
lagu	歌	lagu	歌	N;SG	N
lagu	歌曲	lagu	歌曲	N;SG	N
lagu	歌	lagu	歌	N;SG	N
daerah	區域	daerah	區域	N;SG	N
daerah	區	daerah	區	N;SG	N
daerah	地區	daerah	地區	N;SG	N
daerah	面積	daerah	面積	N;SG	N
daerah	地區	daerah	地區	N;SG	N
daerah	區域	daerah	區域	N;SG	N
daerah	區	daerah	區	N;SG	N
daerah	區域	daerah	區域	N;SG	N
daerah	郡	daerah	郡	N;SG	N
daerah	縣	daerah	縣	N;SG	N
sekolah	學校	sekolah	學校	N;SG	N
sekolah	學校	sekolah	學校	N;SG	N
hanya	只	hanya	只	ADV	ADV
hanya	只	hanya	只	ADV	ADV
air	水	air	水	N;SG	N
air	水域	air	水域	N;SG	N
air	空中	air	空中	N;SG	N
air	航空	air	航空	N;SG	N
air	空氣	air	空氣	N;SG	N
terletak	位	terletak	位	V;SG;PASS	V
hari	白天	hari	白天	N;SG	N
hari	日子	hari	日子	N;SG	N
hari	天數	hari	天數	N;SG	N
hingga	直到	hingga	直到	ADP	ADP
sampai	直到	sampai	直到	ADP	ADP
digunakan	使用	digunakan	使用	V;SG;PASS	V
kali	時光	kali	時光	N;SG	N
kali	時間	kali	時間	N;SG	N
kali	時代	kali	時代	N;SG	N
kali	時報	kali	時報	N;SG	N
sangat	非常	sangat	非常	ADV	ADV
album	相簿	album	相簿	N;SG	N
album	專輯	album	專輯	N;SG	N
album	相簿	album	相簿	N;SG	N
album	專輯	album	專輯	N;SG	N
hal	事情	hal	事情	N;SG	N
anggota	會員	anggota	會員	N;SG	N
anggota	成員	anggota	成員	N;SG	N
anggota	成員	anggota	成員	N;SG	N
kedua	第二	kedua	第二	NUM	NUM
menggunakan	使用	mengunakan	使用	V;SG;ACT	V
menggunakan	利用	mengunakan	利用	V;SG;ACT	V
menggunakan	使用	mengunakan	使用	V;SG;ACT	V
berasal	源	berasal	源	V;SG;ACT	V
kembali	返回	kembali	返回	V;SG;ACT	V
kembali	回歸	kembali	回歸	V;SG;ACT	V
sudah	已經	sudah	已經	ADV;SG;ACT	ADV
masih	仍然	masih	仍然	ADV	ADV
masih	依然	masih	依然	ADV	ADV
lihat	見	lihat	見	V;SG;ACT	V
lihat	檢視	lihat	檢視	V;SG;ACT	V
lihat	瀏覽	lihat	瀏覽	V;SG;ACT	V
tinggi	較高	tinggi	較高	ADJ;SG	ADJ
tinggi	更高	tinggi	更高	ADJ;SG	ADJ
waktu	時光	waktu	時光	N;SG	N
waktu	時間	waktu	時間	N;SG	N
jenis	善良	jenis	善良	N;SG	N
jenis	型態	jenis	型態	N;SG	N
jenis	類型	jenis	類型	N;SG	N
jenis	類型	jenis	類型	N;SG	N
bulan	月球	bulan	月球	N;SG	N
bulan	月亮	bulan	月亮	N;SG	N
bulan	月	bulan	月	N;SG	N
bulan	月	bulan	月	N;SG	N
bulan	月份	bulan	月份	N;SG	N
bulan	月	bulan	月	N;SG	N
bulan	個	bulan	個	N;SG	N
bulan	月份	bulan	月份	N;SG	N
departemen	部門	departemen	部門	N;SG	N
situs	網站	situs	網站	N;SG	N
situs	工地	situs	工地	N;SG	N
laba	盈利	laba	盈利	N;SG	N
laba	營利	laba	營利	N;SG	N
laba	臘八	laba	臘八	N;SG	N
laba	蜘蛛	laba	蜘蛛	N;SG	N
membuat	創建	menbuat	創建	V;SG;ACT	V
membuat	創建	menbuat	創建	V;SG;ACT	V
database	資料	database	資料	N	N
database	資料	database	資料	N	N
sekitar	關於	sekitar	關於	ADP	ADP
udara	空中	udara	空中	N;SG	N
udara	空中	udara	空中	N;SG	N
udara	航空	udara	航空	N;SG	N
udara	空氣	udara	空氣	N;SG	N
melalui	通過	melalui	通過	ADP	ADP
melalui	經	melalui	經	ADP	ADP
melalui	透過	melalui	透過	ADP	ADP
melalui	通過	melalui	通過	ADP	ADP
perang	戰	perang	戰	N;SG	N
perang	戰爭	perang	戰爭	N;SG	N
perang	戰爭	perang	戰爭	N;SG	N
tentang	關於	tentang	關於	ADP;SG;ACT	ADP
pulau	海島	pulau	海島	N;SG	N
pulau	島嶼	pulau	島嶼	N;SG	N
pulau	群島	pulau	群島	N;SG	N
pulau	島嶼	pulau	島嶼	N;SG	N
rumah	家	rumah	家	N;SG	N
rumah	住家	rumah	住家	N;SG	N
rumah	房屋	rumah	房屋	N;SG	N
rumah	房子	rumah	房子	N;SG	N
rumah	屋	rumah	屋	N;SG	N
rumah	房屋	rumah	房屋	N;SG	N
rumah	房子	rumah	房子	N;SG	N
pendidikan	教育	pendidikan	教育	N;SG	N
pendidikan	教育	pendidikan	教育	N;SG	N
pendidikan	學歷	pendidikan	學歷	N;SG	N
laut	海事	laut	海事	N;SG	N
laut	大海	laut	大海	N;SG	N
laut	海上	laut	海上	N;SG	N
laut	海	laut	海	N;SG	N
laut	大洋	laut	大洋	N;SG	N
laut	洋	laut	洋	N;SG	N
laut	海洋	laut	海洋	N;SG	N
laut	海	laut	海	N;SG	N
tim	團隊	tim	團隊	N;SG	N
tim	球隊	tim	球隊	N;SG	N
tim	隊伍	tim	隊伍	N;SG	N
tim	團隊	tim	團隊	N;SG	N
tim	球隊	tim	球隊	N;SG	N
tim	隊伍	tim	隊伍	N;SG	N
sistem	系統	sistem	系統	N;SG	N
sistem	系統	sistem	系統	N;SG	N
komune	公社	komune	公社	N	N
komune	公社	komune	公社	N	N
komune	市鎮	komune	市鎮	N	N
termasuk	包括	termasuk	包括	V	V
termasuk	包括	termasuk	包括	V	V
termasuk	包括	termasuk	包括	V	V
termasuk	包容	termasuk	包容	V	V
termasuk	包括	termasuk	包括	V	V
semua	全部	semua	全部	DET	DET
semua	所有	semua	所有	DET	DET
larva	幼蟲	larva	幼蟲	N	N
larva	幼蟲	larva	幼蟲	N	N
batang	酒吧	batang	酒吧	N;SG	N
batang	莖	batang	莖	N;SG	N
matahari	太陽	matahari	太陽	N;SG	N
matahari	陽光	matahari	陽光	N;SG	N
presiden	總統	presiden	總統	N;SG	N
presiden	主席	presiden	主席	N;SG	N
masyarakat	社會	masyarakat	社會	N;SG	N
masyarakat	社會	masyarakat	社會	N;SG	N
pernah	從來	pernah	從來	ADV	ADV
tiga	三	tiga	三	NUM	NUM
tiga	三	tiga	三	NUM	NUM
jalan	公路	jalan	公路	N;SG;ACT	N
jalan	道路	jalan	道路	N;SG;ACT	N
jalan	路	jalan	路	N;SG;ACT	N
musik	音樂	musik	音樂	N;SG	N
musik	音樂	musik	音樂	N;SG	N
musik	音樂	musik	音樂	N;SG	N
planet	行星	planet	行星	N;SG	N
planet	星球	planet	星球	N;SG	N
planet	行星	planet	行星	N;SG	N
kerusakan	損傷	kerusakan	損傷	N;SG	N
kerusakan	損壞	kerusakan	損壞	N;SG	N
kerusakan	損害	kerusakan	損害	N;SG	N
kerusakan	損壞	kerusakan	損壞	N;SG	N
kerusakan	損害	kerusakan	損害	N;SG	N
diakses	存取	diakses	存取	V;SG;PASS	V
kecil	小	kecil	小	ADJ;SG	ADJ
kecil	微小	kecil	微小	ADJ;SG	ADJ
menteri	秘書	menteri	秘書	N;SG	N
menteri	大臣	menteri	大臣	N;SG	N
menteri	部長	menteri	部長	N;SG	N
lagi	再次	lagi	再次	ADV	ADV
lagi	更	lagi	更	ADV	ADV
jumlah	金額	jumlah	金額	N;SG	N
jumlah	款額	jumlah	款額	N;SG	N
jumlah	數額	jumlah	數額	N;SG	N
jumlah	總和	jumlah	總和	N;SG	N
jumlah	金額	jumlah	金額	N;SG	N
jumlah	款額	jumlah	款額	N;SG	N
jumlah	數額	jumlah	數額	N;SG	N
jumlah	數量	jumlah	數量	N;SG	N
jumlah	量	jumlah	量	N;SG	N
kata	詞	kata	詞	N;SG	N
kata	單詞	kata	單詞	N;SG	N
kata	字	kata	字	N;SG	N
kata	單字	kata	單字	N;SG	N
kata	詞語	kata	詞語	N;SG	N
kata	字	kata	字	N;SG	N
kata	詞	kata	詞	N;SG	N
penduduk	居民	penduduk	居民	N;SG	N
penduduk	人口	penduduk	人口	N;SG	N
bawah	下方	bawah	下方	N;SG	N
bawah	底	bawah	底	N;SG	N
bawah	底部	bawah	底部	N;SG	N
bawah	底下	bawah	底下	N;SG	N
data	資料	data	資料	N;SG	N
artikel	文章	artikel	文章	N;SG	N
tanduk	鹿角	tanduk	鹿角	N	N
tanduk	牛角	tanduk	牛角	N	N
tanduk	牛角	tanduk	牛角	N	N
tanduk	喇叭	tanduk	喇叭	N	N
tanduk	號角	tanduk	號角	N	N
karya	傑作	karya	傑作	N;SG	N
karya	工程	karya	工程	N;SG	N
karya	作品	karya	作品	N;SG	N
tanah	陸地	tanah	陸地	N;SG	N
tanah	土地	tanah	土地	N;SG	N
tanah	泥土	tanah	泥土	N;SG	N
tanah	土壤	tanah	土壤	N;SG	N
tanah	土	tanah	土	N;SG	N
tanah	土壤	tanah	土壤	N;SG	N
tanah	土地	tanah	土地	N;SG	N
tanah	地面	tanah	地面	N;SG	N
jpg	jpg	jpg	jpg	N	N
abad	世紀	abad	世紀	N;SG	N
perusahaan	公司	perusahaan	公司	N;SG	N
perusahaan	雇主	perusahaan	雇主	N;SG	N
perusahaan	公司	perusahaan	公司	N;SG	N
perusahaan	僱主	perusahaan	僱主	N;SG	N
perusahaan	雇主	perusahaan	雇主	N;SG	N
style	樣式	style	樣式	N	N
style	風格	style	風格	N	N
paling	大多	paling	大多	ADV	ADV
paling	大	paling	大	ADV	ADV
musim	季	musim	季	N;SG	N
musim	季節	musim	季節	N;SG	N
musim	季	musim	季	N;SG	N
musim	季節	musim	季節	N;SG	N
bola	球體	bola	球體	N;SG	N
bola	球	bola	球	N;SG	N
bola	丸子	bola	丸子	N;SG	N
pemerintah	政府	penperintah	政府	N;SG	N
pemerintah	政府	penperintah	政府	N;SG	N
setiap	每個	setiap	每個	DET	DET
setiap	每	setiap	每	DET	DET
setiap	任何	setiap	任何	DET	DET
setiap	每個	setiap	每個	DET	DET
muda	年輕	muda	年輕	ADJ;SG	ADJ
bidang	田間	bidang	田間	N;SG	N
bidang	田地	bidang	田地	N;SG	N
bidang	欄位	bidang	欄位	N;SG	N
bidang	田野	bidang	田野	N;SG	N
bidang	欄位	bidang	欄位	N;SG	N
kepala	頭	kepala	頭	N;SG	N
kepala	頭部	kepala	頭部	N;SG	N
kepala	首席	kepala	首席	N;SG	N
kepala	科長	kepala	科長	N;SG	N
pusat	中心	pusat	中心	N;SG	N
pusat	中央	pusat	中央	N;SG	N
pusat	中心	pusat	中心	N;SG	N
pusat	中心	pusat	中心	N;SG	N
international	國際	international	國際	N	N
sumber	來源	sumber	來源	N;SG	N
sumber	來源	sumber	來源	N;SG	N
manusia	人類	manusia	人類	N;SG	N
manusia	人類	manusia	人類	N;SG	N
manusia	人	manusia	人	N;SG	N
manusia	男人	manusia	男人	N;SG	N
sejarah	歷史	sejarah	歷史	N;SG	N
gereja	教會	gereja	教會	N;SG	N
gereja	教堂	gereja	教堂	N;SG	N
gereja	教會	gereja	教會	N;SG	N
gereja	教堂	gereja	教堂	N;SG	N
pemain	球員	penmain	球員	N;SG	N
pemain	玩家	penmain	玩家	N;SG	N
pemain	球員	penmain	球員	N;SG	N
pemain	玩家	penmain	玩家	N;SG	N
program	方案	program	方案	N;SG	N
program	程式	program	程式	N;SG	N
program	方案	program	方案	N;SG	N
program	方案	program	方案	N;SG	N
program	程式	program	程式	N;SG	N
pesawat	飛機	pesawat	飛機	N;SG	N
pesawat	平面	pesawat	平面	N;SG	N
pesawat	飛機	pesawat	飛機	N;SG	N
pesawat	飛機	pesawat	飛機	N;SG	N
umumnya	一般	umumnya	一般	ADV	ADV
stasiun	站	stasiun	站	N;SG	N
stasiun	車站	stasiun	車站	N;SG	N
akhirnya	終於	akhirnya	終於	ADV	ADV
nebula	星雲	nebula	星雲	N	N
sebagian	局部	sebagian	局部	N;SG	N
sebagian	部分	sebagian	部分	N;SG	N
sebagian	局部	sebagian	局部	N;SG	N
sebagian	部分	sebagian	部分	N;SG	N
lahir	生	lahir	生	V;SG;ACT	V
lahir	誕生	lahir	誕生	V;SG;ACT	V
lahir	出生	lahir	出生	V;SG;ACT	V
lahir	出生	lahir	出生	V;SG;ACT	V
bumi	大地	bumi	大地	N;SG	N
dilakukan	完成	dilakukan	完成	V;SG;PASS	V
bentuk	形狀	bentuk	形狀	N;SG	N
bentuk	表格	bentuk	表格	N;SG	N
bentuk	形狀	bentuk	形狀	N;SG	N
bentuk	形式	bentuk	形式	N;SG	N
bentuk	表格	bentuk	表格	N;SG	N
akhir	終	akhir	終	N;SG	N
akhir	結尾	akhir	結尾	N;SG	N
hasil	成果	hasil	成果	N;SG	N
hasil	結果	hasil	結果	N;SG	N
hasil	當量	hasil	當量	N;SG	N
hasil	產量	hasil	產量	N;SG	N
hasil	結果	hasil	結果	N;SG	N
versi	版	versi	版	N;SG	N
versi	版本	versi	版本	N;SG	N
versi	版本	versi	版本	N;SG	N
pemerintahan	政府	penperintahan	政府	N;SG	N
pemerintahan	施政	penperintahan	施政	N;SG	N
pemerintahan	治理	penperintahan	治理	N;SG	N
pemerintahan	政府	penperintahan	政府	N;SG	N
republik	共和	republik	共和	N	N
republik	共和	republik	共和	N	N
republik	共和	republik	共和	N	N
sering	常常	sering	常常	ADV	ADV
sering	經常	sering	經常	ADV	ADV
sering	時常	sering	時常	ADV	ADV
sering	常常	sering	常常	ADV	ADV
sering	經常	sering	經常	ADV	ADV
sering	經常	sering	經常	ADV	ADV
group	群組	group	群組	N	N
group	群	group	群	N	N
buku	圖書	buku	圖書	N;SG	N
buku	書	buku	書	N;SG	N
buku	書籍	buku	書籍	N;SG	N
buku	圖書	buku	圖書	N;SG	N
buku	書	buku	書	N;SG	N
buku	書籍	buku	書籍	N;SG	N
suku	部族	suku	部族	N;SG	N
suku	部落	suku	部落	N;SG	N
suku	部落	suku	部落	N;SG	N
suku	部族	suku	部族	N;SG	N
suku	部落	suku	部落	N;SG	N
partai	黨	partai	黨	N;SG	N
partai	政黨	partai	政黨	N;SG	N
partai	宴會	partai	宴會	N;SG	N
partai	聚會	partai	聚會	N;SG	N
keluarga	家庭	keluarga	家庭	N;SG	N
keluarga	家人	keluarga	家人	N;SG	N
keluarga	家屬	keluarga	家屬	N;SG	N
keluarga	家庭	keluarga	家庭	N;SG	N
ilmu	科學	ilmu	科學	N;SG	N
berubah	改變	berrubah	改變	V;SG;ACT	V
berubah	改變	berrubah	改變	V;SG;ACT	V
berubah	變更	berrubah	變更	V;SG;ACT	V
berubah	變	berrubah	變	V;SG;ACT	V
luas	廣義	luas	廣義	N;SG	N
luas	面積	luas	面積	N;SG	N
luas	地區	luas	地區	N;SG	N
luas	區域	luas	區域	N;SG	N
luas	區	luas	區	N;SG	N
acara	事件	acara	事件	N;SG	N
acara	活動	acara	活動	N;SG	N
acara	事件	acara	事件	N;SG	N
acara	活動	acara	活動	N;SG	N
asal	原產	asal	原產	N;SG	N
asal	起源	asal	起源	N;SG	N
asal	起源	asal	起源	N;SG	N
kapal	船隻	kapal	船隻	N;SG	N
kapal	船	kapal	船	N;SG	N
kapal	船隻	kapal	船隻	N;SG	N
kapal	艦	kapal	艦	N;SG	N
kapal	船舶	kapal	船舶	N;SG	N
kapal	船隻	kapal	船隻	N;SG	N
kapal	船舶	kapal	船舶	N;SG	N
kapal	船	kapal	船	N;SG	N
kapal	船隻	kapal	船隻	N;SG	N
kapal	艇	kapal	艇	N;SG	N
bermain	玩	bermain	玩	V;SG;ACT	V
bermain	播放	bermain	播放	V;SG;ACT	V
bermain	播放	bermain	播放	V;SG;ACT	V
bermain	玩	bermain	玩	V;SG;ACT	V
bermain	播放	bermain	播放	V;SG;ACT	V
kelompok	群組	kelompok	群組	N;SG	N
kelompok	群	kelompok	群	N;SG	N
kelompok	群組	kelompok	群組	N;SG	N
kelompok	團體	kelompok	團體	N;SG	N
kelompok	集群	kelompok	集群	N;SG	N
agama	宗教	agama	宗教	N;SG	N
agama	宗教	agama	宗教	N;SG	N
agama	宗教	agama	宗教	N;SG	N
agama	宗教	agama	宗教	N;SG	N
anda	你	anda	你	PRO;SG;2;FORM	PRO;2
lama	舊	lama	舊	ADJ;SG	ADJ
batu	石	batu	石	N;SG	N
batu	石頭	batu	石頭	N;SG	N
batu	岩	batu	岩	N;SG	N
batu	岩石	batu	岩石	N;SG	N
batu	石頭	batu	石頭	N;SG	N
batu	搖滾	batu	搖滾	N;SG	N
jiwa	靈魂	jiwa	靈魂	N;SG	N
saja	只	saja	只	ADV	ADV
halaman	頁	halaman	頁	N;SG	N
hukum	法律	hukum	法律	N;SG;ACT	N
orbit	軌道	orbit	軌道	N	N
orbit	軌道	orbit	軌道	N	N
orbit	軌道	orbit	軌道	N	N
diterbitkan	出版	diterbitkan	出版	V;SG;PASS	V
diterbitkan	發表	diterbitkan	發表	V;SG;PASS	V
pasukan	部隊	pasukan	部隊	N;SG	N
pasukan	班長	pasukan	班長	N;SG	N
pasukan	小隊	pasukan	小隊	N;SG	N
dirilis	獲釋	dirilis	獲釋	V;SG;PASS	V
tokoh	數字	tokoh	數字	N;SG	N
tokoh	字元	tokoh	字元	N;SG	N
tokoh	人物	tokoh	人物	N;SG	N
tokoh	角色	tokoh	角色	N;SG	N
tokoh	性格	tokoh	性格	N;SG	N
tokoh	品格	tokoh	品格	N;SG	N
tokoh	圖	tokoh	圖	N;SG	N
penghargaan	獎勵	penhargaan	獎勵	N;SG	N
penghargaan	獎	penhargaan	獎	N;SG	N
penghargaan	獎	penhargaan	獎	N;SG	N
klub	幫會	klub	幫會	N;SG	N
klub	俱樂部	klub	俱樂部	N;SG	N
klub	俱樂部	klub	俱樂部	N;SG	N
terkenal	著名	terkenal	著名	ADJ;SG;PASS	ADJ
ketua	前輩	ketua	前輩	N;SG	N
ketua	長輩	ketua	長輩	N;SG	N
ketua	長老	ketua	長老	N;SG	N
ketua	首席	ketua	首席	N;SG	N
ketua	科長	ketua	科長	N;SG	N
ketua	主席	ketua	主席	N;SG	N
ketua	椅	ketua	椅	N;SG	N
ketua	椅子	ketua	椅子	N;SG	N
gunung	山	gunung	山	N;SG	N
gunung	山區	gunung	山區	N;SG	N
gunung	山地	gunung	山地	N;SG	N
gunung	山	gunung	山	N;SG	N
gunung	山	gunung	山	N;SG	N
gunung	山脈	gunung	山脈	N;SG	N
gunung	山區	gunung	山區	N;SG	N
terbaik	最好	terbaik	最好	ADJ;RL;SG	ADJ
bintang	星星	bintang	星星	N;SG	N
bintang	恆星	bintang	恆星	N;SG	N
bintang	星	bintang	星	N;SG	N
bintang	明星	bintang	明星	N;SG	N
bintang	星星	bintang	星星	N;SG	N
bintang	明星	bintang	明星	N;SG	N
bintang	星空	bintang	星空	N;SG	N
bintang	星	bintang	星	N;SG	N
bintang	恆星	bintang	恆星	N;SG	N
jalur	路徑	jalur	路徑	N;SG	N
politik	政治	politik	政治	N;SG	N
politik	政治	politik	政治	N;SG	N
politik	政治	politik	政治	N;SG	N
ibu	母后	ibu	母后	N;SG	N
ibu	母親	ibu	母親	N;SG	N
tingkat	速率	tingkat	速率	N;SG	N
tingkat	率	tingkat	率	N;SG	N
tingkat	利率	tingkat	利率	N;SG	N
tingkat	關卡	tingkat	關卡	N;SG	N
tingkat	層次	tingkat	層次	N;SG	N
tingkat	級別	tingkat	級別	N;SG	N
tingkat	等級	tingkat	等級	N;SG	N
tingkat	關卡	tingkat	關卡	N;SG	N
kereta	戰車	kereta	戰車	N;SG	N
kereta	火車	kereta	火車	N;SG	N
kereta	列車	kereta	列車	N;SG	N
ruang	房間	ruang	房間	N;SG	N
ruang	房	ruang	房	N;SG	N
ruang	太空	ruang	太空	N;SG	N
ruang	空間	ruang	空間	N;SG	N
tinggal	留	tinggal	留	V;SG;ACT	V
tinggal	留下	tinggal	留下	V;SG;ACT	V
tinggal	留下	tinggal	留下	V;SG;ACT	V
empat	四	empat	四	NUM	NUM
empat	四	empat	四	NUM	NUM
empat	四	empat	四	NUM	NUM
ekonomi	經濟	ekonomi	經濟	N;SG	N
ekonomi	經濟	ekonomi	經濟	N;SG	N
ekonomi	經濟	ekonomi	經濟	N;SG	N
ekonomi	經濟	ekonomi	經濟	N;SG	N
organisasi	組織	organisasi	組織	N;SG	N
organisasi	組織	organisasi	組織	N;SG	N
bahan	元素	bahan	元素	N;SG	N
bahan	成分	bahan	成分	N;SG	N
bahan	原料	bahan	原料	N;SG	N
bahan	成份	bahan	成份	N;SG	N
bahan	物料	bahan	物料	N;SG	N
bahan	材質	bahan	材質	N;SG	N
bahan	材料	bahan	材料	N;SG	N
bahan	物料	bahan	物料	N;SG	N
bahan	材料	bahan	材料	N;SG	N
bahan	成分	bahan	成分	N;SG	N
bahan	成份	bahan	成份	N;SG	N
api	消防	api	消防	N;SG	N
api	火	api	火	N;SG	N
api	火災	api	火災	N;SG	N
video	視訊	video	視訊	N;SG	N
video	影片	video	影片	N;SG	N
angkatan	武力	angkatan	武力	N;SG	N
angkatan	階級	angkatan	階級	N;SG	N
angkatan	類	angkatan	類	N;SG	N
angkatan	類別	angkatan	類別	N;SG	N
angkatan	課堂	angkatan	課堂	N;SG	N
angkatan	班級	angkatan	班級	N;SG	N
berkas	文件	berkas	文件	N;SG	N
berkas	檔案	berkas	檔案	N;SG	N
berkas	文件	berkas	文件	N;SG	N
berkas	檔案	berkas	檔案	N;SG	N
putra	兒子	putra	兒子	N;SG	N
langsung	直接	langsung	直接	ADV	ADV
