daha	دیگر	daha	دیگر	ADV	ADV
sonra	پس	sonra	پس	ADV	ADV
sonra	بعدها	sonra	بعد	ADV	ADV
sonra	بعداً	sonra	بعداً	ADV	ADV
yer	محل	yer	محل	N;NOM;SG;3	N;SG
yer	مکانی	yer	مکان	N;NOM;SG;3	N;SG
yer	مکان	yer	مکان	N;NOM;SG;3	N;SG
yer	جای	yer	جا	N;NOM;SG;3	N;SG
yer	جایی	yer	جا	N;NOM;SG;3	N;SG
yer	محل	yer	محل	N;NOM;SG;3	N;SG
yer	مکان	yer	مکان	N;NOM;SG;3	N;SG
gibi	like	gibi	like		
bağlantılar	اتصالات	bağlantı	اتصال	N;NOM;PL;3	N;PL
bağlantılar	ارتباطات	bağlantı	ارتباط	N;NOM;PL;3	N;PL
bağlantılar	پیوندها	bağlantı	پیوند	N;NOM;PL;3	N;PL
bağlantılar	پیوندهای	bağlantı	پیوند	N;NOM;PL;3	N;PL
bağlantılar	مخاطبین	bağlantı	مخاطب	N;NOM;PL;3	N;PL
center	سنتر	center	سنتر	N;NOM;SG;3	N;SG
center	مرکزش	center	مرکزش	N;NOM;SG;3	N;SG
center	مرکز	center	مرکز	N;NOM;SG;3	N;SG
yeni	نو	yeni	نو	ADJ	ADJ
yeni	جدید	yeni	جدید	ADJ	ADJ
her	هر	her	هر	DET	DET
iyi	good	iyi	good		
iyi	خوبش	iyi	خوبش		
ilgili	مربوط	ilgili	مربوط	ADJ	ADJ
ilgili	مربوطه	ilgili	مربوطه	ADJ	ADJ
ilgili	علاقمند	ilgili	علاقمند	ADJ	ADJ
ilgili	مربوط	ilgili	مربوط	ADJ	ADJ
madde	مطلب	madde	مطلب	N;NOM;SG;3	N;SG
madde	مقالۀ	madde	مقالۀ	N;NOM;SG;3	N;SG
madde	مقاله	madde	مقاله	N;NOM;SG;3	N;SG
sağlık	طبی	sağlık	طبی	N;NOM;SG;3	N;SG
sağlık	medical	sağlık	medical	N;NOM;SG;3	N;SG
sağlık	پزشکی	sağlık	پزشکی	N;NOM;SG;3	N;SG
sağlık	سلامت	sağlık	سلامت	N;NOM;SG;3	N;SG
sağlık	بهداشت	sağlık	بهداشت	N;NOM;SG;3	N;SG
sağlık	health	sağlık	health	N;NOM;SG;3	N;SG
sağlık	سلامتی	sağlık	سلامتی	N;NOM;SG;3	N;SG
genel	عمومی	genel	عمومی	ADJ	ADJ
genel	عمومی	genel	عمومی	ADJ	ADJ
adı	نام	ad	نام	N;NOM;SG;3	N;SG
film	فیلمش	film	فیلمش		
film	film	film	film		
haziran	june	haziran	june		
mayıs	می	mayıs	می		
ama	ولی	ama	ولی	CONJ	CONJ
ama	اما	ama	اما	CONJ	CONJ
toplam	کلا	toplam	None		
ikinci	دوم	ikinci	دوم	ADJ	ADJ
ikinci	دومی	ikinci	None	ADJ	ADJ
üniversitesi	دانشگاه	üniversitesi	دانشگاه	N;NOM;SG;3	N;SG
üniversitesi	qom	üniversitesi	qom	N;NOM;SG;3	N;SG
zaman	زمان	zaman	زمان	N;NOM;SG;3	N;SG
zaman	تایم	zaman	تایم	N;NOM;SG;3	N;SG
aralık	دسامبر	aralık	دسامبر	N;NOM;SG;3	N;SG
aralık	dec	aralık	dec	N;NOM;SG;3	N;SG
aralık	دکلان	aralık	دکل	N;NOM;SG;3	N;SG
aralık	فاصله	aralık	فاصله	N;NOM;SG;3	N;SG
yüksek	بلند	yüksek	بلند	ADJ	ADJ
yüksek	بالاتری	yüksek	بالا	ADJ	ADJ;CMPR
yüksek	بالاتر	yüksek	بالا	ADJ	ADJ;CMPR
sadece	تنها	sadece	تنها	ADV	ADV
sadece	فقط	sadece	فقط	ADV	ADV
şekilde	راه	şekil	راه	N;ESS;SG;3	N;SG
bilgi	دانش	bilgi	دانش	N;NOM;SG;3	N;SG
bilgi	آگاهی	bilgi	آگاهی	N;NOM;SG;3	N;SG
bilgi	علم	bilgi	علم	N;NOM;SG;3	N;SG
bilgi	معرفت	bilgi	معرفت	N;NOM;SG;3	N;SG
kez	تایمز	kez	تایمز	N;NOM;SG;3	N;SG
latns	latns	latns	latns		
longew	longew	longew	longew		
latd	latd	lat	latd		
longd	longd	longd	longd		
longm	longm	long	longm		
latm	latm	latm	latm		
devlet	حالت	devlet	حالت	N;NOM;SG;3	N;SG
devlet	استیت	devlet	استیت	N;NOM;SG;3	N;SG
devlet	دولت	devlet	دولت	N;NOM;SG;3	N;SG
devlet	وضعیت	devlet	وضعیت	N;NOM;SG;3	N;SG
devlet	ایالت	devlet	ایالت	N;NOM;SG;3	N;SG
devlet	دولتی	devlet	دولتی	N;NOM;SG;3	N;SG
devlet	حکومت	devlet	حکومت	N;NOM;SG;3	N;SG
devlet	دولت	devlet	دولت	N;NOM;SG;3	N;SG
üç	سه	üç	سه	NUM	NUM
küçük	کوچک	küçük	کوچک	ADJ	ADJ
küçük	اندکی	küçük	اندکی	ADJ	ADJ
küçük	کوچک	küçük	کوچک	ADJ	ADJ
küçük	کم	küçük	کم	ADJ	ADJ
kabul	موافقت	kabul	موافقت	N;NOM;SG;3	N;SG
kabul	موافق	kabul	موافق	N;NOM;SG;3	N;SG
kabul	توافق	kabul	توافق	N;NOM;SG;3	N;SG
kabul	پذیرفتن	kabul	پذیرفتن	N;NOM;SG;3	N;SG
kabul	پذیرش	kabul	پذیرش	N;NOM;SG;3	N;SG
kabul	قبولی	kabul	قبولی	N;NOM;SG;3	N;SG
kabul	accept	kabul	accept	N;NOM;SG;3	N;SG
kabul	پذیرش	kabul	پذیرش	N;NOM;SG;3	N;SG
kabul	موافقت	kabul	موافقت	N;NOM;SG;3	N;SG
kabul	موافق	kabul	موافق	N;NOM;SG;3	N;SG
kabul	موافقم	kabul	مافقمه	N;NOM;SG;3	N;SG
devam	ادامه	devam	ادامه	N;NOM;SG;3	N;SG
kupası	فنجان	kupa	None	N;NOM;SG;3	N;SG
kupası	جامی	kupa	جام	N;NOM;SG;3	N;SG
kupası	کاپ	kupa	کاپ	N;NOM;SG;3	N;SG
kupası	جام	kupa	جام	N;NOM;SG;3	N;SG
okulu	مدرسه	okul	مدرسه	N;NOM;SG;3	N;SG
okulu	مکتب	okul	مکتب	N;NOM;SG;3	N;SG
aldı	گرفته	al	گرفت#گیر	V;PFV;IND;SG;3;POS;PST	V;SG;3;V.PTCP
farklı	متفاوت	farklı	متفاوت	ADJ	ADJ
özel	ویژه	özel	ویژه	ADJ	ADJ
alanı	فیلد	alan	None	N;NOM;SG;3	N;SG
alanı	حوزه	alan	حوزه	N;NOM;SG;3	N;SG
alanı	منطقه	alan	منطقه	N;NOM;SG;3	N;SG
alanı	مساحت	alan	مساحت	N;NOM;SG;3	N;SG
alanı	ناحیه	alan	ناحیه	N;NOM;SG;3	N;SG
uzun	گسترده	uzun	گسترده	ADJ	ADJ
uzun	بلندتری	uzun	بلند	ADJ	ADJ;CMPR
uzun	طولانی	uzun	طولانی	ADJ	ADJ
uzun	دراز	uzun	دراز	ADJ	ADJ
