категория	kategoria	категория	kategoria	N;INAN;NOM;FEM;SG	N;NOM;FEM;SG
для	dla	для	dla	ADP	ADP
был	była	быть	być	V;IPFV;MASC;IND;SG;PST;FIN;ACT	V;IPFV;FEM;IND;SG;PST;FIN;ACT
был	był	быть	być	V;IPFV;MASC;IND;SG;PST;FIN;ACT	V;IPFV;MASC;IND;SG;PST;FIN;ACT
был	było	быть	być	V;IPFV;MASC;IND;SG;PST;FIN;ACT	V;IPFV;NEUT;IND;SG;PST;FIN;ACT
его	go	он	on	PRO;ACC;MASC;SG;3	PRO;ACC;MASC;SG;3
области	tereny	область	teren	N;INAN;NOM;FEM;PL	N;NOM;MASC;PL
области	obszary	область	obszar	N;INAN;NOM;FEM;PL	N;NOM;MASC;PL
области	powierzchnie	область	powierzchnie	N;INAN;NOM;FEM;PL	N;NOM;FEM;PL
год	rok	год	rok	N;INAN;NOM;MASC;SG	N;NOM;MASC;SG
было	była	быть	być	V;IPFV;NEUT;IND;SG;PST;FIN;ACT	V;IPFV;FEM;IND;SG;PST;FIN;ACT
было	był	быть	być	V;IPFV;NEUT;IND;SG;PST;FIN;ACT	V;IPFV;MASC;IND;SG;PST;FIN;ACT
было	było	быть	być	V;IPFV;NEUT;IND;SG;PST;FIN;ACT	V;IPFV;NEUT;IND;SG;PST;FIN;ACT
время	czas	время	czas	N;INAN;NOM;NEUT;SG	N;NOM;MASC;SG
состав	skład	состав	skład	N;INAN;NOM;MASC;SG	N;NOM;MASC;SG
место	miejsce	место	miejsce	N;INAN;NOM;NEUT;SG	N;NOM;NEUT;SG
место	miejsce	место	miejsce	N;INAN;NOM;NEUT;SG	N;NOM;NEUT;SG
место	lokalizacja	место	lokalizacja	N;INAN;NOM;NEUT;SG	N;NOM;FEM;SG
место	położenie	место	położenie	N;INAN;NOM;NEUT;SG	N;PFV;NOM;NEUT;SG;POS;V.MSDR
были	byli	быть	być	V;IPFV;IND;PL;PST;FIN;ACT	V;IPFV;MASC;IND;PL;PST;FIN;ACT
район	sąsiedztwo	район	sąsiedztwo	N;INAN;NOM;MASC;SG	N;NOM;NEUT;SG
район	osiedle	район	osiedle	N;INAN;NOM;MASC;SG	N;NOM;NEUT;SG
район	dzielnica	район	dzielnica	N;INAN;NOM;MASC;SG	N;NOM;FEM;SG
район	okolica	район	okolica	N;INAN;NOM;MASC;SG	N;NOM;FEM;SG
район	okręg	район	okręg	N;INAN;NOM;MASC;SG	N;NOM;MASC;SG
