vir	for	vir	for	ADP	ADP
ook	også	ook	også	ADV	ADV
jaar	aars	jaar	aars	N;SG	N;INDF;MASC+FEM;SG
jaar	året	jaar	år	N;SG	N;DEF;NEUT;SG
jaar	år	jaar	år	N;SG	N;INDF;NEUT;SG
eerste	første	eerste	første	ADJ;NOM	ADJ
maar	men	maar	men	CONJ	CONJ
ander	andre	ander	anden	PRO	PRO;PL
ander	andet	ander	anden	PRO	PRO;NEUT;SG
oor	om	oor	om	ADP	ADP
gebruik	anvend	gebruik	anvende	V;PRS	V;IMP
twee	to	twee	to	NUM	NUM
tussen	mellem	tussen	mellem	ADP	ADP
gemeente	menigheden	gemeent	menighed	N;SG	N;DEF;MASC+FEM;SG
gemeente	menighed	gemeent	menighed	N;SG	N;INDF;MASC+FEM;SG
gemeente	montage	gemeent	montage	N;SG	N;INDF;MASC+FEM;SG
gemeente	samling	gemeent	samling	N;SG	N;INDF;MASC+FEM;SG
gemeente	forsamling	gemeent	forsamling	N;SG	N;INDF;MASC+FEM;SG
gemeente	forsamlingen	gemeent	forsamling	N;SG	N;DEF;MASC+FEM;SG
begin	starter	begin	starte	V;PRS	V;IND;PRS;FIN;ACT
begin	begynd	begin	begynd	V;PRS	V;IMP
haar	hende	haar	hun	PRO;ACC;SG;3	PRO;ACC;MASC+FEM;SG;3
sien	se	sien	se	V;PRS	V;NFIN;ACT
nuwe	ny	nuut	ny	ADJ;NOM	ADJ;INDF;MASC+FEM;SG
nuwe	nyt	nuut	ny	ADJ;NOM	ADJ;INDF;NEUT;SG
nuwe	nye	nuut	ny	ADJ;NOM	ADJ;PL
stad	byen	stad	by	N;SG	N;DEF;MASC+FEM;SG
stad	storby	stad	storby	N;SG	N;INDF;MASC+FEM;SG
stad	by	stad	by	N;SG	N;INDF;MASC+FEM;SG
land	landet	land	land	N;SG	N;DEF;NEUT;SG
land	land	land	land	N;SG	N;INDF;NEUT;SG
later	senere	laat	senere	ADV;CMPR	ADV;CMPR
net	kun	net	kun	ADV	ADV
net	bare	net	bare	ADV	ADV
naam	betegnelse	naam	betegnelse	N;SG	N;INDF;MASC+FEM;SG
naam	navn	naam	navn	N;SG	N;INDF;NEUT;SG
deel	deler	deel	dele	V;PRS	V;IND;PRS;FIN;ACT
drie	tre	drie	tre	NUM	NUM
mense	mennesker	mens	menneske	N;PL	N;INDF;NEUT;PL
mense	personer	mens	person	N;PL	N;INDF;MASC+FEM;PL
mense	folk	mens	folk	N;PL	N;INDF;NEUT;PL
bestaan	eksisterer	bestaan	eksistere	V;PRS	V;IND;PRS;FIN;ACT
bestaan	eksistere	bestaan	eksistere	V;PRS	V;NFIN;ACT
bestaan	findes	bestaan	findes	V;PRS	V;IND;PRS;FIN;ACT
bestaan	eksisterer	bestaan	eksistere	V;PRS	V;IND;PRS;FIN;ACT
bestaan	eksistere	bestaan	eksistere	V;PRS	V;NFIN;ACT
bestaan	findes	bestaan	findes	V;PRS	V;IND;PRS;FIN;ACT
nasionale	nationale	nasionaal	national	ADJ;NOM	ADJ;PL
nasionale	landsdækkende	nasionaal	landsdækkende	ADJ;NOM	ADJ
maak	lav	maak	lav	V;PRS	V;IMP
maak	foretag	maak	foretag	V;PRS	V;IMP
maak	lave	maak	lave	V;PRS	V;NFIN;ACT
saam	sammen	saam	sammen	ADV	ADV
terwyl	mens	terwyl	mens	CONJ	CONJ
veral	specielt	veral	specielt	ADV	ADV
veral	især	veral	især	ADV	ADV
werk	arbejder	werk	arbejde	V;PRS	V;IND;PRS;FIN;ACT
werk	arbejd	werk	arbejd	V;PRS	V;IMP
hier	her	hier	her	ADV	ADV
tyd	tid	tyd	tid	N;SG	N;INDF;MASC+FEM;SG
tyd	tidspunkt	tyd	tidspunkt	N;SG	N;INDF;NEUT;SG
tyd	gang	tyd	gang	N;SG	N;INDF;MASC+FEM;SG
tyd	klokkeslæt	tyd	klokkeslæt	N;SG	N;INDF;NEUT;SG
tyd	tiden	tyd	tid	N;SG	N;DEF;MASC+FEM;SG
vlag	flag	vlag	flag	N;SG	N;INDF;NEUT;SG
verskeie	forskellige	verskeie	forskellig	ADJ;NOM	ADJ;PL
verskeie	diverse	verskeie	diverse	ADJ;NOM	ADJ
vorm	forme	vorm	forme	V;PRS	V;IMP;ACT
staan	står	staan	stå	V;PRS	V;IND;PRS;FIN;ACT
staan	stående	staan	stå	V;PRS	V;PRS;V.PTCP
staan	stå	staan	stå	V;PRS	V;NFIN;ACT
genoem	nævnt	noem	nævnt	V;PST;V.PTCP	V;INDF;SG;PST;V.PTCP
genoem	omtalt	noem	omtale	V;PST;V.PTCP	V;INDF;SG;PST;V.PTCP
genoem	nævnte	noem	nævne	V;PST;V.PTCP	V;DEF;SG;PST;V.PTCP
dan	derefter	dan	derefter	ADV	ADV
dan	så	dan	så	ADV	ADV
bevolking	befolkningen	bevolking	befolkning	N;SG	N;DEF;MASC+FEM;SG
bevolking	indbyggertal	bevolking	indbyggertal	N;SG	N;INDF;NEUT;SG
bevolking	befolkning	bevolking	befolkning	N;SG	N;INDF;MASC+FEM;SG
gemaak	lavet	maak	lave	V;PST;V.PTCP	V;INDF;SG;PST;V.PTCP
gemaak	foretaget	maak	foretage	V;PST;V.PTCP	V;INDF;SG;PST;V.PTCP
amerikaanse	amerikanske	amerikaans	amerikansk	ADJ;NOM	ADJ;PL
amerikaanse	amerikansk	amerikaans	amerikansk	ADJ;NOM	ADJ;INDF;SG
slegs	kun	slegs	kun	ADV	ADV
slegs	bare	slegs	bare	ADV	ADV
lank	længe	lank	længe	ADV	ADV
gestig	grundlagde	stig	grundlægge	V;PST;V.PTCP	V;IND;PST;FIN;ACT
gestig	grundlagt	stig	grundlægge	V;PST;V.PTCP	V;INDF;SG;PST;V.PTCP
reeds	allerede	reeds	allerede	ADV	ADV
nou	nu	nou	nu	ADV	ADV
provinsie	provins	provinsie	provins	N;SG	N;INDF;MASC+FEM;SG
provinsie	provinsen	provinsie	provins	N;SG	N;DEF;MASC+FEM;SG
provinsie	county	provinsie	county	N;SG	N;INDF;MASC+FEM;SG
provinsie	amtet	provinsie	amt	N;SG	N;DEF;NEUT;SG
provinsie	amt	provinsie	amt	N;SG	N;INDF;NEUT;SG
provinsie	amtskommune	provinsie	amtskommun	N;SG	N;INDF;MASC+FEM;SG
provinsie	stat	provinsie	stat	N;SG	N;INDF;MASC+FEM;SG
provinsie	delstat	provinsie	delstat	N;SG	N;INDF;MASC+FEM;SG
provinsie	tilstand	provinsie	tilstand	N;SG	N;INDF;MASC+FEM;SG
universiteit	university	universiteit	university	N;SG	N;INDF;MASC+FEM;SG
universiteit	universitet	universiteit	universitet	N;SG	N;INDF;NEUT;SG
universiteit	universitetet	universiteit	universitet	N;SG	N;DEF;NEUT;SG
beskou	overveje	beskou	overveje	V;PRS	V;NFIN;ACT
lewe	liv	lewe	liv	N;SG	N;INDF;NEUT;SG
lewe	livet	lewe	liv	N;SG	N;DEF;NEUT;SG
lewe	livstid	lewe	livstid	N;SG	N;INDF;MASC+FEM;SG
vier	fejrer	vier	fejre	V;PRS	V;IND;PRS;FIN;ACT
vier	fejre	vier	fejre	V;PRS	V;NFIN;ACT
vier	fejrer	vier	fejre	V;PRS	V;IND;PRS;FIN;ACT
vier	fejre	vier	fejre	V;PRS	V;NFIN;ACT
vier	fejres	vier	fejre	V;PRS	V;IND;PRS;FIN;PASS
franse	fransk	frans	fransk	ADJ;NOM	ADJ;INDF;SG
franse	franske	frans	fransk	ADJ;NOM	ADJ;PL
dood	død	dood	død	N;SG	N;INDF;MASC+FEM;SG
dood	døden	dood	død	N;SG	N;DEF;MASC+FEM;SG
dood	død	dood	død	N;SG	N;INDF;MASC+FEM;SG
amptelike	officiel	amptelik	officiel	ADJ;NOM	ADJ;INDF;MASC+FEM;SG
dieselfde	samme	dieselfde	samme	ADJ;NOM	ADJ
wêreld	verden	wêreld	verden	N;SG	N;INDF;MASC+FEM;SG
aantal	kvantitet	aantal	kvantitet	N;SG	N;INDF;MASC+FEM;SG
aantal	mængde	aantal	mængde	N;SG	N;INDF;MASC+FEM;SG
plaaslike	lokale	plaaslik	lokal	ADJ;NOM	ADJ;PL
plaaslike	lokal	plaaslik	lokal	ADJ;NOM	ADJ;INDF;MASC+FEM;SG
dikwels	tit	dikwels	tit	ADV	ADV
dikwels	ofte	dikwels	ofte	ADV	ADV
internasionale	international	internasionaal	international	ADJ;NOM	ADJ;INDF;MASC+FEM;SG
internasionale	internationalt	internasionaal	international	ADJ;NOM	ADJ;INDF;NEUT;SG
internasionale	internationale	internasionaal	international	ADJ;NOM	ADJ;PL
eie	tilpas	eie	tilpas	ADJ;NOM	ADJ;INDF;SG
eie	egen	eie	egen	ADJ;NOM	ADJ;MASC+FEM;SG
eie	eget	eie	egen	ADJ;NOM	ADJ;NEUT;SG
voëls	fugle	voël	fugl	N;PL	N;INDF;MASC+FEM;PL
steeds	stadig	steeds	stadig	ADV	ADV
steeds	stadigvæk	steeds	stadigvæk	ADV	ADV
groep	gruppe	groep	gruppe	N;SG	N;INDF;MASC+FEM;SG
groep	group	groep	group	N;SG	N;INDF;MASC+FEM;SG
groep	gruppen	groep	gruppe	N;SG	N;DEF;MASC+FEM;SG
stel	sæt	stel	sætte	V;PRS	V;IMP
sluit	afslut	sluit	afslut	V;PRS	V;IMP
sluit	luk	sluit	luk	V;PRS	V;IMP
hoofstad	hovedstaden	hoofstad	hovedstad	N;SG	N;DEF;MASC+FEM;SG
hoofstad	kapitalen	hoofstad	kapital	N;SG	N;DEF;MASC+FEM;SG
hoofstad	hovedstad	hoofstad	hovedstad	N;SG	N;INDF;MASC+FEM;SG
hoofstad	kapital	hoofstad	kapital	N;SG	N;INDF;NEUT;SG
verwys	relatere	verwys	relatere	V;PRS	V;NFIN;ACT
verwys	relaterer	verwys	relater	V;PRS	V;IND;PRS;FIN;ACT
verwys	henviser	verwys	henvise	V;PRS	V;IND;PRS;FIN;ACT
verwys	refererer	verwys	referere	V;PRS	V;IND;PRS;FIN;ACT
verwys	henvise	verwys	henvise	V;PRS	V;NFIN;ACT
verwys	henvis	verwys	henvis	V;PRS	V;IMP
state	stater	staat	stat	N;PL	N;INDF;MASC+FEM;PL
state	staterne	staat	stat	N;PL	N;DEF;MASC+FEM;PL
water	vand	water	vand	N;SG	N;INDF;NEUT;SG
einde	slutning	einde	slutning	N;SG	N;INDF;MASC+FEM;SG
einde	afslutning	einde	afslutning	N;SG	N;INDF;MASC+FEM;SG
einde	slut	einde	slut	N;SG	N
einde	ende	einde	ende	N;SG	N;INDF;MASC+FEM;SG
einde	ophør	einde	ophør	N;SG	N;INDF;NEUT;SG
regering	regering	regering	regering	N;SG	N;INDF;MASC+FEM;SG
regering	regeringen	regering	regering	N;SG	N;DEF;MASC+FEM;SG
elke	hver	elk	hver	PRO	PRO;MASC+FEM;SG
dae	dage	dag	dag	N;PL	N;INDF;MASC+FEM;PL
oorlog	krigen	oorlog	krig	N;SG	N;DEF;MASC+FEM;SG
oorlog	krig	oorlog	krig	N;SG	N;INDF;MASC+FEM;SG
besluit	bestemmer	besluit	bestemme	V;PRS	V;IND;PRS;FIN;ACT
besluit	beslutter	besluit	beslutte	V;PRS	V;IND;PRS;FIN;ACT
besluit	bestem	besluit	bestem	V;PRS	V;IMP
besluit	beslut	besluit	beslut	V;PRS	V;IMP
besluit	beslutte	besluit	beslutte	V;PRS	V;NFIN;ACT
besluit	beslutter	besluit	beslutte	V;PRS	V;IND;PRS;FIN;ACT
geskiedenis	historik	geskiedenis	historik	N;SG	N;INDF;MASC+FEM;SG
geskiedenis	historie	geskiedenis	historie	N;SG	N;INDF;MASC+FEM;SG
vis	fisk	vis	fisk	N;SG	N;INDF;MASC+FEM;SG
vis	fish	vis	fish	N;SG	N;INDF;MASC+FEM;SG
wetenskaplike	videnskabelig	wetenskaplik	videnskabelig	ADJ;NOM	ADJ;INDF;MASC+FEM;SG
ontwikkel	udvikler	ontwikkel	udvikel	V;PRS	V;IND;PRS;FIN;ACT
ontwikkel	udvikle	ontwikkel	udvikle	V;PRS	V;NFIN;ACT
lande	landene	land	land	N;PL	N;DEF;NEUT;PL
lande	lande	land	land	N;PL	N;INDF;NEUT;PL
seun	dreng	seun	dreng	N;SG	N;INDF;MASC+FEM;SG
seun	knægt	seun	knægt	N;SG	N;INDF;MASC+FEM;SG
seun	søn	seun	søn	N;SG	N;INDF;MASC+FEM;SG
algemene	generelt	algemeen	generel	ADV	ADV
verskillende	forskellige	verskil	forskellig	ADJ;NOM	ADJ;PL
verskillende	anderledes	verskil	anderledes	ADJ;NOM	ADJ
verskillende	forskellig	verskil	forskellig	ADJ;NOM	ADJ;INDF;MASC+FEM;SG
belangrike	vigtig	belangrik	vigtig	ADJ;NOM	ADJ;INDF;MASC+FEM;SG
belangrike	vigtigt	belangrik	vigtig	ADJ;NOM	ADJ;INDF;NEUT;SG
belangrike	vigtige	belangrik	vigtig	ADJ;NOM	ADJ;PL
kinders	børn	kind	barn	N;PL	N;INDF;NEUT;PL
kinders	unger	kind	unge	N;PL	N;INDF;MASC+FEM;PL
kinders	børn	kind	barn	N;PL	N;INDF;NEUT;PL
kinders	børns	kind	barn	N;PL	N;GEN;INDF;NEUT;PL
neem	tage	neem	tage	V;PRS	V;NFIN;ACT
neem	tag	neem	tage	V;PRS	V;IMP
vertaal	oversætte	vertaal	oversætte	V;PRS	V;NFIN;ACT
munisipaliteit	bydel	munisipaliteit	bydel	N;SG	N;INDF;MASC+FEM;SG
munisipaliteit	kommune	munisipaliteit	kommune	N;SG	N;INDF;MASC+FEM;SG
munisipaliteit	kommunen	munisipaliteit	kommune	N;SG	N;DEF;MASC+FEM;SG
tans	nu	tans	nu	ADV	ADV
republiek	republik	republiek	republik	N;SG	N;INDF;MASC+FEM;SG
republiek	republikken	republiek	republik	N;SG	N;DEF;MASC+FEM;SG
verder	yderligere	ver	yderligere	ADV;CMPR	ADV;CMPR
verder	videre	ver	videre	ADV;CMPR	ADV
plek	mødested	plek	mødested	N;SG	N;INDF;NEUT;SG
plek	stedet	plek	sted	N;SG	N;DEF;NEUT;SG
plek	sted	plek	sted	N;SG	N;INDF;NEUT;SG
plek	plads	plek	plads	N;SG	N;INDF;MASC+FEM;SG
europese	europæisk	europees	europæisk	ADJ;NOM	ADJ;INDF;SG
europese	europæiske	europees	europæisk	ADJ;NOM	ADJ;PL
tydperk	varighed	tydperk	varighed	N;SG	N;INDF;MASC+FEM;SG
tydperk	løbetid	tydperk	løbetid	N;SG	N;INDF;MASC+FEM;SG
maande	måneder	maand	måned	N;PL	N;INDF;MASC+FEM;PL
skool	skolen	skool	skole	N;SG	N;DEF;MASC+FEM;SG
skool	school	skool	school	N;SG	N;INDF;MASC+FEM;SG
skool	skole	skool	skole	N;SG	N;INDF;MASC+FEM;SG
vroeë	tidlig	vroeg	tidlig	ADJ;NOM	ADJ;INDF;MASC+FEM;SG
familie	familien	familie	familie	N;SG	N;DEF;MASC+FEM;SG
familie	familie	familie	familie	N;SG	N;INDF;MASC+FEM;SG
voorkom	forhindre	voorkom	forhindre	V;PRS	V;NFIN;ACT
voorkom	forebygge	voorkom	forebygge	V;PRS	V;NFIN;ACT
geneem	indtaget	neem	indtage	V;PST;V.PTCP	V;INDF;SG;PST;V.PTCP
geneem	udtaget	neem	udtage	V;PST;V.PTCP	V;INDF;SG;PST;V.PTCP
geneem	taget	neem	tage	V;PST;V.PTCP	V;INDF;SG;PST;V.PTCP
eiland	øen	eiland	ø	N;SG	N;DEF;MASC+FEM;SG
volg	spore	volg	spor	V;PRS	V;NFIN;ACT
volg	følg	volg	følg	V;PRS	V;IMP
volg	følger	volg	følge	V;PRS	V;IND;PRS;FIN;ACT
volg	følger	volg	følge	V;PRS	V;IND;PRS;FIN;ACT
vyf	fem	vyf	fem	NUM	NUM
aarde	jorden	aarde	jord	N;SG	N;DEF;MASC+FEM;SG
aarde	jord	aarde	jord	N;SG	N;INDF;MASC+FEM;SG
aarde	jordens	aarde	jord	N;SG	N;GEN;DEF;MASC+FEM;SG
gee	giv	gee	give	V;PRS	V;IMP
gee	giver	gee	give	V;PRS	V;IND;PRS;FIN;ACT
gee	give	gee	give	V;PRS	V;NFIN;ACT
kry	få	kry	få	V;PRS	V;NFIN;ACT
rol	rolle	rol	rolle	N;SG	N;INDF;MASC+FEM;SG
vrou	kvinden	vrou	kvinde	N;SG	N;DEF;MASC+FEM;SG
vrou	kvinde	vrou	kvinde	N;SG	N;INDF;MASC+FEM;SG
vrou	konen	vrou	kone	N;SG	N;DEF;MASC+FEM;SG
vrou	kone	vrou	kone	N;SG	N;INDF;MASC+FEM;SG
vrou	hustru	vrou	hustru	N;SG	N;INDF;MASC+FEM;SG
gebiede	territorier	gebied	territori	N;PL	N;INDF;MASC+FEM;PL
gebiede	områder	gebied	område	N;PL	N;INDF;NEUT;PL
gebiede	arealer	gebied	areal	N;PL	N;INDF;NEUT;PL
derde	tredje	derde	tredje	ADJ;NOM	ADJ
dag	dag	dag	dag	N;SG	N;INDF;MASC+FEM;SG
dag	dagen	dag	dag	N;SG	N;DEF;MASC+FEM;SG
dag	kampdag	dag	kampdag	N;SG	N;INDF;MASC+FEM;SG
woord	ordet	woord	ord	N;SG	N;DEF;NEUT;SG
woord	word	woord	word	N;SG	N;INDF;MASC+FEM;SG
president	præsidenten	president	præsident	N;SG	N;DEF;MASC+FEM;SG
president	formand	president	formand	N;SG	N;INDF;MASC+FEM;SG
president	præsident	president	præsident	N;SG	N;INDF;MASC+FEM;SG
koninkryk	kongeriget	koninkryk	kongerig	N;SG	N;DEF;NEUT;SG
koninkryk	kongerige	koninkryk	kongerig	N;SG	N;INDF;NEUT;SG
ontvang	modtager	ontvang	modtage	V;PRS	V;IND;PRS;FIN;ACT
ontvang	modtag	ontvang	modtage	V;PRS	V;IMP
ontvang	modtage	ontvang	modtage	V;PRS	V;NFIN;ACT
ontvang	modtages	ontvang	modtage	V;PRS	V;NFIN;PASS
ontvang	modtager	ontvang	modtage	V;PRS	V;IND;PRS;FIN;ACT
amerika	amerika	amerika	amerika	N;SG	N;INDF;MASC+FEM;SG
webwerf	website	webwerf	website	N;SG	N;INDF;NEUT;SG
webwerf	hjemmeside	webwerf	hjemmeside	N;SG	N;INDF;MASC+FEM;SG
webwerf	webside	webwerf	webside	N;SG	N;INDF;MASC+FEM;SG
webwerf	hjemmesiden	webwerf	hjemmeside	N;SG	N;DEF;MASC+FEM;SG
webwerf	websted	webwerf	websted	N;SG	N;INDF;MASC+FEM;SG
staat	stat	staat	stat	N;SG	N;INDF;MASC+FEM;SG
staat	delstat	staat	delstat	N;SG	N;INDF;MASC+FEM;SG
staat	tilstand	staat	tilstand	N;SG	N;INDF;MASC+FEM;SG
staat	ark	staat	ark	N;SG	N;INDF;NEUT;SG
staat	lagen	staat	lag	N;SG	N;DEF;MASC+FEM;SG
vandag	idag	vandag	idag	ADV	ADV
ekonomiese	økonomiske	ekonomies	økonomisk	ADJ;NOM	ADJ;PL
aanvaar	acceptere	aanvaar	acceptere	V;PRS	V;NFIN;ACT
aanvaar	accepterer	aanvaar	acceptere	V;PRS	V;IND;PRS;FIN;ACT
hou	hold	hou	holde	V;PRS	V;IMP
hou	bevar	hou	bevare	V;PRS	V;IMP
geskryf	skrevet	skryf	skrive	V;PST;V.PTCP	V;INDF;SG;PST;V.PTCP
geskryf	brændte	skryf	brænde	V;PST;V.PTCP	V;IND;PST;FIN;ACT
geskryf	forbrændt	skryf	forbrændt	V;PST;V.PTCP	V;INDF;SG;PST;V.PTCP
geskryf	brændt	skryf	brænde	V;PST;V.PTCP	V;INDF;SG;PST;V.PTCP
hele	hele	heel	hel	ADJ;NOM	ADJ;DEF;SG
bevat	indholder	bevat	indholde	V;PRS	V;IND;PRS;FIN;ACT
bevat	indeholder	bevat	indeholde	V;PRS	V;IND;PRS;FIN;ACT
skrywer	forfatter	skrywer	forfatter	N;SG	N;INDF;MASC+FEM;SG
skrywer	skribent	skrywer	skribent	N;SG	N;INDF;MASC+FEM;SG
skrywer	forfatteren	skrywer	forfatter	N;SG	N;DEF;MASC+FEM;SG
skrywer	forfatter	skrywer	forfatter	N;SG	N;INDF;MASC+FEM;SG
skrywer	forslagsstiller	skrywer	forslagsstiller	N;SG	N;INDF;MASC+FEM;SG
skrywer	ophavsmand	skrywer	ophavsmand	N;SG	N;INDF;MASC+FEM;SG
verander	annullere	verander	annullere	V;PRS	V;NFIN;ACT
verander	ændr	verander	ændr	V;PRS	V;IMP
verander	ændr	verander	ændr	V;PRS	V;IMP
russiese	russiske	russies	russisk	ADJ;NOM	ADJ;PL
russiese	russisk	russies	russisk	ADJ;NOM	ADJ;INDF;SG
inwoners	residenter	inwoner	resident	N;PL	N;INDF;MASC+FEM;PL
inwoners	indbyggere	inwoner	indbygger	N;PL	N;INDF;MASC+FEM;PL
inwoners	beboere	inwoner	beboer	N;PL	N;INDF;MASC+FEM;PL
beteken	betyder	beteken	betyde	V;PRS	V;IND;PRS;FIN;ACT
beteken	mener	beteken	mene	V;PRS	V;IND;PRS;FIN;ACT
man	husbond	man	husbond	N;SG	N;INDF;MASC+FEM;SG
man	ægtemand	man	ægtemand	N;SG	N;INDF;MASC+FEM;SG
man	mand	man	mand	N;SG	N;INDF;MASC+FEM;SG
man	mennesket	man	menneske	N;SG	N;DEF;NEUT;SG
man	mand	man	mand	N;SG	N;INDF;MASC+FEM;SG
man	manden	man	mand	N;SG	N;DEF;MASC+FEM;SG
huis	startside	huis	startside	N;SG	N;INDF;MASC+FEM;SG
huis	house	huis	house	N;SG	N;INDF;MASC+FEM;SG
huis	huset	huis	hus	N;SG	N;DEF;NEUT;SG
huis	hus	huis	hus	N;SG	N;INDF;NEUT;SG
besoek	besøge	besoek	besøge	V;PRS	V;NFIN;ACT
administratiewe	administrativ	administratief	administrativ	ADJ;NOM	ADJ;INDF;MASC+FEM;SG
bekende	berømt	bekend	berømt	ADJ;NOM	ADJ;INDF;SG
bekende	berømte	bekend	berømt	ADJ;NOM	ADJ;PL
bekende	kendt	bekend	kendt	ADJ;NOM	ADJ;INDF;SG
gespeel	spillet	speel	spille	V;PST;V.PTCP	V;INDF;SG;PST;V.PTCP
gespeel	afspillet	speel	afspil	V;PST;V.PTCP	V;INDF;SG;PST;V.PTCP
gespeel	spillede	speel	spille	V;PST;V.PTCP	V;IND;PST;FIN;ACT
kerke	kirker	kerk	kirke	N;PL	N;INDF;MASC+FEM;PL
kerke	kirkerne	kerk	kirker	N;PL	N;DEF;MASC+FEM;PL
skryf	skrive	skryf	skrive	V;PRS	V;NFIN;ACT
skryf	skriv	skryf	skrive	V;PRS	V;IMP
skryf	skriver	skryf	skrive	V;PRS	V;IND;PRS;FIN;ACT
skryf	brænd	skryf	brænd	V;PRS	V;IMP
