پنکھ	pinion	پنکھ	pinion	N;NOM;MASC;SG;3	N;INDF;MASC;SG
پنگا	stangace	پنگا	stangac		
پِننا	curata	پِن	curată	V;SG;NFIN;ACT	V;IND;SG;3;IPFV;FIN
پِننا	curata	پِن	curată	V;SG;NFIN;ACT	V;IND;SG;3;IPFV;FIN
پَو	ace	پَو	ac		
پَو	zori	پَو	zori		
پُوچھنا	consulta	پُوچھ	consulta	V;MASC;SG;NFIN;ACT	V;IND;SG;3;IPFV;FIN
پُوچھنا	consulta	پُوچھ	consulta	V;MASC;SG;NFIN;ACT	V;IND;SG;3;IPFV;FIN
پُوچھنا	invita	پُوچھ	invita	V;MASC;SG;NFIN;ACT	V;IND;SG;3;IPFV;FIN
پُوچھنا	invita	پُوچھ	invita	V;MASC;SG;NFIN;ACT	V;IND;SG;3;IPFV;FIN
پُوچھنا	cere	پُوچھ	cere	V;MASC;SG;NFIN;ACT	V;IND;SG;3;PRS;FIN
پوچھنا	curata	پوچھ	curată	V;MASC;SG;NFIN;ACT	V;IND;SG;3;IPFV;FIN
پوچھنا	curata	پوچھ	curată	V;MASC;SG;NFIN;ACT	V;IND;SG;3;IPFV;FIN
پوست	shell	پوست	shell		
پوست	shell	پوست	shell		
پوشیدہ	acoperit	پوشیدہ	acoperi	ADJ	ADJ;INDF;MASC;SG
پوشیدہ	acoperita	پوشیدہ	acoperit	ADJ	ADJ;DEF;FEM;SG
پوشیدہ	acoperite	پوشیدہ	acoperit	ADJ	ADJ;INDF;FEM;PL
پوشیدہ	voalate	پوشیدہ	voala	ADJ	ADJ;INDF;FEM;PL
پوشیدہ	ascuns	پوشیدہ	ascuns	ADJ	ADJ;INDF;MASC;SG
پوشیدہ	ascunse	پوشیدہ	ascuns	ADJ	ADJ;INDF;FEM;PL
پوشیدہ	acoperit	پوشیدہ	acoperi	ADJ	ADJ;INDF;MASC;SG
پوشیدہ	acoperita	پوشیدہ	acoperit	ADJ	ADJ;DEF;FEM;SG
پوشیدہ	acoperite	پوشیدہ	acoperit	ADJ	ADJ;INDF;FEM;PL
پوشیدہ	voalate	پوشیدہ	voala	ADJ	ADJ;INDF;FEM;PL
پوشیدہ	ascuns	پوشیدہ	ascuns	ADJ	ADJ;INDF;MASC;SG
پوشیدہ	ascunse	پوشیدہ	ascuns	ADJ	ADJ;INDF;FEM;PL
پول	secret	پول	secret	N;NOM;MASC;SG;3	N;INDF;MASC;SG
پونچنا	curata	پونچنا	curată	V;SG;NFIN;ACT	V;IND;SG;3;IPFV;FIN
پونچنا	curata	پونچنا	curată	V;SG;NFIN;ACT	V;IND;SG;3;IPFV;FIN
پونچھنا	curata	پونچھنا	curată	V;SG;NFIN;ACT	V;IND;SG;3;IPFV;FIN
پونچھنا	curata	پونچھنا	curată	V;SG;NFIN;ACT	V;IND;SG;3;IPFV;FIN
پہاڑ	mountain	پہاڑ	mountain	N;NOM;MASC;SG;3	N;INDF;MASC;SG
پہاڑ	munte	پہاڑ	munte	N;NOM;MASC;SG;3	N;INDF;MASC;SG
