breekt	σπάει	breken	σπάω	V;SG;PRS;FIN	V;IPFV;IND;SG;3;PRS;FIN;ACT
sluiting	κλείσιμο	sluiting	κλείσιμο	N;MASC+FEM;SG	N;NOM;NEUT;SG
sluiting	πόρπη	sluiting	πόρπη	N;MASC+FEM;SG	N;NOM;FEM;SG
protocol	πρωτόκολλο	protocol	πρωτόκολλο	N;NEUT;SG	N;NOM;NEUT;SG
bieren	μπύρες	bier	μπύρα	N;PL	N;NOM;FEM;PL
bieren	μπύρες	bier	μπύρα	N;PL	N;NOM;FEM;PL
samenvoeging	ομαδοποίηση	samenvoeging	ομαδοποίηση	N;MASC+FEM;SG	N;NOM;FEM;SG
samenvoeging	συνάθροιση	samenvoeging	συνάθροιση	N;MASC+FEM;SG	N;NOM;FEM;SG
samenvoeging	συγχώνευση	samenvoeging	συγχώνευση	N;MASC+FEM;SG	N;NOM;FEM;SG
samenvoeging	συγχώνευση	samenvoeging	συγχώνευση	N;MASC+FEM;SG	N;NOM;FEM;SG
lotto	λόττο	lotto	λόττο	N;MASC+FEM;SG	N;NOM;NEUT;SG
lotto	κλήρωση	lotto	κλήρωση	N;MASC+FEM;SG	N;NOM;FEM;SG
lotto	λοταρία	lotto	λοταρία	N;MASC+FEM;SG	N;NOM;FEM;SG
lotto	λαχείο	lotto	λαχείο	N;MASC+FEM;SG	N;NOM;NEUT;SG
lucien	λουσιέν	lucien	λουσιέν	N;MASC+FEM;SG	N
balans	ισορροπία	balans	ισορροπία	N;MASC+FEM;SG	N;ACC;FEM;SG
balans	ισοζύγιο	balans	ισοζύγιος	N;MASC+FEM;SG	N;NOM;NEUT;SG
veldslag	μαχη	veldslag	μαχη	N;MASC+FEM;SG	N;ACC;FEM;SG
veldslag	μάχη	veldslag	μάχη	N;MASC+FEM;SG	N;ACC;FEM;SG
medewerking	συνεργασια	medewerking	συνεργασία	N;MASC+FEM;SG	N;ACC;FEM;SG
medewerking	συνεργασία	medewerking	συνεργασία	N;MASC+FEM;SG	N;ACC;FEM;SG
scherp	αιχμηρό	scherp	αιχμηρός	ADJ	ADJ;NOM;NEUT;SG
mantel	μανδύα	mantel	μανδύα	N;MASC+FEM;SG	N;ACC;MASC;SG
mantel	μανδύα	mantel	μανδύα	N;MASC+FEM;SG	N;ACC;MASC;SG
pak	κοστούμι	pak	κοστούμι	N;NEUT;SG	N;NOM;NEUT;SG
pak	κουστούμι	pak	κουστώ	N;NEUT;SG	N;NOM;NEUT;SG
verbouwing	ανακαίνιση	verbouwing	ανακαίνιση	N;MASC+FEM;SG	N;NOM;FEM;SG
helden	ήρωες	helden	ήρωο	N;PL	N;NOM;MASC;PL
helden	ηρώων	helden	ηρώ	N;PL	N;GEN;MASC;PL
bakstenen	τούβλα	baksteen	τούβλα	N;PL	N;NOM;NEUT;PL
kanalen	κανάλια	kanaal	κανάλιος	N;PL	N;NOM;NEUT;PL
kanalen	κανάλια	kanaal	κανάλιος	N;PL	N;NOM;NEUT;PL
vorstendom	πριγκιπάτο	vorstendom	πριγκιπάτο	N;NEUT;SG	N;NOM;NEUT;SG
ongewenst	ανεπιθύμητη	ongewenst	ανεπιθύμητος	ADJ	ADJ;NOM;FEM;SG
ongewenst	ανεπιθύμητο	ongewenst	ανεπίθυμητος	ADJ	ADJ;NOM;NEUT;SG
ongewenst	ανεπιθύμητα	ongewenst	ανεπίθυμη	ADJ	ADJ;NOM;NEUT;PL
citaat	απόσπασμα	citaat	απόσπασμα	N;NEUT;SG	N;NOM;NEUT;SG
citaat	παράθεση	citaat	παράθεση	N;NEUT;SG	N;NOM;FEM;SG
citaat	παράθεση	citaat	παράθεση	N;NEUT;SG	N;NOM;FEM;SG
vloog	πέταξε	vliegen	πετώ	V;SG;PST;FIN	V;PFV;IND;SG;3;PST;FIN;ACT
nederzettingen	οικισμούς	nederzetting	οικισμός	N;PL	N;ACC;MASC;PL
rechtszaak	δίκη	rechtszaak	δίκη	N;MASC+FEM;SG	N;NOM;FEM;SG
rechtszaak	δίκης	rechtszaak	δίκη	N;MASC+FEM;SG	N;GEN;FEM;SG
rechtszaak	αγωγή	rechtszaak	αγωγή	N;MASC+FEM;SG	N;ACC;FEM;SG
rechtszaak	μήνυση	rechtszaak	μήνυση	N;MASC+FEM;SG	N;ACC;FEM;SG
krachtige	ισχυρός	krachtig	ισχυρός	ADJ	ADJ;NOM;MASC;SG
krachtige	ισχυρό	krachtig	ισχυρός	ADJ	ADJ;NOM;NEUT;SG
krachtige	ισχυρή	krachtig	ισχυρός	ADJ	ADJ;NOM;FEM;SG
universum	σύμπαν	universum	σύμπαν	N;NEUT;SG	N;NOM;NEUT;SG
naburige	γειτονική	naburig	γειτονικός	ADJ	ADJ;NOM;FEM;SG
naburige	γειτονικές	naburig	γειτονικός	ADJ	ADJ;NOM;FEM;PL
naburige	γειτονικό	naburig	γειτονικός	ADJ	ADJ;NOM;NEUT;SG
atmosfeer	ατμόσφαιρα	atmosfeer	ατμόσφαιρα	N;MASC+FEM;SG	N;NOM;FEM;SG
