kväll	noc	kväll	noc	N;NOM;INDF;MASC+FEM;SG	N;NOM;FEM;SG
karaktärer	postavy	karaktär	postava	N;NOM;INDF;MASC+FEM;PL	N;NOM;FEM;PL
karaktärer	znaky	karaktär	znak	N;NOM;INDF;MASC+FEM;PL	N;INAN;NOM;MASC;PL
liter	liter	liter	liter	N;NOM;INDF;MASC+FEM;SG	N;INAN;NOM;MASC;SG
liter	litra	liter	litra	N;NOM;INDF;MASC+FEM;SG	N;INAN;NOM;MASC;SG
liter	liter	liter	liter	N;NOM;INDF;MASC+FEM;SG	N;INAN;NOM;MASC;SG
liter	litra	liter	litra	N;NOM;INDF;MASC+FEM;SG	N;INAN;NOM;MASC;SG
antyder	navrhuje	antyda	navrhovať	V;IND;PRS;FIN;ACT	V;IPFV;IND;SG;3;POS;PRS;FIN
antyder	naznačuje	antyda	naznačovať	V;IND;PRS;FIN;ACT	V;IPFV;IND;SG;3;POS;PRS;FIN
kött	mäso	kött	mäso	N;NOM;INDF;NEUT;SG	N;NOM;NEUT;SG
kött	mäso	kött	mäso	N;NOM;INDF;NEUT;SG	N;NOM;NEUT;SG
fullständig	plné	fullständig	plný	ADJ;NOM;INDF;MASC+FEM;SG	ADJ;NOM;NEUT;SG
fullständig	plná	fullständig	plný	ADJ;NOM;INDF;MASC+FEM;SG	ADJ;NOM;FEM;SG
fullständig	úplné	fullständig	úplný	ADJ;NOM;INDF;MASC+FEM;SG	ADJ;NOM;NEUT;SG
fullständig	kompletný	fullständig	kompletný	ADJ;NOM;INDF;MASC+FEM;SG	ADJ;INAN;NOM;MASC;SG
fullständig	kompletná	fullständig	kompletný	ADJ;NOM;INDF;MASC+FEM;SG	ADJ;NOM;FEM;SG
fullständig	kompletné	fullständig	kompletný	ADJ;NOM;INDF;MASC+FEM;SG	ADJ;NOM;NEUT;SG
värme	tepla	värme	tepnúť	N;NOM;INDF;MASC+FEM;SG	N;NOM;NEUT;SG
värme	teplo	värme	teplo	N;NOM;INDF;MASC+FEM;SG	N;NOM;NEUT;SG
värme	vykurovanie	värme	vykurovanie	N;NOM;INDF;MASC+FEM;SG	N;NOM;NEUT;SG
värme	kúrenie	värme	kúrenie	N;NOM;INDF;MASC+FEM;SG	N;NOM;NEUT;SG
värme	teplo	värme	teplo	N;NOM;INDF;MASC+FEM;SG	N;NOM;NEUT;SG
kontraktet	zákazka	kontrakt	zákazka	N;NOM;DEF;NEUT;SG	N;NOM;FEM;SG
kontraktet	kontrakt	kontrakt	kontrakt	N;NOM;DEF;NEUT;SG	N;INAN;NOM;MASC;SG
kontraktet	zmluva	kontrakt	zmluva	N;NOM;DEF;NEUT;SG	N;NOM;FEM;SG
miljöer	prostredia	miljö	prostredie	N;NOM;INDF;MASC+FEM;PL	N;NOM;NEUT;PL
personligt	osobný	personlig	osobný	ADJ;NOM;INDF;NEUT;SG	ADJ;ANIM;NOM;MASC;SG
personligt	osobná	personlig	osobný	ADJ;NOM;INDF;NEUT;SG	ADJ;NOM;FEM;SG
personligt	osobné	personlig	osobný	ADJ;NOM;INDF;NEUT;SG	ADJ;NOM;NEUT;SG
mcdonald	mcdonald	mcdonald	mcdonald	N;NOM;INDF;MASC+FEM;SG	N;ANIM;NOM;MASC;SG
caribou	karibu	caribou	kariba	N;NOM;INDF;MASC+FEM;SG	N;INAN;NOM;MASC;SG
soldat	vojak	soldat	vojak	N;NOM;INDF;MASC+FEM;SG	N;ANIM;NOM;MASC;SG
snäckor	mušle	snäcka	mušle	N;NOM;INDF;MASC+FEM;PL	N;NOM;FEM;PL
snäckor	slimáky	snäcka	slimák	N;NOM;INDF;MASC+FEM;PL	N;INAN;NOM;MASC;PL
snäckor	škrupín	snäcka	škrupina	N;NOM;INDF;MASC+FEM;PL	N;NOM;FEM;PL
snäckor	mušle	snäcka	mušle	N;NOM;INDF;MASC+FEM;PL	N;NOM;FEM;PL
walk	chôdza	walk	chôdzať	N;NOM;INDF;MASC+FEM;SG	N;NOM;FEM;SG
walk	prechádzka	walk	prechádzkať	N;NOM;INDF;MASC+FEM;SG	N;NOM;FEM;SG
inledande	úvodná	inledande	úvodný	ADJ;NOM;PRS;V.PTCP	ADJ;NOM;FEM;SG
inledande	úvodné	inledande	úvodný	ADJ;NOM;PRS;V.PTCP	ADJ;NOM;NEUT;SG
inledande	úvodný	inledande	úvodný	ADJ;NOM;PRS;V.PTCP	ADJ;INAN;NOM;MASC;SG
inledande	počiatočné	inledande	počiatočný	ADJ;NOM;PRS;V.PTCP	ADJ;NOM;NEUT;SG
inledande	počiatočný	inledande	počiatočný	ADJ;NOM;PRS;V.PTCP	ADJ;INAN;NOM;MASC;SG
inledande	počiatočná	inledande	počiatočný	ADJ;NOM;PRS;V.PTCP	ADJ;NOM;FEM;SG
fusca	fusca	fusca	fusca	N;NOM;INDF;MASC+FEM;SG	N;INAN;NOM;MASC;SG
svarar	odpovedám	svara	odpovedať	V;IND;PRS;FIN;ACT	V;IPFV;IND;SG;1;POS;PRS;FIN
bredare	širší	bred	široký	ADJ;NOM;CMPR	ADJ;ANIM;NOM;CMPR;MASC;SG
bredare	širší	bred	široký	ADJ;NOM;CMPR	ADJ;ANIM;NOM;CMPR;MASC;SG
förkortat	skrátený	förkorta	skrátený	ADJ;NOM;INDF;NEUT;SG;PST;V.PTCP	ADJ;INAN;NOM;MASC;SG;POS;V.PTCP;PASS
förkortat	skrátené	förkorta	skrátený	ADJ;NOM;INDF;NEUT;SG;PST;V.PTCP	ADJ;NOM;NEUT;SG;POS;V.PTCP;PASS
förkortat	skrátený	förkorta	skrátený	ADJ;NOM;INDF;NEUT;SG;PST;V.PTCP	ADJ;INAN;NOM;MASC;SG;POS;V.PTCP;PASS
förkortat	skrátené	förkorta	skrátený	ADJ;NOM;INDF;NEUT;SG;PST;V.PTCP	ADJ;NOM;NEUT;SG;POS;V.PTCP;PASS
mal	mal	mal	mať	V;IMP;FIN;ACT	V;ANIM;IPFV;MASC;SG;POS;PST;V.PTCP
americana	americana	american	american	N;NOM;INDF;MASC+FEM;SG	N;NOM;FEM;SG
secret	secret	sec	secret	N;NOM;INDF;MASC+FEM;SG	N;NOM;FEM;SG
secret	tajomstvo	sec	tajomstvo	N;NOM;INDF;MASC+FEM;SG	N;NOM;NEUT;SG
svårigheter	ťažkosti	svårighet	ťažkosť	N;NOM;INDF;MASC+FEM;PL	N;NOM;FEM;PL
svårigheter	ťažkosti	svårighet	ťažkosť	N;NOM;INDF;MASC+FEM;PL	N;NOM;FEM;PL
mirabilis	mirabilis	mirabilis	mirabilis	N;NOM;INDF;MASC+FEM;SG	N;INAN;NOM;MASC;SG
