een	egy	een	egy	DET;INDF	DET;INDF
dat	ez	dat	ez	PRO;3	PRO;NOM;SG;3
ook	egyben	ook	egyben	ADV	ADV
score	pontszám	score	pontszám	N;MASC+FEM;SG	N;NOM;SG
niet	nem	niet	nem	ADV	ADV
naam	neve	naam	név	N;MASC+FEM;SG	N;NOM;SG
naam	név	naam	név	N;MASC+FEM;SG	N;NOM;SG
soort	típus	soort	típus	N;SG	N;NOM;SG
soort	típusa	soort	típus	N;SG	N;NOM;SG
soort	faj	soort	faj	N;SG	N;NOM;SG
soort	állatfaj	soort	állatfaj	N;SG	N;NOM;SG
familie	családi	familie	családi	N;MASC+FEM;SG	N;NOM;SG
familie	családtag	familie	családtag	N;MASC+FEM;SG	N;NOM;SG
familie	család	familie	család	N;MASC+FEM;SG	N;NOM;SG
eerst	először	eerst	először	ADV	ADV
deze	ezt	deze	ez	PRO	PRO;ACC;SG;3
deze	ez	deze	ez	PRO	PRO;NOM;SG;3
deze	ezek	deze	ez	PRO	PRO;NOM;PL;3
deze	ezeket	deze	ez	PRO	PRO;ACC;PL;3
maar	de	maar	de	CONJ	CONJ
gepubliceerd	közzétette	publiceren	közzétet	V;V.PTCP	V;DEF;IND;SG;3;PST;FIN;ACT
gepubliceerd	publikált	publiceren	publikált	V;V.PTCP	V;INDF;IND;SG;3;PST;FIN;ACT
gepubliceerd	közzétett	publiceren	közzétett	V;V.PTCP	V;INDF;IND;SG;3;PST;FIN;ACT
geldig	érvényes	geldig	érvényes	ADJ	ADJ;NOM;SG
dit	ezt	dit	ez	PRO;3	PRO;ACC;SG;3
dit	ez	dit	ez	PRO;3	PRO;NOM;SG;3
dan	akkor	dan	akkor	ADV	ADV
plaats	hely	plaats	hely	N;MASC+FEM;SG	N;NOM;SG
onder	alatt	onder	alatt	ADP	ADP
onder	alatt	onder	alatt	ADP	ADP
onder	alá	onder	alá	ADP	ADP
team	brigád	team	brigád	N;NEUT;SG	N;NOM;SG
team	osztag	team	osztag	N;NEUT;SG	N;NOM;SG
team	csapat	team	csapat	N;NEUT;SG	N;NOM;SG
nog	még	nog	még	ADV	ADV
eerste	első	één	első	ADJ	ADJ;NOM;SG
kan	lehetne	kunnen	lesz	V;SG;PRS;FIN	V;INDF;SG;3;PRS;FIN;ACT
kan	tud	kunnen	tud	V;SG;PRS;FIN	V;INDF;IND;SG;3;PRS;FIN;ACT
kan	lehet	kunnen	lesz	V;SG;PRS;FIN	V;INDF;POT;SG;3;PRS;FIN;ACT
jaar	év	jaar	év	N;NEUT;SG	N;NOM;SG
jaar	évjárat	jaar	évjárat	N;NEUT;SG	N;NOM;SG
jaar	éve	jaar	év	N;NEUT;SG	N;NOM;SG
jaar	év	jaar	év	N;NEUT;SG	N;NOM;SG
inwoners	lakói	inwoner	lakó	N;PL	N;NOM;PL
inwoners	lakosok	inwoner	lakos	N;PL	N;NOM;PL
inwoners	lakói	inwoner	lakó	N;PL	N;NOM;PL
inwoners	lakók	inwoner	lakó	N;PL	N;NOM;PL
inwoners	lakosok	inwoner	lakos	N;PL	N;NOM;PL
deel	rész	deel	rész	N;NEUT;SG	N;NOM;SG
deel	része	deel	rész	N;NEUT;SG	N;NOM;SG
deel	részesedése	deel	részesedés	N;NEUT;SG	N;NOM;SG
deel	részesedés	deel	részesedés	N;NEUT;SG	N;NOM;SG
overleg	konzultáció	overleg	konzultáció	N;NEUT;SG	N;NOM;SG
overleg	konzultáció	overleg	konzultáció	N;NEUT;SG	N;NOM;SG
tussen	között	tussen	között	ADP	ADP
had	volt	hebben	van	V;SG;PST;FIN	V;INDF;IND;SG;3;PST;FIN;ACT
waar	hol	waar	hol	ADV	ADV
waar	ahol	waar	ahol	ADV	ADV
komt	jön	komen	jön	V;SG;PRS;FIN	V;INDF;IND;SG;3;PRS;FIN;ACT
