رده	класс	رده	класс	N;SG	N;INAN;NOM;MASC;SG
از	от	از	от	ADP	ADP
از	из	از	из	ADP	ADP
این	эта	این	этот	DET	DET;NOM;FEM;SG
این	этот	این	этот	DET	DET;NOM;MASC;SG
با	с	با	с	ADP	ADP
یک	один	یک	один	NUM	NUM;NOM;MASC
سال	сэл	سال	сэл	N;SG	N;INAN;NOM;MASC;SG
سال	год	سال	год	N;SG	N;INAN;NOM;MASC;SG
ایران	иран	ایران	иран	N;SG	N;INAN;NOM;MASC;SG
برای	для	برای	для	ADP	ADP
برای	за	برای	за	ADP	ADP
اهل	ахл	اهل	ахл	N;SG	N;INAN;NOM;MASC;SG
شهرستان	графство	شهرستان	графство	N;SG	N;INAN;NOM;NEUT;SG
شهرستان	округе	شهرستان	округ	N;SG	N;INAN;ESS;MASC;SG
شهرستان	округ	شهرستان	округ	N;SG	N;INAN;NOM;MASC;SG
آمریکا	америка	آمریکا	америка	N;SG	N;INAN;NOM;FEM;SG
فهرست	каталог	فهرست	каталог	N;SG	N;INAN;NOM;MASC;SG
فهرست	перечень	فهرست	перечень	N;SG	N;INAN;NOM;MASC;SG
فهرست	список	فهرست	список	N;SG	N;INAN;NOM;MASC;SG
فهرست	каталог	فهرست	каталог	N;SG	N;INAN;NOM;MASC;SG
فهرست	реестр	فهرست	реестр	N;SG	N;INAN;NOM;MASC;SG
بود	был	بود#باش	быть	V;SG;3;PST	V;IPFV;MASC;IND;SG;PST;FIN;ACT
بود	было	بود#باش	быть	V;SG;3;PST	V;IPFV;NEUT;IND;SG;PST;FIN;ACT
دارد	имеет	داشت#دار	иметь	V;SG;3;PRS	V;IPFV;IND;SG;3;PRS;FIN;ACT
او	она	او	она	PRO;SG;3	PRO;NOM;FEM;SG;3
او	его	او	он	PRO;SG;3	PRO;ACC;MASC;SG;3
او	его	او	он	PRO;SG;3	PRO;ACC;MASC;SG;3
او	ему	او	он	PRO;SG;3	PRO;DAT;MASC;SG;3
او	ее	او	она	PRO;SG;3	PRO;ACC;FEM;SG;3
او	ей	او	она	PRO;SG;3	PRO;DAT;FEM;SG;3
او	её	او	она	PRO;SG;3	PRO;ACC;FEM;SG;3
تا	до	تا	до	ADP	ADP
وابسته	прилагательное	وابسته	прилагательное	ADJ	ADJ;NOM;NEUT;SG
فوتبال	футбол	فوتبال	футбол	N;SG	N;INAN;NOM;MASC;SG
فوتبال	футбол	فوتبال	футбол	N;SG	N;INAN;NOM;MASC;SG
ساعت	час	ساعت	час	N;SG	N;INAN;NOM;MASC;SG
پایه	основа	پایه	основа	N;SG	N;INAN;NOM;FEM;SG
پایه	основание	پایه	основание	N;SG	N;INAN;NOM;NEUT;SG
پایه	фонд	پایه	фонд	N;SG	N;INAN;NOM;MASC;SG
پایه	основа	پایه	основа	N;SG	N;INAN;NOM;FEM;SG
پایه	основание	پایه	основание	N;SG	N;INAN;NOM;NEUT;SG
پایه	фундамент	پایه	фундамент	N;SG	N;INAN;NOM;MASC;SG
پایه	база	پایه	база	N;SG	N;INAN;NOM;FEM;SG
پایه	основание	پایه	основание	N;SG	N;INAN;NOM;NEUT;SG
نام	имя	نام	имя	N;SG	N;INAN;NOM;NEUT;SG
نام	название	نام	название	N;SG	N;INAN;NOM;NEUT;SG
استان	область	استان	область	N;SG	N;INAN;NOM;FEM;SG
استان	провинция	استان	провинция	N;SG	N;INAN;NOM;FEM;SG
استان	область	استان	область	N;SG	N;INAN;NOM;FEM;SG
استان	регион	استان	регион	N;SG	N;INAN;NOM;MASC;SG
شهر	город	شهر	город	N;SG	N;INAN;NOM;MASC;SG
شهر	городок	شهر	городок	N;SG	N;INAN;NOM;MASC;SG
شهر	город	شهر	город	N;SG	N;INAN;NOM;MASC;SG
ملی	национальные	ملی	национальный	ADJ	ADJ;NOM;PL
ملی	национальных	ملی	национальный	ADJ	ADJ;GEN;PL
ملی	национальная	ملی	национальный	ADJ	ADJ;NOM;FEM;SG
ملی	национальный	ملی	национальный	ADJ	ADJ;NOM;MASC;SG
کشور	страна	کشور	страна	N;SG	N;INAN;NOM;FEM;SG
تاریخ	свидание	تاریخ	свидание	N;SG	N;INAN;NOM;NEUT;SG
تاریخ	дата	تاریخ	дата	N;SG	N;INAN;NOM;FEM;SG
تاریخ	история	تاریخ	история	N;SG	N;INAN;NOM;FEM;SG
فیلم	фильм	فیلم	фильм	N;SG	N;INAN;NOM;MASC;SG
فیلم	кино	فیلم	кино	N;SG	N;INAN;NOM;NEUT;SG
فیلم	фильм	فیلم	фильм	N;SG	N;INAN;NOM;MASC;SG
فیلم	кино	فیلم	кино	N;SG	N;INAN;NOM;NEUT;SG
فیلم	кино	فیلم	кино	N;SG	N;INAN;NOM;NEUT;SG
بخش	департамент	بخش	департамент	N;SG	N;INAN;NOM;MASC;SG
بخش	сектор	بخش	сектор	N;SG	N;INAN;NOM;MASC;SG
بخش	секция	بخش	секция	N;SG	N;INAN;NOM;FEM;SG
بخش	раздел	بخش	раздел	N;SG	N;INAN;NOM;MASC;SG
بخش	округ	بخش	округ	N;SG	N;INAN;NOM;MASC;SG
بخش	район	بخش	район	N;SG	N;INAN;NOM;MASC;SG
جمعیت	толпа	جمعیت	толпа	N;SG	N;INAN;NOM;FEM;SG
جمعیت	толпа	جمعیت	толпа	N;SG	N;INAN;NOM;FEM;SG
جمعیت	населения	جمعیت	население	N;SG	N;INAN;GEN;NEUT;SG
جمعیت	население	جمعیت	население	N;SG	N;INAN;NOM;NEUT;SG
دو	два	دو	два	NUM	NUM;NOM;MASC
دو	две	دو	два	NUM	NUM;NOM;FEM
دو	двое	دو	двое	NUM	NUM;NOM
اثر	эффект	اثر	эффект	N;SG	N;INAN;NOM;MASC;SG
پس	тогда	پس	тогда	ADV	ADV
پس	потом	پس	потом	ADV	ADV
پس	затем	پس	затем	ADV	ADV
یکی	один	یک	один	NUM	NUM;NOM;MASC
بازیکنان	игроки	بازیکن	игрок	N;PL	N;ANIM;NOM;MASC;PL
بازیکنان	игрокам	بازیکن	игрок	N;PL	N;ANIM;DAT;MASC;PL
بازیکنان	игроков	بازیکن	игрок	N;PL	N;ANIM;GEN;MASC;PL
آثار	артефакты	اثر	артефакт	N;PL	N;INAN;NOM;MASC;PL
آثار	последствия	اثر	последствие	N;PL	N;INAN;NOM;NEUT;PL
آثار	эффекты	اثر	эффект	N;PL	N;INAN;NOM;MASC;PL
روستاهای	деревни	روستا	деревня	N;PL	N;INAN;NOM;FEM;PL
روستاهای	деревень	روستا	деревня	N;PL	N;INAN;GEN;FEM;PL
دیگر	более	دیگر	более	ADV	ADV;CMPR
دیگر	больше	دیگر	больше	ADV	ADV;CMPR
دیگر	еще	دیگر	еще	ADV	ADV
می	май	می	май		
عنوان	подпись	عنوان	подпись	N;SG	N;INAN;NOM;FEM;SG
عنوان	заголовок	عنوان	заголовок	N;SG	N;INAN;NOM;MASC;SG
پیوند	линк	پیوند	линк	N;SG	N;INAN;NOM;MASC;SG
پیوند	ссылка	پیوند	ссылка	N;SG	N;INAN;NOM;FEM;SG
پیوند	ссылку	پیوند	ссылка	N;SG	N;INAN;ACC;FEM;SG
پیوند	бонд	پیوند	бонд	N;SG	N;ANIM;NOM;MASC;SG
پیش	до	پیش	до	ADP	ADP
پیش	перед	پیش	перед	ADP	ADP
بحث	обсуждение	بحث	обсуждение	N;SG	N;INAN;NOM;NEUT;SG
بحث	дискуссия	بحث	дискуссия	N;SG	N;INAN;NOM;FEM;SG
افراد	людей	فرد	человек	N;PL	N;ANIM;GEN;MASC;PL
افراد	люди	فرد	человек	N;PL	N;ANIM;NOM;MASC;PL
دوره	курс	دوره	курс	N;SG	N;INAN;NOM;MASC;SG
دوره	эпоха	دوره	эпоха	N;SG	N;INAN;NOM;FEM;SG
دوره	период	دوره	период	N;SG	N;INAN;NOM;MASC;SG
دهه	десятилетие	دهه	десятилетие	N;SG	N;INAN;NOM;NEUT;SG
متر	метр	متر	метр	N;SG	N;INAN;NOM;MASC;SG
متر	счетчик	متر	счетчик	N;SG	N;INAN;NOM;MASC;SG
متر	метр	متر	метр	N;SG	N;INAN;NOM;MASC;SG
کاربر	пользователь	کاربر	пользователь	N;SG	N;ANIM;NOM;MASC;SG
کاربر	пользователя	کاربر	пользователь	N;SG	N;ANIM;ACC;MASC;SG
کاربر	пользователю	کاربر	пользователь	N;SG	N;ANIM;DAT;MASC;SG
مناطق	районах	منطقه	район	N;PL	N;INAN;ESS;MASC;PL
مناطق	районы	منطقه	район	N;PL	N;INAN;NOM;MASC;PL
مناطق	округов	منطقه	округ	N;PL	N;INAN;GEN;MASC;PL
مناطق	районы	منطقه	район	N;PL	N;INAN;NOM;MASC;PL
مناطق	области	منطقه	область	N;PL	N;INAN;NOM;FEM;PL
هر	каждая	هر	каждый	DET	DET;NOM;FEM;SG
هر	каждую	هر	каждый	DET	DET;ACC;FEM;SG
هر	каждый	هر	каждый	DET	DET;NOM;MASC;SG
هر	каждое	هر	каждый	DET	DET;NOM;NEUT;SG
هر	любой	هر	любой	DET	DET;NOM;MASC;SG
هر	любую	هر	любой	DET	DET;ACC;FEM;SG
هر	любые	هر	любой	DET	DET;NOM;PL
هر	любое	هر	любой	DET	DET;NOM;NEUT;SG
هر	любая	هر	любой	DET	DET;NOM;FEM;SG
باشگاه	клуб	باشگاه	клуб	N;SG	N;INAN;NOM;MASC;SG
