גם	egyben	גם	egyben	ADV	ADV
זה	ezt	זה	ez	PRO;MASC;SG;3	PRO;ACC;SG;3
זה	ez	זה	ez	PRO;MASC;SG;3	PRO;NOM;SG;3
זה	ez	זה	ez	PRO;MASC;SG;3	PRO;NOM;SG;3
היה	volt	היה	van	V;MASC;SG;3;POS;PST	V;INDF;IND;SG;3;PST;FIN;ACT
שיחה	társalgás	שיחה	társalgás	N;FEM;SG	N;NOM;SG
שיחה	beszélgetés	שיחה	beszélgetés	N;FEM;SG	N;NOM;SG
שיחה	beszélgetést	שיחה	beszélgetés	N;FEM;SG	N;ACC;SG
שיחה	hívás	שיחה	hívás	N;FEM;SG	N;NOM;SG
לאחר	után	לאחר	után	ADP	ADP
בין	között	בין	között	ADP	ADP
כי	mert	כי	mert	CONJ	CONJ
אך	de	אך	de	CONJ	CONJ
שם	ott	שם	ott	ADV	ADV
בית	ház	בית	ház	N;MASC;SG	N;NOM;SG
הם	ők	הוא	ők	PRO;MASC;PL;3	PRO;NOM;PL;3
הייתה	volt	היה	van	V;FEM;SG;3;POS;PST	V;INDF;IND;SG;3;PST;FIN;ACT
קישורים	linkek	קישורים	link	N;MASC;PL	N;NOM;PL
קישורים	hivatkozások	קישורים	hivatkozás	N;MASC;PL	N;NOM;PL
קישורים	kapcsolatok	קישורים	kapcsolat	N;MASC;PL	N;NOM;PL
מספר	szám	מספר	szám	N;MASC;SG	N;NOM;SG
מספר	száma	מספר	szám	N;MASC;SG	N;NOM;SG
היו	voltak	היה	van	V;PL;3;POS;PST	V;INDF;IND;PL;3;PST;FIN;ACT
רק	csak	רק	csak	ADV	ADV
רק	csak	רק	csak	ADV	ADV
אותו	őt	None	ő	PRO;ACC;MASC;SG;3	PRO;ACC;SG;3
לו	lew	ל	lew		
לו	lou	ל	lou		
העולם	világ	העולם	világ		
העולם	world	העולם	world		
שנים	évek	שנה	év	N;FEM;PL	N;NOM;PL
אבל	de	אבל	de	CONJ	CONJ
אביב	tavasz	אביב	tavasz	N;MASC;SG	N;NOM;SG
במאי	május	במאי	május	N;MASC;SG	N;NOM;SG
במאי	májusban	במאי	május	N;MASC;SG	N;IN+ESS;SG
במאי	rendező	במאי	rendező	N;MASC;SG	N;NOM;SG
במאי	igazgató	במאי	igazgató	N;MASC;SG	N;NOM;SG
שנה	évjárat	שנה	évjárat	N;FEM;SG	N;NOM;SG
שנה	éve	שנה	év	N;FEM;SG	N;NOM;SG
שנה	év	שנה	év	N;FEM;SG	N;NOM;SG
שנה	év	שנה	év	N;FEM;SG	N;NOM;SG
הערות	megjegyzések	הערה	megjegyzés	N;FEM;PL	N;NOM;PL
הערות	feljegyzések	הערה	feljegyzés	N;FEM;PL	N;NOM;PL
