年	ano	年	ano	N	N;MASC;SG
月	lua	月	lua	N	N;FEM;SG
月	moon	月	moon	N	N;MASC;SG
月	meses	月	mês	N	N;MASC;PL
月	mês	月	mês	N	N;MASC;SG
村	vila	村	vila	N	N;FEM;SG
村	aldeia	村	aldeia	N	N;FEM;SG
人	man	人	man	N	N;MASC;SG
人	pá	人	pá	N	N;FEM;SG
人	cara	人	cara	N	N;FEM;SG
人	homem	人	homem	N	N;MASC;SG
人	pessoas	人	pessoa	N	N;FEM;PL
人	povo	人	povo	N	N;MASC;SG
人	gente	人	gente	N	N;FEM;SG
重	heavy	重	heavy	N	N;MASC;SG
一	um	一	um	NUM	NUM
一	uma	一	um	NUM	NUM
也	igualmente	也	igualmente	ADV	ADV
也	também	也	também	ADV	ADV
後	depois	後	depois	ADV	ADV
留言	recado	留言	recado	N	N;MASC;SG
留言	mensagem	留言	mensagem	N	N;FEM;SG
市	cidade	市	cidade	N	N;FEM;SG
市	município	市	município	N	N;MASC;SG
市	concelho	市	concelho	N	N;MASC;SG
站	estação	站	estação	N	N;FEM;SG
站	stand	站	stand	N	N;MASC;SG
州	estaduais	州	estadual	N	N;MASC;PL
州	state	州	state	N	N;MASC;SG
州	estado	州	estado	N	N;MASC;SG
研究	estuda	研究	estudar	V	V;IND;SG;3;PRS;FIN
研究	estude	研究	estude	V	V;SBJV;SG;3;PRS;FIN
研究	estudar	研究	estudar	V	V;NFIN
三	tres	三	tres	NUM	NUM
三	três	三	três	NUM	NUM
家	home	家	home	N	N;MASC;SG
家	casa	家	casa	N	N;FEM;SG
家	lar	家	lar	N	N;MASC;SG
米	rice	米	rice	N	N;MASC;SG
米	arroz	米	arroz	N	N;MASC;SG
米	metros	米	metro	N	N;MASC;PL
使用	utilizar	使用	utilizar	V	V;NFIN
使用	usar	使用	usar	V	V;NFIN
使用	usando	使用	usar	V	V;V.MSDR
使用	utilizando	使用	utilizar	V	V;V.MSDR
使用	usar	使用	usar	V	V;NFIN
使用	use	使用	usar	V	V;SBJV;SG;3;PRS;FIN
使用	utilizar	使用	utilizar	V	V;NFIN
使用	utilizada	使用	utilizar	V	V;FEM;SG;V.PTCP
使用	usada	使用	usar	V	V;FEM;SG;V.PTCP
使用	usado	使用	usar	V	V;MASC;SG;V.PTCP
使用	utilizado	使用	utilizar	V	V;MASC;SG;V.PTCP
使用	utilizados	使用	utilizar	V	V;MASC;PL;V.PTCP
使用	usados	使用	usar	V	V;MASC;PL;V.PTCP
公司	corporativa	公司	corporativo	N	N;FEM;SG
公司	empresa	公司	empresa	N	N;FEM;SG
公司	company	公司	company	N	N;MASC;SG
公司	companhia	公司	companhia	N	N;FEM;SG
公司	companhias	公司	companhia	N	N;FEM;PL
公司	empresas	公司	empresa	N	N;FEM;PL
一	um	一	um	NUM	NUM
一	uma	一	um	NUM	NUM
西	west	西	west	N	N;MASC;SG
西	ocidente	西	ocidente	N	N;MASC;SG
西	oeste	西	oeste	N	N;MASC;SG
省	província	省	província	N	N;FEM;SG
省	voivodia	省	voivodia	N	N;FEM;SG
度	graus	度	grau	N	N;MASC;PL
度	licenciatura	度	licenciatura	N	N;FEM;SG
度	grau	度	grau	N	N;MASC;SG
度	graus	度	grau	N	N;MASC;PL
二	duas	二	dois	NUM	NUM
二	dois	二	dois	NUM	NUM
區	zona	區	zona	N	N;FEM;SG
區	zone	區	zone	N	N;MASC;SG
區	distrito	區	distrito	N	N;MASC;SG
區	area	區	area	N	N;FEM;SG
區	área	區	área	N	N;FEM;SG
人口	demografia	人口	demografia	N	N;FEM;SG
人口	demográfica	人口	demográfica	N	N;FEM;SG
人口	demográfico	人口	demográfico	N	N;MASC;SG
人口	demográficas	人口	demográfico	N	N;FEM;PL
人口	demografia	人口	demografia	N	N;FEM;SG
人口	população	人口	população	N	N;FEM;SG
四	quatro	四	quatro	NUM	NUM
政府	governos	政府	governo	N	N;MASC;PL
政府	governo	政府	governo	N	N;MASC;SG
集	conjunto	集	conjunto	N	N;MASC;SG
集	set	集	set	N	N;MASC;SG
集	episódios	集	episódio	N	N;MASC;PL
集	episódio	集	episódio	N	N;MASC;SG
世界	world	世界	world	N	N;MASC;SG
世界	mundo	世界	mundo	N	N;MASC;SG
南	nan	南	nan	N	N;MASC;SG
南	sul	南	sul	N	N;MASC;SG
南	south	南	south	N	N;MASC;SG
南	nam	南	nam	N	N;MASC;SG
路	rodoviário	路	rodoviário	N	N;MASC;SG
路	estrada	路	estrada	N	N;FEM;SG
路	road	路	road	N	N;MASC;SG
五	cinco	五	cinco	NUM	NUM
人民	pessoas	人民	pessoa	N	N;FEM;PL
人民	povo	人民	povo	N	N;MASC;SG
人民	gente	人民	gente	N	N;FEM;SG
包括	incluído	包括	incluir	V	V;MASC;SG;V.PTCP
包括	incluídas	包括	incluir	V	V;FEM;PL;V.PTCP
包括	incluso	包括	incluso	V	V;MASC;SG;V.PTCP
包括	incluido	包括	incluir	V	V;MASC;SG;V.PTCP
包括	incluídos	包括	incluir	V	V;MASC;PL;V.PTCP
包括	inclua	包括	incluar	V	V;SBJV;SG;3;PRS;FIN
包括	inclui	包括	incluir	V	V;IND;SG;3;PRS;FIN
包括	incluem	包括	incluir	V	V;IND;PL;3;PRS;FIN
包括	incluir	包括	incluir	V	V;NFIN
包括	incluindo	包括	incluir	V	V;V.MSDR
包括	inclui	包括	incluir	V	V;IND;SG;3;PRS;FIN
位	localizada	位	localizar	V	V;FEM;SG;V.PTCP
位	localizado	位	localizar	V	V;MASC;SG;V.PTCP
位	localizados	位	localizar	V	V;MASC;PL;V.PTCP
塔	pagode	塔	pagode	N	N;MASC;SG
塔	torre	塔	torre	N	N;FEM;SG
塔	tower	塔	tower	N	N;MASC;SG
縣	condado	縣	condar	N	N;MASC;SG
縣	cantão	縣	cantão	N	N;MASC;SG
縣	canton	縣	canton	N	N;MASC;SG
任	ren	任	ren	N	N;MASC;SG
時間	hora	時間	hora	N	N;FEM;SG
時間	horário	時間	horário	N	N;MASC;SG
時間	tempo	時間	tempo	N	N;MASC;SG
時間	time	時間	time	N	N;MASC;SG
六	seis	六	seis	NUM	NUM
城	cidade	城	cidade	N	N;FEM;SG
城	castelo	城	castelo	N	N;MASC;SG
中心	centros	中心	centro	N	N;MASC;PL
中心	centro	中心	centro	N	N;MASC;SG
中心	center	中心	center	N	N;MASC;SG
中心	centro	中心	centro	N	N;MASC;SG
中心	centre	中心	centre	N	N;MASC;SG
線	line	線	line	N	N;MASC;SG
線	linha	線	linha	N	N;FEM;SG
線	linhas	線	linha	N	N;FEM;PL
線	fio	線	fio	N	N;MASC;SG
山	montanha	山	montanha	N	N;FEM;SG
山	monte	山	monte	N	N;MASC;SG
山	mount	山	mount	N	N;MASC;SG
山	colina	山	colina	N	N;FEM;SG
山	hill	山	hill	N	N;MASC;SG
山	montanhas	山	montanha	N	N;FEM;PL
太空	espaço	太空	espaço	N	N;MASC;SG
太空	space	太空	space	N	N;MASC;SG
內	interior	內	interior	N	N;MASC;SG
管理	gerir	管理	gerir	V	V;NFIN
管理	gerir	管理	gerir	V	V;NFIN
管理	gerenciar	管理	gerenciar	V	V;NFIN
