dit	這	dit	這	PRO;NOM;SG;3	PRO
ook	還	ook	還	ADV	ADV
ook	也	ook	也	ADV	ADV
jaar	年度	jaar	年度	N;SG	N
jaar	年份	jaar	年份	N;SG	N
jaar	年	jaar	年	N;SG	N
hierdie	這	hierdie	這	DET	DET
oor	關於	oor	關於	ADP	ADP
een	一	een	一	NUM	NUM
een	一	een	一	NUM	NUM
gebruik	使用	gebruik	使用	V;PRS	V
gebruik	利用	gebruik	利用	V;PRS	V
gebruik	使用	gebruik	使用	V;PRS	V
twee	兩	twee	兩	NUM	NUM
twee	兩	twee	兩	NUM	NUM
twee	二	twee	二	NUM	NUM
gemeente	會	gemeent	會	N;SG	N
dié	這	dié	這	DET	DET
haar	她	haar	她	PRO;ACC;SG;3	PRO;3
sien	見	sien	見	V;PRS	V
nuwe	新	nuut	新	ADJ;NOM	ADJ
stad	城市	stad	城市	N;SG	N
stad	市	stad	市	N;SG	N
stad	城	stad	城	N;SG	N
land	國家	land	國家	N;SG	N
nog	更	nog	更	ADV	ADV
net	只	net	只	ADV	ADV
net	只	net	只	ADV	ADV
naam	名字	naam	名字	N;SG	N
naam	名稱	naam	名稱	N;SG	N
naam	姓名	naam	姓名	N;SG	N
deel	共用	deel	共用	V;PRS	V
deel	共享	deel	共享	V;PRS	V
deel	分享	deel	分享	V;PRS	V
drie	三	drie	三	NUM	NUM
drie	三	drie	三	NUM	NUM
mense	人	mens	人	N;PL	N
mense	人們	mens	人	N;PL	N;PL
mense	人民	mens	人民	N;PL	N
vanaf	從	vanaf	從	ADP	ADP
veral	尤其	veral	尤其	ADV	ADV
veral	尤其	veral	尤其	ADV	ADV
moet	必須	moet	必須	V;PRS	V
tyd	時光	tyd	時光	N;SG	N
tyd	時間	tyd	時間	N;SG	N
vlag	旗幟	vlag	旗幟	N;SG	N
vlag	國旗	vlag	國旗	N;SG	N
vlag	旗	vlag	旗	N;SG	N
vlag	旗子	vlag	旗子	N;SG	N
staan	站立	staan	站立	V;PRS	V
staan	站立	staan	站立	V;PRS	V
staan	站	staan	站	V;PRS	V
dan	然後	dan	然後	ADV	ADV
dan	那麼	dan	那麼	ADV	ADV
bevolking	人口	bevolking	人口	N;SG	N
gebou	建築	bou	建築	V;PST;V.PTCP	V
jare	歲	jaar	歲	N;PL	N
jare	年份	jaar	年份	N;PL	N
slegs	只	slegs	只	ADV	ADV
slegs	只	slegs	只	ADV	ADV
oktober	十月	oktober	十月		
reeds	已經	reeds	已經	ADV	ADV
party	派	party	派	V;PRS	V;CAUS
alle	全部	al	全部	DET	DET
alle	所有	al	所有	DET	DET
gebore	生	gebore	生	V;PRS	V
gebore	誕生	gebore	誕生	V;PRS	V
