kategória	catégorie	kategória	catégorie	N;NOM;FEM;SG	N;FEM;SG
roku	annee	rok	annee	N;INAN;GEN;MASC;SG	N;FEM;SG
roku	an	rok	an	N;INAN;GEN;MASC;SG	N;MASC;SG
roku	année	rok	année	N;INAN;GEN;MASC;SG	N;FEM;SG
ako	comment	ako	comment	ADV	ADV
pozri	voir	pozrieť	voir	V;PFV;IMP;SG;2;POS;FIN	V;NFIN
obce	communes	obec	commune	N;NOM;FEM;PL	N;FEM;PL
obce	communes	obec	commune	N;NOM;FEM;PL	N;FEM;PL
obce	municipalités	obec	municipalité	N;NOM;FEM;PL	N;FEM;PL
obce	bourgs	obec	bourg	N;NOM;FEM;PL	N;MASC;PL
obce	villages	obec	village	N;NOM;FEM;PL	N;MASC;PL
obyvateľov	habitants	obyvateľ	habitant	N;ANIM;ACC;MASC;PL	N;MASC;PL
obyvateľov	habitants	obyvateľ	habitant	N;ANIM;ACC;MASC;PL	N;MASC;PL
obyvateľov	résidents	obyvateľ	résident	N;ANIM;ACC;MASC;PL	N;MASC;PL
obec	commune	obec	commune	N;NOM;FEM;SG	N;FEM;SG
obec	municipalité	obec	municipalité	N;NOM;FEM;SG	N;FEM;SG
obec	village	obec	village	N;NOM;FEM;SG	N;MASC;SG
pre	pour	pre	pour	ADP;ACC	ADP
jeho	sa	jeho	son	DET;NOM;NEUT;SG;3	DET;FEM;SG
jeho	son	jeho	son	DET;NOM;NEUT;SG;3	DET;MASC;SG
jeho	sa	jeho	son	DET;NOM;NEUT;SG;3	DET;FEM;SG
jeho	son	jeho	son	DET;NOM;NEUT;SG;3	DET;MASC;SG
bod	point	bod	point	N;INAN;NOM;MASC;SG	N;MASC;SG
zoznam	liste	zoznam	liste	N;INAN;NOM;MASC;SG	N;FEM;SG
odkazy	références	odkaz	référence	N;INAN;NOM;MASC;PL	N;FEM;PL
odkazy	liens	odkaz	lien	N;INAN;NOM;MASC;PL	N;MASC;PL
externé	externe	externý	externe	ADJ;NOM;NEUT;SG	ADJ;MASC;SG
externé	extérieure	externý	extérieur	ADJ;NOM;NEUT;SG	ADJ;FEM;SG
ale	mais	ale	mais	CONJ	CONJ
počet	nombre	počet	nombre	N;INAN;NOM;MASC;SG	N;MASC;SG
počet	numéro	počet	numéro	N;INAN;NOM;MASC;SG	N;MASC;SG
podľa	sous	podľa	sous	ADP;GEN	ADP
miesto	spot	miesto	spot	N;NOM;NEUT;SG	N;MASC;SG
miesto	place	miesto	place	N;NOM;NEUT;SG	N;FEM;SG
miesto	endroit	miesto	endroit	N;NOM;NEUT;SG	N;MASC;SG
miesto	lieu	miesto	lieu	N;NOM;NEUT;SG	N;MASC;SG
miesto	localisation	miesto	localisation	N;NOM;NEUT;SG	N;FEM;SG
miesto	emplacement	miesto	emplacement	N;NOM;NEUT;SG	N;MASC;SG
miesto	localité	miesto	localité	N;NOM;NEUT;SG	N;FEM;SG
miesto	lieu	miesto	lieu	N;NOM;NEUT;SG	N;MASC;SG
miesto	lieu	miesto	lieu	N;NOM;NEUT;SG	N;MASC;SG
miesto	site	miesto	site	N;NOM;NEUT;SG	N;MASC;SG
obcí	communes	obec	commune	N;GEN;FEM;PL	N;FEM;PL
obcí	communes	obec	commune	N;GEN;FEM;PL	N;FEM;PL
obcí	municipalités	obec	municipalité	N;GEN;FEM;PL	N;FEM;PL
obci	commune	obec	commune	N;DAT;FEM;SG	N;FEM;SG
jej	her	ona	her	PRO;DAT;FEM;SG;3	PRO;SG;3
ich	leur	on	lui	PRO;NOM;MASC;PL;3	PRO;PL;3
ich	eux	on	soi	PRO;NOM;MASC;PL;3	PRO;MASC;PL;3
medzi	entre	medzi	entre	ADP;INS	ADP
projekty	projets	projekt	projet	N;INAN;NOM;MASC;PL	N;MASC;PL
byť	être	byť	être	V;IPFV;POS;NFIN	V;NFIN
francúzska	france	francúzsky	france	N;NOM;FEM;SG	N;FEM;SG
najvyšší	suprême	vysoký	suprême	ADJ;ANIM;NOM;RL;MASC;SG	ADJ;MASC;SG
pod	sous	pod	sous	ADP;INS	ADP
pred	avant	pred	avant	ADP;INS	ADP
vývoj	developpement	vývoj	developpement	N;INAN;NOM;MASC;SG	N;MASC;SG
vývoj	développement	vývoj	développement	N;INAN;NOM;MASC;SG	N;MASC;SG
vývoj	evolution	vývoj	evolution	N;INAN;NOM;MASC;SG	N;FEM;SG
vývoj	évolution	vývoj	évolution	N;INAN;NOM;MASC;SG	N;FEM;SG
graf	graphe	graf	graphe	N;INAN;NOM;MASC;SG	N;MASC;SG
graf	diagramme	graf	diagramme	N;INAN;NOM;MASC;SG	N;MASC;SG
môže	peut	môcť	pouvoir	V;IPFV;IND;SG;3;POS;PRS;FIN	V;IND;SG;3;PRS;FIN
môže	peut	môcť	pouvoir	V;IPFV;IND;SG;3;POS;PRS;FIN	V;IND;SG;3;PRS;FIN
nasledujúci	prochain	nasledujúci	prochain	ADJ;INAN;NOM;MASC;SG;POS;V.PTCP;ACT	ADJ;MASC;SG
nasledujúci	suivante	nasledujúci	suivant	ADJ;INAN;NOM;MASC;SG;POS;V.PTCP;ACT	ADJ;FEM;SG
nasledujúci	prochaine	nasledujúci	prochain	ADJ;INAN;NOM;MASC;SG;POS;V.PTCP;ACT	ADJ;FEM;SG
keď	lorsque	keď	lorsque	CONJ	CONJ
keď	quand	keď	quand	CONJ	CONJ
mesto	ville	mesto	ville	N;NOM;NEUT;SG	N;FEM;SG
mesto	ville	mesto	ville	N;NOM;NEUT;SG	N;FEM;SG
počas	durant	počas	durant	ADP;GEN	ADP
počas	pendant	počas	pendant	ADP;GEN	ADP
rokov	années	rok	année	N;INAN;GEN;MASC;PL	N;FEM;PL
rokov	ans	rok	an	N;INAN;GEN;MASC;PL	N;MASC;PL
september	septembre	september	septembre	N;INAN;NOM;MASC;SG	N;MASC;SG
slovenský	slovaque	slovenský	slovaque	ADJ;ANIM;NOM;MASC;SG	ADJ;MASC;SG
slovenský	slovaque	slovenský	slovaque	ADJ;ANIM;NOM;MASC;SG	ADJ;MASC;SG
storočia	siècles	storočie	siècle	N;NOM;NEUT;PL	N;MASC;PL
stránka	page	stránka	page	N;NOM;FEM;SG	N;FEM;SG
stránka	site	stránka	site	N;NOM;FEM;SG	N;MASC;SG
skupiny	groupes	skupina	groupe	N;NOM;FEM;PL	N;MASC;PL
html	html	htmly	html	N;INAN;NOM;MASC;SG	N;MASC;SG
roka	annee	rok	annee	N;INAN;GEN;MASC;SG	N;FEM;SG
roka	an	rok	an	N;INAN;GEN;MASC;SG	N;MASC;SG
roka	année	rok	année	N;INAN;GEN;MASC;SG	N;FEM;SG
časť	section	časť	section	N;NOM;FEM;SG	N;FEM;SG
časť	partie	časť	partie	N;NOM;FEM;SG	N;FEM;SG
október	octobre	október	octobre	N;INAN;NOM;MASC;SG	N;MASC;SG
október	octobre	október	octobre	N;INAN;NOM;MASC;SG	N;MASC;SG
október	oct	október	oct	N;INAN;NOM;MASC;SG	N;MASC;SG
mesta	ville	mesto	ville	N;NOM;NEUT;SG	N;FEM;SG
mesta	ville	mesto	ville	N;NOM;NEUT;SG	N;FEM;SG
marec	marche	marec	marche	N;INAN;NOM;MASC;SG	N;FEM;SG
marec	mars	marec	mars	N;INAN;NOM;MASC;SG	N;MASC;SG
august	aout	august	août	N;INAN;NOM;MASC;SG	N;MASC;SG
august	août	august	août	N;INAN;NOM;MASC;SG	N;MASC;SG
august	aout	august	août	N;INAN;NOM;MASC;SG	N;MASC;SG
august	août	august	août	N;INAN;NOM;MASC;SG	N;MASC;SG
skupina	groupe	skupina	groupe	N;NOM;FEM;SG	N;MASC;SG
veľmi	très	veľmi	très	ADV	ADV
veľmi	trés	veľmi	trés	ADV	ADV
potom	ensuite	potom	ensuite	ADV	ADV
potom	alors	potom	alors	ADV	ADV
oficiálna	officielle	oficiálny	officiel	ADJ;NOM;FEM;SG	ADJ;FEM;SG
oficiálna	officiel	oficiálny	officiel	ADJ;NOM;FEM;SG	ADJ;MASC;SG
tento	cette	tento	ce	DET;INAN;NOM;MASC;SG	DET;FEM;SG
osobnosti	personnalités	osobnosť	personnalité	N;NOM;FEM;PL	N;FEM;PL
november	novembre	november	novembre	N;INAN;NOM;MASC;SG	N;MASC;SG
november	novembre	november	novembre	N;INAN;NOM;MASC;SG	N;MASC;SG
november	nov	november	novembre	N;INAN;NOM;MASC;SG	N;MASC;SG
december	décembre	december	décembre	N;INAN;NOM;MASC;SG	N;MASC;SG
december	decembre	december	decembre	N;INAN;NOM;MASC;SG	N;MASC;SG
december	dec	december	dec	N;INAN;NOM;MASC;SG	N;MASC;SG
december	déc	december	déc	N;INAN;NOM;MASC;SG	N;MASC;SG
stal	devenu	stať	devenir	V;ANIM;PFV;MASC;SG;POS;PST;V.PTCP	V;MASC;SG;PST;V.PTCP
stal	devenue	stať	devenir	V;ANIM;PFV;MASC;SG;POS;PST;V.PTCP	V;FEM;SG;PST;V.PTCP
stal	devint	stať	devenir	V;ANIM;PFV;MASC;SG;POS;PST;V.PTCP	V;IND;SG;3;PST;FIN
roky	années	rok	année	N;INAN;NOM;MASC;PL	N;FEM;PL
roky	ans	rok	an	N;INAN;NOM;MASC;PL	N;MASC;PL
oblasti	domaines	oblasť	domaine	N;NOM;FEM;PL	N;MASC;PL
oblasti	zones	oblasť	zone	N;NOM;FEM;PL	N;FEM;PL
január	janvier	január	janvier	N;INAN;NOM;MASC;SG	N;MASC;SG
súbor	dossier	súbor	dossier	N;INAN;NOM;MASC;SG	N;MASC;SG
súbor	fichier	súbor	fichier	N;INAN;NOM;MASC;SG	N;MASC;SG
proti	contre	proti	contre	ADP;DAT	ADP
apríl	apr	aprila	apr	N;INAN;NOM;MASC;SG	N;MASC;SG
apríl	avril	aprila	avril	N;INAN;NOM;MASC;SG	N;MASC;SG
apríl	avr	aprila	avr	N;INAN;NOM;MASC;SG	N;MASC;SG
apríl	avril	aprila	avril	N;INAN;NOM;MASC;SG	N;MASC;SG
sveta	monde	svet	monde	N;INAN;GEN;MASC;SG	N;MASC;SG
bez	sans	bez	sans	ADP;GEN	ADP
február	fevrier	február	fevrier	N;INAN;NOM;MASC;SG	N;MASC;SG
február	février	február	février	N;INAN;NOM;MASC;SG	N;MASC;SG
február	fév	február	fév	N;INAN;NOM;MASC;SG	N;MASC;SG
február	février	február	février	N;INAN;NOM;MASC;SG	N;MASC;SG
náhľad	aperçu	náhľad	aperçu	N;INAN;NOM;MASC;SG	N;MASC;SG
mužov	hommes	muž	homme	N;ANIM;ACC;MASC;PL	N;MASC;PL
názov	dénomination	názov	dénomination	N;INAN;NOM;MASC;SG	N;FEM;SG
názov	nom	názov	nom	N;INAN;NOM;MASC;SG	N;MASC;SG
názov	dénomination	názov	dénomination	N;INAN;NOM;MASC;SG	N;FEM;SG
názov	titre	názov	titre	N;INAN;NOM;MASC;SG	N;MASC;SG
prvý	première	prvý	premier	ADJ;ANIM;NOM;MASC;SG	ADJ;FEM;SG
prvý	premier	prvý	premier	ADJ;ANIM;NOM;MASC;SG	ADJ;MASC;SG
text	texte	text	texte	N;INAN;NOM;MASC;SG	N;MASC;SG
slovenskej	slovaque	slovenský	slovaque	ADJ;GEN;FEM;SG	ADJ;MASC;SG
spolu	ensemble	spolu	ensemble	ADV	ADV
okrem	sauf	okrem	sauf	ADP;GEN	ADP
bar	barreau	bar	barreau	N;INAN;NOM;MASC;SG	N;MASC;SG
bar	bar	bar	bar	N;INAN;NOM;MASC;SG	N;MASC;SG
bar	barre	bar	barre	N;INAN;NOM;MASC;SG	N;FEM;SG
americký	américaine	americký	américain	ADJ;ANIM;NOM;MASC;SG	ADJ;FEM;SG
americký	américain	americký	américain	ADJ;ANIM;NOM;MASC;SG	ADJ;MASC;SG
júl	juillet	júl	juillet	N;INAN;NOM;MASC;SG	N;MASC;SG
júl	jul	júl	jul	N;INAN;NOM;MASC;SG	N;MASC;SG
cez	via	cez	via	ADP;ACC	ADP
cez	via	cez	via	ADP;ACC	ADP
objavil	découvert	objaviť	découvrir	V;ANIM;PFV;MASC;SG;POS;PST;V.PTCP	V;MASC;SG;PST;V.PTCP
vojny	guerres	vojna	guerre	N;NOM;FEM;PL	N;FEM;PL
rok	annee	rok	annee	N;INAN;NOM;MASC;SG	N;FEM;SG
rok	an	rok	an	N;INAN;NOM;MASC;SG	N;MASC;SG
rok	année	rok	année	N;INAN;NOM;MASC;SG	N;FEM;SG
ulica	rue	ulica	rue	N;NOM;FEM;SG	N;FEM;SG
album	album	album	album	N;INAN;NOM;MASC;SG	N;MASC;SG
dátum	date	dátum	date	N;INAN;NOM;MASC;SG	N;FEM;SG
žien	femelles	žena	femelle	N;GEN;FEM;PL	N;FEM;PL
žien	femmes	žena	femme	N;GEN;FEM;PL	N;FEM;PL
žien	femmes	žena	femme	N;GEN;FEM;PL	N;FEM;PL
januára	janvier	január	janvier	N;INAN;GEN;MASC;SG	N;MASC;SG
majú	avoir	mať	avoir	V;IPFV;IND;PL;3;POS;PRS;FIN	V;NFIN
toto	cette	toto	ce	DET;NOM;NEUT;SG	DET;FEM;SG
mestá	bourgs	mesto	bourg	N;NOM;NEUT;PL	N;MASC;PL
mestá	villes	mesto	ville	N;NOM;NEUT;PL	N;FEM;PL
svoje	sa	svoj	son	DET;ACC;NEUT;SG;REFL	DET;FEM;SG
svoje	son	svoj	son	DET;ACC;NEUT;SG;REFL	DET;MASC;SG
často	souvent	často	souvent	ADV	ADV
často	fréquemment	často	fréquemment	ADV	ADV
často	souvent	často	souvent	ADV	ADV
šablóny	modèles	šablón	modèle	N;INAN;NOM;MASC;PL	N;MASC;PL
šablóny	gabarits	šablón	gabarit	N;INAN;NOM;MASC;PL	N;MASC;PL
nové	nouveau	nový	nouveau	ADJ;NOM;NEUT;SG	ADJ;MASC;SG
nové	nouvelle	nový	nouveau	ADJ;NOM;NEUT;SG	ADJ;FEM;SG
štátu	etat	štát	etat	N;INAN;GEN;MASC;SG	N;MASC;SG
štátu	état	štát	état	N;INAN;GEN;MASC;SG	N;MASC;SG
ďalšie	supplémentaire	ďalší	supplémentaire	ADJ;NOM;NEUT;SG	ADJ;MASC;SG
