撤消	ανακαλέσει	撤消	ανακαλώ	V	V;PFV;IND;SG;3;FIN;ACT
鵝	χήνας	鵝	χήνας	N	N;GEN;FEM;SG
鵝	χήνα	鵝	χήνας	N	N;NOM;FEM;SG
鵝	χήνες	鵝	χήνη	N	N;NOM;FEM;PL
彈劾	μομφή	彈劾	μομφή	N	N;NOM;FEM;SG
彈劾	μομφής	彈劾	μομφή	N	N;GEN;FEM;SG
永恆	αιωνιότητα	永恆	αιωνιότητα	N	N;ACC;FEM;SG
永恆	αιώνιο	永恆	αιώνιος	N	N;NOM;NEUT;SG
永恆	αιώνια	永恆	αιώνιος	N	N;NOM;FEM;SG
甲殼	μαλακόστρακα	甲殼	μαλακόστρακος	N	N;NOM;NEUT;PL
捲	ρολό	捲	ρολός	N	N;NOM;NEUT;SG
卡車	φορτηγάκι	卡車	φορτηγάκι	N	N;NOM;NEUT;SG
卡車	φορτηγό	卡車	φορτηγός	N	N;NOM;NEUT;SG
卡車	φορτηγά	卡車	φορτηγός	N	N;NOM;NEUT;PL
阻力	αντοχή	阻力	αντοχή	N	N;ACC;FEM;SG
阻力	αντίστασης	阻力	αντίσταση	N	N;GEN;FEM;SG
阻力	αντίσταση	阻力	αντίσταση	N	N;ACC;FEM;SG
阻力	ανθεκτικότητα	阻力	ανθεκτικότητα	N	N;ACC;FEM;SG
沙拉	σαλάτα	沙拉	σαλάτα	N	N;NOM;FEM;SG
耳朵	αυτί	耳朵	αυτί	N	N;NOM;NEUT;SG
耳朵	αφτί	耳朵	αφτί	N	N;NOM;NEUT;SG
耳朵	αυτιά	耳朵	αυτιό	N	N;NOM;NEUT;PL
耳朵	αφτιά	耳朵	αφτιό	N	N;NOM;NEUT;PL
熔岩	λάβα	熔岩	λαμβάνω	N	N;NOM;FEM;SG
啟發	εμπνευσμένη	啟發	εμπνεύω	V	V;PFV;NOM;FEM;SG;V.PTCP;PASS
啟發	εμπνευσμένο	啟發	εμπνεύω	V	V;PFV;NOM;NEUT;SG;V.PTCP;PASS
啟發	ενέπνευσε	啟發	ενδνεύδω	V	V;PFV;IND;SG;3;PST;FIN;ACT
疼痛	άλγος	疼痛	άλγος	N	N;NOM;NEUT;SG
疼痛	πόνο	疼痛	πόνο	N	N;ACC;MASC;SG
疼痛	πόνος	疼痛	πόνος	N	N;NOM;MASC;SG
