dan	그리고	dan	그리고	CONJ	CONJ
bagian	섹션	bagian	섹션	N;SG	N
bagian	부분	bagian	부분	N;SG	N
bagian	부품	bagian	부품	N;SG	N
bagian	섹션	bagian	섹션	N;SG	N
bagian	부품	bagian	부품	N;SG	N
bagian	부분	bagian	부분	N;SG	N
spesies	종족	spesies	종족	N;SG	N
orang	사람	orang	사람	N;SG	N
orang	국민	orang	국민	N;SG	N
orang	사람	orang	사람	N;SG	N
orang	사람들	orang	사람+들	N;SG	N
mereka	그들이	mereka	그+들+이	PRO;PL;3	PRO
mereka	그들은	mereka	그+들+은	PRO;PL;3	PRO
kota	시내	kota	시내	N;SG	N
kota	도시	kota	도시	N;SG	N
kota	마을	kota	마을	N;SG	N
kota	도시	kota	도시	N;SG	N
kota	도시	kota	도시	N;SG	N
desa	마을	desa	마을	N;SG	N
desa	마을	desa	마을	N;SG	N
ada	존재함	ada	존재+하+ㅁ	V;SG	V
nama	이름	nama	이름	N;SG	N
nama	이름	nama	이름	N;SG	N
kayu	나무	kayu	나무	N;SG	N
kayu	목재	kayu	목재	N;SG	N
bahasa	언어	bahasa	언어	N;SG	N
bahasa	언어	bahasa	언어	N;SG	N
asteroid	소행성	asteroid	소행성	N	N
asteroid	소행성	asteroid	소행성	N	N
lain	다른	lain	다르+ㄴ	ADJ;SG	ADJ
film	필름	film	필름	N;SG	N
film	영화	film	영화	N;SG	N
film	영화	film	영화	N;SG	N
film	필름	film	필름	N;SG	N
film	영화	film	영화	N;SG	N
film	영화	film	영화	N;SG	N
saat	언제쯤	saat	언제+쯤	N;SG	N
kelas	클래스	kelas	클래스	N;SG	N
kelas	수업	kelas	수업	N;SG	N
kelas	학급	kelas	학급	N;SG	N
kelas	계급	kelas	계급	N;SG	N
kelas	클래스	kelas	클래스	N;SG	N
kelas	수업	kelas	수업	N;SG	N
negara	나라	negara	나라	N;SG	N
negara	국가	negara	국가	N;SG	N
negara	상태	negara	상태	N;SG	N
negara	국가	negara	국가	N;SG	N
biasanya	일반적으로	biasanya	일반+적+으로	ADV	ADV
biasanya	일반적으로	biasanya	일반+적+으로	ADV	ADV
kemudian	나중에	kemudian	나중+에	ADV	ADV
banyak	많이	banyak	많이	ADV	ADV
banyak	훨씬	banyak	훨씬	ADV	ADV
isi	콘텐츠	isi	콘텐츠	N;SG	N
isi	컨텐츠	isi	컨텐츠	N;SG	N
isi	내용	isi	내용	N;SG	N
isi	목차	isi	목차	N;SG	N
isi	콘텐츠	isi	콘텐츠	N;SG	N
isi	내용	isi	내용	N;SG	N
daftar	목록	daftar	목록	N;SG	N
daftar	명단	daftar	명단	N;SG	N
barat	서양	barat	서양	N;SG	N
wilayah	구역	wilayah	구역	N;SG	N
wilayah	영역	wilayah	영역	N;SG	N
wilayah	지역	wilayah	지역	N;SG	N
wilayah	지방	wilayah	지방	N;SG	N
wilayah	지역	wilayah	지역	N;SG	N
wilayah	지역	wilayah	지역	N;SG	N
wilayah	영토	wilayah	영토	N;SG	N
wilayah	영토	wilayah	영토	N;SG	N
wilayah	준주	wilayah	준주	N;SG	N
tanggal	데이트	tanggal	데이트	N;SG;ACT	N
tanggal	데이트	tanggal	데이트	N;SG;ACT	N
dunia	세상	dunia	세상	N;SG	N
dunia	세계	dunia	세계	N;SG	N
dunia	세계	dunia	세계	N;SG	N
timur	동부	timur	동부	N;SG	N
timur	동부	timur	동부	N;SG	N
tempat	장소	tempat	장소	N;SG	N
tempat	음식점	tempat	음식점	N;SG	N
tempat	장소	tempat	장소	N;SG	N
anak	아들	anak	아들	N;SG	N
anak	어린이들	anak	어린이+들	N;SG	N
anak	자녀	anak	자녀	N;SG	N
anak	어린이	anak	어린이	N;SG	N
