van	від	van	від	ADP	ADP;GEN
een	одне	een	один	DET;INDF	DET;NOM;NEUT;SG
voor	для	voor	для	ADP	ADP;GEN
uit	від	uit	від	ADP	ADP;GEN
ook	також	ook	також	ADV	ADV
ook	теж	ook	теж	ADV	ADV
ook	надто	ook	надто	ADV	ADV
ook	занадто	ook	занадто	ADV	ADV
score	рахунок	score	рахунок	N;MASC+FEM;SG	N;INAN;NOM;MASC;SG
score	результат	score	результат	N;MASC+FEM;SG	N;INAN;NOM;MASC;SG
score	оцінка	score	оцінка	N;MASC+FEM;SG	N;INAN;NOM;FEM;SG
tot	до	tot	до	ADP	ADP;GEN
naam	назва	naam	назва	N;MASC+FEM;SG	N;INAN;NOM;FEM;SG
soort	вид	soort	вид	N;SG	N;INAN;NOM;MASC;SG
soort	різновид	soort	різновид	N;SG	N;INAN;NOM;MASC;SG
soort	типу	soort	тип	N;SG	N;INAN;NOM;MASC;SG
soort	тип	soort	тип	N;SG	N;INAN;NOM;MASC;SG
soort	виді	soort	вид	N;SG	N;INAN;DAT;MASC;SG
soort	вид	soort	вид	N;SG	N;INAN;NOM;MASC;SG
familie	сімейство	familie	сімейство	N;MASC+FEM;SG	N;INAN;NOM;NEUT;SG
familie	родина	familie	родина	N;MASC+FEM;SG	N;INAN;NOM;FEM;SG
eerst	перше	eerst	перше	ADV	ADV
maar	але	maar	але	CONJ	CONJ
gepubliceerd	оприлюднено	publiceren	оприлюднити	V;V.PTCP	V;PFV;IND;0;FIN
gepubliceerd	опубліковано	publiceren	опубліковано	V;V.PTCP	V;PFV;IND;0;FIN
geldig	чинного	geldig	чинний	ADJ	ADJ;GEN;MASC;SG
geldig	дійсний	geldig	дійсний	ADJ	ADJ;NOM;MASC;SG
geldig	чинний	geldig	чинний	ADJ	ADJ;NOM;MASC;SG
geldig	чинну	geldig	чинний	ADJ	ADJ;ACC;FEM;SG
over	про	over	про	ADP	ADP;ACC
over	щодо	over	щодо	ADP	ADP;GEN
over	над	over	над	ADP	ADP;ACC
heeft	має	hebben	мати	V;SG;PRS;FIN	V;IPFV;IND;SG;3;PRS;FIN
dan	потім	dan	потім	ADV	ADV
dan	тоді	dan	тоді	ADV	ADV
plaats	місце	plaats	місце	N;MASC+FEM;SG	N;INAN;NOM;NEUT;SG
cest	cest	cest	cest		
onder	під	onder	під	ADP	ADP;ACC
team	відділення	team	відділення	N;NEUT;SG	N;INAN;NOM;NEUT;SG
team	загін	team	загін	N;NEUT;SG	N;INAN;NOM;MASC;SG
team	команда	team	команда	N;NEUT;SG	N;INAN;NOM;FEM;SG
nog	ще	nog	ще	ADV	ADV
nog	надалі	nog	надалі	ADV	ADV
nog	досі	nog	досі	ADV	ADV
eerste	перша	één	перший	ADJ	ADJ;NOM;FEM;SG
eerste	перший	één	перший	ADJ	ADJ;NOM;MASC;SG
cet	cet	cet	cet		
geen	жодного	geen	жодний	DET	DET;GEN;MASC;SG
geen	жодних	geen	жодний	DET	DET;GEN;PL
haar	її	haar	вона	PRO;ACC;3	PRO;ACC;FEM;SG;3
wel	добре	wel	добре	ADV	ADV
wel	імхо	wel	імхо	ADV	ADV
jaar	рік	jaar	рік	N;NEUT;SG	N;INAN;NOM;MASC;SG
twee	два	twee	два	NUM	NUM;NOM;MASC
twee	дві	twee	два	NUM	NUM;NOM;FEM
twee	двоє	twee	двоє	NUM	NUM;NOM
twee	двох	twee	два	NUM	NUM;ACC
inwoners	мешканці	inwoner	мешканець	N;PL	N;ANIM;NOM;MASC;PL
inwoners	мешканці	inwoner	мешканець	N;PL	N;ANIM;NOM;MASC;PL
inwoners	мешканців	inwoner	мешканець	N;PL	N;ANIM;ACC;MASC;PL
wat	що	wat	що	PRO;3	PRO;INAN;NOM;NEUT;SG
wat	чим	wat	що	PRO;3	PRO;INAN;INS;NEUT;SG
deel	частина	deel	частина	N;NEUT;SG	N;INAN;NOM;FEM;SG
deel	акція	deel	акція	N;NEUT;SG	N;INAN;NOM;FEM;SG
deel	поширення	deel	поширення	N;NEUT;SG	N;INAN;NOM;NEUT;SG
externe	зовнішнє	extern	зовнішній	ADJ	ADJ;NOM;NEUT;SG
externe	зовнішні	extern	зовнішній	ADJ	ADJ;NOM;PL
externe	зовнішній	extern	зовнішній	ADJ	ADJ;NOM;MASC;SG
externe	зовнішня	extern	зовнішній	ADJ	ADJ;NOM;FEM;SG
overleg	консультацію	overleg	консультація	N;NEUT;SG	N;INAN;ACC;FEM;SG
overleg	консультація	overleg	консультація	N;NEUT;SG	N;INAN;NOM;FEM;SG
tussen	між	tussen	між	ADP	ADP;INS
had	мав	hebben	мати	V;SG;PST;FIN	V;IPFV;MASC;IND;SG;PST;FIN
waar	звідки	waar	звідки	ADV	ADV
waar	де	waar	де	ADV	ADV
waar	куди	waar	куди	ADV	ADV
komt	приходить	komen	приходити	V;SG;PRS;FIN	V;IPFV;IND;SG;3;PRS;FIN
tweede	другий	twee	другий	ADJ	ADJ;NOM;MASC;SG
tweede	друге	twee	другий	ADJ	ADJ;NOM;NEUT;SG
zie	подивитися	zien	подивитися	V;SG;PRS;FIN	V;PFV;NFIN
zie	бачу	zien	бачити	V;SG;PRS;FIN	V;IPFV;IND;SG;1;PRS;FIN
zie	переглянути	zien	переглянути	V;SG;PRS;FIN	V;PFV;NFIN
geslacht	стать	geslacht	стать	N;NEUT;SG	N;INAN;NOM;FEM;SG
geslacht	стать	geslacht	стать	N;NEUT;SG	N;INAN;NOM;FEM;SG
geslacht	секс	geslacht	секс	N;NEUT;SG	N;INAN;NOM;MASC;SG
grote	великі	groot	великий	ADJ	ADJ;NOM;PL
grote	великих	groot	великий	ADJ	ADJ;ANIM;ACC;PL
grote	великі	groot	великий	ADJ	ADJ;NOM;PL
grote	велике	groot	великий	ADJ	ADJ;NOM;NEUT;SG
grote	велика	groot	великий	ADJ	ADJ;NOM;FEM;SG
grote	великий	groot	великий	ADJ	ADJ;NOM;MASC;SG
bar	бар	bar	бар	N;MASC+FEM;SG	N;INAN;NOM;MASC;SG
bar	смужка	bar	смужка	N;MASC+FEM;SG	N;INAN;NOM;FEM;SG
aantal	число	aantal	число	N;NEUT;SG	N;INAN;NOM;NEUT;SG
aantal	кількість	aantal	кількість	N;NEUT;SG	N;INAN;NOM;FEM;SG
aantal	номер	aantal	номер	N;NEUT;SG	N;INAN;NOM;MASC;SG
aantal	номера	aantal	номера	N;NEUT;SG	N;INAN;GEN;MASC;SG
telt	рахує	tellen	рахувати	V;SG;PRS;FIN	V;IPFV;IND;SG;3;PRS;FIN
nieuwe	нові	nieuw	новий	ADJ	ADJ;NOM;PL
nieuwe	нове	nieuw	новий	ADJ	ADJ;NOM;NEUT;SG
nieuwe	нова	nieuw	новий	ADJ	ADJ;NOM;FEM;SG
nieuwe	новий	nieuw	новий	ADJ	ADJ;NOM;MASC;SG
zij	вона	zij	вона	PRO;NOM;3	PRO;NOM;FEM;SG;3
zij	вони	zij	вони	PRO;NOM;3	PRO;NOM;PL;3
jaren	роки	jaar	рік	N;PL	N;INAN;NOM;MASC;PL
artikel	стаття	artikel	стаття	N;NEUT;SG	N;INAN;NOM;FEM;SG
artikel	статтю	artikel	стаття	N;NEUT;SG	N;INAN;ACC;FEM;SG
via	через	via	через	ADP	ADP;ACC
gebied	зона	gebied	зона	N;NEUT;SG	N;INAN;NOM;FEM;SG
gebied	область	gebied	область	N;NEUT;SG	N;INAN;NOM;FEM;SG
gebied	ділянка	gebied	ділянка	N;NEUT;SG	N;INAN;NOM;FEM;SG
gebied	площа	gebied	площа	N;NEUT;SG	N;INAN;NOM;FEM;SG
gebied	місцевість	gebied	місцевість	N;NEUT;SG	N;INAN;NOM;FEM;SG
hem	нього	hem	він	PRO;ACC;3	PRO;ACC;MASC;SG;3
hem	його	hem	він	PRO;ACC;3	PRO;ACC;MASC;SG;3
nederlandse	нідерландська	nederlands	нідерландський	ADJ	ADJ;NOM;FEM;SG
nederlandse	голландська	nederlands	голландський	ADJ	ADJ;NOM;FEM;SG
alle	усі	al	увесь	DET	DET;NOM;PL
alle	всі	al	весь	DET	DET;NOM;PL
stad	містечко	stad	містечко	N;MASC+FEM;SG	N;INAN;NOM;NEUT;SG
stad	місто	stad	місто	N;MASC+FEM;SG	N;INAN;NOM;NEUT;SG
stad	місто	stad	місто	N;MASC+FEM;SG	N;INAN;NOM;NEUT;SG
