une	eine	un	ein	DET;INDF;FEM;SG	DET;NOM;INDF;FEM;SG
catégorie	kategorie	catégorie	kategorie	N;FEM;SG	N;NOM;FEM;SG
pour	für	pour	für	ADP	ADP
que	dass	que	dass	CONJ	CONJ
avec	mit	avec	mit	ADP	ADP
son	seinem	son	sein	DET;MASC;SG	DET;DAT;MASC;SG
son	seinen	son	sein	DET;MASC;SG	DET;ACC;MASC;SG
son	seine	son	sein	DET;MASC;SG	DET;NOM;FEM;SG
son	sein	son	sein	DET;MASC;SG	DET;NOM;MASC;SG
son	seiner	son	sein	DET;MASC;SG	DET;NOM;MASC;SG
son	ihre	son	ihr	DET;MASC;SG	DET;NOM;FEM;SG
son	seine	son	sein	DET;MASC;SG	DET;NOM;FEM;SG
son	seiner	son	sein	DET;MASC;SG	DET;NOM;MASC;SG
plus	zuzüglich	plus	zuzüglich	ADV	ADV
plus	mehr	plus	mehr	ADV	ADV
sont	sind	être	sein	V;IND;PL;3;PRS;FIN	V;IND;PL;3;PRS;FIN
elle	sie	elle	sie	PRO;FEM;SG;3	PRO;NOM;FEM;SG;3
comme	wie	comme	wie	ADP	ADP
mais	aber	mais	aber	CONJ	CONJ
deux	zwei	deux	zwei	NUM	NUM
naissance	geburt	naissance	geburen	N;FEM;SG	N;SG
aussi	ausserdem	aussi	ausserdem	ADV	ADV
aussi	ebenso	aussi	ebenso	ADV	ADV
aussi	außerdem	aussi	außerdem	ADV	ADV
aussi	ebenfalls	aussi	ebenfalls	ADV	ADV
aussi	auch	aussi	auch	ADV	ADV
après	nach	après	nach	ADP	ADP
fait	hergestellt	faire	herstellen	V;MASC;SG;PST;V.PTCP	V;V.PTCP
fait	machte	faire	machen	V;MASC;SG;PST;V.PTCP	V;IND;SG;3;PST;FIN
fait	gemacht	faire	machen	V;MASC;SG;PST;V.PTCP	V;V.PTCP
fait	geschafft	faire	schaffen	V;MASC;SG;PST;V.PTCP	V;V.PTCP
fait	erledigt	faire	erledigen	V;MASC;SG;PST;V.PTCP	V;V.PTCP
fait	getan	faire	tun	V;MASC;SG;PST;V.PTCP	V;V.PTCP
fait	gemacht	faire	machen	V;MASC;SG;PST;V.PTCP	V;V.PTCP
fait	geschafft	faire	schaffen	V;MASC;SG;PST;V.PTCP	V;V.PTCP
notes	hinweise	note	hinweisen	N;FEM;PL	N;NOM;FEM;PL
entre	zwischen	entre	zwischen	ADP	ADP
sous	unter	sous	unter	ADP	ADP
même	überhaupt	même	überhaupt	ADV	ADV
même	selbst	même	selbst	ADV	ADV
même	sogar	même	sogar	ADV	ADV
même	auch	même	auch	ADV	ADV
même	gleich	même	gleich	ADV	ADV
même	dasselbe	même	dasselbe	ADV	ADV
nom	name	nom	Name	N;MASC;SG	N;NOM;SG
français	französisch	français	französisch	ADJ;MASC;SG	ADJ
français	franzosen	français	franzosen	ADJ;MASC;SG	ADJ
lui	er	lui	er	PRO;SG;3	PRO;NOM;MASC;SG;3
lui	ihn	lui	er	PRO;SG;3	PRO;ACC;MASC;SG;3
lui	ihm	lui	er	PRO;SG;3	PRO;DAT;MASC;SG;3
lieu	ort	lieu	ort	N;MASC;SG	N;NOM;MASC;SG
lieu	ort	lieu	ort	N;MASC;SG	N;NOM;MASC;SG
lieu	ort	lieu	ort	N;MASC;SG	N;NOM;MASC;SG
lieu	standorte	lieu	standort	N;MASC;SG	N;NOM
cet	dieser	ce	dies	PRO;SG;3	PRO;NOM;MASC;SG
cet	diese	ce	dies	PRO;SG;3	PRO;NOM;FEM;SG
cet	das	ce	der	PRO;SG;3	PRO;NOM;NEUT;SG
décès	todesstrafe	décès	todesstraf	N;MASC;SG	N;NOM;FEM;SG
commune	gemeinde	commune	gemeinde	N;FEM;SG	N;NOM;FEM;SG
commune	kommune	commune	kommun	N;FEM;SG	N;NOM;FEM;SG
depuis	seit	depuis	seit	ADP	ADP
depuis	von	depuis	von	ADP	ADP
depuis	ab	depuis	ab	ADP	ADP
depuis	aus	depuis	aus	ADP	ADP
première	erster	premier	erst	ADJ;FEM;SG	ADJ;NOM;MASC;SG
alors	dann	alors	dann	ADV	ADV
alors	damals	alors	damals	ADV	ADV
alors	danach	alors	danach	ADV	ADV
externes	externen	externe	extern	ADJ;MASC;PL	ADJ
site	website	site	websit	N;MASC;SG	N;SG
site	website	site	websit	N;MASC;SG	N;SG
site	seite	site	seit	N;MASC;SG	N
premier	ministerpräsident	premier	ministerpräsident	ADJ;MASC;SG	ADJ
premier	erster	premier	erst	ADJ;MASC;SG	ADJ;NOM;MASC;SG
fut	war	être	sein	V;IND;SG;3;PST;FIN	V;IND;SG;3;PST;FIN
