γενιές	generácie	γενιά	generácia	N;NOM;FEM;PL	N;NOM;FEM;PL
δολάριο	dolár	δολάριο	dolár	N;NOM;NEUT;SG	N;INAN;NOM;MASC;SG
βοηθώντας	pomáhať	βοηθώ	pomáhať	V;IPFV;V.CVB;ACT	V;IPFV;POS;NFIN
σύνθημα	motto	σύνθημα	motto	N;NOM;NEUT;SG	N;NOM;NEUT;SG
σύνθημα	heslo	σύνθημα	heslo	N;NOM;NEUT;SG	N;NOM;NEUT;SG
σύνθημα	slogan	σύνθημα	slogan	N;NOM;NEUT;SG	N;INAN;NOM;MASC;SG
επιτεύγματα	úspechy	επίτευγμα	úspech	N;NOM;NEUT;PL	N;INAN;NOM;MASC;PL
επιτεύγματα	úspechy	επίτευγμα	úspech	N;NOM;NEUT;PL	N;INAN;NOM;MASC;PL
κεραυνός	hrom	κεραυνός	hrom	N;NOM;MASC;SG	N;INAN;NOM;MASC;SG
κεραυνός	thunderbolt	κεραυνός	thunderbolt	N;NOM;MASC;SG	N;INAN;NOM;MASC;SG
κεραυνός	blesk	κεραυνός	blesk	N;NOM;MASC;SG	N;INAN;NOM;MASC;SG
παρών	prítomnosť	παράνω	prítomnosť	N;NOM;MASC;SG	N;NOM;FEM;SG
παρών	darček	παράνω	darček	N;NOM;MASC;SG	N;INAN;NOM;MASC;SG
αραβικό	arabské	αραβικός	arabský	ADJ;NOM;NEUT;SG	ADJ;NOM;NEUT;SG
αραβικό	arabské	αραβικός	arabský	ADJ;NOM;NEUT;SG	ADJ;NOM;NEUT;SG
αραβικό	arabské	αραβικός	arabský	ADJ;NOM;NEUT;SG	ADJ;NOM;NEUT;SG
κοιλιά	bruško	κοιλιός	bruško	N;NOM;FEM;SG	N;NOM;NEUT;SG
κοιλιά	brucho	κοιλιός	brucho	N;NOM;FEM;SG	N;NOM;NEUT;SG
κοιλιά	bruško	κοιλιός	bruško	N;NOM;FEM;SG	N;NOM;NEUT;SG
κοιλιά	brucho	κοιλιός	brucho	N;NOM;FEM;SG	N;NOM;NEUT;SG
πυρ	oheň	πυρ	oheň	N;NOM;NEUT;SG	N;INAN;NOM;MASC;SG
πυρ	požiar	πυρ	požiar	N;NOM;NEUT;SG	N;INAN;NOM;MASC;SG
προσφέροντας	ponúka	προσφέρω	ponúkať	V;IPFV;V.CVB;ACT	V;IPFV;IND;SG;3;POS;PRS;FIN
προσφέροντας	ponúkajú	προσφέρω	ponúkať	V;IPFV;V.CVB;ACT	V;IPFV;IND;PL;3;POS;PRS;FIN
ακουστική	akustické	ακουστικός	akustický	ADJ;NOM;FEM;SG	ADJ;NOM;NEUT;SG
πολωνική	poľská	πολωνικός	poľský	ADJ;NOM;FEM;SG	ADJ;NOM;FEM;SG
πολωνική	poľské	πολωνικός	poľský	ADJ;NOM;FEM;SG	ADJ;NOM;NEUT;SG
πολωνική	poľský	πολωνικός	poľský	ADJ;NOM;FEM;SG	ADJ;ANIM;NOM;MASC;SG
αμοιβή	poplatok	αμοιβός	poplatok	N;NOM;FEM;SG	N;INAN;NOM;MASC;SG
αμοιβή	honorár	αμοιβός	honorár	N;NOM;FEM;SG	N;INAN;NOM;MASC;SG
αμοιβή	odmeňovanie	αμοιβός	odmeňovanie	N;NOM;FEM;SG	N;NOM;NEUT;SG
αμοιβή	odmena	αμοιβός	odmena	N;NOM;FEM;SG	N;NOM;FEM;SG
αμοιβή	odmena	αμοιβός	odmena	N;NOM;FEM;SG	N;NOM;FEM;SG
μύθοι	mýty	μύθος	mýty	N;NOM;MASC;PL	N;INAN;NOM;MASC;PL
μύθοι	legendy	μύθος	legenda	N;NOM;MASC;PL	N;NOM;FEM;PL
υψηλότερα	vyššie	ψηλά	vysoko	ADV;CMPR	ADV;CMPR
μέτρια	médium	μέτρι	médium	N;NOM;FEM;SG	N;NOM;NEUT;SG
επηρεάσει	ovplyvniť	επηρεάζω	ovplyvniť	V;PFV;IND;SG;3;FIN;ACT	V;PFV;POS;NFIN
επηρεάσει	ovplyvnil	επηρεάζω	ovplyvniť	V;PFV;IND;SG;3;FIN;ACT	V;ANIM;PFV;MASC;SG;POS;PST;V.PTCP
ποσά	čiastky	ποσό	čiastka	N;NOM;NEUT;PL	N;NOM;FEM;PL
ποσά	množstvá	ποσό	množstvo	N;NOM;NEUT;PL	N;NOM;NEUT;PL
ποσά	sumy	ποσό	suma	N;NOM;NEUT;PL	N;NOM;FEM;PL
συνταγματική	ústavné	συνταγματικός	ústavný	ADJ;NOM;FEM;SG	ADJ;NOM;NEUT;SG
συνταγματική	ústavný	συνταγματικός	ústavný	ADJ;NOM;FEM;SG	ADJ;INAN;NOM;MASC;SG
υποδομών	infraštruktúr	υποδομή	infraštruktúra	N;GEN;FEM;PL	N;GEN;FEM;PL
μάζες	hmotností	μάζη	hmotnosť	N;NOM;FEM;PL	N;NOM;FEM;PL
μάζες	hmotnosti	μάζη	hmotnosť	N;NOM;FEM;PL	N;NOM;FEM;PL
μάζες	masy	μάζη	masy	N;NOM;FEM;PL	N;NOM;FEM;PL
στροφές	rýchlosti	στροφή	rýchlosť	N;NOM;FEM;PL	N;NOM;FEM;PL
στροφές	otáčky	στροφή	otáčka	N;NOM;FEM;PL	N;NOM;FEM;PL
τραπέζι	stôl	τραπέζι	stôl	N;NOM;NEUT;SG	N;INAN;NOM;MASC;SG
τραπέζι	tabuľka	τραπέζι	tabuľka	N;NOM;NEUT;SG	N;NOM;FEM;SG
δορυφόρους	satelity	δορύφορος	satelita	N;NOM;MASC;PL	N;NOM;FEM;PL
διακρίνει	rozlišuje	διακρίνω	rozlišovať	V;IPFV;IND;SG;3;PRS;FIN;ACT	V;IPFV;IND;SG;3;POS;PRS;FIN
φλόγα	plameň	φλόγα	plameň	N;NOM;FEM;SG	N;INAN;NOM;MASC;SG
οργανώνει	organizuje	οργανώνω	organizovať	V;IPFV;IND;SG;3;PRS;FIN;ACT	V;IPFV;IND;SG;3;POS;PRS;FIN
