til	varten	til	varten	ADV	ADV
med	mukaan	med	mukaan	ADV	ADV
med	mukana	med	mukana	ADV	ADV
med	kanssa	med	kanssa	ADV	ADV
der	tuolla	der	tuolla	ADV	ADV
der	siellä	der	siellä	ADV	ADV
var	oli	være	olla	V;IND;PST;FIN;ACT	V;IND;SG;3;PST;FIN;ACT
blev	oli	blive	olla	V;IND;PST;FIN;ACT	V;IND;SG;3;PST;FIN;ACT
blev	pysynyt	blive	pysyä	V;IND;PST;FIN;ACT	V;NOM;SG;V.PTCP;ACT
blev	jäi	blive	jäädä	V;IND;PST;FIN;ACT	V;IND;SG;3;PST;FIN;ACT
blev	pysyi	blive	pysyä	V;IND;PST;FIN;ACT	V;IND;SG;3;PST;FIN;ACT
fra	alkaen	fra	alkaen	ADV	ADV
har	on	have	olla	V;IND;PRS;FIN;ACT	V;IND;SG;3;PRS;FIN;ACT
ved	tietää	vide	tietää	V;IND;PRS;FIN;ACT	V;IND;SG;PRS;FIN;ACT
men	mutta	men	mutta	CONJ	CONJ
også	lisäksi	også	lisäksi	ADV	ADV
også	myöskin	også	myöskin	ADV	ADV
også	myös	også	myös	ADV	ADV
også	liian	også	liian	ADV	ADV
efter	jälkeen	efter	jälkeen	ADV	ADV
havde	oli	have	olla	V;IND;PST;FIN;ACT	V;IND;SG;3;PST;FIN;ACT
under	alapuolelle	under	alapuolelle	ADV	ADV
under	alle	under	alle	ADV	ADV
under	alapuolella	under	alapuolella	ADV	ADV
under	alla	under	alla	ADV	ADV
under	alta	under	alta	ADV	ADV
under	alle	under	alle	ADV	ADV
under	alla	under	alla	ADV	ADV
over	ohi	over	ohi	ADV	ADV
over	yli	over	yli	ADV	ADV
over	yläpuolelle	over	yläpuolelle	ADV	ADV
over	yläpuolelta	over	yläpuolelta	ADV	ADV
over	yllä	over	yllä	ADV	ADV
over	yläpuolella	over	yläpuolella	ADV	ADV
over	edellä	over	edellä	ADV	ADV
første	ensimmäinen	første	ensimmäinen	ADJ	ADJ;NOM;SG
henvisninger	viittaukset	henvisning	viittaus	N;INDF;MASC+FEM;PL	N;NOM;PL
henvisninger	viittaukset	henvisning	viittaus	N;INDF;MASC+FEM;PL	N;NOM;PL
henvisninger	viitteet	henvisning	viite	N;INDF;MASC+FEM;PL	N;NOM;PL
dansk	tanskalainen	dansk	tanskalainen	ADJ;INDF;SG	ADJ;NOM;SG
mod	rohkeus	mod	rohkeus	N;INDF;NEUT;SG	N;NOM;SG
mod	rohkeutta	mod	rohkeus	N;INDF;NEUT;SG	N;PRT;SG
mod	mod	mod	mod	N;INDF;NEUT;SG	N;NOM;SG
hun	hän	hun	hän	PRO;NOM;MASC+FEM;SG;3	PRO;NOM;SG;3
andre	muut	anden	muu	PRO;PL	PRO;NOM;PL
andre	muut	anden	muu	PRO;PL	PRO;NOM;PL
andre	muita	anden	muu	PRO;PL	PRO;PRT;PL
denne	tämän	denne	tämä	PRO;MASC+FEM;SG	PRO;GEN;SG
denne	tätä	denne	tämä	PRO;MASC+FEM;SG	PRO;PRT;SG
denne	tästä	denne	tämä	PRO;MASC+FEM;SG	PRO;IN+ABL;SG
denne	tämä	denne	tämä	PRO;MASC+FEM;SG	PRO;NOM;SG
fik	sai	få	saada	V;IND;PST;FIN;ACT	V;IND;SG;0;PST;FIN;ACT
fik	sain	få	saada	V;IND;PST;FIN;ACT	V;IND;SG;1;PST;FIN;ACT
del	osa	del	osa	N;INDF;MASC+FEM;SG	N;NOM;SG
del	osuus	del	osuus	N;INDF;MASC+FEM;SG	N;NOM;SG
født	syntynyt	føde	syntyä	V;INDF;SG;PST;V.PTCP	V;NOM;SG;V.PTCP;ACT
født	syntyi	føde	syntyä	V;INDF;SG;PST;V.PTCP	V;IND;SG;3;PST;FIN;ACT
dette	tämän	denne	tämä	PRO;NEUT;SG	PRO;GEN;SG
dette	tätä	denne	tämä	PRO;NEUT;SG	PRO;PRT;SG
dette	tästä	denne	tämä	PRO;NEUT;SG	PRO;IN+ABL;SG
dette	tämä	denne	tämä	PRO;NEUT;SG	PRO;NOM;SG
team	tiimi	team	tiimi	N;INDF;NEUT;SG	N;NOM;SG
team	ryhmä	team	ryhmä	N;INDF;NEUT;SG	N;NOM;SG
team	joukkue	team	joukkue	N;INDF;NEUT;SG	N;NOM;SG
senere	myöhemmin	senere	myöhemmin	ADV;CMPR	ADV
kun	ainoastaan	kun	ainoastaan	ADV	ADV
kun	vain	kun	vain	ADV	ADV
dog	kuitenkin	dog	kuitenkin	ADV	ADV
dog	kuitenkin	dog	kuitenkin	ADV	ADV
tidligere	aikaisemmin	tidligere	aikaisemmin	ADV;CMPR	ADV
tidligere	aiemmin	tidligere	aiemmin	ADV;CMPR	ADV
tidligere	aikaisemmin	tidligere	aikaisemmin	ADV;CMPR	ADV
tidligere	aiemmin	tidligere	aiemmin	ADV;CMPR	ADV
mere	lisää	mere	lisää	ADV;CMPR	ADV
mere	enemmän	mere	enemmän	ADV;CMPR	ADV
store	suuret	stor	suuri	ADJ;PL	ADJ;NOM;PL
store	suuria	stor	suuri	ADJ;PL	ADJ;PRT;PL
store	isot	stor	iso	ADJ;PL	ADJ;NOM;PL
sammen	kimpassa	sammen	kimpassa	ADV	ADV
sammen	yhdessä	sammen	yhdessä	ADV	ADV
bliver	jäämässä	blive	jäädä	V;IND;PRS;FIN;ACT	V;IN+ESS;SG;NFIN;ACT
ham	hänet	han	hän	PRO;ACC;MASC+FEM;SG;3	PRO;ACC;SG;3
omkring	noin	omkring	noin	ADV	ADV
omkring	ympärillä	omkring	ympärillä	ADV	ADV
omkring	ympäri	omkring	ympäri	ADV	ADV
blevet	ollut	blive	olla	V;INDF;SG;PST;V.PTCP	V;NOM;SG;V.PTCP;ACT
blevet	ollu	blive	olla	V;INDF;SG;PST;V.PTCP	V;NOM;SG;V.PTCP;ACT
blevet	oltu	blive	olla	V;INDF;SG;PST;V.PTCP	V;NOM;SG;V.PTCP;ACT
kom	tuli	komme	tulla	V;IND;PST;FIN;ACT	V;IND;SG;0;PST;FIN;ACT
tre	kolme	tre	kolme	NUM	NUM;NOM;SG
byen	kaupunki	by	kaupunki	N;DEF;MASC+FEM;SG	N;NOM;SG
byen	kaupunki	by	kaupunki	N;DEF;MASC+FEM;SG	N;NOM;SG
byen	paikkakunta	by	paikka#kunta	N;DEF;MASC+FEM;SG	N;NOM;SG
disse	nämä	denne	tämä	PRO;PL	PRO;NOM;PL
disse	näitä	denne	tämä	PRO;PL	PRO;PRT;PL
nogle	joitakin	nogen	jokin	PRO;PL	PRO;PRT;PL
nogle	jotkut	nogen	joku	PRO;PL	PRO;NOM;PL
maj	touko	maj	touko	N;INDF;MASC+FEM;SG	N;NOM;SG
maj	toukokuu	maj	toukokuu	N;INDF;MASC+FEM;SG	N;NOM;SG
maj	toukokuun	maj	toukokuu	N;INDF;MASC+FEM;SG	N;GEN;SG
maj	toukokuuta	maj	toukokuu	N;INDF;MASC+FEM;SG	N;PRT;SG
andet	muu	anden	muu	PRO;NEUT;SG	PRO;NOM;SG
dag	päivä	dag	päivä	N;INDF;MASC+FEM;SG	N;NOM;SG
dag	päivän	dag	päivä	N;INDF;MASC+FEM;SG	N;GEN;SG
her	täällä	her	täällä	ADV	ADV
tilbage	takaisin	tilbage	takaisin	ADV	ADV
tilbage	taaksepäin	tilbage	taaksepäin	ADV	ADV
kommune	kommuuni	kommune	kommu	N;INDF;MASC+FEM;SG	N;NOM;SG
kommune	kunta	kommune	kunta	N;INDF;MASC+FEM;SG	N;NOM;SG
kommune	kunta	kommune	kunta	N;INDF;MASC+FEM;SG	N;NOM;SG
død	kuolemaa	død	kuolema	N;INDF;MASC+FEM;SG	N;PRT;SG
død	kuoleman	død	kuolema	N;INDF;MASC+FEM;SG	N;GEN;SG
