geograficzna	جغرافیائی	geograficzny	جغرافیائی	ADJ;NOM;FEM;SG	ADJ;NOM
fizyczny	جسمانی	fizyczny	جسمانی	ADJ;NOM;MASC;SG	ADJ
negatywny	ناموافق	negatywny	ناموافق	ADJ;NOM;MASC;SG	ADJ
negatywny	نامساعد	negatywny	نامساعد	ADJ;NOM;MASC;SG	ADJ
negatywny	ناموافق	negatywny	ناموافق	ADJ;NOM;MASC;SG	ADJ
negatywny	نامساعد	negatywny	نامساعد	ADJ;NOM;MASC;SG	ADJ
negatywny	منفی	negatywny	منفی	ADJ;NOM;MASC;SG	ADJ
patronat	سرپرستی	patronat	سرپرستی	N;NOM;MASC;SG	N;NOM;MASC;SG;3
wszechświat	کائنات	wszechświat	کائنات	N;NOM;MASC;SG	N;NOM;MASC;SG;3
dusze	روح	dusza	روح	N;NOM;FEM;SG	N;NOM;MASC;SG;3
dynamiczny	فعال	dynamiczny	فعال	ADJ;NOM;MASC;SG	ADJ
traktowanie	برتاؤ	traktować	برتاؤ	N;IPFV;NOM;NEUT;SG;POS;V.MSDR	N;NOM;MASC;SG;3
traktowanie	سلوک	traktować	سلوک	N;IPFV;NOM;NEUT;SG;POS;V.MSDR	N;NOM;MASC;SG;3
traktowanie	تفریح	traktować	تفریح	N;IPFV;NOM;NEUT;SG;POS;V.MSDR	N;NOM;MASC;SG;3
latający	مختصر	latać	مختصر	ADJ;IPFV;NOM;MASC;SG;POS;V.PTCP;ACT	ADJ
rzeczywista	موجود	rzeczywista	موجود	ADJ;NOM;FEM;SG	ADJ
rzeczywista	اصلی	rzeczywista	اصلی	ADJ;NOM;FEM;SG	ADJ
rzeczywista	حاضر	rzeczywista	حاضر	ADJ;NOM;FEM;SG	ADJ
rzeczywista	موجود	rzeczywista	موجود	ADJ;NOM;FEM;SG	ADJ
rzeczywista	حقیقی	rzeczywista	حقیقی	ADJ;NOM;FEM;SG	ADJ
rzeczywista	اصلی	rzeczywista	اصلی	ADJ;NOM;FEM;SG	ADJ
rzeczywista	حاضر	rzeczywista	حاضر	ADJ;NOM;FEM;SG	ADJ
rzadka	طُرفہ.	rzadka	طُرفہ.	ADJ;NOM;FEM;SG	ADJ
rzadka	غیرمعمولی	rzadka	غیرمعمولی	ADJ;NOM;FEM;SG	ADJ
rzadka	طُرفہ.	rzadka	طُرفہ.	ADJ;NOM;FEM;SG	ADJ
rzadka	نایاب	rzadka	نایاب	ADJ;NOM;FEM;SG	ADJ
rzadka	غیرمعمولی	rzadka	غیرمعمولی	ADJ;NOM;FEM;SG	ADJ
eddy	بگولا.	eddy	بگولا.		
eddy	بگولا.	eddy	بگولا.		
poprawny	جائز	poprawny	جائز	ADJ;NOM;MASC;SG	ADJ
poprawny	مناسب	poprawny	مناسب	ADJ;NOM;MASC;SG	ADJ
poprawny	مناسب	poprawny	مناسب	ADJ;NOM;MASC;SG	ADJ
poprawny	صحیح	poprawny	صحیح	ADJ;NOM;MASC;SG	ADJ
awaria	تباہی	awariać	تباہی	N;NOM;FEM;SG	N;NOM;MASC;SG;3
awaria	ناکامی	awariać	ناکامی	N;NOM;FEM;SG	N;NOM;MASC;SG;3
awaria	تباہی	awariać	تباہی	N;NOM;FEM;SG	N;NOM;MASC;SG;3
awaria	اتفاق	awariać	اتفاق	N;NOM;FEM;SG	N;NOM;MASC;SG;3
awaria	حادثہ	awariać	حادثہ	N;NOM;FEM;SG	N;NOM;MASC;SG;3
złom	ردّی	złom	ردّی	N;NOM;MASC;SG	N;NOM;MASC;SG;3
złom	جھڑپ	złom	جھڑپ	N;NOM;MASC;SG	N;NOM;MASC;SG;3
złom	ردّی	złom	ردّی	N;NOM;MASC;SG	N;NOM;MASC;SG;3
złom	جھڑپ	złom	جھڑپ	N;NOM;MASC;SG	N;NOM;MASC;SG;3
złom	پارہ	złom	پارہ	N;NOM;MASC;SG	N;NOM;MASC;SG;3
jednolity	یکساں	jednolit	یکساں	ADJ;NOM;MASC;SG	ADJ
nadmiar	زیادتی	nadmiar	زیادتی	N;NOM;MASC;SG	N;NOM;MASC;SG;3
quest	for	quest	for		
quest	for	quest	for		
upper	اپر	upper	اپر		
upper	اپر	upper	اپر		
biegun	بانس	bieguny	بانس	N;NOM;MASC;SG	N;NOM;MASC;SG;3
ojczyzna	ملک	ojczyzna	ملک	N;NOM;FEM;SG	N;NOM;MASC;SG;3
ojczyzna	ملک	ojczyzna	ملک	N;NOM;FEM;SG	N;NOM;MASC;SG;3
ojczyzna	وطن	ojczyzna	وطن	N;NOM;FEM;SG	N;NOM;MASC;SG;3
obrazek	نقش	obrazek	نقش	N;NOM;MASC;SG	N;NOM;MASC;SG;3
obrazek	خاکہ	obrazek	خاکہ	N;NOM;MASC;SG	N;NOM;MASC;SG;3
wczesny	مقررہ	wczesny	مقررہ	ADJ;NOM;MASC;SG	ADJ
alarm	ہول	alarm	ہول	N;NOM;MASC;SG	N;NOM;MASC;SG;3
alarm	باخبر	alarm	باخبر	N;NOM;MASC;SG	N;NOM;MASC;SG;3
sing	(	singa	(		
sing	(	singa	(		
przenoszenie	ٹکٹ	przenosić	ٹکٹ	N;NOM;NEUT;SG;POS;V.MSDR	N;NOM;MASC;SG;3
przenoszenie	املاک	przenosić	ملک	N;NOM;NEUT;SG;POS;V.MSDR	N;NOM;MASC;SG;3
przenoszenie	کلب	przenosić	کلب	N;NOM;NEUT;SG;POS;V.MSDR	N;NOM;MASC;SG;3
duchowe	مذہبی	duchowy	مذہبی	ADJ;NOM;NEUT;SG	ADJ
wielokrotne	مخلوط	wielokrotny	مخلوط	ADJ;NOM;NEUT;SG	ADJ
wielokrotne	متنوع.	wielokrotny	متنوع.	ADJ;NOM;NEUT;SG	ADJ
kabina	ٹیکسی	kabina	ٹیکسی	N;NOM;FEM;SG	N;NOM;FEM;SG;3
trening	تربیت	trening	تربیت	N;NOM;MASC;SG	N;NOM;MASC;SG;3
trening	مشق	trening	مشق	N;NOM;MASC;SG	N;NOM;MASC;SG;3
trening	رواج	trening	رواج	N;NOM;MASC;SG	N;NOM;MASC;SG;3
trening	معمول	trening	معمول	N;NOM;MASC;SG	N;NOM;MASC;SG;3
trening	رواج	trening	رواج	N;NOM;MASC;SG	N;NOM;MASC;SG;3
trening	زورآزمائی	trening	زورآزمائی	N;NOM;MASC;SG	N;NOM;MASC;SG;3
bezpieczne	معتبر	bezpieczny	معتبر	ADJ;NOM;NEUT;SG	ADJ
bezpieczne	یقینی	bezpieczny	یقینی	ADJ;NOM;NEUT;SG	ADJ
bezpieczne	کمزور	bezpieczny	کمزور	ADJ;NOM;NEUT;SG	ADJ
bezpieczne	یقینی	bezpieczny	یقینی	ADJ;NOM;NEUT;SG	ADJ
bezpieczne	کمزور	bezpieczny	کمزور	ADJ;NOM;NEUT;SG	ADJ
bezpieczne	محفوظ	bezpieczny	محفوظ	ADJ;NOM;NEUT;SG	ADJ
bezpieczne	یقینی	bezpieczny	یقینی	ADJ;NOM;NEUT;SG	ADJ
siodło	زین	sieść	زین	N;NOM;NEUT;SG	N;NOM;MASC;SG;3
topór	تبر	topór	تبر		
przycisk	ٹانکنا-	przycisk	ٹانکنا-		
przycisk	تکمہ	przycisk	تکمہ		
przycisk	ٹانکنا-	przycisk	ٹانکنا-		
przycisk	تکمہ	przycisk	تکمہ		
przycisk	بٹن	przycisk	بٹن		
utrzymywać	سنبھالنا	utrzymywać	سنبھال	V;IPFV;NFIN;ACT	V;MASC;SG;NFIN;ACT
wymóg	طلب	wymóg	طلب	N;NOM;MASC;SG	N;NOM;MASC;SG;3
częściowe	متعصب	częściowy	متعصب	ADJ;NOM;NEUT;SG	ADJ
częściowe	نامکمل	częściowy	نامکمل	ADJ;NOM;NEUT;SG	ADJ
częściowe	جانبدار	częściowy	جانبدار	ADJ;NOM;NEUT;SG	ADJ
ułatwienia	معاونت	ułatwić	معاونت	N;NOM;NEUT;SG	N;NOM;MASC;SG;3
ułatwienia	آسانی	ułatwić	آسانی	N;NOM;NEUT;SG	N;NOM;MASC;SG;3
ułatwienia	تسہیل	ułatwić	تسہیل	N;NOM;NEUT;SG	N;NOM;MASC;SG;3
ułatwienia	معاونت	ułatwić	معاونت	N;NOM;NEUT;SG	N;NOM;MASC;SG;3
ułatwienia	آسانی	ułatwić	آسانی	N;NOM;NEUT;SG	N;NOM;MASC;SG;3
ułatwienia	رکاوٹ	ułatwić	رکاوٹ	N;NOM;NEUT;SG	N;NOM;MASC;SG;3
gorące	مشتاقانہ.	gorący	مشتاقانہ.	ADJ;NOM;NEUT;SG	ADJ
gorące	برانگیختہ	gorący	برانگیختہ	ADJ;NOM;NEUT;SG	ADJ
gorące	سرگرم	gorący	سرگرم	ADJ;NOM;NEUT;SG	ADJ
przybrzeżnych	ساحلی	przybrzeżny	ساحلی	ADJ;GEN;MASC;PL	ADJ
sprzedawca	تاجر	sprzedawca	تاجر	N;NOM;MASC;SG	N;NOM;MASC;SG;3
przyroda	حالت	przyroda	حالت	N;NOM;FEM;SG	N;NOM;FEM;SG;3
przyroda	قسم	przyroda	قسم	N;NOM;FEM;SG	N;NOM;MASC;SG;3
niewydolność	تباہی	niewydolność	تباہی	N;NOM;FEM;SG	N;NOM;MASC;SG;3
niewydolność	ناکامی	niewydolność	ناکامی	N;NOM;FEM;SG	N;NOM;MASC;SG;3
niewydolność	تباہی	niewydolność	تباہی	N;NOM;FEM;SG	N;NOM;MASC;SG;3
obserwacja	مشاہدہ	obserwacja	مشاہدہ	N;NOM;FEM;SG	N;NOM;MASC;SG;3
obserwacja	تبصرہ	obserwacja	تبصرہ	N;NOM;FEM;SG	N;NOM;MASC;SG;3
obserwacja	ادراک	obserwacja	ادراک	N;NOM;FEM;SG	N;NOM;MASC;SG;3
strike	(	strik	(		
ulec	مرنا	ulec	مر	V;PFV;NFIN;ACT	V;MASC;SG;NFIN;ACT
ręczne	جسمانی	ręczny	جسمانی	ADJ;NOM;NEUT;SG	ADJ
ręczne	جسمانی	ręczny	جسمانی	ADJ;NOM;NEUT;SG	ADJ
ręczne	دستی	ręczny	دستی	ADJ;NOM;NEUT;SG	ADJ
rozróżnienie	تفریق	rozróżnienie	تفریق	N;NOM;NEUT;SG	N;NOM;MASC;SG;3
rozróżnienie	امتیاز	rozróżnienie	امتیاز	N;NOM;NEUT;SG	N;NOM;MASC;SG;3
rozróżnienie	خطاب	rozróżnienie	خطاب	N;NOM;NEUT;SG	N;NOM;MASC;SG;3
rozróżnienie	عظمت	rozróżnienie	عظمت	N;NOM;NEUT;SG	N;NOM;FEM;SG;3
rozróżnienie	برتری	rozróżnienie	برتری	N;NOM;NEUT;SG	N;NOM;MASC;SG;3
rozróżnienie	نام	rozróżnienie	نام	N;NOM;NEUT;SG	N;NOM;MASC;SG;3
rozróżnienie	خطاب	rozróżnienie	خطاب	N;NOM;NEUT;SG	N;NOM;MASC;SG;3
rozróżnienie	عظمت	rozróżnienie	عظمت	N;NOM;NEUT;SG	N;NOM;FEM;SG;3
rozróżnienie	برتری	rozróżnienie	برتری	N;NOM;NEUT;SG	N;NOM;MASC;SG;3
rozróżnienie	نام	rozróżnienie	نام	N;NOM;NEUT;SG	N;NOM;MASC;SG;3
czaszka	کھوپڑی	czaszki	کھوپڑی	N;NOM;FEM;SG	N;NOM;MASC;SG;3
czaszka	سر	czaszki	سر	N;NOM;FEM;SG	N;NOM;MASC;SG;3
czaszka	کھوپڑی	czaszki	کھوپڑی	N;NOM;FEM;SG	N;NOM;MASC;SG;3
zatrzymanie	تحویل	zatrzymać	تحویل	N;PFV;NOM;NEUT;SG;POS;V.MSDR	N;NOM;MASC;SG;3
korzeń	دانت	korzeń	دانت	N;NOM;MASC;SG	N;NOM;MASC;SG;3
korzeń	دانت	korzeń	دانت	N;NOM;MASC;SG	N;NOM;MASC;SG;3
botaniki	ملینہ	botanik	ملینہ		
refleksji	عکس.	refleksja	عکس.		
refleksji	انعکاس	refleksja	انعکاس		
modyfikacja	ترمیم	modyfikacja	ترمیم	N;NOM;FEM;SG	N;NOM;FEM;SG;3
czuję	سوچنا	czuć	سوچ	V;IPFV;IND;SG;1;PRS;FIN;ACT	V;MASC;SG;NFIN;ACT
vice	وغیرہ.	vice	وغیرہ.		
naprawa	پہنچ.	naprawa	پہنچ		
naprawa	چرچا.	naprawa	چرچا.		
pragnienie	درخواست	pragnienie	درخواست	N;NOM;NEUT;SG	N;NOM;FEM;SG;3
pragnienie	خواہش	pragnienie	خواہش	N;NOM;NEUT;SG	N;NOM;FEM;SG;3
skłonność	رجحان	skłonność	رجحان	N;NOM;FEM;SG	N;NOM;MASC;SG;3
opóźnienia	رکاوٹ.	opóźnienie	رکاوٹ	N;NOM;NEUT;SG	N;NOM;MASC;SG;3
opóźnienia	دیر	opóźnienie	دیر	N;NOM;NEUT;SG	N;NOM;FEM;SG;3
opóźnienia	رکاوٹ.	opóźnienie	رکاوٹ	N;NOM;NEUT;SG	N;NOM;MASC;SG;3
opóźnienia	تاخیر	opóźnienie	تاخیر	N;NOM;NEUT;SG	N;NOM;MASC;SG;3
roszczenia	اعلان	roszczenie	اعلان	N;NOM;NEUT;SG	N;NOM;MASC;SG;3
roszczenia	اعلان	roszczenie	اعلان	N;NOM;NEUT;SG	N;NOM;MASC;SG;3
roszczenia	دعویٰ	roszczenie	دعویٰ	N;NOM;NEUT;SG	N;NOM;MASC;SG;3
afera	معاملہ	afera	معاملہ	N;NOM;FEM;SG	N;NOM;MASC;SG;3
afera	بات	afera	بات	N;NOM;FEM;SG	N;NOM;FEM;SG;3
afera	معاملہ	afera	معاملہ	N;NOM;FEM;SG	N;NOM;MASC;SG;3
grozy	کپکپی	gróz	کپکپی		
duchowej	مذہبی	duchowy	مذہبی	ADJ;GEN;FEM;SG	ADJ
sekretarka	معتمد	sekretarka	معتمد	N;NOM;FEM;SG	N;NOM;MASC;SG;3
dłoń	ہتھیلی	dłoń	ہتھیلی	N;NOM;FEM;SG	N;NOM;FEM;SG;3
dłoń	کارخانے	dłoń	کارخانے	N;NOM;FEM;SG	N;NOM;MASC;SG;3
dłoń	مزدور	dłoń	مزدور	N;NOM;FEM;SG	N;NOM;MASC;SG;3
dłoń	قبضہ	dłoń	قبضہ	N;NOM;FEM;SG	N;NOM;MASC;SG;3
podnieść	اٹھنے	podnieść	اٹھ	V;PFV;NFIN;ACT	V;NFIN;ACT
podnieść	ابھرنے	podnieść	ابھر	V;PFV;NFIN;ACT	V;NFIN
podnieść	ابھرنا	podnieść	ابھر	V;PFV;NFIN;ACT	V;MASC;SG;NFIN;ACT
podnieść	جگانا	podnieść	جگا	V;PFV;NFIN;ACT	V;MASC;SG;NFIN;ACT
podnieść	اٹھانا	podnieść	اٹھا	V;PFV;NFIN;ACT	V;MASC;SG;NFIN;ACT
dziura	پیالی	dziura	پیالی	N;NOM;FEM;SG	N;NOM;FEM;SG;3
dziura	سوراخ	dziura	سوراخ	N;NOM;FEM;SG	N;NOM;MASC;SG;3
dziura	نالی	dziura	نالی	N;NOM;FEM;SG	N;NOM;FEM;SG;3
dziura	پیالی	dziura	پیالی	N;NOM;FEM;SG	N;NOM;FEM;SG;3
dziura	سوراخ	dziura	سوراخ	N;NOM;FEM;SG	N;NOM;MASC;SG;3
dziura	نالی	dziura	نالی	N;NOM;FEM;SG	N;NOM;FEM;SG;3
inicjator	خالق	inicjator	خالق	N;NOM;MASC;SG	N;NOM;MASC;SG;3
dojrzałość	پختگی	dojrzałość	پختگی	N;NOM;FEM;SG	N;NOM;MASC;SG;3
dojrzałość	پختگی	dojrzałość	پختگی	N;NOM;FEM;SG	N;NOM;MASC;SG;3
dojrzałość	رسیدگی	dojrzałość	رسیدگی	N;NOM;FEM;SG	N;NOM;MASC;SG;3
następstwa	نتائج	następstwo	نتیجہ	N;NOM;NEUT;PL	N;NOM;MASC;PL;3
krytyczny	مبصّرانہ	krytyczny	مبصّرانہ	ADJ;NOM;MASC;SG	ADJ
