kas	quoi	kas	quoi	PRO;NOM	PRO
tika	fut	tikt	être	V;FH;IND;3;POS;PST;FIN;ACT	V;IND;SG;3;PST;FIN
pēc	après	pēc	après	ADP	ADP
bet	mais	bet	mais	CONJ	CONJ
var	peut	varēt	pouvoir	V;FH;IND;3;POS;PRS;FIN;ACT	V;IND;SG;3;PRS;FIN
var	peuvent	varēt	pouvoir	V;FH;IND;3;POS;PRS;FIN;ACT	V;IND;PL;3;PRS;FIN
var	peut	varēt	pouvoir	V;FH;IND;3;POS;PRS;FIN;ACT	V;IND;SG;3;PRS;FIN
tiek	être	tikt	être	V;FH;IND;3;POS;PRS;FIN;ACT	V;NFIN
saites	cravates	saite	cravate	N;NOM;FEM;PL	N;MASC;PL
saites	liens	saite	lien	N;NOM;FEM;PL	N;MASC;PL
tas	ceci	tas	ceci	PRO;NOM;MASC;SG	PRO;SG
tas	cet	tas	ce	PRO;NOM;MASC;SG	PRO;SG;3
tas	cela	tas	cela	PRO;NOM;MASC;SG	PRO;SG
tas	ce	tas	ce	PRO;NOM;MASC;SG	PRO;SG;3
tas	cela	tas	cela	PRO;NOM;MASC;SG	PRO;SG
dzimis	naître	dzimt	naître	V;PFV;NOM;INDF;MASC;SG;PST;V.PTCP	V;NFIN
dzimis	né	dzimt	naître	V;PFV;NOM;INDF;MASC;SG;PST;V.PTCP	V;MASC;SG;PST;V.PTCP
dzimis	née	dzimt	naître	V;PFV;NOM;INDF;MASC;SG;PST;V.PTCP	V;FEM;SG;PST;V.PTCP
valsts	pays	valsts	pays	N;NOM;FEM;SG	N;MASC;SG
valsts	etat	valsts	etat	N;NOM;FEM;SG	N;MASC;SG
valsts	état	valsts	état	N;NOM;FEM;SG	N;MASC;SG
tās	eux	tā	soi	PRO;NOM;FEM;PL	PRO;MASC;PL;3
viņa	she	viņa	she	PRO;NOM;FEM;SG;3	PRO
viņa	elle	viņa	elle	PRO;NOM;FEM;SG;3	PRO;FEM;SG;3
gadu	annee	gads	annee	N;ACC;MASC;SG	N;FEM;SG
gadu	an	gads	an	N;ACC;MASC;SG	N;MASC;SG
gadu	année	gads	année	N;ACC;MASC;SG	N;FEM;SG
pilsētas	bourgs	pilsēta	bourg	N;NOM;FEM;PL	N;MASC;PL
pilsētas	villes	pilsēta	ville	N;NOM;FEM;PL	N;FEM;PL
vieta	lieu	vieta	lieu	N;NOM;FEM;SG	N;MASC;SG
vieta	place	vieta	place	N;NOM;FEM;SG	N;FEM;SG
vieta	endroit	vieta	endroit	N;NOM;FEM;SG	N;MASC;SG
vieta	lieu	vieta	lieu	N;NOM;FEM;SG	N;MASC;SG
vieta	localisation	vieta	localisation	N;NOM;FEM;SG	N;FEM;SG
vieta	emplacement	vieta	emplacement	N;NOM;FEM;SG	N;MASC;SG
vieta	localité	vieta	localité	N;NOM;FEM;SG	N;FEM;SG
vieta	lieu	vieta	lieu	N;NOM;FEM;SG	N;MASC;SG
vieta	site	vieta	site	N;NOM;FEM;SG	N;MASC;SG
kara	guerre	karš	guerre	N;NOM;MASC;SG	N;FEM;SG
kara	war	karš	war	N;NOM;MASC;SG	N;SG
iela	rue	iela	rue	N;NOM;FEM;SG	N;FEM;SG
jau	déjà	jau	déjà	ADV	ADV
miris	décédée	mirt	décéder	V;PFV;NOM;INDF;MASC;SG;PST;V.PTCP	V;FEM;SG;PST;V.PTCP
miris	décédé	mirt	décéder	V;PFV;NOM;INDF;MASC;SG;PST;V.PTCP	V;MASC;SG;PST;V.PTCP
miris	morte	mirt	mourir	V;PFV;NOM;INDF;MASC;SG;PST;V.PTCP	V;FEM;SG;PST;V.PTCP
miris	mort	mirt	mourir	V;PFV;NOM;INDF;MASC;SG;PST;V.PTCP	V;MASC;SG;PST;V.PTCP
kopā	ensemble	kopā	ensemble	ADV	ADV
attēls	photo	attēls	photo	N;NOM;MASC;SG	N;FEM;SG
attēls	image	attēls	image	N;NOM;MASC;SG	N;FEM;SG
attēls	image	attēls	image	N;NOM;MASC;SG	N;FEM;SG
attēls	chiffre	attēls	chiffre	N;NOM;MASC;SG	N;MASC;SG
attēls	figure	attēls	figure	N;NOM;MASC;SG	N;FEM;SG
starp	entre	starp	entre	ADP	ADP
pilsēta	ville	pilsēta	ville	N;NOM;FEM;SG	N;FEM;SG
pilsēta	ville	pilsēta	ville	N;NOM;FEM;SG	N;FEM;SG
pret	contre	pret	contre	ADP	ADP
taču	mais	taču	mais	CONJ	CONJ
kopš	depuis	kopš	depuis	ADP	ADP
ļoti	très	ļoti	très	ADV	ADV
ļoti	trés	ļoti	trés	ADV	ADV
vācu	allemand	vāci	allemand	N;NOM;MASC;SG	N;MASC;SG
vēl	encore	vēl	encore	ADV	ADV
vēl	toujours	vēl	toujours	ADV	ADV
vēl	pourtant	vēl	pourtant	ADV	ADV
pagasts	paroisse	pagasts	paroisse	N;NOM;MASC;SG	N;FEM;SG
vairāk	davantage	daudz	davantage	ADV;CMPR	ADV
vairāk	plus	daudz	plus	ADV;CMPR	ADV
daļa	partie	daļa	partie	N;NOM;FEM;SG	N;FEM;SG
daļa	partage	daļa	partage	N;NOM;FEM;SG	N;MASC;SG
daļa	share	daļa	share	N;NOM;FEM;SG	N;FEM;SG
daļa	part	daļa	part	N;NOM;FEM;SG	N;FEM;SG
tad	ensuite	tad	ensuite	ADV	ADV
tad	alors	tad	alors	ADV	ADV
kuras	lesquels	kura	lequel	PRO;NOM;FEM;PL	PRO;MASC;PL
tie	eux	tas	soi	PRO;NOM;MASC;PL	PRO;MASC;PL;3
pirms	avant	pirms	avant	ADP	ADP
zemes	terres	zeme	terre	N;NOM;FEM;PL	N;FEM;PL
šaha	echec	šahs	echec	N;NOM;MASC;SG	N;MASC;SG
pirmā	première	pirmā	premier	ADJ;NOM;DEF;FEM;SG	ADJ;FEM;SG
pirmā	premier	pirmā	premier	ADJ;NOM;DEF;FEM;SG	ADJ;MASC;SG
centrs	center	centrs	center	N;NOM;MASC;SG	N;MASC;SG
centrs	centre	centrs	centre	N;NOM;MASC;SG	N;MASC;SG
centrs	centre	centrs	centre	N;NOM;MASC;SG	N;MASC;SG
trīs	trois	trīs	trois	NUM;NOM;MASC;PL	NUM
viņu	lui	viņš	lui	PRO;ACC;MASC;SG;3	PRO;SG;3
parasti	typiquement	parasti	typiquement	ADV	ADV
parasti	habituellement	parasti	habituellement	ADV	ADV
parasti	généralement	parasti	généralement	ADV	ADV
parasti	généralement	parasti	généralement	ADV	ADV
parasti	habituellement	parasti	habituellement	ADV	ADV
parasti	généralement	parasti	généralement	ADV	ADV
parasti	normalement	parasti	normalement	ADV	ADV
jūras	marin	jūra	marin	N;NOM;FEM;SG	N;MASC;SG
jūras	marine	jūra	marine	N;NOM;FEM;SG	N;FEM;SG
http	http	http	http	N	N;MASC;SG
pirmais	première	pirmais	premier	ADJ;NOM;DEF;MASC;SG	ADJ;FEM;SG
pirmais	premier	pirmais	premier	ADJ;NOM;DEF;MASC;SG	ADJ;MASC;SG
