και	y	και	y	CONJ	CONJ
το	el	ο	el	DET;NOM;DEF;NEUT;SG	DET;DEF;MASC;SG
από	de	από	de	ADP	ADP
από	desde	από	desde	ADP	ADP
με	con	με	con	ADP	ADP
που	cual	που	cual	PRO;ACC;NEUT;SG;3	PRO;SG
για	para	για	para	ADP	ADP
κατηγορία	categoria	κατηγορία	categoria	N;NOM;FEM;SG	N;FEM;SG
κατηγορία	categoría	κατηγορία	categoría	N;NOM;FEM;SG	N;FEM;SG
τους	ellas	μου	él	PRO;GEN;MASC;PL;3	PRO;FEM;PL;3
τους	ellos	μου	él	PRO;GEN;MASC;PL;3	PRO;MASC;PL;3
ήταν	fue	είμαι	ser	V;IPFV;IND;SG;3;PST;FIN;PASS	V;IND;SG;3;PST;FIN
ότι	que	ότι	que	CONJ	CONJ
έχει	tiene	έχω	tener	V;IPFV;IND;SG;3;PRS;FIN;ACT	V;IND;SG;3;PRS;FIN
αλλά	sino	αλλά	sino	CONJ	CONJ
αλλά	pero	αλλά	pero	CONJ	CONJ
μετά	luego	μετά	luego	ADV	ADV
μετά	entonces	μετά	entonces	ADV	ADV
μετά	después	μετά	después	ADV	ADV
επίσης	igualmente	επίσης	igualmente	ADV	ADV
επίσης	además	επίσης	además	ADV	ADV
επίσης	también	επίσης	también	ADV	ADV
είχε	tuvo	έχω	tener	V;IPFV;IND;SG;3;PST;FIN;ACT	V;IND;SG;3;PST;FIN
ενώ	mientras	ενώ	mientras	CONJ	CONJ
δύο	dos	δύο	dos	NUM;NOM;MASC;PL	NUM;PL
αυτό	este	αυτός	este	PRO;NOM;NEUT;SG;3	PRO;MASC;SG
αυτό	esto	αυτός	este	PRO;NOM;NEUT;SG;3	PRO;SG
αυτό	esta	αυτός	este	PRO;NOM;NEUT;SG;3	PRO;FEM;SG
αυτό	eso	αυτός	ese	PRO;NOM;NEUT;SG;3	PRO;SG
όπου	dondequiera	όπου	dondequir	ADV	ADV
όταν	cuando	όταν	cuando	CONJ	CONJ
μέχρι	hasta	μέχρι	hasta	ADP	ADP
μπορεί	puede	μπορώ	poder	V;IPFV;IND;SG;3;PRS;FIN;ACT	V;IND;SG;3;PRS;FIN
ομάδα	pelotón	ομάδα	pelotón	N;ACC;FEM;SG	N;MASC;SG
ομάδα	squad	ομάδα	squad	N;ACC;FEM;SG	N
ομάδα	escuadra	ομάδα	escuadra	N;ACC;FEM;SG	N;FEM;SG
ομάδα	escuadrón	ομάδα	escuadrón	N;ACC;FEM;SG	N;MASC;SG
ομάδα	grupo	ομάδα	grupo	N;ACC;FEM;SG	N;MASC;SG
ομάδα	group	ομάδα	group	N;ACC;FEM;SG	N
ομάδα	equipo	ομάδα	equipo	N;ACC;FEM;SG	N;MASC;SG
ομάδα	team	ομάδα	team	N;ACC;FEM;SG	N
θέση	posicion	θέση	posicion	N;ACC;FEM;SG	N;FEM;SG
θέση	posición	θέση	posición	N;ACC;FEM;SG	N;FEM;SG
μεταξύ	entre	μεταξύ	entre	ADP	ADP
χρόνια	crónicas	χρόνος	crónica	N;NOM;NEUT;PL	N;FEM;PL
χρόνια	años	χρόνος	año	N;NOM;NEUT;PL	N;MASC;PL
χρόνια	anos	χρόνος	ano	N;NOM;NEUT;PL	N;MASC;PL
πιο	más	πιο	más	ADV	ADV
πιο	mas	πιο	mas	ADV	ADV
ένας	una	ένας	uno	DET;NOM;INDF;MASC;SG	DET;INDF;FEM;SG
πόλη	pueblo	πόλη	pueblo	N;NOM;FEM;SG	N;MASC;SG
πόλη	ciudad	πόλη	ciudad	N;NOM;FEM;SG	N;FEM;SG
πόλη	ciudad	πόλη	ciudad	N;NOM;FEM;SG	N;FEM;SG
μόνο	únicamente	μόνο	únicamente	ADV	ADV
μόνο	solo	μόνο	solo	ADV	ADV
μόνο	sólo	μόνο	sólo	ADV	ADV
μόνο	solamente	μόνο	solamente	ADV	ADV
πολύ	muy	πολύ	mucho	ADV	ADV
περιοχή	region	περιοχή	region	N;NOM;FEM;SG	N;FEM;SG
περιοχή	comarca	περιοχή	comarca	N;NOM;FEM;SG	N;FEM;SG
περιοχή	región	περιοχή	región	N;NOM;FEM;SG	N;FEM;SG
περιοχή	superficie	περιοχή	superficie	N;NOM;FEM;SG	N;FEM;SG
περιοχή	zona	περιοχή	zona	N;NOM;FEM;SG	N;FEM;SG
περιοχή	area	περιοχή	area	N;NOM;FEM;SG	N;FEM;SG
περιοχή	área	περιοχή	área	N;NOM;FEM;SG	N;FEM;SG
αιώνα	siglo	αιώνας	siglo	N;ACC;MASC;SG	N;MASC;SG
περίοδο	periodo	περίοδος	periodo	N;ACC;FEM;SG	N;MASC;SG
περίοδο	período	περίοδος	período	N;ACC;FEM;SG	N;MASC;SG
τότε	luego	τότε	luego	ADV	ADV
τότε	entonces	τότε	entonces	ADV	ADV
όνομα	nombre	όνομα	nombre	N;NOM;NEUT;SG	N;MASC;SG
όνομα	name	όνομα	name	N;NOM;NEUT;SG	N
όνομα	denominación	όνομα	denominación	N;NOM;NEUT;SG	N;FEM;SG
μέρος	part	μέρος	part	N;NOM;NEUT;SG	N
μέρος	parte	μέρος	parte	N;NOM;NEUT;SG	N;FEM;SG
μέρος	lugar	μέρος	lugar	N;NOM;NEUT;SG	N;MASC;SG
μέρος	place	μέρος	place	N;NOM;NEUT;SG	N
σήμερα	hoy	σήμερα	hoy	ADV	ADV
μέσα	dentro	μέσα	dentro	ADV	ADV
πως	como	πως	como	CONJ	CONJ
διάρκεια	duración	διάρκεια	duración	N;ACC;FEM;SG	N;FEM;SG
ιστορία	historia	ιστορία	historia	N;NOM;FEM;SG	N;FEM;SG
ιστορία	story	ιστορία	story	N;NOM;FEM;SG	N
ιστορία	historia	ιστορία	historia	N;NOM;FEM;SG	N;FEM;SG
ιστορία	historial	ιστορία	historial	N;NOM;FEM;SG	N;MASC;SG
πρωτάθλημα	league	πρωτάθλημα	league	N;NOM;NEUT;SG	N;FEM;SG
πρωτάθλημα	liga	πρωτάθλημα	liga	N;NOM;NEUT;SG	N;FEM;SG
πρωτάθλημα	campeonato	πρωτάθλημα	campeonato	N;NOM;NEUT;SG	N;MASC;SG
πρωτάθλημα	championship	πρωτάθλημα	championship	N;NOM;NEUT;SG	N;MASC;SG
αργότερα	posteriormente	αργά	posteriormente	ADV;CMPR	ADV
αργότερα	después	αργά	después	ADV;CMPR	ADV
νέα	nuevas	νέος	nuevo	ADJ;NOM;NEUT;PL	ADJ;FEM;PL
νέα	nuevos	νέος	nuevo	ADJ;NOM;NEUT;PL	ADJ;MASC;PL
περίπου	acerca	περίπου	acerca	ADV	ADV
περίπου	aproximadamente	περίπου	aproximadamente	ADV	ADV
αυτά	éstas	αυτός	este	PRO;NOM;NEUT;PL;3	PRO;FEM;PL
αυτά	estos	αυτός	este	PRO;NOM;NEUT;PL;3	PRO;MASC;PL
αυτά	estas	αυτός	este	PRO;NOM;NEUT;PL;3	PRO;FEM;PL
αυτά	éstos	αυτός	este	PRO;NOM;NEUT;PL;3	PRO;MASC;PL
πριν	antes	πριν	antes	ADV	ADV
χωρίς	sin	χωρίς	sin	ADP	ADP
εθνική	national	εθνικός	national	ADJ;NOM;FEM;SG	ADJ;SG
εθνική	nacional	εθνικός	nacional	ADJ;NOM;FEM;SG	ADJ;SG
συζήτηση	conversación	συζήτηση	conversación	N;ACC;FEM;SG	N;FEM;SG
συζήτηση	debate	συζήτηση	debate	N;ACC;FEM;SG	N;MASC;SG
συζήτηση	discusión	συζήτηση	discusión	N;ACC;FEM;SG	N;FEM;SG
συζήτηση	debate	συζήτηση	debate	N;ACC;FEM;SG	N;MASC;SG
αρχείο	archivo	αρχείο	archivo	N;NOM;NEUT;SG	N;MASC;SG
