bros	bracia	bros	brat	N	N;NOM;MASC;PL
minimum	minimalna	minimum	minimalny	ADJ;SG	ADJ;NOM;FEM;SG
minimum	minimalny	minimum	minimalny	ADJ;SG	ADJ;NOM;MASC;SG
rekreasi	wypoczynek	rekreasi	wypoczynek	N;SG	N;ACC;FEM;SG
rekreasi	odpoczynek	rekreasi	odpoczynek	N;SG	N;ACC;MASC;SG
rekreasi	rekreacji	rekreasi	rekreacja	N;SG	N;GEN;FEM;SG
hiasan	ozdoba	hiasan	ozdobać	N;SG	N;NOM;FEM;SG
hiasan	dekoracja	hiasan	dekoracja	N;SG	N;NOM;FEM;SG
hiasan	dekoracji	hiasan	dekoracja	N;SG	N;GEN;FEM;SG
poros	wał	poros	wała	N;SG	N;NOM;MASC;SG
ekologi	ekologii	ekologi	ekologia	N;SG	N;GEN;FEM;SG
menyentuh	dotyka	mensentuh	dotykać	V;SG;ACT	V;IPFV;IND;SG;3;PRS;FIN;ACT
menyentuh	dotykać	mensentuh	dotykać	V;SG;ACT	V;IPFV;NFIN;ACT
melampaui	przekraczać	menlampaui	przekraczać	V;SG;ACT	V;IPFV;NFIN;ACT
melampaui	przekroczył	menlampaui	przekroczyć	V;SG;ACT	V;PFV;MASC;IND;SG;PST;FIN;ACT
skema	schemat	skema	schemat	N;SG	N;NOM;MASC;SG
uzbekistan	uzbecki	uzbekistan	uzbecki	N	N;NOM;MASC;SG
mendefinisikan	określić	mendefinisikan	określić	V;SG;ACT	V;PFV;NFIN;ACT
mendefinisikan	definiuje	mendefinisikan	definiować	V;SG;ACT	V;IPFV;IND;SG;3;PRS;FIN;ACT
mendefinisikan	zdefiniowano	mendefinisikan	zdefiniować	V;SG;ACT	V;PFV;IND;0;PST;FIN;ACT
mendefinisikan	określa	mendefinisikan	określać	V;SG;ACT	V;IPFV;IND;SG;3;PRS;FIN;ACT
lidah	język	lidah	język	N;SG	N;NOM;MASC;SG
demam	gorączka	demam	gorączka	N;SG	N;NOM;FEM;SG
pengujian	test	penujian	test	N;SG	N;NOM;MASC;SG
pengujian	badanie	penujian	badanie	N;SG	N;NOM;NEUT;SG
pengujian	próba	penujian	próba	N;SG	N;NOM;FEM;SG
pengujian	badanie	penujian	badanie	N;SG	N;NOM;NEUT;SG
pengujian	testowanie	penujian	testować	N;SG	N;IPFV;NOM;NEUT;SG;POS;V.MSDR
pengujian	próba	penujian	próba	N;SG	N;NOM;FEM;SG
hilangnya	zaginięcia	hilang	zaginąć	N;SG	N;PFV;GEN;NEUT;SG;POS;V.MSDR
hilangnya	zniknięcia	hilang	zniknąć	N;SG	N;PFV;GEN;NEUT;SG;POS;V.MSDR
hilangnya	zaginięcie	hilang	zaginąć	N;SG	N;PFV;NOM;NEUT;SG;POS;V.MSDR
hilangnya	zniknięcie	hilang	zniknięcie	N;SG	N;PFV;NOM;NEUT;SG;POS;V.MSDR
sertifikat	świadectwa	sertifikat	świadectwo	N;SG	N;NOM;NEUT;SG
sertifikat	zaświadczenie	sertifikat	zaświadczenie	N;SG	N;NOM;NEUT;SG
sertifikat	certyfikat	sertifikat	certyfikat	N;SG	N;ACC;MASC;SG
sertifikat	świadectwo	sertifikat	świadectwo	N;SG	N;NOM;NEUT;SG
paralel	podobieństwa	paralel	podobieństwo	N	N;NOM;NEUT;PL
kuburan	cmentarzu	kuburan	cmentarz	N;SG	N;DAT;MASC;SG
kuburan	cmentarz	kuburan	cmentarz	N;SG	N;NOM;MASC;SG
kuburan	cmentarzu	kuburan	cmentarz	N;SG	N;DAT;MASC;SG
kuburan	cmentarz	kuburan	cmentarz	N;SG	N;NOM;MASC;SG
kuburan	grobie	kuburan	grób	N;SG	N;DAT;MASC;SG
kuburan	grób	kuburan	grób	N;SG	N;ACC;MASC;SG
kuburan	grobu	kuburan	grób	N;SG	N;GEN;MASC;SG
benih	nasienie	benih	nasienie	N;SG	N;NOM;NEUT;SG
penolakan	odrzucenie	pentolakan	odrzucić	N;SG	N;PFV;NOM;NEUT;SG;POS;V.MSDR
penolakan	odrzucenia	pentolakan	odrzucić	N;SG	N;PFV;GEN;NEUT;SG;POS;V.MSDR
interior	wnętrze	interior	wnętrze	N;SG	N;NOM;NEUT;SG
interior	wnętrza	interior	wnętrze	N;SG	N;NOM;NEUT;SG
interior	wnętrza	interior	wnętrze	N;SG	N;NOM;NEUT;SG
enterprise	przedsiębiorczość	enterprise	przedsiębiorczość	N	N;NOM;FEM;SG
enterprise	przedsiębiorstwo	enterprise	przedsiębiorstwo	N	N;NOM;NEUT;SG
enterprise	przedsięwzięcie	enterprise	przedsięwzięcie	N	N;NOM;NEUT;SG
integrasi	integracja	integrasi	integracja	N;SG	N;NOM;FEM;SG
integrasi	integracji	integrasi	integracja	N;SG	N;GEN;FEM;SG
integrasi	integrację	integrasi	integracja	N;SG	N;ACC;FEM;SG
staff	personelu	staff	personel	N	N;GEN;MASC;SG
staff	personel	staff	personel	N	N;NOM;MASC;SG
staff	pracownicy	staff	pracownik	N	N;NOM;MASC;PL
staff	kadra	staff	kadra	N	N;NOM;FEM;SG
staff	kadry	staff	kadry	N	N;ACC;MASC;SG
output	wyjście	output	wyjście	N	N;PFV;NOM;NEUT;SG;POS;V.MSDR
output	wyjścia	output	wyjście	N	N;NOM;NEUT;SG
mengkritik	krytykować	menkritik	krytykować	V;SG;ACT	V;IPFV;NFIN;ACT
fisiologi	fizjologii	fisiologi	fizjologia	N	N;GEN;FEM;SG
mengingatkan	przypomniała	meningatkan	przypomnieć	V;SG;ACT	V;PFV;FEM;IND;SG;PST;FIN;ACT
mengingatkan	przypomniał	meningatkan	przypomnieć	V;SG;ACT	V;PFV;MASC;IND;SG;PST;FIN;ACT
dinamis	dynamiczne	dinamis	dynamiczny	ADJ;SG	ADJ;NOM;NEUT;SG
dinamis	dynamiczny	dinamis	dynamiczny	ADJ;SG	ADJ;NOM;MASC;SG
animation	animacji	animation	animacja	N	N;GEN;FEM;SG
cacing	robak	cacing	robak	N;SG	N;NOM;MASC;SG
orangtua	rodzic	orangtua	rodzic	N;SG	N;NOM;MASC;SG
orangtua	rodzica	orangtua	rodzica	N;SG	N;ACC;MASC;SG
gandum	zboże	gandum	zboże	N;SG	N;NOM;NEUT;SG
gandum	pszenica	gandum	pszenica	N;SG	N;NOM;FEM;SG
gandum	pszenicy	gandum	pszenica	N;SG	N;GEN;FEM;SG
digit	cyfra	digit	cyfra	N;SG	N;NOM;FEM;SG
krim	śmietanki	krim	śmietanka	N;SG	N;GEN;FEM;SG
krim	krem	krim	krem	N;SG	N;NOM;MASC;SG
krim	śmietanka	krim	śmietanka	N;SG	N;NOM;FEM;SG
cerah	jasny	cerah	jasny	ADJ;SG	ADJ;NOM;MASC;SG
cerah	słoneczna	cerah	słoneczny	ADJ;SG	ADJ;NOM;FEM;SG
cerah	słoneczny	cerah	słoneczny	ADJ;SG	ADJ;NOM;MASC;SG
cerah	słoneczne	cerah	słoneczny	ADJ;SG	ADJ;NOM;NEUT;SG
rupanya	najwidoczniej	rupa	dydotocznie	ADV;SG	ADV;CMPR
rupanya	najwyraźniej	rupa	wyraźnie	ADV;SG	ADV;RL
rupanya	widocznie	rupa	widocznie	ADV;SG	ADV
berikan	dawać	berrikan	dawać	V;SG;ACT	V;IPFV;NFIN;ACT
berikan	dajesz	berrikan	dawać	V;SG;ACT	V;IPFV;IND;SG;2;PRS;FIN;ACT
berikan	daj	berrikan	dać	V;SG;ACT	V;PFV;IMP;SG;2;FIN;ACT
gara	gara	gara	gara		
transformasi	przemiana	transformasi	przemiać	N;SG	N;NOM;FEM;SG
transformasi	transformacja	transformasi	transformacja	N;SG	N;NOM;FEM;SG
transformasi	przemiana	transformasi	przemiać	N;SG	N;NOM;FEM;SG
transformasi	przemiany	transformasi	przemiać	N;SG	N;ACC;FEM;SG
transformasi	transformacji	transformasi	transformacja	N;SG	N;GEN;FEM;SG
transformasi	transformacja	transformasi	transformacja	N;SG	N;NOM;FEM;SG
transformasi	przekształcenie	transformasi	przekształcenie	N;SG	N;NOM;NEUT;SG
transformasi	przekształcenia	transformasi	przekształcenie	N;SG	N;NOM;NEUT;SG
kekacauan	chaosie	kekacauan	chaos	N;SG	N;INS;MASC;SG
kekacauan	chaosu	kekacauan	chaos	N;SG	N;GEN;MASC;SG
kekacauan	chaos	kekacauan	chaos	N;SG	N;NOM;MASC;SG
kekacauan	pandemonium	kekacauan	pandemonium	N;SG	N;ACC;NEUT;SG
mengenang	wspominać	menkenang	wspominać	V;SG;ACT	V;IPFV;NFIN;ACT
pilih	wybierz	pilih	wybrać	V;SG;ACT	V;PFV;IMP;SG;2;FIN;ACT
pilih	zaznacz	pilih	zaznaczyć	V;SG;ACT	V;PFV;IMP;SG;2;FIN;ACT
pilih	wybierz	pilih	wybrać	V;SG;ACT	V;PFV;IMP;SG;2;FIN;ACT
impor	import	impor	import	N;SG;ACT	N;NOM;MASC;SG
impor	przywóz	impor	przywóz	N;SG;ACT	N;NOM;MASC;SG
impor	importu	impor	import	N;SG;ACT	N;GEN;MASC;SG
impor	import	impor	import	N;SG;ACT	N;NOM;MASC;SG
impor	import	impor	import	N;SG;ACT	N;NOM;MASC;SG
impor	przywóz	impor	przywóz	N;SG;ACT	N;NOM;MASC;SG
kesan	wrażenie	kesan	wrażenie	N;SG	N;NOM;NEUT;SG
kesan	wyświetlenie	kesan	wyświetlenie	N;SG	N;PFV;NOM;NEUT;SG;POS;V.MSDR
marsekal	marszałek	marsekal	marszałek	N	N;NOM;MASC;SG
acak	przypadkowe	acak	przypadkowy	ADJ;SG	ADJ;NOM;NEUT;SG
acak	przypadkowa	acak	przypadkowy	ADJ;SG	ADJ;NOM;FEM;SG
acak	przypadkowy	acak	przypadkowy	ADJ;SG	ADJ;NOM;MASC;SG
acak	losowe	acak	losowy	ADJ;SG	ADJ;NOM;NEUT;SG
botol	butelka	botol	butelka	N;SG	N;NOM;FEM;SG
botol	butelkę	botol	butelka	N;SG	N;ACC;FEM;SG
kehancuran	zniszczenia	kehancuran	zniszczyć	N;SG	N;NOM;NEUT;SG
kehancuran	spustoszenie	kehancuran	spustoszyć	N;SG	N;PFV;NOM;NEUT;SG;POS;V.MSDR
kehancuran	zniszczenie	kehancuran	zniszczyć	N;SG	N;PFV;NOM;NEUT;SG;POS;V.MSDR
kehancuran	zniszczenia	kehancuran	zniszczyć	N;SG	N;NOM;NEUT;SG
kehancuran	zniszczenie	kehancuran	zniszczyć	N;SG	N;PFV;NOM;NEUT;SG;POS;V.MSDR
kehancuran	niszczenie	kehancuran	niszczenie	N;SG	N;IPFV;NOM;NEUT;SG;POS;V.MSDR
kenangan	pamięć	kenangan	pamięć	N;SG	N;NOM;FEM;SG
kenangan	wspomnienie	kenangan	wspomnienie	N;SG	N;NOM;NEUT;SG;POS;V.MSDR
dam	tamy	dam	tama		
dam	zapora	dam	zaporać		
