kegubernuran	gubernia	kegubernuran	guberní	N;SG	N;NOM;FEM;SG
ekologi	ekológia	ekologi	ekológia	N;SG	N;NOM;FEM;SG
diukur	meria	diukur	meriť	V;SG;PASS	V;IPFV;IND;SG;3;POS;PRS;FIN
melampaui	prekročiť	menlampaui	prekročiť	V;SG;ACT	V;PFV;POS;NFIN
melampaui	presiahnuť	menlampaui	presiahnuť	V;SG;ACT	V;PFV;POS;NFIN
melampaui	prekročiť	menlampaui	prekročiť	V;SG;ACT	V;PFV;POS;NFIN
skema	schéma	skema	schéma	N;SG	N;NOM;FEM;SG
skema	schéma	skema	schéma	N;SG	N;NOM;FEM;SG
uzbekistan	uzbekistan	uzbekistan	uzbekistan	N	N;INAN;NOM;MASC;SG
mendefinisikan	definovať	mendefinisikan	definovať	V;SG;ACT	V;IPFV;POS;NFIN
mendefinisikan	vymedziť	mendefinisikan	vymedziť	V;SG;ACT	V;PFV;POS;NFIN
mendefinisikan	vymedzuje	mendefinisikan	vymedzovať	V;SG;ACT	V;IPFV;IND;SG;3;POS;PRS;FIN
mendefinisikan	definuje	mendefinisikan	definovať	V;SG;ACT	V;IPFV;IND;SG;3;POS;PRS;FIN
sumbu	osi	sumbu	osi	N;SG	N;NOM;FEM;SG
sumbu	osi	sumbu	osi	N;SG	N;NOM;FEM;SG
lidah	jazyk	lidah	jazyk	N;SG	N;INAN;NOM;MASC;SG
lidah	jazyka	lidah	jazyk	N;SG	N;INAN;GEN;MASC;SG
sup	polievka	sup	polievka	N;SG	N;NOM;FEM;SG
demam	horúčka	demam	horúčka	N;SG	N;NOM;FEM;SG
pengujian	test	penujian	test	N;SG	N;INAN;NOM;MASC;SG
pengujian	skúška	penujian	skúška	N;SG	N;NOM;FEM;SG
pengujian	skúške	penujian	skúška	N;SG	N;DAT;FEM;SG
pengujian	testovanie	penujian	testovanie	N;SG	N;NOM;NEUT;SG
pengujian	skúška	penujian	skúška	N;SG	N;NOM;FEM;SG
pengujian	skúšanie	penujian	skúšanie	N;SG	N;NOM;NEUT;SG
hilangnya	zmiznutie	hilang	zmiznutie	N;SG	N;NOM;NEUT;SG
hilangnya	zánik	hilang	zánik	N;SG	N;INAN;NOM;MASC;SG
email	email	email	email	N	N;INAN;NOM;MASC;SG
email	mailov	email	mail	N	N;INAN;GEN;MASC;PL
sertifikat	osvedčenie	sertifikat	osvedčenie	N;SG	N;NOM;NEUT;SG
