ve	та	ve	та	CONJ	CONJ
daha	більше	daha	більше	ADV	ADV;CMPR
sonra	потім	sonra	потім	ADV	ADV
sonra	тоді	sonra	тоді	ADV	ADV
sonra	згодом	sonra	згодом	ADV	ADV
sonra	пізніше	sonra	пізніше	ADV	ADV;CMPR
yer	місце	yer	місце	N;NOM;SG;3	N;INAN;NOM;NEUT;SG
yer	розміщення	yer	розміщення	N;NOM;SG;3	N;INAN;NOM;NEUT;SG
yer	місцезнаходження	yer	місцезнаходження	N;NOM;SG;3	N;INAN;NOM;NEUT;SG
yer	локація	yer	локація	N;NOM;SG;3	N;INAN;NOM;FEM;SG
yer	місце	yer	місце	N;NOM;SG;3	N;INAN;NOM;NEUT;SG
yer	розташування	yer	розташування	N;NOM;SG;3	N;INAN;NOM;NEUT;SG
bağlantılar	лінки	bağlantı	лінка	N;NOM;PL;3	N;INAN;NOM;MASC;PL
bağlantılar	посилання	bağlantı	посилання	N;NOM;PL;3	N;INAN;NOM;NEUT;PL
bağlantılar	контакти	bağlantı	контакт	N;NOM;PL;3	N;INAN;NOM;MASC;PL
center	центр	center	центр	N;NOM;SG;3	N;INAN;NOM;MASC;SG
türk	турецька	türk	турецький	ADJ	ADJ;NOM;FEM;SG
türk	турецький	türk	турецький	ADJ	ADJ;NOM;MASC;SG
türk	турецькою	türk	турецький	ADJ	ADJ;INS;FEM;SG
türk	турецькі	türk	турецький	ADJ	ADJ;NOM;PL
yeni	нові	yeni	новий	ADJ	ADJ;NOM;PL
yeni	нове	yeni	новий	ADJ	ADJ;NOM;NEUT;SG
yeni	нова	yeni	новий	ADJ	ADJ;NOM;FEM;SG
yeni	новий	yeni	новий	ADJ	ADJ;NOM;MASC;SG
her	кожен	her	кожний	DET	DET;NOM;MASC;SG
aynı	однаковий	aynı	однаковий	ADJ	ADJ;NOM;MASC;SG
aynı	однакові	aynı	однаковий	ADJ	ADJ;NOM;PL
ilgili	актуальна	ilgili	актуальний	ADJ	ADJ;NOM;FEM;SG
