retratos	portrætter	retrato	portrætte	N;MASC;PL	N;INDF;MASC+FEM;PL
loco	sindssygt	loco	sindssygt	ADJ;MASC;SG	ADJ;INDF;NEUT;SG
loco	vanvittigt	loco	vanvittigt	ADJ;MASC;SG	ADJ;INDF;NEUT;SG
loco	sindssyg	loco	sindssyg	ADJ;MASC;SG	ADJ;INDF;MASC+FEM;SG
loco	sindsyg	loco	sindsyg	ADJ;MASC;SG	ADJ;INDF;MASC+FEM;SG
loco	vanvittigt	loco	vanvittigt	ADJ;MASC;SG	ADJ;INDF;NEUT;SG
loco	sindssygt	loco	sindssygt	ADJ;MASC;SG	ADJ;INDF;NEUT;SG
loco	vildt	loco	vildt	ADJ;MASC;SG	ADJ;INDF;NEUT;SG
loco	skør	loco	skør	ADJ;MASC;SG	ADJ;INDF;MASC+FEM;SG
loco	gal	loco	gal	ADJ;MASC;SG	ADJ;INDF;MASC+FEM;SG
loco	sur	loco	sur	ADJ;MASC;SG	ADJ;INDF;MASC+FEM;SG
exitoso	vellykket	exitoso	vellykket	ADJ;MASC;SG	ADJ;INDF;SG
exitoso	succesfuld	exitoso	succesfuld	ADJ;MASC;SG	ADJ;INDF;MASC+FEM;SG
exitoso	succesrig	exitoso	succesrig	ADJ;MASC;SG	ADJ;INDF;MASC+FEM;SG
argelia	algeriets	argelia	algeri	N;FEM;SG	N;GEN;DEF;NEUT;SG
argelia	algeriet	argelia	algeri	N;FEM;SG	N;DEF;NEUT;SG
sound	lyd	sound	lyd	N	N;INDF;MASC+FEM;SG
sound	lyden	sound	lyd	N	N;DEF;MASC+FEM;SG
novio	gommen	novio	gomme	N;MASC;SG	N;DEF;MASC+FEM;SG
novio	kæresten	novio	kæreste	N;MASC;SG	N;DEF;MASC+FEM;SG
rechazo	afslag	rechazo	afslag	N;MASC;SG	N;INDF;NEUT;SG
rechazo	nægtelse	rechazo	nægtelse	N;MASC;SG	N;INDF;MASC+FEM;SG
rechazo	afvisning	rechazo	afvisning	N;MASC;SG	N;INDF;MASC+FEM;SG
rechazo	forkastelse	rechazo	forkastelse	N;MASC;SG	N;INDF;MASC+FEM;SG
rechazo	afslag	rechazo	afslag	N;MASC;SG	N;INDF;NEUT;SG
rechazo	afvisning	rechazo	afvisning	N;MASC;SG	N;INDF;MASC+FEM;SG
eligió	valgte	elegir	vælge	V;IND;SG;3;PST;FIN	V;IND;PST;FIN;ACT
firmar	underskriver	firmar	underskrive	V;NFIN	V;IND;PRS;FIN;ACT
describir	beskriv	describir	beskrive	V;NFIN	V;IMP
describir	beskriver	describir	beskrive	V;NFIN	V;IND;PRS;FIN;ACT
chipre	cypern	chipre	cypern	N;FEM;SG	N;INDF;MASC+FEM;SG
songs	sange	songs	sang	N	N;INDF;MASC+FEM;PL
ruptura	sprængning	ruptura	sprængning	N;FEM;SG	N;INDF;MASC+FEM;SG
filósofos	filosoffer	filósofo	filosof	N;MASC;PL	N;INDF;MASC+FEM;PL
adolescente	teenager	adolescente	teenage	N;SG	N;INDF;MASC+FEM;SG
adolescente	teenager	adolescente	teenage	N;SG	N;INDF;MASC+FEM;SG
adolescente	teenager	adolescente	teenage	N;SG	N;INDF;MASC+FEM;SG
inés	agnes	inés	agne	N;FEM;SG	N;INDF;MASC+FEM;SG
prototipo	prototypen	prototipo	prototyp	N;MASC;SG	N;DEF;MASC+FEM;SG
prototipo	prototype	prototipo	prototype	N;MASC;SG	N;INDF;MASC+FEM;SG
dinámica	dynamik	dinámica	dynamik	N;FEM;SG	N;INDF;MASC+FEM;SG
dinámica	dynamikken	dinámica	dynamik	N;FEM;SG	N;DEF;MASC+FEM;SG
dinámica	dynamik	dinámica	dynamik	N;FEM;SG	N;INDF;MASC+FEM;SG
variación	varians	variación	varian	N;FEM;SG	N;INDF;MASC+FEM;SG
variación	udsving	variación	udsving	N;FEM;SG	N;INDF;NEUT;SG
variación	skift	variación	skift	N;FEM;SG	N;INDF;NEUT;SG
variación	ændring	variación	ændring	N;FEM;SG	N;INDF;MASC+FEM;SG
variación	forandring	variación	forandring	N;FEM;SG	N;INDF;MASC+FEM;SG
variación	variation	variación	variation	N;FEM;SG	N;INDF;MASC+FEM;SG
latitud	bredde	latitud	bredde	N;FEM;SG	N;INDF;MASC+FEM;SG
latitud	breddegrad	latitud	breddegrad	N;FEM;SG	N;INDF;MASC+FEM;SG
trío	trekant	trío	trekant	N;MASC;SG	N;INDF;MASC+FEM;SG
trío	trio	trío	trio	N;MASC;SG	N;INDF;MASC+FEM;SG
óleo	olien	óleo	olie	N;MASC;SG	N;DEF;MASC+FEM;SG
óleo	olie	óleo	olie	N;MASC;SG	N;INDF;MASC+FEM;SG
usted	du	tú	du	PRO;SG;2;FORM	PRO;NOM;MASC+FEM;SG;2
usted	dig	tú	du	PRO;SG;2;FORM	PRO;ACC;MASC+FEM;SG;2
caudal	strømning	caudal	strømning	N;MASC;SG	N;INDF;MASC+FEM;SG
caudal	flow	caudal	flow	N;MASC;SG	N;INDF;NEUT;SG
caudal	strøm	caudal	strøm	N;MASC;SG	N;INDF;MASC+FEM;SG
antecedentes	baggrunde	antecedente	baggrunde	N;MASC;PL	N;INDF;MASC+FEM;PL
irlandés	irsk	irlandés	irsk	N;MASC;SG	N;INDF;NEUT;SG
irlandés	irer	irlandés	irer	N;MASC;SG	N;INDF;MASC+FEM;SG
asiático	asiatisk	asiático	asiatisk	ADJ;MASC;SG	ADJ;INDF;SG
asiático	asiat	asiático	asiat	ADJ;MASC;SG	ADJ;INDF;MASC+FEM;SG
anchura	bredde	anchura	bredde	N;FEM;SG	N;INDF;MASC+FEM;SG
anchura	bredden	anchura	bredde	N;FEM;SG	N;DEF;MASC+FEM;SG
utilidad	nytteværdi	utilidad	nytteværdi	N;FEM;SG	N;INDF;MASC+FEM;SG
utilidad	nytteværdi	utilidad	nytteværdi	N;FEM;SG	N;INDF;MASC+FEM;SG
receptor	receptor	receptor	receptor	N;MASC;SG	N;INDF;MASC+FEM;SG
personalmente	personligt	personalmente	personligt	ADV	ADV
desapareció	forsvandt	desaparecer	forsvinde	V;IND;SG;3;PST;FIN	V;IND;PST;FIN;ACT
desapareció	forsvandt	desaparecer	forsvinde	V;IND;SG;3;PST;FIN	V;IND;PST;FIN;ACT
desapareció	forsvundet	desaparecer	forsvinde	V;IND;SG;3;PST;FIN	V;INDF;SG;PST;V.PTCP
prólogo	forord	prólogo	forord	N;MASC;SG	N;INDF;NEUT;SG
prólogo	forord	prólogo	forord	N;MASC;SG	N;INDF;NEUT;SG
prólogo	prolog	prólogo	prolog	N;MASC;SG	N;INDF;MASC+FEM;SG
xbox	xbox	xbox	xbox	N	N;INDF;MASC+FEM;SG
force	kraft	force	kraft	N	N;INDF;MASC+FEM;SG
tramos	rater	tramo	rat	N;MASC;PL	N;INDF;MASC+FEM;PL
tramos	strækninger	tramo	strækning	N;MASC;PL	N;INDF;MASC+FEM;PL
tramos	sektioner	tramo	sektion	N;MASC;PL	N;INDF;MASC+FEM;PL
tramos	strækninger	tramo	strækning	N;MASC;PL	N;INDF;MASC+FEM;PL
campeona	mester	campeona	mester	N;FEM;SG	N;INDF;MASC+FEM;SG
campeona	mester	campeona	mester	N;FEM;SG	N;INDF;MASC+FEM;SG
campeona	champion	campeona	champion	N;FEM;SG	N;INDF;MASC+FEM;SG
lgbt	lgbt	lgbt	lgbt	N;SG	N;INDF;NEUT;SG
centre	centret	centre	center	N;MASC;SG	N;DEF;NEUT;SG
centre	centrum	centre	centrum	N;MASC;SG	N;INDF;NEUT;SG
centre	centre	centre	centre	N;MASC;SG	N;INDF;MASC+FEM;SG
centre	center	centre	center	N;MASC;SG	N;INDF;NEUT;SG
necesarias	nødvendige	necesario	nødvendig	ADJ;FEM;PL	ADJ;PL
colaboradores	partnerne	colaborador	partner	N;MASC;PL	N;DEF;MASC+FEM;PL
colaboradores	samarbejdspartnere	colaborador	samarbejdspartner	N;MASC;PL	N;INDF;MASC+FEM;PL
colaboradores	partners	colaborador	partner	N;MASC;PL	N;GEN;INDF;MASC+FEM;PL
colaboradores	makkere	colaborador	makker	N;MASC;PL	N;INDF;MASC+FEM;PL
colaboradores	partnere	colaborador	partner	N;MASC;PL	N;INDF;MASC+FEM;PL
colaboradores	samarbejdspartnere	colaborador	samarbejdspartner	N;MASC;PL	N;INDF;MASC+FEM;PL
colaboradores	bidragydere	colaborador	bidragyder	N;MASC;PL	N;INDF;MASC+FEM;PL
colaboradores	bidragsydere	colaborador	bidragsyder	N;MASC;PL	N;INDF;MASC+FEM;PL
caras	ansigterne	cara	ansigt	N;FEM;PL	N;DEF;NEUT;PL
caras	ansigter	cara	ansigt	N;FEM;PL	N;INDF;NEUT;PL
supercopa	supercup	supercopa	supercup	N;FEM;SG	N;INDF;MASC+FEM;SG
lesiones	læsioner	lesión	læsion	N;FEM;PL	N;INDF;MASC+FEM;PL
lesiones	skader	lesión	skade	N;FEM;PL	N;INDF;MASC+FEM;PL
lesiones	kvæstelser	lesión	kvæstelse	N;FEM;PL	N;INDF;MASC+FEM;PL
lesiones	skader	lesión	skade	N;FEM;PL	N;INDF;MASC+FEM;PL
lesiones	personskader	lesión	personskade	N;FEM;PL	N;INDF;MASC+FEM;PL
disminución	tilbagegang	disminución	tilbagegang	N;FEM;SG	N;INDF;MASC+FEM;SG
disminución	forfald	disminución	forfald	N;FEM;SG	N;INDF;NEUT;SG
disminución	nedgang	disminución	nedgang	N;FEM;SG	N;INDF;MASC+FEM;SG
disminución	fald	disminución	fald	N;FEM;SG	N;INDF;NEUT;SG
apoyó	støttede	apoyar	støtte	V;IND;SG;3;PST;FIN	V;IND;PST;FIN;ACT
apoyó	understøttet	apoyar	understøtte	V;IND;SG;3;PST;FIN	V;INDF;SG;PST;V.PTCP
apoyó	støttet	apoyar	støtte	V;IND;SG;3;PST;FIN	V;INDF;SG;PST;V.PTCP
aceptación	accept	aceptación	accept	N;FEM;SG	N;INDF;MASC+FEM;SG
facilidad	lethed	facilidad	lethed	N;FEM;SG	N;INDF;MASC+FEM;SG
modificar	ændr	modificar	ændr	V;NFIN	V;IMP
land	jord	land	jord	N	N;INDF;MASC+FEM;SG
land	land	land	land	N	N;INDF;NEUT;SG
