per	for	per	for	ADP	ADP
con	med	con	med	ADP	ADP
come	korleis	come	korleis	ADV	ADV
sono	er	essere	vere	V;IND;PL;3;PRS;FIN	V;IND;PRS;FIN
anche	sjølv	anche	sjølv	ADV	ADV
anche	òg	anche	òg	ADV	ADV
anche	også	anche	også	ADV	ADV
team	lag	team	lag	N;MASC	N;INDF;NEUT;SG
team	laget	team	lag	N;MASC	N;DEF;NEUT;SG
team	team	team	team	N;MASC	N;INDF;NEUT;SG
due	to	due	to	NUM	NUM;PL
tra	blant	tra	blant	ADP	ADP
tra	mellom	tra	mellom	ADP	ADP
dopo	etterpå	dopo	etterpå	ADV	ADV
prima	først	prima	først	ADV	ADV
cest	cest	cest	cra	N;SG	N
esterni	eksterne	esterno	ekstern	ADJ;MASC;PL	ADJ;PL
esterni	utvendige	esterno	utvendig	ADJ;MASC;PL	ADJ;PL
collegamenti	tilknytninger	collegamento	tilknytning	N;MASC;PL	N;INDF;FEM;PL
collegamenti	tilkoblinger	collegamento	tilkoblinger	N;MASC;PL	N;INDF;FEM;PL
collegamenti	koblinger	collegamento	koblinger	N;MASC;PL	N;INDF;FEM;PL
collegamenti	linker	collegamento	linker	N;MASC;PL	N;INDF;MASC;PL
collegamenti	lenker	collegamento	lank	N;MASC;PL	N;INDF;FEM;PL
serie	serie	serie	serie	N;FEM	N;INDF;MASC;SG
serie	rekke	serie	rekke	N;FEM	N;INDF;FEM;SG
film	filmer	film	film	N;MASC	N;INDF;FEM;PL
film	kino	film	kino	N;MASC	N;INDF;MASC;SG
film	filmer	film	film	N;MASC	N;INDF;FEM;PL
film	film	film	film	N;MASC	N;INDF;MASC;SG
film	movie	film	movie	N;MASC	N;INDF
film	film	film	film	N;MASC	N;INDF;MASC;SG
regia	regia	regia	regi	N;FEM;SG	N;INDF;MASC;SG
città	byen	città	by	N;FEM	N;DEF;MASC;SG
città	by	città	by	N;FEM	N;INDF;MASC;SG
città	city	città	city	N;FEM	N
città	byen	città	by	N;FEM	N;DEF;MASC;SG
città	poststed	città	poststed	N;FEM	N;INDF;MASC;SG
città	by	città	by	N;FEM	N;INDF;MASC;SG
città	byer	città	by	N;FEM	N;INDF;FEM;PL
solo	berre	solo	berre	ADV	ADV
solo	bare	solo	bare	ADV	ADV
solo	berre	solo	berre	ADV	ADV
solo	akkurat	solo	akkurat	ADV	ADV
solo	bare	solo	bare	ADV	ADV
solo	nettopp	solo	nettopp	ADV	ADV
loro	sine	loro	sin	PRO;PL;3	PRO;PL
primo	første	primo	første	ADJ;MASC;SG	ADJ;DEF;SG
nome	namn	nome	namn	N;MASC;SG	N;INDF;NEUT;SG
nome	navnet	nome	navn	N;MASC;SG	N;DEF;NEUT;SG
nome	navn	nome	navn	N;MASC;SG	N;INDF;NEUT;SG
poi	deretter	poi	deretter	ADV	ADV
poi	så	poi	så	ADV	ADV
poi	da	poi	da	ADV	ADV
msg	msg	msg	mag	N;MASC;SG	N;INDF;MASC;SG
voce	voice	voce	voice	N;FEM;SG	N;INDF;MASC;SG
voce	stemma	voce	stemme	N;FEM;SG	N;DEF;FEM;SG
voce	røst	voce	røst	N;FEM;SG	N;INDF;MASC;SG
voce	stemme	voce	stemme	N;FEM;SG	N;INDF;FEM;SG
progetti	prosjekter	progetto	prosjekt	N;MASC;PL	N;INDF;FEM;PL
progetti	prosjektene	progetto	prosjekt	N;MASC;PL	N;DEF;FEM;PL
quando	når	quando	når	ADV	ADV
anno	anno	anno	anno	N;MASC;SG	N;INDF;SG
anno	årsmodell	anno	årsmodell	N;MASC;SG	N;INDF;MASC;SG
anno	året	anno	år	N;MASC;SG	N;DEF;NEUT;SG
anno	år	anno	år	N;MASC;SG	N;INDF;NEUT;SG
mentre	mens	mentre	mens	CONJ	CONJ
voci	oppføringer	voce	oppføringer	N;FEM;PL	N;INDF;FEM;PL
voci	rykter	voce	rykte	N;FEM;PL	N;INDF;NEUT;PL
voci	stemmene	voce	stemme	N;FEM;PL	N;DEF;FEM;PL
voci	stemmer	voce	stemme	N;FEM;PL	N;INDF;FEM;PL
tre	tre	tre	tre	NUM	NUM;PL
tre	tre	tre	tre	NUM	NUM;PL
hanno	har	avere	ha	V;IND;PL;3;PRS;FIN	V;IND;PRS;FIN
comune	felles	comune	felles	ADJ;SG	ADJ;INDF;NEUT;SG
comune	vanlig	comune	vanlig	ADJ;SG	ADJ;INDF;NEUT;SG
stagione	sesong	stagione	sesong	N;FEM;SG	N;INDF;MASC;SG
stagione	sesongen	stagione	sesong	N;FEM;SG	N;DEF;MASC;SG
stagione	årstid	stagione	årstid	N;FEM;SG	N;INDF;FEM;SG
gruppo	gruppe	gruppo	gruppe	N;MASC;SG	N;INDF;FEM;SG
gruppo	gruppen	gruppo	grupp	N;MASC;SG	N;DEF;MASC;SG
contro	mot	contro	mot	ADP	ADP
calciatore	fotballspiller	calciatore	fotballspille	N;MASC;SG	N;INDF;MASC;SG
roma	rome	roma	rome	N;FEM;SG	N;INDF;NEUT;SG
tempo	tid	tempo	tid	N;MASC;SG	N;INDF;FEM;SG
tempo	klokkeslett	tempo	klokkeslett	N;MASC;SG	N;INDF;FEM;SG
tempo	gang	tempo	gang	N;MASC;SG	N;INDF;MASC;SG
chiesa	kirka	chiesa	kirk	N;FEM;SG	N;INDF;FEM;SG
chiesa	kirken	chiesa	kirk	N;FEM;SG	N;DEF;MASC;SG
chiesa	kirke	chiesa	kirke	N;FEM;SG	N;INDF;MASC;SG
grande	stor	grande	stor	ADJ;SG	ADJ;INDF;SG
grande	stort	grande	stor	ADJ;SG	ADJ;INDF;NEUT;SG
grande	stor	grande	stor	ADJ;SG	ADJ;INDF;SG
grande	stort	grande	stor	ADJ;SG	ADJ;INDF;NEUT;SG
grande	flott	grande	flott	ADJ;SG	ADJ;INDF;NEUT;SG
grande	supert	grande	super	ADJ;SG	ADJ;INDF;NEUT;SG
grande	kjempefint	grande	kjempefint	ADJ;SG	ADJ;INDF;NEUT;SG
secolo	århundre	secolo	århundre	N;MASC;SG	N;INDF;NEUT;SG
guerra	krigen	guerra	krig	N;FEM;SG	N;DEF;MASC;SG
guerra	krig	guerra	krig	N;FEM;SG	N;INDF;MASC;SG
guerra	krigføring	guerra	krigføring	N;FEM;SG	N;INDF;FEM;SG
sempre	alltid	sempre	alltid	ADV	ADV
volta	volta	volta	volta	N;FEM;SG	N;INDF;NEUT;SG
storia	hendelse	storia	hendelse	N;FEM;SG	N;INDF;MASC;SG
storia	story	storia	story	N;FEM;SG	N;INDF;MASC;SG
storia	historie	storia	historie	N;FEM;SG	N;INDF;FEM;SG
storia	historikk	storia	historikk	N;FEM;SG	N;INDF;MASC;SG
storia	history	storia	history	N;FEM;SG	N;INDF;NEUT;SG
storia	historie	storia	historie	N;FEM;SG	N;INDF;FEM;SG
