dan	és	dan	és	CONJ	CONJ
tahun	év	tahun	év	N;SG	N;NOM;SG
tahun	évjárat	tahun	évjárat	N;SG	N;NOM;SG
tahun	éve	tahun	év	N;SG	N;NOM;SG
tahun	év	tahun	év	N;SG	N;NOM;SG
juga	egyben	juga	egyben	ADV	ADV
menjadi	lenni	menjadi	lesz	V;SG;ACT	V;NFIN;ACT
menjadi	váljon	menjadi	váljon	V;SG;ACT	V;DEF;IMP;SG;3;PRS;FIN;ACT
bagian	részleg	bagian	részleg	N;SG	N;NOM;SG
bagian	szakasz	bagian	szakasz	N;SG	N;NOM;SG
bagian	szekció	bagian	szekció	N;SG	N;NOM;SG
bagian	rész	bagian	rész	N;SG	N;NOM;SG
bagian	része	bagian	rész	N;SG	N;NOM;SG
bagian	szelvény	bagian	szelvény	N;SG	N;NOM;SG
bagian	alkatrész	bagian	alkatrész	N;SG	N;NOM;SG
spesies	faj	spesies	faj	N;SG	N;NOM;SG
spesies	állatfaj	spesies	állatfaj	N;SG	N;NOM;SG
mereka	ők	mereka	ők	PRO;PL;3	PRO;NOM;PL;3
mereka	őket	mereka	ők	PRO;PL;3	PRO;ACC;PL;3
mereka	ők	mereka	ők	PRO;PL;3	PRO;NOM;PL;3
memiliki	van	menmiliki	van	V;SG;ACT	V;INDF;IND;SG;3;PRS;FIN;ACT
kota	városban	kota	város	N;SG	N;IN+ESS;SG
kota	város	kota	város	N;SG	N;NOM;SG
kota	város	kota	város	N;SG	N;NOM;SG
pranala	hivatkozás	pranala	hivatkozás	N;SG	N;NOM;SG
pranala	kapcsolat	pranala	kapcsolat	N;SG	N;NOM;SG
pranala	hivatkozást	pranala	hivatkozás	N;SG	N;ACC;SG
karena	mert	karena	mert	CONJ	CONJ
desa	település	desa	település	N;SG	N;NOM;SG
desa	falu	desa	falu	N;SG	N;NOM;SG
ada	létezik	ada	létezik	V;SG	V;INDF;IND;SG;3;PRS;FIN;ACT
nama	neve	nama	név	N;SG	N;NOM;SG
nama	név	nama	név	N;SG	N;NOM;SG
kayu	fát	kayu	fát	N;SG	N;ACC;SG
setelah	után	setelah	után	ADP	ADP
bahasa	nyelv	bahasa	nyelv	N;SG	N;NOM;SG
asteroid	aszteroidák	asteroid	aszteroida	N	N;NOM;PL
asteroid	aszteroida	asteroid	aszteroida	N	N;NOM;SG
besar	nagyméretű	besar	nagyméretű	ADJ;SG	ADJ;NOM;SG
besar	nagy	besar	nagy	ADJ;SG	ADJ;NOM;SG
besar	nagy	besar	nagy	ADJ;SG	ADJ;NOM;SG
film	filmet	film	film	N;SG	N;ACC;SG
film	mozi	film	mozi	N;SG	N;NOM;SG
film	film	film	film	N;SG	N;NOM;SG
film	fólia	film	fólia	N;SG	N;NOM;SG
film	film	film	film	N;SG	N;NOM;SG
film	mozi	film	mozi	N;SG	N;NOM;SG
kelas	óra	kelas	óra	N;SG	N;NOM;SG
kelas	osztály	kelas	osztály	N;SG	N;NOM;SG
beberapa	néhány	beberapa	néhány	DET	DET;INDF
kecamatan	körzet	kecamatan	körzet	N;SG	N;NOM;SG
kecamatan	járás	kecamatan	járás	N;SG	N;NOM;SG
negara	ország	negara	ország	N;SG	N;NOM;SG
negara	országban	negara	ország	N;SG	N;IN+ESS;SG
