van	od	van	od	ADP	ADP
voor	dla	voor	dla	ADP	ADP
uit	od	uit	od	ADP	ADP
score	wynik	score	wynik	N;MASC+FEM;SG	N;NOM;MASC;SG
naam	nazwisko	naam	nazwisko	N;MASC+FEM;SG	N;NOM;NEUT;SG
naam	imię	naam	imię	N;MASC+FEM;SG	N;NOM;NEUT;SG
naam	nazwa	naam	nazwa	N;MASC+FEM;SG	N;NOM;FEM;SG
soort	rodzaj	soort	rodzaj	N;SG	N;NOM;MASC;SG
soort	rodzaj	soort	rodzaj	N;SG	N;NOM;MASC;SG
soort	gatunek	soort	gatunek	N;SG	N;NOM;MASC;SG
familie	rodzina	familie	rodzina	N;MASC+FEM;SG	N;NOM;FEM;SG
familie	rodzinka	familie	rodzinka	N;MASC+FEM;SG	N;NOM;FEM;SG
eerst	najpierw	eerst	najpierw	ADV	ADV
deze	tym	deze	to	PRO	PRO;INS;NEUT;SG
maar	ale	maar	ale	CONJ	CONJ
gepubliceerd	opublikowano	publiceren	opublikować	V;V.PTCP	V;PFV;IND;0;PST;FIN;ACT
geldig	ważny	geldig	ważny	ADJ	ADJ;NOM;MASC;SG
geldig	ważne	geldig	ważny	ADJ	ADJ;NOM;NEUT;SG
geldig	poprawny	geldig	poprawny	ADJ	ADJ;NOM;MASC;SG
geldig	ważna	geldig	ważny	ADJ	ADJ;NOM;FEM;SG
dit	tym	dit	to	PRO;3	PRO;INS;NEUT;SG
heeft	posiada	hebben	posiadać	V;SG;PRS;FIN	V;IPFV;IND;SG;3;PRS;FIN;ACT
heeft	ma	hebben	mieć	V;SG;PRS;FIN	V;IPFV;IND;SG;3;PRS;FIN;ACT
dan	wtedy	dan	wtedy	ADV	ADV
plaats	miejsce	plaats	miejsce	N;MASC+FEM;SG	N;NOM;NEUT;SG
onder	pod	onder	pod	ADP	ADP
team	oddział	team	oddział	N;NEUT;SG	N;NOM;MASC;SG
team	ekipa	team	ekipa	N;NEUT;SG	N;NOM;FEM;SG
team	drużyna	team	drużyna	N;NEUT;SG	N;NOM;FEM;SG
team	zespół	team	zespół	N;NEUT;SG	N;NOM;MASC;SG
nog	nadal	nog	nadal	ADV	ADV
nog	wciąż	nog	wciąż	ADV	ADV
eerste	pierwszy	één	pierwszy	ADJ	ADJ;NOM;MASC;SG
eerste	pierwsze	één	pierwszy	ADJ	ADJ;NOM;NEUT;SG
eerste	pierwsza	één	pierwszy	ADJ	ADJ;NOM;FEM;SG
andere	innych	ander	inny	ADJ	ADJ;GEN;MASC;PL
andere	inne	ander	inny	ADJ	ADJ;NOM;NEUT;SG
andere	inny	ander	inny	ADJ	ADJ;NOM;MASC;SG
andere	inne	ander	inny	ADJ	ADJ;NOM;NEUT;SG
andere	inni	ander	inny	ADJ	ADJ;NOM;MASC;PL
kan	można	kunnen	można	V;SG;PRS;FIN	V;IND;PRS;FIN
haar	ją	haar	on	PRO;ACC;3	PRO;ACC;FEM;SG;3
jaar	roku	jaar	rok	N;NEUT;SG	N;GEN;MASC;SG
jaar	rok	jaar	rok	N;NEUT;SG	N;NOM;MASC;SG
twee	dwie	twee	dwa	NUM	NUM;ACC;FEM;PL
twee	dwóch	twee	dwa	NUM	NUM;ACC;MASC;PL
twee	dwa	twee	dwa	NUM	NUM;ACC;MASC;PL
inwoners	mieszkańców	inwoner	mieszkaniec	N;PL	N;ACC;MASC;PL
inwoners	mieszkańcy	inwoner	mieszkaniec	N;PL	N;NOM;MASC;PL
inwoners	rezydentów	inwoner	rezydent	N;PL	N;ACC;MASC;PL
inwoners	mieszkańców	inwoner	mieszkaniec	N;PL	N;ACC;MASC;PL
inwoners	mieszkańcy	inwoner	mieszkaniec	N;PL	N;NOM;MASC;PL
deel	część	deel	część	N;NEUT;SG	N;NOM;FEM;SG
deel	udostępnianie	deel	udostępniać	N;NEUT;SG	N;IPFV;NOM;NEUT;SG;POS;V.MSDR
externe	zewnętrzne	extern	zewnętrzny	ADJ	ADJ;NOM;NEUT;SG
overleg	konsultacji	overleg	konsultacja	N;NEUT;SG	N;GEN;FEM;SG
overleg	konsultacji	overleg	konsultacja	N;NEUT;SG	N;GEN;FEM;SG
overleg	konsultacja	overleg	konsultacja	N;NEUT;SG	N;NOM;FEM;SG
tussen	między	tussen	między	ADP	ADP
had	mial	hebben	mial	V;SG;PST;FIN	V;IPFV;MASC;IND;SG;PST;FIN;ACT
had	miał	hebben	mieć	V;SG;PST;FIN	V;IPFV;MASC;IND;SG;PST;FIN;ACT
had	miała	hebben	mieć	V;SG;PST;FIN	V;IPFV;FEM;IND;SG;PST;FIN;ACT
had	miał	hebben	mieć	V;SG;PST;FIN	V;IPFV;MASC;IND;SG;PST;FIN;ACT
waar	gdzie	waar	gdzie	ADV	ADV
hebben	posiadać	hebben	posiadać	V;PL;PRS;FIN	V;IPFV;NFIN;ACT
hebben	mają	hebben	mieć	V;PL;PRS;FIN	V;IPFV;IND;PL;3;PRS;FIN;ACT
hebben	mieć	hebben	mieć	V;PL;PRS;FIN	V;IPFV;NFIN;ACT
komt	przychodzi	komen	przychodzić	V;SG;PRS;FIN	V;IPFV;IND;SG;3;PRS;FIN;ACT
komt	przybywa	komen	przybywać	V;SG;PRS;FIN	V;IPFV;IND;SG;3;PRS;FIN;ACT
tegen	przeciwko	tegen	przeciwko	ADP	ADP
tweede	druga	twee	drugi	ADJ	ADJ;NOM;FEM;SG
tweede	drugi	twee	drugi	ADJ	ADJ;NOM;MASC;SG
tweede	drugie	twee	drugi	ADJ	ADJ;NOM;NEUT;SG
kunnen	można	kunnen	można	V;PL;PRS;FIN	V;IND;PRS;FIN
zie	patrz	zien	patrzeć	V;SG;PRS;FIN	V;IPFV;IMP;SG;2;FIN;ACT
zie	zobacz	zien	zobaczyć	V;SG;PRS;FIN	V;PFV;IMP;SG;2;FIN;ACT
tijdens	podczas	tijdens	podczas	ADP	ADP
geslacht	płeć	geslacht	płeć	N;NEUT;SG	N;NOM;FEM;SG
geslacht	płeć	geslacht	płeć	N;NEUT;SG	N;NOM;FEM;SG
geslacht	seksu	geslacht	seks	N;NEUT;SG	N;GEN;MASC;SG
geslacht	seks	geslacht	seks	N;NEUT;SG	N;NOM;MASC;SG
grote	duża	groot	duży	ADJ	ADJ;NOM;FEM;SG
grote	duży	groot	duży	ADJ	ADJ;NOM;MASC;SG
grote	dużych	groot	duży	ADJ	ADJ;GEN;MASC;PL
grote	duże	groot	duży	ADJ	ADJ;NOM;NEUT;SG
grote	duża	groot	duży	ADJ	ADJ;NOM;FEM;SG
grote	duże	groot	duży	ADJ	ADJ;NOM;NEUT;SG
grote	wielka	groot	wielki	ADJ	ADJ;NOM;FEM;SG
grote	duży	groot	duży	ADJ	ADJ;NOM;MASC;SG
grote	wielki	groot	wielki	ADJ	ADJ;NOM;MASC;SG
bar	bar	bar	bar	N;MASC+FEM;SG	N;NOM;MASC;SG
aantal	numer	aantal	numer	N;NEUT;SG	N;NOM;MASC;SG
aantal	liczba	aantal	liczba	N;NEUT;SG	N;NOM;FEM;SG
telt	liczy	tellen	liczyć	V;SG;PRS;FIN	V;IPFV;IND;SG;3;PRS;FIN;ACT
nieuwe	nowe	nieuw	nowy	ADJ	ADJ;NOM;NEUT;SG
