категория	категорія	категория	категорія	N;INDF;FEM;SG	N;INAN;NOM;FEM;SG
през	через	през	через	ADP	ADP;ACC
година	рік	година	рік	N;INDF;FEM;SG	N;INAN;NOM;MASC;SG
след	після	след	після	ADP	ADP;GEN
български	болгарський	български	болгарський	ADJ;INDF;MASC;SG	ADJ;NOM;MASC;SG
български	болгарська	български	болгарський	ADJ;INDF;MASC;SG	ADJ;NOM;FEM;SG
част	частина	част	частина	N;INDF;FEM;SG	N;INAN;NOM;FEM;SG
години	роки	година	рік	N;INDF;FEM;PL	N;INAN;NOM;MASC;PL
време	тайм	време	тайм	N;INDF;NEUT;SG	N;INAN;NOM;MASC;SG
време	час	време	час	N;INDF;NEUT;SG	N;INAN;NOM;MASC;SG
външни	зовнішні	външен	зовнішній	ADJ;INDF;PL	ADJ;NOM;PL
препратки	посилання	препратка	посилання	N;INDF;FEM;PL	N;INAN;NOM;NEUT;PL
град	містечко	град	містечко	N;INDF;MASC;SG	N;INAN;NOM;NEUT;SG
град	місто	град	місто	N;INDF;MASC;SG	N;INAN;NOM;NEUT;SG
град	місто	град	місто	N;INDF;MASC;SG	N;INAN;NOM;NEUT;SG
много	дуже	много	дуже	ADV;INDF;PL	ADV
много	багато	много	багато	ADV;INDF;PL	ADV
също	також	също	також	ADV	ADV
век	ст	век	ст.	N;INDF;MASC;SG	N;INAN;NOM;NEUT;SG
век	століття	век	століття	N;INDF;MASC;SG	N;INAN;NOM;NEUT;SG
село	село	село	село	N;INDF;NEUT;SG	N;INAN;NOM;NEUT;SG
един	одна	един	один	NUM;INDF;MASC;SG	NUM;NOM;FEM
един	один	един	один	NUM;INDF;MASC;SG	NUM;NOM;MASC
между	між	между	між	ADP	ADP;INS
още	ще	още	ще	ADV	ADV
още	надалі	още	надалі	ADV	ADV
още	досі	още	досі	ADV	ADV
война	війна	война	війна	N;INDF;FEM;SG	N;INAN;NOM;FEM;SG
само	щойно	само	щойно	ADV	ADV
област	ділянку	област	ділянка	N;INDF;FEM;SG	N;INAN;ACC;FEM;SG
област	регіон	област	регіон	N;INDF;FEM;SG	N;INAN;NOM;MASC;SG
област	область	област	область	N;INDF;FEM;SG	N;INAN;NOM;FEM;SG
област	улус	област	улус	N;INDF;FEM;SG	N;INAN;NOM;MASC;SG
област	округ	област	округ	N;INDF;FEM;SG	N;INAN;NOM;MASC;SG
област	район	област	район	N;INDF;FEM;SG	N;INAN;NOM;MASC;SG
област	область	област	область	N;INDF;FEM;SG	N;INAN;NOM;FEM;SG
област	ділянка	област	ділянка	N;INDF;FEM;SG	N;INAN;NOM;FEM;SG
област	площа	област	площа	N;INDF;FEM;SG	N;INAN;NOM;FEM;SG
област	місцевість	област	місцевість	N;INDF;FEM;SG	N;INAN;NOM;FEM;SG
под	під	под	під	ADP	ADP;ACC
община	муніципалітет	община	муніципалітет	N;INDF;FEM;SG	N;INAN;NOM;MASC;SG
