dari	من	dari	مِن	ADP	ADP
ini	هذا	ini	هٰذَا	DET	DET;NOM;MASC;SG
ini	هذه	ini	هٰذَا	DET	DET;NOM;FEM;SG
dengan	مع	dengan	مَعَ	ADP	ADP;ACC
tahun	عام	tahun	عَام	N;SG	N;NOM;INDF;SG
tahun	العام	tahun	عَام	N;SG	N;NOM;DEF;SG
tahun	السنه	tahun	سَنه	N;SG	N;NOM;DEF;SG
tahun	سنة	tahun	سَنَة	N;SG	N;NOM;INDF;SG
tahun	سنه	tahun	سنه	N;SG	N;NOM;INDF;SG
tahun	السنة	tahun	سَنَة	N;SG	N;NOM;DEF;SG
juga	ايضا	juga	أَيضًا	ADV	ADV
tidak	لا	tidak	لَا	PART;NEG	PART
menjadi	تصير	menjadi	أَصَار	V;SG;ACT	V;IPFV;MASC;IND;SG;2;FIN;ACT
menjadi	تصبح	menjadi	أَصبَح	V;SG;ACT	V;IPFV;MASC;IND;SG;3;FIN;ACT
menjadi	يصير	menjadi	أَصَار	V;SG;ACT	V;IPFV;MASC;IND;SG;3;FIN;ACT
menjadi	يصبح	menjadi	أَصبَح	V;SG;ACT	V;IPFV;MASC;IND;SG;3;FIN;ACT
menjadi	اصبح	menjadi	أَصبَح	V;SG;ACT	V;PFV;MASC;SG;3;ACT
itu	هذا	itu	هٰذَا	DET	DET;NOM;MASC;SG
bagian	القسم	bagian	قِسم	N;SG	N;NOM;DEF;SG
bagian	قسم	bagian	قِسم	N;SG	N;NOM;INDF;SG
bagian	الفرع	bagian	فَرع	N;SG	N;NOM;DEF;SG
bagian	جزء	bagian	جُزء	N;SG	N;NOM;INDF;SG
bagian	الجزء	bagian	جُزء	N;SG	N;NOM;DEF;SG
bagian	الاجزاء	bagian	جُزء	N;SG	N;NOM;DEF;SG
orang	شخص	orang	شَخص	N;SG	N;NOM;INDF;SG
orang	الشخص	orang	شَخص	N;SG	N;NOM;DEF;SG
mereka	هم	mereka	هُوَ	PRO;PL;3	PRO;NOM;MASC;PL;3
mereka	هم	mereka	هُوَ	PRO;PL;3	PRO;NOM;MASC;PL;3
kota	بلدة	kota	بَلدَة	N;SG	N;NOM;INDF;SG
kota	المدينة	kota	مَدِينَة	N;SG	N;NOM;DEF;SG
