von	從	von	從	ADP	ADP
das	這	der	這	PRO;NOM;NEUT;SG	PRO
auch	甚至	auch	甚至	ADV	ADV
auch	還	auch	還	ADV	ADV
auch	也	auch	也	ADV	ADV
auch	太	auch	太	ADV	ADV
aus	從	aus	從	ADP	ADP
sie	她	sie	她	PRO;NOM;FEM;SG;3	PRO;3
bis	直到	bis	直到	ADP	ADP
durch	透過	durch	透過	ADP	ADP
durch	通過	durch	通過	ADP	ADP
über	關於	über	關於	ADP	ADP
über	通過	über	通過	ADP	ADP
über	經	über	經	ADP	ADP
wie	像	wie	像	ADP	ADP
nur	只	nur	只	ADV	ADV
nur	只	nur	只	ADV	ADV
noch	仍然	noch	仍然	ADV	ADV
noch	依然	noch	依然	ADV	ADV
noch	然而	noch	然而	ADV	ADV
diese	這	dies	這	PRO;NOM;FEM;SG	PRO
diskussion	辯論	diskussion	辯論	N	N
dieser	這	dies	這	PRO;NOM;MASC;SG	PRO
jahr	年度	Jahr	年度	N;NOM;NEUT;SG	N
jahr	年份	Jahr	年份	N;NOM;NEUT;SG	N
jahr	年	Jahr	年	N;NOM;NEUT;SG	N
dann	然後	dann	然後	ADV	ADV
dann	那麼	dann	那麼	ADV	ADV
zwei	兩	zwei	兩	NUM	NUM
zwei	兩	zwei	兩	NUM	NUM
zwei	二	zwei	二	NUM	NUM
team	團隊	team	團隊	N;NOM;NEUT;SG	N
team	球隊	team	球隊	N;NOM;NEUT;SG	N
team	隊伍	team	隊伍	N;NOM;NEUT;SG	N
mehr	更	mehr	更	ADV	ADV
wieder	再次	wieder	再次	ADV	ADV
schon	已經	schon	已經	ADV	ADV
gibt	返回	geben	返回	V;IND;SG;3;PRS;FIN	V
jedoch	然而	jedoch	然而	ADV	ADV
jedoch	但	jedoch	但	ADV	ADV
jedoch	不過	jedoch	不過	ADV	ADV
jedoch	但是	jedoch	但是	ADV	ADV
siehe	見	sehen	見	V;IMP;SG;FIN	V
drei	三	drei	三	NUM	NUM
drei	三	drei	三	NUM	NUM
alle	大家	alle	大家	PRO;NOM;INDF;PL	PRO
bereits	已經	bereits	已經	ADV	ADV
sehr	非常	sehr	非常	ADV	ADV
ihr	你	ihr	你	PRO;NOM;MASC;SG	PRO;2
ihr	你	ihr	你	PRO;NOM;MASC;SG	PRO;2
ihr	她	ihr	她	PRO;NOM;MASC;SG	PRO;3
gemeinde	教區	gemeinde	教區	N;NOM;FEM;SG	N
gemeinde	市	gemeinde	市	N;NOM;FEM;SG	N
gemeinde	市鎮	gemeinde	市鎮	N;NOM;FEM;SG	N
gemeinde	市	gemeinde	市	N;NOM;FEM;SG	N
gemeinde	公社	gemeinde	公社	N;NOM;FEM;SG	N
sollte	應	sollen	應	V;IND;SG;3;PST;FIN	V
ende	末端	ende	末端	N;ACC;NEUT;SG	N
ende	終	ende	終	N;ACC;NEUT;SG	N
ende	結尾	ende	結尾	N;ACC;NEUT;SG	N
ende	結局	ende	結局	N;ACC;NEUT;SG	N
ende	結尾	ende	結尾	N;ACC;NEUT;SG	N
doch	然而	doch	然而	ADV	ADV
doch	但	doch	但	ADV	ADV
doch	不過	doch	不過	ADV	ADV
doch	但是	doch	但是	ADV	ADV
selbst	甚至	selbst	甚至	ADV	ADV
weitere	更多	weit	更多	ADJ;NOM;FEM;PL	ADJ
okt	十月	okt	十月		
liste	名單	lassen	名單	N;NOM;FEM;SG	N
liste	清單	lassen	清單	N;NOM;FEM;SG	N
vier	四	vier	四	NUM	NUM
vier	四	vier	四	NUM	NUM
vier	四	vier	四	NUM	NUM
seite	側	seit	側	N	N
seite	網站	seit	網站	N	N
seite	工地	seit	工地	N	N
soll	應	sollen	應	V;IND;SG;3;PRS;FIN	V
mich	自己	ich	自己	PRO;ACC;SG;1	PRO
allerdings	然而	allerdings	然而	ADV	ADV
allerdings	但	allerdings	但	ADV	ADV
allerdings	不過	allerdings	不過	ADV	ADV
allerdings	但是	allerdings	但是	ADV	ADV
neue	新	neu	新	ADJ;NOM;FEM;PL	ADJ
leben	生活	leben	生活	V;NFIN	V
leben	生活	leben	生活	V;NFIN	V
leben	直播	leben	直播	V;NFIN	V
muss	必須	müssen	必須	V;IND;SG;3;PRS;FIN	V
wegen	因為	wegen	因為	ADP	ADP
ebenfalls	還	ebenfalls	還	ADV	ADV
ebenfalls	也	ebenfalls	也	ADV	ADV
ebenfalls	太	ebenfalls	太	ADV	ADV
ebenfalls	同樣	ebenfalls	同樣	ADV	ADV
löschen	清除	löschen	清除	V;NFIN	V
löschen	刪除	löschen	刪除	V;NFIN	V
löschen	刪除	löschen	刪除	V;NFIN	V
löschen	刪除	löschen	刪除	V;NFIN	V
löschen	刪去	löschen	刪去	V;NFIN	V
ort	地點	ort	地點	N;NOM;MASC;SG	N
ort	場地	ort	場地	N;NOM;MASC;SG	N
ort	會場	ort	會場	N;NOM;MASC;SG	N
ort	地方	ort	地方	N;NOM;MASC;SG	N
ort	地點	ort	地點	N;NOM;MASC;SG	N
ort	位置	ort	位置	N;NOM;MASC;SG	N
ort	地點	ort	地點	N;NOM;MASC;SG	N
saison	季節	saison	季節	N;NOM;FEM;SG	N
saison	季	saison	季	N;NOM;FEM;SG	N
saison	季節	saison	季節	N;NOM;FEM;SG	N
neuen	新	neu	新	ADJ;ACC;MASC;SG	ADJ
art	型態	art	型態	N;NOM;FEM;SG	N
art	類型	art	類型	N;NOM;FEM;SG	N
art	善良	art	善良	N;NOM;FEM;SG	N
stand	站立	stehen	站立	V;IND;SG;3;PST;FIN	V
stand	站	stehen	站	V;IND;SG;3;PST;FIN	V
personen	大同	Person	大同	N;NOM;FEM;PL	N
personen	人	Person	人	N;NOM;FEM;PL	N
personen	人們	Person	人	N;NOM;FEM;PL	N;PL
personen	人民	Person	人民	N;NOM;FEM;PL	N
familie	家人	familie	家人	N;NOM;FEM;SG	N
familie	家屬	familie	家屬	N;NOM;FEM;SG	N
familie	家庭	familie	家庭	N;NOM;FEM;SG	N
name	名字	Name	名字	N;NOM;SG	N
name	名稱	Name	名稱	N;NOM;SG	N
name	姓名	Name	姓名	N;NOM;SG	N
behalten	留用	behalten	留用	V;NFIN	V
sohn	兒子	sohnen	兒子	N;NOM;MASC;SG	N
außerdem	還	außerdem	還	ADV	ADV
außerdem	也	außerdem	也	ADV	ADV
gehört	擁有	gehören	擁有	V;V.PTCP	V
bezeichnet	指定	bezeichnen	指定	V;V.PTCP	V
gelöscht	刪除	löschen	刪除	V;V.PTCP	V
große	偉大	groß	偉大	ADJ;NOM;FEM;PL	ADJ
menschen	人類	menschen	人類	N;NOM;PL	N
menschen	人類	menschen	人類	N;NOM;PL	N
menschen	人	menschen	人	N;NOM;PL	N
menschen	人們	menschen	人	N;NOM;PL	N;PL
menschen	人民	menschen	人民	N;NOM;PL	N
danach	然後	danach	然後	ADV	ADV
