que	že	que	že	CONJ	CONJ
categoría	kategóriu	categoría	kategória	N;FEM;SG	N;ACC;FEM;SG
categoría	kategória	categoría	kategória	N;FEM;SG	N;NOM;FEM;SG
para	pre	para	pre	ADP	ADP;ACC
también	takisto	también	takisto	ADV	ADV
también	taktiež	también	taktiež	ADV	ADV
también	príliš	también	príliš	ADV	ADV
entre	medzi	entre	medzi	ADP	ADP;INS
pero	ale	pero	ale	CONJ	CONJ
años	roky	año	rok	N;MASC;PL	N;INAN;NOM;MASC;PL
años	rokov	año	rok	N;MASC;PL	N;INAN;GEN;MASC;PL
dos	dve	dos	dva	NUM;PL	NUM;NOM;FEM;PL
dos	dvaja	dos	dva	NUM;PL	NUM;ANIM;NOM;MASC;PL
dos	dva	dos	dva	NUM;PL	NUM;INAN;NOM;MASC;PL
año	roku	año	rok	N;MASC;SG	N;INAN;GEN;MASC;SG
año	rok	año	rok	N;MASC;SG	N;INAN;NOM;MASC;SG
año	roka	año	rok	N;MASC;SG	N;INAN;GEN;MASC;SG
desde	od	desde	od	ADP	ADP;GEN
enlaces	spojenia	enlace	spojenie	N;MASC;PL	N;NOM;NEUT;PL
enlaces	väzby	enlace	väzba	N;MASC;PL	N;NOM;FEM;PL
enlaces	prepojenia	enlace	prepojenie	N;MASC;PL	N;NOM;NEUT;PL
enlaces	odkazy	enlace	odkaz	N;MASC;PL	N;INAN;NOM;MASC;PL
enlaces	linky	enlace	linka	N;MASC;PL	N;NOM;FEM;PL
hasta	do	hasta	do	ADP	ADP;GEN
ciudad	mesto	ciudad	mesto	N;FEM;SG	N;NOM;NEUT;SG
ciudad	mesta	ciudad	mesto	N;FEM;SG	N;NOM;NEUT;SG
ciudad	mestečko	ciudad	mestečko	N;FEM;SG	N;NOM;NEUT;SG
ciudad	mesto	ciudad	mesto	N;FEM;SG	N;NOM;NEUT;SG
ciudad	mesta	ciudad	mesto	N;FEM;SG	N;NOM;NEUT;SG
ciudad	ciudad	ciudad	ciudad	N;FEM;SG	N;INAN;NOM;MASC;SG
ser	byť	ser	byť	V;NFIN	V;IPFV;POS;NFIN
parte	oslava	parte	oslava	N;FEM;SG	N;NOM;FEM;SG
parte	strana	parte	strana	N;FEM;SG	N;NOM;FEM;SG
parte	večierok	parte	večierko	N;FEM;SG	N;INAN;NOM;MASC;SG
parte	časť	parte	časť	N;FEM;SG	N;NOM;FEM;SG
parte	čast	parte	čast	N;FEM;SG	N;NOM;FEM;SG
parte	súčasť	parte	súčasť	N;FEM;SG	N;NOM;FEM;SG
durante	počas	durante	počas	ADP	ADP;GEN
sin	bez	sin	bez	ADP	ADP;GEN
san	svätec	san	svätec	N;MASC;SG	N;ANIM;NOM;MASC;SG
nacional	národný	nacional	národný	ADJ;SG	ADJ;INAN;NOM;MASC;SG
nacional	národná	nacional	národný	ADJ;SG	ADJ;NOM;FEM;SG
nacional	vnútroštátna	nacional	vnútroštátny	ADJ;SG	ADJ;NOM;FEM;SG
nacional	národné	nacional	národný	ADJ;SG	ADJ;NOM;NEUT;SG
primera	prvý	primero	prvý	ADJ;FEM;SG	ADJ;ANIM;NOM;MASC;SG
primera	prvy	primero	prva	ADJ;FEM;SG	ADJ;INAN;NOM;MASC;SG
primera	prvé	primero	prvý	ADJ;FEM;SG	ADJ;NOM;NEUT;SG
primera	prvá	primero	prvý	ADJ;FEM;SG	ADJ;NOM;FEM;SG
team	mužstvo	team	mužstvo	N	N;NOM;NEUT;SG
team	tím	team	tím	N	N;INAN;NOM;MASC;SG
cuando	keď	cuando	keď	CONJ	CONJ
nombre	názov	nombre	názov	N;MASC;SG	N;INAN;NOM;MASC;SG
nombre	meno	nombre	meno	N;MASC;SG	N;NOM;NEUT;SG
estados	stavy	estado	stav	N;MASC;PL	N;NOM;FEM;PL
estados	štáty	estado	štát	N;MASC;PL	N;INAN;NOM;MASC;PL
estados	štátov	estado	štát	N;MASC;PL	N;INAN;GEN;MASC;PL
siglo	storočí	siglo	storočie	N;MASC;SG	N;NOM;NEUT;SG
siglo	storočie	siglo	storočie	N;MASC;SG	N;NOM;NEUT;SG
después	neskôr	después	neskôr	ADV	ADV
después	neskoršie	después	neskorý	ADV	ADV;RL
tiene	má	tener	mať	V;IND;SG;3;PRS;FIN	V;IPFV;IND;SG;3;POS;PRS;FIN
gran	veľký	gran	veľký	ADJ;SG	ADJ;ANIM;NOM;MASC;SG
gran	veľké	gran	veľký	ADJ;SG	ADJ;NOM;NEUT;SG
gran	veľká	gran	veľký	ADJ;SG	ADJ;NOM;FEM;SG
gran	skvelé	gran	skvelý	ADJ;SG	ADJ;NOM;NEUT;SG
puede	môže	poder	môcť	V;IND;SG;3;PRS;FIN	V;IPFV;IND;SG;3;POS;PRS;FIN
estado	stav	estado	stav	N;MASC;SG	N;INAN;NOM;MASC;SG
estado	status	estado	status	N;MASC;SG	N;INAN;NOM;MASC;SG
estado	štatút	estado	štatút	N;MASC;SG	N;INAN;NOM;MASC;SG
estado	postavenie	estado	postavenie	N;MASC;SG	N;NOM;NEUT;SG
estado	štátu	estado	štát	N;MASC;SG	N;INAN;GEN;MASC;SG
estado	štát	estado	štát	N;MASC;SG	N;INAN;NOM;MASC;SG
estado	stav	estado	stav	N;MASC;SG	N;INAN;NOM;MASC;SG
estado	podmienkou	estado	podmienka	N;MASC;SG	N;INS;FEM;SG
estado	podmienka	estado	podmienka	N;MASC;SG	N;NOM;FEM;SG
lugar	miesto	lugar	miesto	N;MASC;SG	N;NOM;NEUT;SG
lugar	miesto	lugar	miesto	N;MASC;SG	N;NOM;NEUT;SG
lugar	place	lugar	placať	N;MASC;SG	N;NOM;MASC;SG
lugar	umiestnenie	lugar	umiestnenie	N;MASC;SG	N;NOM;NEUT;SG
lugar	miesto	lugar	miesto	N;MASC;SG	N;NOM;NEUT;SG
lugar	poloha	lugar	poloha	N;MASC;SG	N;NOM;FEM;SG
lugar	lokalita	lugar	lokalita	N;MASC;SG	N;NOM;FEM;SG
primer	prvý	primero	prvý	ADJ;MASC;SG	ADJ;ANIM;NOM;MASC;SG
primer	prvy	primero	prva	ADJ;MASC;SG	ADJ;INAN;NOM;MASC;SG
primer	prvé	primero	prvý	ADJ;MASC;SG	ADJ;NOM;NEUT;SG
primer	prvá	primero	prvý	ADJ;MASC;SG	ADJ;NOM;FEM;SG
población	populácia	población	populácia	N;FEM;SG	N;NOM;FEM;SG
población	obyvateľstvo	población	obyvateľstvo	N;FEM;SG	N;NOM;NEUT;SG
población	populáciu	población	populácia	N;FEM;SG	N;ACC;FEM;SG
muy	veľmi	mucho	veľmi	ADV	ADV
mismo	rovnaká	mismo	rovnaký	ADJ;MASC;SG	ADJ;NOM;FEM;SG
mismo	rovnaké	mismo	rovnaký	ADJ;MASC;SG	ADJ;NOM;NEUT;SG
mismo	rovnaký	mismo	rovnaký	ADJ;MASC;SG	ADJ;ANIM;NOM;MASC;SG
nueva	nová	nuevo	nový	ADJ;FEM;SG	ADJ;NOM;FEM;SG
nueva	nový	nuevo	nový	ADJ;FEM;SG	ADJ;ANIM;NOM;MASC;SG
nueva	nové	nuevo	nový	ADJ;FEM;SG	ADJ;NOM;NEUT;SG
historia	príbeh	historia	príbeh	N;FEM;SG	N;INAN;NOM;MASC;SG
historia	reportáž	historia	reportáž	N;FEM;SG	N;NOM;FEM;SG
historia	histórii	historia	história	N;FEM;SG	N;DAT;FEM;SG
historia	históriu	historia	história	N;FEM;SG	N;ACC;FEM;SG
historia	história	historia	história	N;FEM;SG	N;NOM;FEM;SG
club	klub	club	klub	N;MASC;SG	N;INAN;NOM;MASC;SG
club	klubu	club	klub	N;MASC;SG	N;INAN;GEN;MASC;SG
universidad	univerzita	universidad	univerzita	N;FEM;SG	N;NOM;FEM;SG
universidad	univerzite	universidad	univerzite	N;FEM;SG	N;NOM;FEM;SG
universidad	kolégium	universidad	kolégium	N;FEM;SG	N;NOM;NEUT;SG
forma	tvar	forma	tvar	N;FEM;SG	N;INAN;NOM;MASC;SG
forma	tvare	forma	tvar	N;FEM;SG	N;INAN;NOM;MASC;SG
forma	formulár	forma	formulár	N;FEM;SG	N;INAN;NOM;MASC;SG
forma	formulára	forma	formulár	N;FEM;SG	N;INAN;GEN;MASC;SG
forma	forma	forma	forma	N;FEM;SG	N;NOM;FEM;SG
forma	forme	forma	forma	N;FEM;SG	N;DAT;FEM;SG
tres	tri	tres	tri	NUM;PL	NUM;INAN;NOM;MASC;PL
tres	troch	tres	tri	NUM;PL	NUM;GEN;MASC;PL
tres	traja	tres	tri	NUM;PL	NUM;ANIM;NOM;MASC;PL
grupo	skupinu	grupo	skupina	N;MASC;SG	N;ACC;FEM;SG
grupo	skupina	grupo	skupina	N;MASC;SG	N;NOM;FEM;SG
general	general	general	generať	N;SG	N;INAN;NOM;MASC;SG
guerra	vojna	guerra	vojna	N;FEM;SG	N;NOM;FEM;SG
aunque	hoci	aunque	hoci	CONJ	CONJ
aunque	hoci	aunque	hoci	CONJ	CONJ
tras	po	tras	po	ADP	ADP;ESS
familia	rodinka	familia	rodinka	N;FEM;SG	N;NOM;FEM;SG
familia	rodine	familia	rodina	N;FEM;SG	N;DAT;FEM;SG
familia	family	familia	famila	N;FEM;SG	N;NOM;FEM;SG
familia	rodina	familia	rodina	N;FEM;SG	N;NOM;FEM;SG
además	takisto	además	takisto	ADV	ADV
además	taktiež	además	taktiež	ADV	ADV
sur	juhu	sur	juh	N;MASC;SG	N;INAN;NOM;MASC;SG
sur	juhu	sur	juh	N;MASC;SG	N;INAN;NOM;MASC;SG
sur	juh	sur	juh	N;MASC;SG	N;INAN;NOM;MASC;SG
mayor	hlavné	mayor	hlavný	ADJ;SG	ADJ;NOM;NEUT;SG
mayor	hlavná	mayor	hlavný	ADJ;SG	ADJ;NOM;FEM;SG
tiempo	počasie	tiempo	počasie	N;MASC;SG	N;NOM;NEUT;SG
tiempo	počasí	tiempo	počasie	N;MASC;SG	N;NOM;NEUT;SG
tiempo	dobe	tiempo	dobe	N;MASC;SG	N;DAT;FEM;SG
tiempo	čas	tiempo	čas	N;MASC;SG	N;INAN;NOM;MASC;SG
tiempo	doba	tiempo	doba	N;MASC;SG	N;NOM;FEM;SG
provincia	provincia	provincia	provincie	N;FEM;SG	N;NOM;FEM;SG
provincia	provincii	provincia	provincia	N;FEM;SG	N;DAT;FEM;SG
partido	oslava	partido	oslava	N;MASC;SG	N;NOM;FEM;SG
partido	strana	partido	strana	N;MASC;SG	N;NOM;FEM;SG
partido	večierok	partido	večierko	N;MASC;SG	N;INAN;NOM;MASC;SG
partido	zápas	partido	zápas	N;MASC;SG	N;INAN;NOM;MASC;SG
partido	zhoda	partido	zhoda	N;MASC;SG	N;NOM;FEM;SG
contra	proti	contra	proti	ADP	ADP;DAT
encuentra	nájsť	encontrar	nájsť	V;IND;SG;3;PRS;FIN	V;PFV;POS;NFIN
encuentra	nájde	encontrar	nájsť	V;IND;SG;3;PRS;FIN	V;PFV;IND;SG;3;POS;PRS;FIN
municipio	samospráva	municipio	samosprávať	N;MASC;SG	N;NOM;FEM;SG
municipio	obec	municipio	obec	N;MASC;SG	N;NOM;FEM;SG
bajo	pod	bajo	pod	ADP	ADP;INS
bajo	podľa	bajo	podľa	ADP	ADP;GEN
serie	séria	serie	séria	N;FEM;SG	N;NOM;FEM;SG
serie	rad	serie	rad	N;FEM;SG	N;INAN;NOM;MASC;SG
serie	sériu	serie	séria	N;FEM;SG	N;ACC;FEM;SG
serie	serie	serie	seria	N;FEM;SG	N;NOM;MASC;SG
fútbol	futbal	fútbol	futbať	N;MASC;SG	N;INAN;NOM;MASC;SG
fútbol	futbal	fútbol	futbať	N;MASC;SG	N;INAN;NOM;MASC;SG
equipo	zariadenie	equipo	zariadenie	N;MASC;SG	N;NOM;NEUT;SG
equipo	vybavenie	equipo	vybavenie	N;MASC;SG	N;NOM;NEUT;SG
equipo	mužstvo	equipo	mužstvo	N;MASC;SG	N;NOM;NEUT;SG
equipo	tím	equipo	tím	N;MASC;SG	N;INAN;NOM;MASC;SG
norte	norte	norte	nort	N;MASC;SG	N;NOM;FEM;SG
norte	sever	norte	sever	N;MASC;SG	N;INAN;NOM;MASC;SG
río	rieke	río	rieka	N;MASC;SG	N;DAT;FEM;SG
río	rieka	río	rieka	N;MASC;SG	N;NOM;FEM;SG
méxico	mexiku	méxico	mexika	N;MASC;SG	N;INAN;GEN;MASC;SG
méxico	mexico	méxico	mexico	N;MASC;SG	N;INAN;NOM;MASC;SG
méxico	mexika	méxico	mexika	N;MASC;SG	N;INAN;GEN;MASC;SG
méxico	mexiko	méxico	mexiko	N;MASC;SG	N;INAN;NOM;MASC;SG
argentina	argentínska	argentino	argentínsky	ADJ;FEM;SG	ADJ;NOM;FEM;SG
inglés	angličtina	inglés	angličtina	N;MASC;SG	N;NOM;FEM;SG
inglés	angličtine	inglés	angličtina	N;MASC;SG	N;DAT;FEM;SG
inglés	slovenčina	inglés	slovenčina	N;MASC;SG	N;NOM;FEM;SG
inglés	slovak	inglés	slovak	N;MASC;SG	N;NOM;NEUT;SG
nuevo	nová	nuevo	nový	ADJ;MASC;SG	ADJ;NOM;FEM;SG
nuevo	nový	nuevo	nový	ADJ;MASC;SG	ADJ;ANIM;NOM;MASC;SG
nuevo	nové	nuevo	nový	ADJ;MASC;SG	ADJ;NOM;NEUT;SG
