اتھاہ	adanc	اتھاہ	adanc		
اِبتدائی	primar	اِبتدائی	primar	N;NOM;MASC;SG;3	N;INDF;MASC;SG
ابتر	mizerabil	ابتر	mizerabil	ADJ	ADJ;INDF;MASC;SG
ابتر	deteriorată	ابتر	deteriora	ADJ	ADJ;INDF;FEM;SG
ابتر	turbulent	ابتر	turbulent	ADJ	ADJ;INDF;MASC;SG
ابتر	ruinat	ابتر	ruina	ADJ	ADJ;INDF;MASC;SG
ابتر	ruinată	ابتر	ruina	ADJ	ADJ;INDF;FEM;SG
ابتر	derutat	ابتر	deruta	ADJ	ADJ;INDF;MASC;SG
ابتر	confuz	ابتر	confuz	ADJ	ADJ;INDF;MASC;SG
ابتر	confuză	ابتر	confuz	ADJ	ADJ;INDF;FEM;SG
ابجد	început	ابجد	început	N;NOM;MASC;SG;3	N;INDF;MASC;SG
اُبکنا	expulza	اُبک	expulza	V;SG;NFIN;ACT	V;IND;SG;3;IPFV;FIN
اُبلنا	fierbe	اُبل	fierbe	V;MASC;SG;NFIN;ACT	V;IND;SG;3;PRS;FIN
اُبلنا	fierb	اُبل	fierbe	V;MASC;SG;NFIN;ACT	V;IND;SG;3;PRS;FIN
اُبلنا	umfla	اُبل	umflă	V;MASC;SG;NFIN;ACT	V;IND;SG;3;IPFV;FIN
اِبن	fiule	اِبن	fiu		
ابواب	impozite	ابواب	impozit	N;NOM;MASC;PL;3	N;INDF;FEM;PL
ابواب	taxe	ابواب	taxă	N;NOM;MASC;PL;3	N;INDF;FEM;PL
ابواب	uși	ابواب	ușă	N;NOM;MASC;PL;3	N;INDF;FEM;PL
ابواب	uşi	ابواب	unul	N;NOM;MASC;PL;3	N;INDF;FEM;PL
ابواب	usi	ابواب	us	N;NOM;MASC;PL;3	N;INDF;FEM;PL
ابواب	capitole	ابواب	capitol	N;NOM;MASC;PL;3	N;INDF;FEM;PL
اُبھار	umfla	اُبھار	umflă	V;PFV;MASC;SG;V.PTCP;ACT	V;IND;SG;3;IPFV;FIN
اُبھارنا	convinge	اُبھارنا	convinge	V;NFIN;ACT	V;IND;SG;3;PRS;FIN
اُبھرنا	creste	اُبھرنا	creste	V;SG;NFIN;ACT	V;IND;SG;3;PRS;FIN
اُبھرنا	crească	اُبھرنا	crește	V;SG;NFIN;ACT	V;SBJV;3;PRS;FIN
اُبھرنا	crește	اُبھرنا	crește	V;SG;NFIN;ACT	V;IND;SG;3;PRS;FIN
اُبھرنا	creşte	اُبھرنا	creşte	V;SG;NFIN;ACT	V;IND;SG;3;PRS;FIN
اُبھرنا	înflorească	اُبھرنا	înflori	V;SG;NFIN;ACT	V;SBJV;3;PRS;FIN
اُبھرنا	umfla	اُبھرنا	umflă	V;SG;NFIN;ACT	V;IND;SG;3;IPFV;FIN
ابھک	much	ابھک	much		
اپ	self	اپ	self		
اپیل	recurs	اپیل	recurs	N;NOM;MASC;SG;3	N;INDF;MASC;SG
اپیل	apel	اپیل	apel	N;NOM;MASC;SG;3	N;INDF;MASC;SG
اتا	părinte	اتا	părinte		
اتا	tată	اتا	tată		
اُتار	exorcism	اُتار	exorcism	N;NOM;MASC;SG;3	N;INDF;MASC;SG
اُتار	declin	اُتار	declin	N;NOM;MASC;SG;3	N;INDF;MASC;SG
اُتارنا	dezvaluie	اُتار	dezvalui	V;NFIN;ACT	V;IND;3;PRS;FIN
اُتارنا	dezvăluie	اُتار	dezvălui	V;NFIN;ACT	V;IND;3;PRS;FIN
اُتارنا	copiază	اُتار	copia	V;NFIN;ACT	V;IND;3;PRS;FIN
اُتارنا	dezvaluie	اُتار	dezvalui	V;NFIN;ACT	V;IND;3;PRS;FIN
اُتارنا	dezvăluie	اُتار	dezvălui	V;NFIN;ACT	V;IND;3;PRS;FIN
اُتارنا	copiază	اُتار	copia	V;NFIN;ACT	V;IND;3;PRS;FIN
اِتّحادی	aliat	اِتّحادی	aliat	ADJ	ADJ;INDF;MASC;SG
اُترنا	abate	اُتر	abate	V;MASC;SG;ACT	V;IND;SG;3;PRS;FIN
اُترنا	debarca	اُتر	debarca	V;MASC;SG;ACT	V;IND;SG;3;IPFV;FIN
اُترنا	scade	اُتر	scădea	V;MASC;SG;ACT	V;IND;SG;3;PRS;FIN
اُترنا	refuză	اُتر	refuza	V;MASC;SG;ACT	V;IND;SG;3;PST;FIN
اِتّفاقاً	întâmplător	اِتّفاقاً	întâmplător	ADV	ADV
اُتھلنا	cazi	اُتھلنا	cădea	V;SG;NFIN;ACT	V;IND;SG;2;PRS;FIN
اُتھلنا	cădea	اُتھلنا	cădea	V;SG;NFIN;ACT	V;IND;SG;3;IPFV;FIN
اٹکل	ghici	اٹک	ghic		
اُٹھانا	răpească	اُٹھا	răpi	V;MASC;SG;NFIN;ACT	V;SBJV;3;PRS;FIN
اُٹھانا	elimină	اُٹھا	elimina	V;MASC;SG;NFIN;ACT	V;IND;SG;3;PST;FIN
اُٹھانا	scoate	اُٹھا	scoate	V;MASC;SG;NFIN;ACT	V;IND;SG;3;PRS;FIN
اُٹھانا	fura	اُٹھا	fura	V;MASC;SG;NFIN;ACT	V;IND;SG;3;IPFV;FIN
اُٹھانا	furi	اُٹھا	furi	V;MASC;SG;NFIN;ACT	V;IND;SG;2;PRS;FIN
اُٹھانا	fură	اُٹھا	fi	V;MASC;SG;NFIN;ACT	V;IND;SG;3;PST;FIN
اُٹھانا	fur	اُٹھا	fur	V;MASC;SG;NFIN;ACT	V;IND;SG;1;PRS;FIN
اُٹھانا	cară	اُٹھا	cară	V;MASC;SG;NFIN;ACT	V;IND;SG;3;PST;FIN
اُٹھنا	recuperează	اُٹھ	recupera	V;MASC;SG;NFIN;ACT	V;IND;3;PRS;FIN
اُٹھنا	recupera	اُٹھ	recupera	V;MASC;SG;NFIN;ACT	V;IND;SG;3;IPFV;FIN
اُٹھنا	inflama	اُٹھ	inflamă	V;MASC;SG;NFIN;ACT	V;IND;SG;3;IPFV;FIN
اُٹھنا	umfla	اُٹھ	umflă	V;MASC;SG;NFIN;ACT	V;IND;SG;3;IPFV;FIN
اثر	efect	اثر	efect	N;NOM;MASC;SG;3	N;INDF;MASC;SG
اثنا	timp	اثنا	timp	N;NOM;MASC;SG;3	N;INDF;MASC;SG
اثنا	timp	اثنا	timp	N;NOM;MASC;SG;3	N;INDF;MASC;SG
اُجاڑ	pustiu	اُجاڑ	pustiu		
اُجاڑنا	distruge	اُجاڑنا	distruge	V;SG;NFIN;ACT	V;IND;SG;3;PRS;FIN
اِجازت	liberty	اِجازت	liberty	N;NOM;MASC;SG;3	N;INDF;MASC;SG
اُجاگر	manifest	اُجاگر	manifest	N;NOM;MASC;SG;3	N;INDF;MASC;SG
اُجاگر	bright	اُجاگر	bright	N;NOM;MASC;SG;3	N;INDF;MASC;SG
اِجتماعی	colective	اِجتماعی	colectiv	ADJ	ADJ;INDF;FEM;PL
اِجتماعی	colectivă	اِجتماعی	colectiv	ADJ	ADJ;INDF;FEM;SG
اِجتماعی	colectiv	اِجتماعی	colectiv	ADJ	ADJ;INDF;MASC;SG
اجر	onorariu	اجر	onorariu	N;NOM;MASC;SG;3	N;INDF;MASC;SG
اجر	comision	اجر	comision	N;NOM;MASC;SG;3	N;INDF;MASC;SG
اجر	tarif	اجر	tarif	N;NOM;MASC;SG;3	N;INDF;MASC;SG
اُجرت	onorariu	اُجرت	onorariu	N;NOM;MASC;SG;3	N;INDF;MASC;SG
اُجرت	comision	اُجرت	comision	N;NOM;MASC;SG;3	N;INDF;MASC;SG
اُجرت	tarif	اُجرت	tarif	N;NOM;MASC;SG;3	N;INDF;MASC;SG
اُجّڑ	pustiu	اُجّڑ	pustiu		
اجناس	bunuri	جنس	bun	N;NOM;MASC;PL;3	N;INDF;FEM;PL
اجناس	marfuri	جنس	marfă	N;NOM;MASC;PL;3	N;INDF;FEM;PL
اجناس	mărfuri	جنس	marfă	N;NOM;MASC;PL;3	N;INDF;FEM;PL
اجناس	specii	جنس	specie	N;NOM;MASC;PL;3	N;INDF;FEM;PL
اجناس	boabe	جنس	boabă	N;NOM;MASC;PL;3	N;INDF;FEM;PL
اجیرن	dificile	اجیرن	dificil	ADJ	ADJ;INDF;FEM;PL
اجیرن	dificilă	اجیرن	dificil	ADJ	ADJ;INDF;FEM;SG
اُچان	inaltime	اُچان	inaltim		
اچانک	brusc	اچانک	brusc	ADV	ADV
اُچانک	caper	اُچانک	caper		
اُچک	inaltime	اُچک	inaltim		
اُچک	sari	اُچک	sare		
اُچکنا	smulge	اُچک	smulge	V;SG;ACT	V;IND;SG;3;PRS;FIN
اُچکنا	apuca	اُچک	apuca	V;SG;ACT	V;IND;SG;3;IPFV;FIN
اُچکنا	apucă	اُچک	apuca	V;SG;ACT	V;IND;SG;3;PST;FIN
اُچلنا	separă	اُچل	separa	V;MASC;SG;NFIN;ACT	V;IND;SG;3;PST;FIN
اُچھالنا	promovează	اُچھال	promova	V;SG;NFIN;ACT	V;IND;3;PRS;FIN
اُچھالنا	promova	اُچھال	promova	V;SG;NFIN;ACT	V;IND;SG;3;IPFV;FIN
اِحاطہ	hotar	اِحاطہ	hotar	N;NOM;MASC;SG;3	N;INDF;MASC;SG
اِحتمالی	nesigur	اِحتمالی	nesigur	ADJ	ADJ;INDF;MASC;SG
اِحتمالی	incert	اِحتمالی	incert	ADJ	ADJ;INDF;MASC;SG
اِحتمالی	nesigură	اِحتمالی	nesigur	ADJ	ADJ;INDF;FEM;SG
اِحتمالی	probabilă	اِحتمالی	probabil	ADJ	ADJ;INDF;FEM;SG
