egy	una	egy	uno	DET;INDF	DET;INDF;FEM;SG
nem	no	nem	no	ADV	ADV;NEG
volt	tuvo	van	tener	V;INDF;IND;SG;3;PST;FIN;ACT	V;IND;SG;3;PST;FIN
magyar	húngara	magyar	húngaro	ADJ;NOM;SG	ADJ;FEM;SG
első	primera	első	primero	ADJ;NOM;SG	ADJ;FEM;SG
első	primer	első	primero	ADJ;NOM;SG	ADJ;MASC;SG
csak	únicamente	csak	únicamente	ADV	ADV
csak	solo	csak	solo	ADV	ADV
csak	sólo	csak	sólo	ADV	ADV
csak	solamente	csak	solamente	ADV	ADV
csak	solo	csak	solo	ADV	ADV
csak	simplemente	csak	simplemente	ADV	ADV
csak	sólo	csak	sólo	ADV	ADV
még	incluso	még	incluso	ADV	ADV
még	aun	még	aun	ADV	ADV
még	todavía	még	todavía	ADV	ADV
még	aún	még	aún	ADV	ADV
van	tener	van	tener	V;INDF;IND;SG;3;PRS;FIN;ACT	V;NFIN
település	pueblo	település	pueblo	N;NOM;SG	N;MASC;SG
település	villa	település	villa	N;NOM;SG	N;FEM;SG
település	aldea	település	aldea	N;NOM;SG	N;FEM;SG
település	asentamiento	település	asentamiento	N;NOM;SG	N;MASC;SG
település	liquidación	település	liquidación	N;NOM;SG	N;FEM;SG
település	municipalidad	település	municipalidad	N;NOM;SG	N;FEM;SG
település	municipio	település	municipio	N;NOM;SG	N;MASC;SG
település	localidad	település	localidad	N;NOM;SG	N;FEM;SG
már	ya	már	ya	ADV	ADV
között	entre	között	entre	ADP	ADP
között	entre	között	entre	ADP	ADP
mint	como	mint	como	CONJ	CONJ
után	tras	után	tras	ADP	ADP
nagy	grande	nagy	grande	ADJ;NOM;SG	ADJ;SG
nagy	grande	nagy	grande	ADJ;NOM;SG	ADJ;SG
nagy	gran	nagy	gran	ADJ;NOM;SG	ADJ;SG
személyek	personas	személy	persona	N;NOM;PL	N;FEM;PL
ország	pais	ország	pais	N;NOM;SG	N;MASC;SG
ország	país	ország	país	N;NOM;SG	N;MASC;SG
évek	años	év	año	N;NOM;PL	N;MASC;PL
évek	anos	év	ano	N;NOM;PL	N;MASC;PL
klub	club	klub	club	N;NOM;SG	N;MASC;SG
klub	garrote	klub	garrote	N;NOM;SG	N;MASC;SG
klub	discoteca	klub	discoteca	N;NOM;SG	N;FEM;SG
információk	informaciones	információ	información	N;NOM;PL	N;FEM;PL
vita	debate	vita	debate	N;NOM;SG	N;MASC;SG
vita	discusión	vita	discusión	N;NOM;SG	N;FEM;SG
vita	vita	vita	vita	N;NOM;SG	N;FEM;SG
vita	debate	vita	debate	N;NOM;SG	N;MASC;SG
vita	contencioso	vita	contencioso	N;NOM;SG	N;MASC;SG
vita	disputa	vita	disputa	N;NOM;SG	N;FEM;SG
vita	controversia	vita	controversia	N;NOM;SG	N;FEM;SG
aki	quien	aki	quien	PRO;NOM;SG;3	PRO;SG
ezt	este	ez	este	PRO;ACC;SG;3	PRO;MASC;SG
ezt	esto	ez	este	PRO;ACC;SG;3	PRO;SG
ezt	esta	ez	este	PRO;ACC;SG;3	PRO;FEM;SG
itt	aquí	itt	aquí	ADV	ADV
itt	acá	itt	acá	ADV	ADV
akkor	luego	akkor	luego	ADV	ADV
akkor	entonces	akkor	entonces	ADV	ADV
fájl	fichero	fájl	fichero	N;NOM;SG	N;MASC;SG
fájl	expediente	fájl	expediente	N;NOM;SG	N;MASC;SG
fájl	archivo	fájl	archivo	N;NOM;SG	N;MASC;SG
amerikai	americano	amerikai	americano	ADJ;NOM;SG	ADJ;MASC;SG
amerikai	estadounidense	amerikai	estadounidense	ADJ;NOM;SG	ADJ;SG
amerikai	americana	amerikai	americana	ADJ;NOM;SG	ADJ;FEM;SG
német	alemana	német	alemán	ADJ;NOM;SG	ADJ;FEM;SG
január	enero	január	enero	N;NOM;SG	N
május	mayo	május	mayo	N;NOM;SG	N
kell	necesitar	kell	necesitar	V;INDF;IND;SG;3;PRS;FIN;ACT	V;NFIN
kell	necesita	kell	necesitar	V;INDF;IND;SG;3;PRS;FIN;ACT	V;IND;SG;3;PRS;FIN
