και	og	και	og	CONJ	CONJ
από	frå	από	frå	ADP	ADP
με	med	με	med	ADP	ADP
για	for	για	for	ADP	ADP
κατηγορία	kategori	κατηγορία	kategori	N;NOM;FEM;SG	N;INDF;MASC;SG
κατηγορία	kategorien	κατηγορία	kategori	N;NOM;FEM;SG	N;DEF;MASC;SG
ήταν	var	είμαι	vere	V;IPFV;IND;SG;3;PST;FIN;PASS	V;IND;PST;FIN
ότι	at	ότι	at	CONJ	CONJ
έχει	har	έχω	ha	V;IPFV;IND;SG;3;PRS;FIN;ACT	V;IND;PRS;FIN
αλλά	men	αλλά	men	CONJ	CONJ
μετά	deretter	μετά	deretter	ADV	ADV
μετά	så	μετά	så	ADV	ADV
μετά	da	μετά	da	ADV	ADV
μετά	etterpå	μετά	etterpå	ADV	ADV
επίσης	òg	επίσης	òg	ADV	ADV
επίσης	også	επίσης	også	ADV	ADV
είχε	hadde	έχω	ha	V;IPFV;IND;SG;3;PST;FIN;ACT	V;IND;PST;FIN
είχε	hatt	έχω	ha	V;IPFV;IND;SG;3;PST;FIN;ACT	V;V.PTCP
ενώ	mens	ενώ	mens	CONJ	CONJ
δύο	to	δύο	to	NUM;NOM;MASC;PL	NUM;PL
μέχρι	inntil	μέχρι	inntil	ADP	ADP
μπορεί	kan	μπορώ	kunne	V;IPFV;IND;SG;3;PRS;FIN;ACT	V;IND;PRS;FIN
ομάδα	avdeling	ομάδα	avdeling	N;ACC;FEM;SG	N;INDF;FEM;SG
ομάδα	squad	ομάδα	squad	N;ACC;FEM;SG	N;INDF;MASC;SG
ομάδα	troppen	ομάδα	tropp	N;ACC;FEM;SG	N;DEF;MASC;SG
ομάδα	gruppe	ομάδα	gruppe	N;ACC;FEM;SG	N;INDF;FEM;SG
ομάδα	gruppen	ομάδα	grupp	N;ACC;FEM;SG	N;DEF;MASC;SG
ομάδα	lag	ομάδα	lag	N;ACC;FEM;SG	N;INDF;NEUT;SG
ομάδα	laget	ομάδα	lag	N;ACC;FEM;SG	N;DEF;NEUT;SG
ομάδα	team	ομάδα	team	N;ACC;FEM;SG	N;INDF;NEUT;SG
θέση	stilling	θέση	stilling	N;ACC;FEM;SG	N;INDF;FEM;SG
θέση	posisjon	θέση	posisjon	N;ACC;FEM;SG	N;INDF;MASC;SG
μεταξύ	mellom	μεταξύ	mellom	ADP	ADP
πόλη	byen	πόλη	by	N;NOM;FEM;SG	N;DEF;MASC;SG
πόλη	by	πόλη	by	N;NOM;FEM;SG	N;INDF;MASC;SG
πόλη	city	πόλη	city	N;NOM;FEM;SG	N
πόλη	byen	πόλη	by	N;NOM;FEM;SG	N;DEF;MASC;SG
πόλη	poststed	πόλη	poststed	N;NOM;FEM;SG	N;INDF;MASC;SG
πόλη	by	πόλη	by	N;NOM;FEM;SG	N;INDF;MASC;SG
μόνο	berre	μόνο	berre	ADV	ADV
μόνο	bare	μόνο	bare	ADV	ADV
περιοχή	region	περιοχή	region	N;NOM;FEM;SG	N;INDF;MASC;SG
περιοχή	areal	περιοχή	areal	N;NOM;FEM;SG	N;INDF;NEUT;SG
περιοχή	område	περιοχή	område	N;NOM;FEM;SG	N;INDF;NEUT;SG
περιοχή	området	περιοχή	område	N;NOM;FEM;SG	N;DEF;NEUT;SG
περιοχή	area	περιοχή	area	N;NOM;FEM;SG	N;INDF;MASC;SG
αιώνα	århundre	αιώνας	århundre	N;ACC;MASC;SG	N;INDF;NEUT;SG
περίοδο	punktum	περίοδος	punktum	N;ACC;FEM;SG	N;INDF;NEUT;SG
περίοδο	perioden	περίοδος	periode	N;ACC;FEM;SG	N;DEF;MASC;SG
περίοδο	periode	περίοδος	periode	N;ACC;FEM;SG	N;INDF;MASC;SG
τότε	deretter	τότε	deretter	ADV	ADV
τότε	så	τότε	så	ADV	ADV
τότε	da	τότε	da	ADV	ADV
όνομα	namn	όνομα	namn	N;NOM;NEUT;SG	N;INDF;NEUT;SG
όνομα	navnet	όνομα	navn	N;NOM;NEUT;SG	N;DEF;NEUT;SG
όνομα	navn	όνομα	navn	N;NOM;NEUT;SG	N;INDF;NEUT;SG
μέρος	spisested	μέρος	spisested	N;NOM;NEUT;SG	N;INDF;MASC;SG
μέρος	place	μέρος	place	N;NOM;NEUT;SG	N
διάρκεια	varighet	διάρκεια	varighet	N;ACC;FEM;SG	N;INDF;FEM;SG
ιστορία	hendelse	ιστορία	hendelse	N;NOM;FEM;SG	N;INDF;MASC;SG
ιστορία	story	ιστορία	story	N;NOM;FEM;SG	N;INDF;MASC;SG
ιστορία	historie	ιστορία	historie	N;NOM;FEM;SG	N;INDF;FEM;SG
