and	ja	and	ja	CONJ	CONJ
was	oliko	be	olla	V;IND;SG;3;PST;FIN	V;IND;SG;3;PST;FIN;ACT
that	tuo	that	tuo	PRO;SG	PRO;NOM;SG
from	alkaen	from	alkaen	ADV	ADV
this	tämän	this	tämä	PRO;SG	PRO;GEN;SG
this	tätä	this	tämä	PRO;SG	PRO;PRT;SG
this	tästä	this	tämä	PRO;SG	PRO;IN+ABL;SG
this	tämä	this	tämä	PRO;SG	PRO;NOM;SG
his	hänen	he	hän	PRO;MASC;SG;3	PRO;GEN;SG;3
are	ovat	be	olla	V;IND;PRS;FIN	V;IND;PL;3;PRS;FIN;ACT
are	ovatko	be	olla	V;IND;PRS;FIN	V;IND;PL;3;PRS;FIN;ACT
talk	puhua	talk	puhua	V;IMP;FIN	V;SG;NFIN;ACT
talk	puhu	talk	puhua	V;IMP;FIN	V;IMP;SG;2;FIN;ACT
also	lisäksi	also	lisäksi	ADV	ADV
also	myöskin	also	myöskin	ADV	ADV
also	myös	also	myös	ADV	ADV
were	olivat	be	olla	V;IND;PST;FIN	V;IND;PL;3;PST;FIN;ACT
were	olivatko	be	olla	V;IND;PST;FIN	V;IND;PL;3;PST;FIN;ACT
but	mutta	but	mutta	CONJ	CONJ
one	yks	one	yksi	NUM	NUM;NOM;SG
one	yksi	one	yksi	NUM	NUM;NOM;SG
one	yhden	one	yksi	NUM	NUM;GEN;SG
new	uudet	new	uusi	ADJ	ADJ;NOM;PL
new	uusi	new	uusi	ADJ	ADJ;NOM;SG
new	uutta	new	uusi	ADJ	ADJ;PRT;SG
new	uusia	new	uusi	ADJ	ADJ;PRT;PL
first	ensin	first	ensin	ADV	ADV
first	ensiksi	first	ensiksi	ADV	ADV
page	sivu	page	sivu	N;SG	N;NOM;SG
page	sivulla	page	sivu	N;SG	N;AT+ESS
;SG
they	he	they	hän	PRO;NOM;PL;3	PRO;NOM;PL;3
had	oli	have	olla	V;IND;PST;FIN	V;IND;SG;3;PST;FIN;ACT
article	momentti	article	momentti	N;SG	N;NOM;SG
article	artikkeli	article	artikkeli	N;SG	N;NOM;SG
article	artikla	article	artikla	N;SG	N;NOM;SG
who	kuka	who	kuka	PRO	PRO;NOM;SG
who	ketä	who	kettä	PRO	PRO;PRT;SG
their	heidän	they	hän	PRO;PL;3	PRO;GEN;PL;3
there	tuolla	there	tuolla	ADV	ADV
there	siellä	there	siellä	ADV	ADV
made	tehdyt	make	tehdä	V;PST;V.PTCP	V;NOM;PL;V.PTCP;PASS
