από	от	από	от	ADP	ADP
με	със	με	със	ADP	ADP
για	за	για	за	ADP	ADP
κατηγορία	категория	κατηγορία	категория	N;NOM;FEM;SG	N;INDF;FEM;SG
ένα	една	ένας	един	NUM;NOM;NEUT;SG	NUM;INDF;FEM;SG
ένα	един	ένας	един	NUM;NOM;NEUT;SG	NUM;INDF;MASC;SG
ένα	едно	ένας	един	NUM;NOM;NEUT;SG	NUM;INDF;NEUT;SG
ότι	че	ότι	че	CONJ	CONJ
μια	една	ένας	един	NUM;NOM;FEM;SG	NUM;INDF;FEM;SG
μια	един	ένας	един	NUM;NOM;FEM;SG	NUM;INDF;MASC;SG
μια	едно	ένας	един	NUM;NOM;FEM;SG	NUM;INDF;NEUT;SG
αλλά	но	αλλά	но	CONJ	CONJ
μετά	тогава	μετά	тогава	ADV	ADV
επίσης	също	επίσης	също	ADV	ADV
ενώ	докато	ενώ	докато	CONJ	CONJ
δύο	двама	δύο	двама	NUM;NOM;MASC;PL	NUM;INDF;PL
δύο	две	δύο	два	NUM;NOM;MASC;PL	NUM;INDF;FEM;PL
αυτό	това	αυτός	този	PRO;NOM;NEUT;SG;3	PRO;NOM;NEUT;SG
όπου	къде	όπου	къде	ADV	ADV
μία	една	ένας	един	NUM;NOM;FEM;SG	NUM;INDF;FEM;SG
μία	един	ένας	един	NUM;NOM;FEM;SG	NUM;INDF;MASC;SG
μία	едно	ένας	един	NUM;NOM;FEM;SG	NUM;INDF;NEUT;SG
ομάδα	отряд	ομάδα	отряд	N;ACC;FEM;SG	N;INDF;MASC;SG
ομάδα	взвод	ομάδα	взвод	N;ACC;FEM;SG	N;INDF;MASC;SG
ομάδα	група	ομάδα	група	N;ACC;FEM;SG	N;INDF;FEM;SG
ομάδα	групиране	ομάδα	групиране	N;ACC;FEM;SG	N;INDF;NEUT;SG
ομάδα	отбор	ομάδα	отбор	N;ACC;FEM;SG	N;INDF;MASC;SG
ομάδα	отбора	ομάδα	отбор	N;ACC;FEM;SG	N;DEF;MASC;SG
ομάδα	екип	ομάδα	екип	N;ACC;FEM;SG	N;INDF;MASC;SG
θέση	позиция	θέση	позиция	N;ACC;FEM;SG	N;INDF;FEM;SG
θέση	положение	θέση	положение	N;ACC;FEM;SG	N;INDF;NEUT;SG
θέση	длъжност	θέση	длъжност	N;ACC;FEM;SG	N;INDF;FEM;SG
μεταξύ	между	μεταξύ	между	ADP	ADP
χρόνια	години	χρόνος	година	N;NOM;NEUT;PL	N;INDF;FEM;PL
χρόνια	годините	χρόνος	година	N;NOM;NEUT;PL	N;DEF;FEM;PL
πιο	повече	πιο	повече	ADV	ADV;INDF;PL
πιο	още	πιο	още	ADV	ADV
πόλη	град	πόλη	град	N;NOM;FEM;SG	N;INDF;MASC;SG
πόλη	градът	πόλη	град	N;NOM;FEM;SG	N;DEF;MASC;SG
πόλη	градче	πόλη	градче	N;NOM;FEM;SG	N;INDF;NEUT;SG
πόλη	град	πόλη	град	N;NOM;FEM;SG	N;INDF;MASC;SG
πόλη	градът	πόλη	град	N;NOM;FEM;SG	N;DEF;MASC;SG
πόλη	сити	πόλη	сит	N;NOM;FEM;SG	N;INDF;MASC;SG
μόνο	само	μόνο	само	ADV	ADV
μόνο	единствено	μόνο	единствено	ADV	ADV
έγινε	направено	γίνομαι	направя-(се)	V;PFV;IND;SG;3;PST;FIN;PASS	V;PFV;INDF;NEUT;SG;V.PTCP;PASS
έγινε	сторено	γίνομαι	сторя-(се)	V;PFV;IND;SG;3;PST;FIN;PASS	V;PFV;INDF;NEUT;SG;V.PTCP;PASS
πολύ	много	πολύ	много	ADV	ADV;INDF;PL
περιοχή	район	περιοχή	район	N;NOM;FEM;SG	N;INDF;MASC;SG
περιοχή	регион	περιοχή	регион	N;NOM;FEM;SG	N;INDF;MASC;SG
περιοχή	област	περιοχή	област	N;NOM;FEM;SG	N;INDF;FEM;SG
περιοχή	зона	περιοχή	зона	N;NOM;FEM;SG	N;INDF;FEM;SG
περιοχή	площ	περιοχή	площ	N;NOM;FEM;SG	N;INDF;FEM;SG
περιοχή	област	περιοχή	област	N;NOM;FEM;SG	N;INDF;FEM;SG
περιοχή	район	περιοχή	район	N;NOM;FEM;SG	N;INDF;MASC;SG
αιώνα	век	αιώνας	век	N;ACC;MASC;SG	N;INDF;MASC;SG
αιώνα	века	αιώνας	век	N;ACC;MASC;SG	N;DEF;MASC;SG
περίοδο	период	περίοδος	период	N;ACC;FEM;SG	N;INDF;MASC;SG
τότε	тогава	τότε	тогава	ADV	ADV
όνομα	името	όνομα	име	N;NOM;NEUT;SG	N;DEF;NEUT;SG
όνομα	наименование	όνομα	наименование	N;NOM;NEUT;SG	N;INDF;NEUT;SG
όνομα	име	όνομα	име	N;NOM;NEUT;SG	N;INDF;NEUT;SG
μέρος	част	μέρος	част	N;NOM;NEUT;SG	N;INDF;FEM;SG
μέρος	място	μέρος	място	N;NOM;NEUT;SG	N;INDF;NEUT;SG
σήμερα	днеска	σήμερα	днеска	ADV	ADV
σήμερα	днес	σήμερα	днес	ADV	ADV
μέσα	вътрешно	μέσα	вътрешен	ADV	ADV
μέσα	вътре	μέσα	вътре	ADV	ADV
μαζί	заедно	μαζί	заедно	ADV	ADV
διάρκεια	времетраене	διάρκεια	времетраене	N;ACC;FEM;SG	N;INDF;NEUT;SG
διάρκεια	продължителност	διάρκεια	продължителност	N;ACC;FEM;SG	N;INDF;FEM;SG
ιστορία	приказка	ιστορία	приказка	N;NOM;FEM;SG	N;INDF;FEM;SG
ιστορία	история	ιστορία	история	N;NOM;FEM;SG	N;INDF;FEM;SG
ιστορία	историята	ιστορία	история	N;NOM;FEM;SG	N;DEF;FEM;SG
ιστορία	история	ιστορία	история	N;NOM;FEM;SG	N;INDF;FEM;SG
πρωτάθλημα	лигата	πρωτάθλημα	лига	N;NOM;NEUT;SG	N;DEF;FEM;SG
πρωτάθλημα	лига	πρωτάθλημα	лига	N;NOM;NEUT;SG	N;INDF;FEM;SG
πρωτάθλημα	първенство	πρωτάθλημα	първенство	N;NOM;NEUT;SG	N;INDF;NEUT;SG
πρωτάθλημα	шампионат	πρωτάθλημα	шампионат	N;NOM;NEUT;SG	N;INDF;MASC;SG
νέα	нови	νέος	нов	ADJ;NOM;NEUT;PL	ADJ;INDF;PL
περίπου	приблизително	περίπου	приблизително	ADV	ADV
χωρίς	без	χωρίς	без	ADP	ADP
εθνική	национална	εθνικός	национален	ADJ;NOM;FEM;SG	ADJ;INDF;FEM;SG
εθνική	национален	εθνικός	национален	ADJ;NOM;FEM;SG	ADJ;INDF;MASC;SG
