پُشتَینی	kalıtsal	پُشتَینی	kalıtsal	ADJ	ADJ
پشک	dew	پشک	dew		
پشم	sac	پشم	sac		
پشم	saç	پشم	saç		
پشم	kürk	پشم	kürk		
پشم	yün	پشم	yün		
پُف	puff	پُف	puff		
پُکار	çağrı	پُکار	çağrı		
پُکار	bağır	پُکار	bağır		
پُکار	ağlamak	پُکار	ağla		
پُکار	ağla	پُکار	ağla		
پُکار	ağlama	پُکار	ağla		
پُکار	ara	پُکار	ara		
پُکار	çağrı	پُکار	çağrı		
پُکار	arama	پُکار	ara		
پُکار	şikâyet	پُکار	şikâyet		
پُکارا	aradı	پُکارا	ara	V;PFV;MASC;SG;V.PTCP;ACT	V;PFV;IND;SG;3;POS;PST
پُکارنا	yalvarma	پُکار	yalvar	V;NFIN;ACT	V;PFV;IMP;SG;2;NEG;PRS
پکانا	pişir	پکانا	pişir	V;MASC;SG;V.PTCP;ACT	V;PFV;IMP;SG;2;POS;PRS
پکپن	olgun	پکپن	olgun		
پکپن	olgunluk	پکپن	olgunluk		
پکڑ	tutun	پکڑ	tut	V;ACT	V;PFV;IMP;PL;2;POS;PRS
پکڑ	tut	پکڑ	tut	V;ACT	V;PFV;IMP;SG;2;POS;PRS
پکڑ	tutuklama	پکڑ	tutukla	V;ACT	V;PFV;NOM;IND;POS;PRS;V.MSDR
پکڑ	tutun	پکڑ	tut	V;ACT	V;PFV;IMP;PL;2;POS;PRS
پکڑ	tut	پکڑ	tut	V;ACT	V;PFV;IMP;SG;2;POS;PRS
پکڑ	tutuklama	پکڑ	tutukla	V;ACT	V;PFV;NOM;IND;POS;PRS;V.MSDR
پکڑا	yakaladı	پکڑ	yakala	V;PFV;MASC;SG;V.PTCP;ACT	V;PFV;IND;SG;3;POS;PST
پکڑائی	yakalamak	پکڑائی	yakala	V;PFV;FEM;SG;V.PTCP;ACT	V;PFV;NOM;IND;POS;PRS;V.MSDR
پکڑنا	tut	پکڑ	tut	V;MASC;SG;NFIN;ACT	V;PFV;IMP;SG;2;POS;PRS
پکڑنا	tutuklama	پکڑ	tutukla	V;MASC;SG;NFIN;ACT	V;PFV;NOM;IND;POS;PRS;V.MSDR
پکڑنا	al	پکڑ	al	V;MASC;SG;NFIN;ACT	V;PFV;IMP;SG;2;POS;PRS
پکڑنا	keşfetmek	پکڑ	keşfet	V;MASC;SG;NFIN;ACT	V;PFV;NOM;IND;POS;PRS;V.MSDR
پکش	tüy	پکش	tüy		
پکش	kanat	پکش	kanat		
پکش	wing	پکش	wing		
پکش	taraf	پکش	taraf		
پکش	yan	پکش	yan		
پکش	side	پکش	sid		
پکش	yana	پکش	yan		
پکھ	kanat	پکھ	kanat		
پکھ	wing	پکھ	wing		
پکھارنا	temizle	پکھار	temiz	V;MASC;SG;NFIN;ACT	V;PFV;IMP;SG;2;POS;PRS
پکھارنا	yıkama	پکھار	yıka	V;MASC;SG;NFIN;ACT	V;PFV;IND;2;NEG;PRS
پگ	pug	پگ	pug	N;NOM;MASC;SG;3	N;NOM;SG;3
پگ	ayak	پگ	ayak	N;NOM;MASC;SG;3	N;NOM;SG;3
پگ	ayağı	پگ	ayak	N;NOM;MASC;SG;3	N;NOM;SG;3
پگ	adımı	پگ	adım	N;NOM;MASC;SG;3	N;NOM;SG;3
پگا	family	پگا	family		
پگا	aile	پگا	aile		
پگاہ	günaydın	پگاہ	günay		
پگاہ	dawn	پگاہ	dawn		
پگاہ	şafak	پگاہ	şafak		
پگاہ	seher	پگاہ	seher		
پگڑی	kişi	پگڑی	kişi	N;NOM;FEM;SG;3	N;NOM;SG;3
پگڑی	insan	پگڑی	insan	N;NOM;FEM;SG;3	N;NOM;SG;3
پگڑی	kişi	پگڑی	kişi	N;NOM;FEM;SG;3	N;NOM;SG;3
پگڑی	insan	پگڑی	insan	N;NOM;FEM;SG;3	N;NOM;SG;3
پگّل	deli	پگّل	deli		
پگّل	deliyim	پگّل	deliy		
پگّل	çılgın	پگّل	çılgın		
پگّل	manyak	پگّل	manyak		
پگّل	deli	پگّل	deli		
پگّل	çılgın	پگّل	çılgın		
پگّل	mad	پگّل	mad		
پِگلنا	erir	پِگلنا	erir	V;SG;NFIN;ACT	V;IPFV;IND;SG;3;POS
پگھارنا	yıkama	پگھار	yıka	V;SG;NFIN;ACT	V;PFV;IND;2;NEG;PRS
پِگھلانا	erir	پِگھلانا	erir	V;MASC;SG;NFIN;ACT	V;IPFV;IND;SG;3;POS
پلٹن	müfreze	پلٹن	müfrez		
پلٹن	mafya	پلٹن	mafya		
پِن	pin	پِن	pin		
پُن	fazilet	پُن	fazilet		
پُن	erdem	پُن	erdem		
پُن	man	پُن	man		
پُن	erkek	پُن	erkek		
پُن	erkek	پُن	erkek		
پنا	genişlik	پنا	genişlik		
پناہ	tımarhane	پناہ	tımarhane	N;NOM;MASC;SG;3	N;NOM;SG;3
پناہ	tımarhane	پناہ	tımarhane	N;NOM;MASC;SG;3	N;NOM;SG;3
پناہ	barınak	پناہ	barınak	N;NOM;MASC;SG;3	N;NOM;SG;3
پناہ	sığınak	پناہ	sığınak	N;NOM;MASC;SG;3	N;NOM;SG;3
پنج	five	پنج	fiv		
پنج	beş	پنج	beş		
پنجہ	power	پنجہ	power		
پنجہ	güç	پنجہ	güç		
پنجہ	kontrol	پنجہ	kontrol		
پنجہ	control	پنجہ	control		
پنجہ	denetim	پنجہ	denetim		
پنجہ	pençe	پنجہ	penç		
پنجہ	pati	پنجہ	pati		
پنجہ	pençe	پنجہ	penç		
پنچ	arabulucu	پنچ	arabulucu		
پنچ	yargıç	پنچ	yargıç		
پنچ	hâkim	پنچ	hâkim		
پنچ	hakim	پنچ	hakim		
پنچ	five	پنچ	fiv		
پنچ	beş	پنچ	beş		
پنچایت	kardeşlik	پنچایت	kardeşlik	N;NOM;MASC;SG;3	N;NOM;SG;3
پنچایت	arabuluculuk	پنچایت	arabuluculuk	N;NOM;MASC;SG;3	N;NOM;SG;3
پنچایت	hakemlik	پنچایت	hakemlik	N;NOM;MASC;SG;3	N;NOM;SG;3
پند	öğüt	پند	öğüt		
پند	tavsiye	پند	tavsiye		
پِنڈ	yerleşim	پِنڈ	yerleş		
پِنڈ	yumru	پِنڈ	yumru		
پِنڈ	ceset	پِنڈ	ceset		
پِنڈ	vücut	پِنڈ	vücut		
پِنڈ	beden	پِنڈ	beden		
پِنڈ	köyü	پِنڈ	köy		
پِنڈ	köy	پِنڈ	köy		
پنڈا	zekâ	پنڈا	zekâ		
پنڈا	zeka	پنڈا	zeka		
پنڈا	istihbarat	پنڈا	istihbarat		
پنڈا	öğrenim	پنڈا	öğren		
پنڈا	öğrenme	پنڈا	öğren		
پنڈا	hikmet	پنڈا	hikmet		
پنڈا	ilim	پنڈا	ilim		
پنڈک	hadım	پنڈک	hadım		
پنڈک	hermafrodit	پنڈک	hermafrodit		
پنگا	sakar	پنگا	sakar		
پِننا	temizle	پِن	temiz	V;SG;NFIN;ACT	V;PFV;IMP;SG;2;POS;PRS
پنہا	ferah	پنہا	ferah		
پنیر	peynir	پنیر	peynir	N;NOM;MASC;SG;3	N;NOM;SG;3
پَو	as	پَو	as		
پَو	ace	پَو	ace		
پَو	dawn	پَو	dawn		
پَو	şafak	پَو	şafak		
پَو	seher	پَو	seher		
پَو	başarılı	پَو	başarılı		
پَو	başarı	پَو	başarı		
پوٹ	çuval	پوٹ	çuval		
پوٹ	torba	پوٹ	torba		
پوٹ	fazlalık	پوٹ	fazlalık		
پوٹ	fazla	پوٹ	fazla		
پوٹ	aşırıya	پوٹ	aşırı		
پوٹ	bale	پوٹ	bale		
پوٹ	yığın	پوٹ	yığın		
پوٹ	demet	پوٹ	demet		
پوٹ	bolluk	پوٹ	bolluk		
پوچ	değersiz	پوچ	değersiz		
پوچ	gereksiz	پوچ	gereksiz		
پوچ	yararsız	پوچ	yararsız		
پُوچھنا	sor	پُوچھ	sor	V;MASC;SG;NFIN;ACT	V;PFV;IMP;SG;2;POS;PRS
پوچھنا	temizle	پوچھ	temiz	V;MASC;SG;NFIN;ACT	V;PFV;IMP;SG;2;POS;PRS
پوست	shell	پوست	shell		
پوست	kabuk	پوست	kabuk		
پوست	bark	پوست	bark		
پوست	poppy	پوست	poppy		
پوست	afyon	پوست	afyon		
پوست	haşhaş	پوست	haşhaş		
پوست	kabuk	پوست	kabuk		
پوست	tabaka	پوست	tabaka		
پوست	katman	پوست	kat		
پوست	shell	پوست	shell		
پوست	kabuk	پوست	kabuk		
پوست	bark	پوست	bark		
پوست	poppy	پوست	poppy		
پوست	afyon	پوست	afyon		
پوست	haşhaş	پوست	haşhaş		
پوست	cildi	پوست	cildi		
پوست	cilt	پوست	cilt		
پوست	ten	پوست	ten		
پوست	deri	پوست	deri		
پوست	kabuk	پوست	kabuk		
پوست	tabaka	پوست	tabaka		
پوست	katman	پوست	kat		
پوش	kapsayan	پوش	kapsa		
پَون	tılsım	پَون	tıl		
پونچنا	temizle	پونچنا	temiz	V;SG;NFIN;ACT	V;PFV;IMP;SG;2;POS;PRS
پونچھنا	temizle	پونچھنا	temiz	V;SG;NFIN;ACT	V;PFV;IMP;SG;2;POS;PRS
پہ	fakat	پہ	fakat		
پہ	henüz	پہ	henüz		
پہاڑ	mountain	پہاڑ	mountain	N;NOM;MASC;SG;3	N;NOM;SG;3
پہپٹ	dolandırıcı	پہپٹ	dolandırıcı		
پہپٹ	sahtekar	پہپٹ	sahtekar		
پہپٹ	gürültü	پہپٹ	gürültü		
پہپٹ	hile	پہپٹ	hile		
پہپٹ	kandırma	پہپٹ	kan		
پہپٹ	aldatma	پہپٹ	aldat		
پہپٹ	ihanet	پہپٹ	ihanet		
پہچان	kimlik	پہچان	kimlik	N;NOM;MASC;SG;3	N;NOM;SG;3
پہچاننا	anlıyor	پہچان	anla	V;SG;NFIN;ACT	V;PROG;IND;SG;3;POS;INFM;PRS
پہچاننا	anlamak	پہچان	anla	V;SG;NFIN;ACT	V;PFV;NOM;IND;POS;PRS;V.MSDR
پہچاننا	biliyor	پہچان	bil	V;SG;NFIN;ACT	V;PROG;IND;SG;3;POS;INFM;PRS
پہچاننا	anlıyor	پہچان	anla	V;SG;NFIN;ACT	V;PROG;IND;SG;3;POS;INFM;PRS
پہچاننا	anlamak	پہچان	anla	V;SG;NFIN;ACT	V;PFV;NOM;IND;POS;PRS;V.MSDR
پہچاننا	biliyor	پہچان	bil	V;SG;NFIN;ACT	V;PROG;IND;SG;3;POS;INFM;PRS
پہَل	kanat	پہَل	kanat		
پہَل	wing	پہَل	wing		
پہَل	taraf	پہَل	taraf		
پہَل	yan	پہَل	yan		
پہَل	side	پہَل	sid		
پہَل	yana	پہَل	yan		
پہل	başlangıç	پہل	başlangıç		
پہل	önce	پہل	önce		
پہل	ilk	پہل	ilk		
پہل	once	پہل	once		
پہل	girişim	پہل	giriş		
پہنچا	vardım	پہنچ	var	V;PFV;MASC;SG;V.PTCP;ACT	V;PFV;IND;SG;1;POS;PST
پہنچا	geldi	پہنچ	gel	V;PFV;MASC;SG;V.PTCP;ACT	V;PFV;IND;SG;3;POS;PST
پہنچا	ulaştı	پہنچ	ulaş	V;PFV;MASC;SG;V.PTCP;ACT	V;PFV;IND;SG;3;POS;PST
پہنچانا	taşımak	پہنچ	taşı	V;MASC;SG;NFIN;ACT	V;PFV;NOM;IND;POS;PRS;V.MSDR
پہنچنا	anlıyor	پہنچ	anla	V;MASC;SG;NFIN;ACT	V;PROG;IND;SG;3;POS;INFM;PRS
پہنچنا	anlamak	پہنچ	anla	V;MASC;SG;NFIN;ACT	V;PFV;NOM;IND;POS;PRS;V.MSDR
پہنچنا	gel	پہنچ	gel	V;MASC;SG;NFIN;ACT	V;PFV;IMP;SG;2;POS;PRS
پہنچنا	biliyor	پہنچ	bil	V;MASC;SG;NFIN;ACT	V;PROG;IND;SG;3;POS;INFM;PRS
پہنچنا	anlıyor	پہنچ	anla	V;MASC;SG;NFIN;ACT	V;PROG;IND;SG;3;POS;INFM;PRS
پہنچنا	anlamak	پہنچ	anla	V;MASC;SG;NFIN;ACT	V;PFV;NOM;IND;POS;PRS;V.MSDR
پہنچنا	gel	پہنچ	gel	V;MASC;SG;NFIN;ACT	V;PFV;IMP;SG;2;POS;PRS
پہنچنا	biliyor	پہنچ	bil	V;MASC;SG;NFIN;ACT	V;PROG;IND;SG;3;POS;INFM;PRS
پَے	işaret	پَہ	işaret		
پَے	mark	پَہ	mark		
پَے	fay	پَہ	fay		
پَے	fakat	پَہ	fakat		
پَے	sonrası	پَہ	sonra		
پَے	iltica	پَہ	iltica		
پَے	kusur	پَہ	kusur		
پیار	aşk	پیار	aşk	N;NOM;MASC;SG;3	N;NOM;SG;3
پیار	öpücük	پیار	öpücük	N;NOM;MASC;SG;3	N;NOM;SG;3
