que	co	que	co	PRO	PRO;INAN;NOM
que	vy	que	ty	PRO	PRO;NOM;PL;2
non	ne	non	ne	PART	PART
para	pro	para	pro	ADP	ADP;ACC
para	za	para	za	ADP	ADP;ACC
por	pro	por	pro	ADP	ADP;ACC
por	za	por	za	ADP	ADP;ACC
máis	více	máis	hodně	ADV	ADV;CMPR;POS
máis	víc	máis	hodně	ADV	ADV;CMPR;POS
máis	nejvíc	máis	hodně	ADV	ADV;RL;POS
máis	nejvíce	máis	hodně	ADV	ADV;RL;POS
pero	ale	pero	ale	CONJ	CONJ
ben	dobře	ben	dobře	ADV	ADV;POS
ben	dobře	ben	dobře	ADV	ADV;POS
ben	vpravo	ben	vpravo	ADV	ADV
ben	správně	ben	správně	ADV	ADV;POS
son	jsou	ser	být	V	V;IND;PL;3;POS;PRS;FIN;ACT
aquí	zde	aquí	zde	ADV	ADV
aquí	tady	aquí	tady	ADV	ADV
hai	jsou	haber	být	V	V;IND;PL;3;POS;PRS;FIN;ACT
todo	všichni	todo	všechen	DET	DET;ANIM;NOM;MASC;PL
todo	všechno	todo	všechen	DET	DET;NOM;NEUT;SG
todo	všechny	todo	všechen	DET	DET;NOM;MASC;PL
todo	vše	todo	všechen	DET	DET;NOM;NEUT;SG
todo	všechno	todo	všechen	DET	DET;NOM;NEUT;SG
todo	vše	todo	všechen	DET	DET;NOM;NEUT;SG
cando	vy	cando	ty	PRO	PRO;NOM;PL;2
xa	již	xa	již	ADV	ADV
xa	už	xa	už	ADV	ADV
só	jedině	só	jedině	ADV	ADV;POS
só	pouze	só	pouze	ADV	ADV
só	prostě	só	prostě	ADV	ADV;POS
súa	jeho	seu	jeho	DET	DET;3
súa	její	seu	jeho	DET	DET;NOM;FEM;SG;3
súa	jejich	seu	jeho	DET	DET;3
súa	jeho	seu	jeho	DET	DET;3
súa	její	seu	jeho	DET	DET;NOM;FEM;SG;3
súa	vaše	seu	tvůj	DET	DET;NOM;SG;2
súa	váš	seu	tvůj	DET	DET;NOM;MASC;SG;2
súa	tvůj	seu	tvůj	DET	DET;NOM;MASC;SG;1
súa	vaši	seu	tvůj	DET	DET;NOM;FEM;SG;2
moi	velice	moi	velice	ADV	ADV
moi	velmi	moi	velmi	ADV	ADV
seu	jeho	seu	jeho	DET	DET;3
seu	jejich	seu	jeho	DET	DET;3
seu	její	seu	jeho	DET	DET;NOM;FEM;SG;3
seu	jeho	seu	jeho	DET	DET;3
seu	její	seu	jeho	DET	DET;NOM;FEM;SG;3
seu	vaše	seu	tvůj	DET	DET;NOM;SG;2
seu	váš	seu	tvůj	DET	DET;NOM;MASC;SG;2
seu	tvůj	seu	tvůj	DET	DET;NOM;MASC;SG;1
seu	vaši	seu	tvůj	DET	DET;NOM;FEM;SG;2
agora	nyní	agora	nyní	ADV	ADV
agora	teď	agora	teď	ADV	ADV
facer	učinit	facer	učinit	V	V;PFV;POS;NFIN
facer	udělat	facer	udělat	V	V;PFV;POS;NFIN
facer	vyrobit	facer	vyrobit	V	V;PFV;POS;NFIN
facer	dělat	facer	dělat	V	V;IPFV;POS;NFIN
ten	mít	ter	mít	V	V;POS;NFIN
ten	má	ter	mít	V	V;IND;SG;3;POS;PRS;FIN;ACT
ten	mám	ter	mít	V	V;IND;SG;1;POS;PRS;FIN;ACT
ten	dostal	ter	dostat	V	V;MASC;SG;POS;PST;V.PTCP;ACT
el	ho	el	on	PRO	PRO;ACC;SG;3
esta	tento	este	tento	DET	DET;NOM;MASC;SG
esta	toto	este	tento	DET	DET;NOM;NEUT;SG
esta	tohle	este	tenhle	DET	DET;NOM;NEUT;SG
foi	bylo	ser	být	V	V;NEUT;SG;POS;PST;V.PTCP;ACT
foi	byl	ser	být	V	V;MASC;SG;POS;PST;V.PTCP;ACT
foi	byla	ser	být	V	V;POS;PST;V.PTCP;ACT
nada	nic	nada	nic	PRO	PRO;NOM
nada	cokoliv	nada	cokoliv	PRO	PRO;NOM
nada	cokoli	nada	cokoliv	PRO	PRO;NOM
quen	kdo	quen	kdo	PRO	PRO;ANIM;NOM;MASC
quen	koho	quen	kdo	PRO	PRO;ANIM;ACC;MASC
algo	něco	algo	něco	PRO	PRO;NOM
algo	cokoliv	algo	cokoliv	PRO	PRO;NOM
algo	cokoli	algo	cokoliv	PRO	PRO;NOM
teño	mám	ter	mít	V	V;IND;SG;1;POS;PRS;FIN;ACT
teño	dostal	ter	dostat	V	V;MASC;SG;POS;PST;V.PTCP;ACT
teño	mít	ter	mít	V	V;POS;NFIN
todos	všichni	todo	všechen	DET	DET;ANIM;NOM;MASC;PL
todos	všechno	todo	všechen	DET	DET;NOM;NEUT;SG
todos	všechny	todo	všechen	DET	DET;NOM;MASC;PL
todos	vše	todo	všechen	DET	DET;NOM;NEUT;SG
todos	každý	todo	každý	DET	DET;ANIM;NOM;MASC;SG;POS
todos	každé	todo	každý	DET	DET;NOM;NEUT;SG;POS
todos	všichni	todo	všechen	DET	DET;ANIM;NOM;MASC;PL
todos	každý	todo	každý	DET	DET;ANIM;NOM;MASC;SG;POS
todos	všem	todo	všechen	DET	DET;DAT;PL
porque	protože	porque	protože	CONJ	CONJ
este	tento	este	tento	DET	DET;NOM;MASC;SG
este	toto	este	tento	DET	DET;NOM;NEUT;SG
este	tohle	este	tenhle	DET	DET;NOM;NEUT;SG
este	to	este	ten	DET	DET;NOM;NEUT;SG
lle	vy	lle	ty	PRO	PRO;NOM;PL;2
lle	ho	lle	on	PRO	PRO;ACC;SG;3
lle	jí	lle	on	PRO	PRO;DAT;FEM;SG;3
lle	ji	lle	on	PRO	PRO;ACC;FEM;SG;3
lle	ní	lle	on	PRO	PRO;DAT;FEM;SG;3
mais	ale	mais	ale	CONJ	CONJ
vai	bude	ir	být	V	V;IND;SG;3;POS;FUT;FIN;ACT
pode	může	poder	moci	V	V;IND;SG;3;POS;PRS;FIN;ACT
pode	mohou	poder	moci	V	V;IND;PL;3;POS;PRS;FIN;ACT
tamén	rovněž	tamén	rovněž	ADV	ADV
tamén	také	tamén	také	ADV	ADV
tamén	též	tamén	též	ADV	ADV
tamén	taky	tamén	také	ADV	ADV
tamén	taky	tamén	také	ADV	ADV
te	vy	te	ty	PRO	PRO;NOM;PL;2
casa	sněmovna	casa	sněmovna	N	N;NOM;FEM;SG;POS
casa	domeček	casa	domeček	N	N;INAN;NOM;MASC;SG;POS
casa	dům	casa	dům	N	N;INAN;NOM;MASC;SG;POS
casa	domov	casa	domov	N	N;INAN;NOM;MASC;SG;POS
quero	chcete	quero	chtít	V	V;IND;PL;2;POS;PRS;FIN;ACT
quero	chceš	quero	chtít	V	V;IND;SG;2;POS;PRS;FIN;ACT
anos	léta	ano	rok	N	N;NOM;NEUT;PL;POS
anos	roků	ano	rok	N	N;INAN;GEN;MASC;PL;POS
anos	let	ano	rok	N	N;GEN;NEUT;PL;POS
anos	roky	ano	rok	N	N;INAN;NOM;MASC;PL;POS
xente	lidí	xente	člověk	N	N;ANIM;GEN;MASC;PL;POS
xente	lidi	xente	člověk	N	N;ANIM;NOM;MASC;PL;POS
xente	lidé	xente	člověk	N	N;ANIM;NOM;MASC;PL;POS
xente	lidem	xente	člověk	N	N;ANIM;DAT;MASC;PL;POS
xente	people	xente	people	N	N;MASC;SG;POS
vez	dob	vez	doba	N	N;GEN;FEM;PL;POS
vez	čas	vez	čas	N	N;INAN;NOM;MASC;SG;POS
vez	doba	vez	doba	N	N;NOM;FEM;SG;POS
vez	time	vez	time	N	N;INAN;NOM;MASC;SG;POS
señor	pán	señor	pán	N	N;ANIM;NOM;MASC;SG;POS
sei	vědět	saber	vědět	V	V;POS;NFIN
tempo	dob	tempo	doba	N	N;GEN;FEM;PL;POS
tempo	čas	tempo	čas	N	N;INAN;NOM;MASC;SG;POS
tempo	doba	tempo	doba	N	N;NOM;FEM;SG;POS
tempo	time	tempo	time	N	N;INAN;NOM;MASC;SG;POS
día	dne	día	den	N	N;INAN;GEN;MASC;SG;POS
día	den	día	den	N	N;INAN;NOM;MASC;SG;POS
vida	zivot	vida	zivot	N	N;NOM;MASC;SG;POS
vida	život	vida	život	N	N;INAN;NOM;MASC;SG;POS
ver	viz	ver	viz	V	V;PFV;IMP;SG;2;POS;FIN
dicir	řekněme	dicir	říci	V	V;PFV;IMP;PL;2;POS;FIN
dicir	řekněte	dicir	říci	V	V;PFV;IMP;PL;2;POS;FIN
dicir	řekni	dicir	říci	V	V;IMP;SG;1;POS;FIN
sobre	přes	sobre	přes	ADP	ADP;ACC
teu	vaše	teu	tvůj	DET	DET;NOM;SG;2
teu	váš	teu	tvůj	DET	DET;NOM;MASC;SG;2
teu	tvůj	teu	tvůj	DET	DET;NOM;MASC;SG;1
teu	vaši	teu	tvůj	DET	DET;NOM;FEM;SG;2
aínda	stále	aínda	stále	ADV	ADV
aínda	pořád	aínda	pořád	ADV	ADV
aínda	ještě	aínda	ještě	ADV	ADV
aínda	dokonce	aínda	dokonce	ADV	ADV
aínda	přesto	aínda	přesto	ADV	ADV;POS
mesmo	totéž	mesmo	tentýž	DET	DET;NOM;NEUT;SG
ela	jí	el	on	PRO	PRO;DAT;FEM;SG;3
ela	ji	el	on	PRO	PRO;ACC;FEM;SG;3
ela	ní	el	on	PRO	PRO;DAT;FEM;SG;3
ela	ona	el	on	PRO	PRO;NOM;FEM;SG;3
moito	velice	moito	velice	ADV	ADV
moito	velmi	moito	velmi	ADV	ADV
moito	dlouho	moito	dlouho	ADV	ADV;POS
sen	bez	sen	bez	ADP	ADP;GEN
nunca	nikdy	nunca	nikdy	ADV	ADV
podo	může	podar	moci	V	V;IND;SG;3;POS;PRS;FIN;ACT
podo	mohou	podar	moci	V	V;IND;PL;3;POS;PRS;FIN;ACT
coma	jako	coma	jako	CONJ	CONJ
estás	jsou	estar	být	V	V;IND;PL;3;POS;PRS;FIN;ACT
mundo	svět	mundo	svět	N	N;INAN;NOM;MASC;SG;POS
túa	vy	teu	ty	PRO	PRO;NOM;PL;2
home	člověk	home	člověk	N	N;ANIM;NOM;MASC;SG;POS
home	muž	home	muž	N	N;ANIM;NOM;MASC;SG;POS
home	manžela	home	manžel	N	N;ANIM;ACC;MASC;SG;POS
home	manžel	home	manžel	N	N;ANIM;NOM;MASC;SG;POS
home	manželi	home	manžel	N	N;ANIM;INS;MASC;PL;POS
cousas	věci	cousa	věc	N	N;NOM;FEM;PL;POS
cousas	veci	cousa	vece	N	N;NOM;MASC;SG;POS
cousas	věci	cousa	věc	N	N;NOM;FEM;PL;POS
mellor	lepší	mellor	dobrý	ADJ	ADJ;NOM;CMPR;MASC;SG;POS
mellor	nejlepší	mellor	dobrý	ADJ	ADJ;NOM;RL;MASC;SG;POS
mellor	nejlepsi	mellor	lepsi	ADJ	ADJ;NOM;RL;MASC;SG;POS
sempre	vždy	sempre	vždy	ADV	ADV
sempre	vždycky	sempre	vždycky	ADV	ADV
sempre	navždy	sempre	navždy	ADV	ADV
temos	mít	ter	mít	V	V;POS;NFIN
temos	mám	ter	mít	V	V;IND;SG;1;POS;PRS;FIN;ACT
temos	dostal	ter	dostat	V	V;MASC;SG;POS;PST;V.PTCP;ACT
tes	mít	tes	mít	V	V;POS;NFIN
tes	mám	tes	mít	V	V;IND;SG;1;POS;PRS;FIN;ACT
tes	dostal	tes	dostat	V	V;MASC;SG;POS;PST;V.PTCP;ACT
noite	noci	noite	noc	N	N;NOM;FEM;SG;POS
noite	noc	noite	noc	N	N;NOM;FEM;SG;POS
nin	ani	nin	ani	CONJ	CONJ
seus	jejich	seu	jeho	DET	DET;3
seus	jeho	seu	jeho	DET	DET;3
seus	její	seu	jeho	DET	DET;NOM;FEM;SG;3
seus	jeho	seu	jeho	DET	DET;3
seus	vaše	seu	tvůj	DET	DET;NOM;SG;2
seus	váš	seu	tvůj	DET	DET;NOM;MASC;SG;2
seus	tvůj	seu	tvůj	DET	DET;NOM;MASC;SG;1
seus	vaši	seu	tvůj	DET	DET;NOM;FEM;SG;2
seus	její	seu	jeho	DET	DET;NOM;FEM;SG;3
dous	dvojka	dous	dvojka	N	N;NOM;FEM;SG;POS
traballo	zaměstnání	traballo	zaměstnání	N	N;NOM;NEUT;SG;POS
traballo	práce	traballo	práce	N	N;NOM;FEM;SG;POS
traballo	práci	traballo	práce	N	N;ACC;FEM;SG;POS
traballo	práce	traballo	práce	N	N;NOM;FEM;SG;POS
traballo	prace	traballo	prace	N	N;NOM;FEM;SG;POS
traballo	práci	traballo	práce	N	N;ACC;FEM;SG;POS
grazas	moc	graza	moc	N	N;NOM;FEM;SG;POS
grazas	diky	graza	dik	N	N;NOM;MASC;SG;POS
