dan	και	dan	και	CONJ	CONJ
dari	απο	dari	απο	ADP	ADP
dari	από	dari	από	ADP	ADP
dengan	με	dengan	με	ADP	ADP
untuk	για	untuk	για	ADP	ADP
tahun	ετος	tahun	ετος	N;SG	N;NOM;NEUT;SG
tahun	έτος	tahun	έτος	N;SG	N;ACC;NEUT;SG
tahun	χρονιά	tahun	χρονιά	N;SG	N;ACC;FEM;SG
tahun	έτο	tahun	έτος	N;SG	N
juga	επισης	juga	επισης	ADV	ADV
juga	επίσης	juga	επίσης	ADV	ADV
tidak	όχι	tidak	όχι	PART;NEG	PART
bagian	ενότητα	bagian	ενότητα	N;SG	N;NOM;FEM;SG
bagian	τμήμα	bagian	τμήμα	N;SG	N;NOM;NEUT;SG
bagian	τμημα	bagian	τμημα	N;SG	N;NOM;NEUT;SG
bagian	μέρος	bagian	μέρος	N;SG	N;NOM;NEUT;SG
bagian	μεροσ	bagian	μεροσ	N;SG	N;NOM;NEUT;SG
spesies	είδος	spesies	είδος	N;SG	N;NOM;NEUT;SG
orang	άτομο	orang	άτομο	N;SG	N;NOM;NEUT;SG
orang	πρόσωπο	orang	πρόσωπο	N;SG	N;NOM;NEUT;SG
orang	κόσμος	orang	κόσμος	N;SG	N;NOM;MASC;SG
mereka	τους	mereka	μου	PRO;PL;3	PRO;GEN;MASC;PL;3
satu	μία	satu	ένας	NUM	NUM;NOM;FEM;SG
satu	ένα	satu	ένας	NUM	NUM;NOM;NEUT;SG
satu	μια	satu	ένας	NUM	NUM;NOM;FEM;SG
memiliki	έχει	menmiliki	έχω	V;SG;ACT	V;IPFV;IND;SG;3;PRS;FIN;ACT
kota	πολη	kota	πολη	N;SG	N;NOM;FEM;SG
kota	πόλη	kota	πόλη	N;SG	N;NOM;FEM;SG
kota	πολη	kota	πολη	N;SG	N;NOM;FEM;SG
kota	πόλη	kota	πόλη	N;SG	N;NOM;FEM;SG
pranala	σύνδεσμο	pranala	σύνδεσμο	N;SG	N;ACC;MASC;SG
pranala	σύνδεσμος	pranala	σύνδεσμος	N;SG	N;NOM;MASC;SG
pranala	λινκ	pranala	λινκ	N;SG	N;NOM;NEUT;SG
pranala	δεσμός	pranala	δεσμός	N;SG	N;NOM;MASC;SG
pranala	σύνδεση	pranala	σύνδεση	N;SG	N;NOM;FEM;SG
pranala	σύνδεσμοι	pranala	σύνδεσμος	N;SG	N;ACC;MASC;SG
pranala	υπερσύνδεσμο	pranala	υπερσύνδεσμος	N;SG	N;VOC;MASC;SG
karena	επειδή	karena	επειδή	CONJ	CONJ
karena	γιατί	karena	γιατί	CONJ	CONJ
desa	χωριο	desa	χωριο	N;SG	N;NOM;NEUT;SG
desa	χωριό	desa	χωριό	N;SG	N;NOM;NEUT;SG
lebih	περισσότερο	lebih	πολύ	ADV	ADV;CMPR
lebih	πιο	lebih	πιο	ADV	ADV
nama	ονομασία	nama	ονομασία	N;SG	N;NOM;FEM;SG
nama	όνομα	nama	όνομα	N;SG	N;NOM;NEUT;SG
nama	ονομα	nama	ονομα	N;SG	N;NOM;NEUT;SG
kayu	ξύλο	kayu	ξύλο	N;SG	N;NOM;NEUT;SG
kayu	ξυλεία	kayu	ξυλεία	N;SG	N;NOM;FEM;SG
kayu	ξυλείας	kayu	ξυλεία	N;SG	N;GEN;FEM;SG
kayu	ξυλεία	kayu	ξυλεία	N;SG	N;NOM;FEM;SG
bahwa	ότι	bahwa	ότι	CONJ	CONJ
bahasa	γλώσσα	bahasa	γλώσσα	N;SG	N;NOM;FEM;SG
bahasa	γλωσσα	bahasa	γλωσσα	N;SG	N;ACC;FEM;SG
asteroid	αστεροειδείς	asteroid	αστεροειδής	N	N;NOM;MASC;PL
asteroid	αστεροειδή	asteroid	αστεροειδής	N	N;NOM;MASC;SG
besar	μεγάλο	besar	μεγάλος	ADJ;SG	ADJ;NOM;NEUT;SG
besar	μεγάλη	besar	μεγάλος	ADJ;SG	ADJ;NOM;FEM;SG
besar	μεγάλος	besar	μεγάλος	ADJ;SG	ADJ;NOM;MASC;SG
besar	μεγάλο	besar	μεγάλος	ADJ;SG	ADJ;NOM;NEUT;SG
besar	τέλεια	besar	τέλεια	ADJ;SG	ADJ;NOM;FEM;SG
film	ταινία	film	ταινία	N;SG	N;NOM;FEM;SG
film	ταινια	film	ταινιά	N;SG	N;NOM;FEM;SG
film	μεμβράνη	film	μεμβράνη	N;SG	N;NOM;FEM;SG
film	ταινία	film	ταινία	N;SG	N;NOM;FEM;SG
film	ταινια	film	ταινιά	N;SG	N;NOM;FEM;SG
film	φιλμ	film	φιλμ	N;SG	N;NOM;NEUT;SG
kelas	τάξη	kelas	τάξη	N;SG	N;NOM;FEM;SG
kelas	κλάση	kelas	κλάση	N;SG	N;NOM;FEM;SG
kelas	μάθημα	kelas	μάθημα	N;SG	N;NOM;NEUT;SG
kecamatan	περιφέρεια	kecamatan	περιφέρεια	N;SG	N;NOM;FEM;SG
salah	λάθος	salah	λάθος	N;SG	N;NOM;NEUT;SG
salah	λάθος	salah	λάθος	N;SG	N;NOM;NEUT;SG
negara	χωρα	negara	χωρα	N;SG	N;ACC;FEM;SG
negara	χώρα	negara	χώρα	N;SG	N;NOM;FEM;SG
negara	κράτος	negara	κράτος	N;SG	N;NOM;NEUT;SG
negara	πολιτεία	negara	πολιτεία	N;SG	N;ACC;FEM;SG
biasanya	συνήθως	biasanya	συνήθως	ADV	ADV
biasanya	συνηθως	biasanya	συνηθως	ADV	ADV
biasanya	τυπικά	biasanya	τυπικά	ADV	ADV
biasanya	φυσιολογικά	biasanya	φυσιολογικά	ADV	ADV
biasanya	κανονικά	biasanya	κανονικά	ADV	ADV
kemudian	τότε	kemudian	τότε	ADV	ADV
kemudian	μετά	kemudian	μετά	ADV	ADV
kemudian	αργότερα	kemudian	αργά	ADV	ADV;CMPR
kemudian	αργοτερα	kemudian	αργά	ADV	ADV
banyak	πολλα	banyak	πολύς	ADV	ADV
kabupaten	κομητεία	kabupaten	κομητείο	N;SG	N;NOM;FEM;SG
kabupaten	περιφέρεια	kabupaten	περιφέρεια	N;SG	N;NOM;FEM;SG
kumbang	πασχαλίτσα	kumbang	πασχαλίτσα	N	N;NOM;FEM;SG
kumbang	σκαθάρι	kumbang	σκαθάρι	N	N;NOM;NEUT;SG
lalat	πέτα	lalat	πέτα	N;SG	N
lalat	μύγα	lalat	μύγα	N;SG	N;NOM;FEM;SG
genus	γένος	genus	γένος	N	N;NOM;NEUT;SG
genus	γένους	genus	γένος	N	N;GEN;NEUT;SG
isi	περιεκτικότητα	isi	περιεκτικότητα	N;SG	N;NOM;FEM;SG
isi	περιεχόμενο	isi	περιεχόμενο	N;SG	N;NOM;NEUT;SG
isi	περιεχόμενο	isi	περιεχόμενο	N;SG	N;NOM;NEUT;SG
daftar	λίστα	daftar	λίστα	N;SG	N;NOM;FEM;SG
daftar	κατάλογος	daftar	κατάλογος	N;SG	N;NOM;MASC;SG
baru	νέο	baru	νέος	ADJ;SG	ADJ;ACC;NEUT;SG
baru	νέος	baru	νέος	ADJ;SG	ADJ;NOM;MASC;SG
antara	μεταξύ	antara	μεταξύ	ADP	ADP
antara	μεταξυ	antara	μεταξυ	ADP	ADP
barat	δύση	barat	δύση	N;SG	N;ACC;FEM;SG
barat	δυτικό	barat	δυτικός	N;SG	N;NOM;NEUT;SG
wilayah	έκταση	wilayah	έκταση	N;SG	N;ACC;FEM;SG
wilayah	εμβαδόν	wilayah	εμβαδόν	N;SG	N;NOM;NEUT;SG
wilayah	περιοχή	wilayah	περιοχή	N;SG	N;NOM;FEM;SG
wilayah	περιοχη	wilayah	περιοχος	N;SG	N;NOM;FEM;SG
wilayah	περιφέρεια	wilayah	περιφέρεια	N;SG	N;NOM;FEM;SG
wilayah	περιοχή	wilayah	περιοχή	N;SG	N;NOM;FEM;SG
wilayah	έδαφος	wilayah	έδαφος	N;SG	N;NOM;NEUT;SG
wilayah	επικράτεια	wilayah	επικράτεια	N;SG	N;NOM;FEM;SG
tanggal	ημερομηνία	tanggal	ημερομηνία	N;SG;ACT	N;ACC;FEM;SG
tanggal	ραντεβού	tanggal	ραντεβός	N;SG;ACT	N;NOM;NEUT;SG
tanggal	ημερομηνια	tanggal	ημερομηνία	N;SG;ACT	N;NOM;FEM;SG
dunia	κόσμο	dunia	κόσμος	N;SG	N;ACC;MASC;SG
dunia	κόσμος	dunia	κόσμος	N;SG	N;NOM;MASC;SG
timur	ανατολή	timur	ανατολή	N;SG	N;NOM;FEM;SG
tempat	τόπος	tempat	τόπος	N;SG	N;NOM;MASC;SG
tempat	μέρος	tempat	μέρος	N;SG	N;NOM;NEUT;SG
dua	δυο	dua	δύο	NUM	NUM;NOM;PL
dua	δύο	dua	δύο	NUM	NUM;NOM;MASC;PL
selatan	νοτια	selatan	νοτίος	N;SG	N;NOM;FEM;SG
selatan	νότος	selatan	νότος	N;SG	N;NOM;MASC;SG
filum	συνομοταξία	filum	συνομοταξία	N;SG	N;NOM;FEM;SG
september	σεπτεμβρίου	september	σεπτέμβριο	N;SG	N;GEN;MASC;SG
september	σεπτέμβριος	september	σεπτέμβριος	N;SG	N;NOM;MASC;SG
september	σεπτέμβριο	september	σεπτέμβριο	N;SG	N
anak	γιος	anak	γιος	N;SG	N;NOM;MASC;SG
anak	υιός	anak	υιός	N;SG	N;NOM;MASC;SG
anak	τέκνο	anak	τέκνο	N;SG	N;NOM;NEUT;SG
anak	παιδι	anak	παιδι	N;SG	N;NOM;NEUT;SG
anak	παιδί	anak	παιδί	N;SG	N;NOM;NEUT;SG
species	ειδη	species	ειδη	N	N;NOM;NEUT;PL
species	είδος	species	είδος	N	N;NOM;NEUT;SG
species	είδη	species	είδος	N	N;NOM;NEUT;PL
hidup	ζωή	hidup	ζωή	N;SG	N;ACC;FEM;SG
hidup	ζωη	hidup	ζωη	N;SG	N;ACC;FEM;SG
lagu	τραγουδι	lagu	τραγουδι	N;SG	N;NOM;NEUT;SG
lagu	τραγούδι	lagu	τραγούδι	N;SG	N;NOM;NEUT;SG
daerah	περιφέρεια	daerah	περιφέρεια	N;SG	N;NOM;FEM;SG
daerah	έκταση	daerah	έκταση	N;SG	N;ACC;FEM;SG
daerah	εμβαδόν	daerah	εμβαδόν	N;SG	N;NOM;NEUT;SG
daerah	περιοχή	daerah	περιοχή	N;SG	N;NOM;FEM;SG
daerah	περιοχη	daerah	περιοχος	N;SG	N;NOM;FEM;SG
daerah	περιφέρεια	daerah	περιφέρεια	N;SG	N;NOM;FEM;SG
daerah	περιοχή	daerah	περιοχή	N;SG	N;NOM;FEM;SG
daerah	κομητεία	daerah	κομητείο	N;SG	N;NOM;FEM;SG
daerah	ενότητα	daerah	ενότητα	N;SG	N;NOM;FEM;SG
daerah	τμήμα	daerah	τμήμα	N;SG	N;NOM;NEUT;SG
daerah	τμημα	daerah	τμημα	N;SG	N;NOM;NEUT;SG
sekolah	σχολείο	sekolah	σχολείο	N;SG	N;NOM;NEUT;SG
sekolah	σχολη	sekolah	σχολος	N;SG	N;NOM;FEM;SG
sekolah	σχολειο	sekolah	σχολειο	N;SG	N;NOM;NEUT;SG
sekolah	σχολή	sekolah	σχολή	N;SG	N;NOM;FEM;SG
hanya	μόνον	hanya	μόνο	ADV	ADV
hanya	μόνο	hanya	μόνο	ADV	ADV
hanya	μονο	hanya	μονο	ADV	ADV
