процедура	procedimento	процедура	procedimento	N;INAN;NOM;FEM;SG	N;MASC;SG
мур	mouro	мура	mouro	N;INAN;NOM;MASC;SG	N;MASC;SG
мур	charneca	мура	charneca	N;INAN;NOM;MASC;SG	N;FEM;SG
мур	moore	мура	moore	N;INAN;NOM;MASC;SG	N;MASC;SG
осень	autumn	осень	autumn	N;INAN;NOM;FEM;SG	N;MASC;SG
осень	outono	осень	outono	N;INAN;NOM;FEM;SG	N;MASC;SG
осень	fall	осень	fall	N;INAN;NOM;FEM;SG	N;MASC;SG
осень	outono	осень	outono	N;INAN;NOM;FEM;SG	N;MASC;SG
осень	queda	осень	queda	N;INAN;NOM;FEM;SG	N;FEM;SG
радиус	raio	радиус	raio	N;INAN;NOM;MASC;SG	N;MASC;SG
сел	sentei	сесть	sentar	V;PFV;MASC;IND;SG;PST;FIN;MID	V;IND;SG;1;PST;FIN
сел	sentado	сесть	sentar	V;PFV;MASC;IND;SG;PST;FIN;MID	V;MASC;SG;V.PTCP
предотвратить	evitar	предотвратить	evitar	V;PFV;NFIN;ACT	V;NFIN
предотвратить	prevenir	предотвратить	prevenir	V;PFV;NFIN;ACT	V;NFIN
предотвратить	impedir	предотвратить	impedir	V;PFV;NFIN;ACT	V;NFIN
апостольский	apostólico	апостольский	apostólico	ADJ;NOM;MASC;SG	ADJ;MASC;SG
сервис	serviço	сервис	serviço	N;INAN;NOM;MASC;SG	N;MASC;SG
сенат	senado	сенат	senado	N;INAN;NOM;MASC;SG	N;MASC;SG
содержащие	contendo	содержать	conter	V;IPFV;NOM;PL;PRS;V.PTCP;ACT	V;V.MSDR
убийца	assassina	убийца	assassino	N;ANIM;NOM;MASC;SG	N;FEM;SG
убийца	killer	убийца	killer	N;ANIM;NOM;MASC;SG	N;MASC;SG
убийца	matador	убийца	matador	N;ANIM;NOM;MASC;SG	N;MASC;SG
убийца	assassino	убийца	assassino	N;ANIM;NOM;MASC;SG	N;MASC;SG
убийца	assassina	убийца	assassino	N;ANIM;NOM;MASC;SG	N;FEM;SG
убийца	assassino	убийца	assassino	N;ANIM;NOM;MASC;SG	N;MASC;SG
убийца	assassina	убийца	assassino	N;ANIM;NOM;MASC;SG	N;FEM;SG
убийца	assassino	убийца	assassino	N;ANIM;NOM;MASC;SG	N;MASC;SG
зон	zonas	зона	zona	N;INAN;GEN;FEM;PL	N;FEM;PL
предков	ancestrais	предок	ancestral	N;ANIM;ACC;MASC;PL	N;MASC;PL
предков	antepassados	предок	antepassado	N;ANIM;ACC;MASC;PL	N;MASC;PL
предков	ancestrais	предок	ancestral	N;ANIM;ACC;MASC;PL	N;MASC;PL
ведущая	conduzindo	вести	conduzir	V;IPFV;NOM;FEM;SG;PRS;V.PTCP;ACT	V;V.MSDR
ведущая	liderando	вести	liderar	V;IPFV;NOM;FEM;SG;PRS;V.PTCP;ACT	V;V.MSDR
ведущая	liderar	вести	liderar	V;IPFV;NOM;FEM;SG;PRS;V.PTCP;ACT	V;NFIN
ведущая	liderar	вести	liderar	V;IPFV;NOM;FEM;SG;PRS;V.PTCP;ACT	V;NFIN
пропустил	pulou	пропустить	pular	V;PFV;MASC;IND;SG;PST;FIN;ACT	V;IND;SG;3;PST;FIN
