catégorie	類別	catégorie	類別	N;FEM;SG	N
qui	誰	qui	誰	PRO	PRO
plus	更	plus	更	ADV	ADV
elle	她	elle	她	PRO;FEM;SG;3	PRO;3
avancement	進步	avancement	進步	N;MASC;SG	N
avancement	進度	avancement	進度	N;MASC;SG	N
comme	像	comme	像	ADP	ADP
cette	這	ce	這	DET;FEM;SG	DET
deux	兩	deux	兩	NUM	NUM
deux	兩	deux	兩	NUM	NUM
deux	二	deux	二	NUM	NUM
naissance	天生	naissance	天生	N;FEM;SG	N
aussi	還	aussi	還	ADV	ADV
aussi	也	aussi	也	ADV	ADV
fait	完成	faire	完成	V;MASC;SG;PST;V.PTCP	V
même	甚至	même	甚至	ADV	ADV
nom	姓	nom	姓	N;MASC;SG	N
nom	姓氏	nom	姓氏	N;MASC;SG	N
nom	名字	nom	名字	N;MASC;SG	N
nom	名稱	nom	名稱	N;MASC;SG	N
nom	姓名	nom	姓名	N;MASC;SG	N
lieu	地點	lieu	地點	N;MASC;SG	N
lieu	場地	lieu	場地	N;MASC;SG	N
lieu	會場	lieu	會場	N;MASC;SG	N
lieu	地方	lieu	地方	N;MASC;SG	N
lieu	地點	lieu	地點	N;MASC;SG	N
lieu	位置	lieu	位置	N;MASC;SG	N
lieu	地點	lieu	地點	N;MASC;SG	N
cet	這	ce	這	PRO;SG;3	PRO
décès	死神	décès	死神	N;MASC;SG	N
commune	公社	commune	公社	N;FEM;SG	N
commune	通用	commune	通用	N;FEM;SG	N
ville	城鎮	ville	城鎮	N;FEM;SG	N
ville	鎮	ville	鎮	N;FEM;SG	N
ville	城市	ville	城市	N;FEM;SG	N
ville	市	ville	市	N;FEM;SG	N
ville	城	ville	城	N;FEM;SG	N
date	日期	date	日期	N;FEM;SG	N
date	約會	date	約會	N;FEM;SG	N
depuis	從	depuis	從	ADP	ADP
ans	歲	an	歲	N;MASC;PL	N
ans	年份	an	年份	N;MASC;PL	N
alors	然後	alors	然後	ADV	ADV
alors	那麼	alors	那麼	ADV	ADV
site	網站	site	網站	N;MASC;SG	N
site	網頁	site	網頁	N;MASC;SG	N
site	網站	site	網站	N;MASC;SG	N
site	工地	site	工地	N;MASC;SG	N
film	電影	film	電影	N;MASC;SG	N
film	影片	film	影片	N;MASC;SG	N
film	電影	film	電影	N;MASC;SG	N
film	膠片	film	膠片	N;MASC;SG	N
film	影片	film	影片	N;MASC;SG	N
voir	見	voir	見	V;NFIN	V
voir	檢視	voir	檢視	V;NFIN	V
voir	瀏覽	voir	瀏覽	V;NFIN	V
pays	國家	pays	國家	N;MASC;SG	N
pays	國家	pays	國家	N;MASC;SG	N
pays	各國	pays	各國	N;MASC;SG	N
source	來源	source	來源	N;FEM;SG	N
ils	她們	il	她	PRO;MASC;PL;3	PRO;PL;3
ils	他們	il	他	PRO;MASC;PL;3	PRO;PL;3
ils	它們	il	它	PRO;MASC;PL;3	PRO;PL;3
grand	偉大	grand	偉大	ADJ;MASC;SG	ADJ
groupe	樂團	groupe	樂團	N;MASC;SG	N
groupe	樂隊	groupe	樂隊	N;MASC;SG	N
groupe	群組	groupe	群組	N;MASC;SG	N
groupe	群	groupe	群	N;MASC;SG	N
également	還	également	還	ADV	ADV
également	也	également	也	ADV	ADV
titre	標題	titre	標題	N;MASC;SG	N
monde	世界	monde	世界	N;MASC;SG	N
nord	北方	nord	北方	N;MASC;SG	N
nord	北	nord	北	N;MASC;SG	N
nord	北部	nord	北部	N;MASC;SG	N
nord	北方	nord	北方	N;MASC;SG	N
nord	北部	nord	北部	N;MASC;SG	N
années	歲	année	歲	N;FEM;PL	N
années	年份	année	年份	N;FEM;PL	N
liste	名單	liste	名單	N;FEM;SG	N
liste	清單	liste	清單	N;FEM;SG	N
équipe	班長	équipe	班長	N;FEM;SG	N
équipe	小隊	équipe	小隊	N;FEM;SG	N
équipe	團隊	équipe	團隊	N;FEM;SG	N
équipe	球隊	équipe	球隊	N;FEM;SG	N
équipe	隊伍	équipe	隊伍	N;FEM;SG	N
club	幫會	club	幫會	N;MASC;SG	N
club	俱樂部	club	俱樂部	N;MASC;SG	N
sud	南	sud	南	N;MASC;SG	N
sud	南部	sud	南部	N;MASC;SG	N
partie	黨	partie	黨	N;FEM;SG	N
partie	政黨	partie	政黨	N;FEM;SG	N
partie	宴會	partie	宴會	N;FEM;SG	N
partie	聚會	partie	聚會	N;FEM;SG	N
très	非常	très	非常	ADV	ADV
trois	三	trois	三	NUM	NUM
trois	三	trois	三	NUM	NUM
articles	文章	article	文章	N;MASC;PL	N
guerre	戰	guerre	戰	N;FEM;SG	N
guerre	戰爭	guerre	戰爭	N;FEM;SG	N
saison	季	saison	季	N;FEM;SG	N
saison	季節	saison	季節	N;FEM;SG	N
fin	鰭	fin	鰭	N;FEM;SG	N
fin	終	fin	終	N;FEM;SG	N
fin	結尾	fin	結尾	N;FEM;SG	N
année	年度	année	年度	N;FEM;SG	N
année	年份	année	年份	N;FEM;SG	N
année	年	année	年	N;FEM;SG	N
temps	天氣	temps	天氣	N;MASC;SG	N
temps	氣象	temps	氣象	N;MASC;SG	N
temps	時光	temps	時光	N;MASC;SG	N
temps	時間	temps	時間	N;MASC;SG	N
histoire	歷史	histoire	歷史	N;FEM;SG	N
série	系列	série	系列	N;FEM;SG	N
série	串列	série	串列	N;FEM;SG	N
joueur	球員	joueur	球員	N;MASC;SG	N
joueur	玩家	joueur	玩家	N;MASC;SG	N
tour	游	tour	游	N;MASC;SG	N
tour	導覽	tour	導覽	N;MASC;SG	N
tour	旅遊	tour	旅遊	N;MASC;SG	N
tour	塔	tour	塔	N;MASC;SG	N
tour	塔台	tour	塔台	N;MASC;SG	N
mort	死亡	mourir	死亡	V;MASC;SG;PST;V.PTCP	V
jpg	jpg	jpg	jpg	N;MASC;SG	N
pierre	石	pierre	石	N;FEM;SG	N
pierre	石頭	pierre	石頭	N;FEM;SG	N
région	區域	région	區域	N;FEM;SG	N
région	面積	région	面積	N;FEM;SG	N
région	地區	région	地區	N;FEM;SG	N
région	區域	région	區域	N;FEM;SG	N
région	區	région	區	N;FEM;SG	N
fois	時代	fois	時代	N;FEM;SG	N
fois	時報	fois	時報	N;FEM;SG	N
état	狀況	état	狀況	N;MASC;SG	N
état	狀態	état	狀態	N;MASC;SG	N
état	現況	état	現況	N;MASC;SG	N
état	國家	état	國家	N;MASC;SG	N
état	州	état	州	N;MASC;SG	N
état	條件	état	條件	N;MASC;SG	N
état	狀況	état	狀況	N;MASC;SG	N
église	教會	église	教會	N;FEM;SG	N
église	教堂	église	教堂	N;FEM;SG	N
place	地方	place	地方	N;FEM;SG	N
place	地點	place	地點	N;FEM;SG	N
famille	家人	famille	家人	N;FEM;SG	N
famille	家屬	famille	家屬	N;FEM;SG	N
famille	家庭	famille	家庭	N;FEM;SG	N
états	國家	état	國家	N;MASC;PL	N
album	相簿	album	相簿	N;MASC;SG	N
album	專輯	album	專輯	N;MASC;SG	N
prix	物價	prix	物價	N;MASC;SG	N
prix	價格	prix	價格	N;MASC;SG	N
prix	價	prix	價	N;MASC;SG	N
prix	價錢	prix	價錢	N;MASC;SG	N
prix	價格	prix	價格	N;MASC;SG	N
nouvelle	新	nouveau	新	ADJ;FEM;SG	ADJ
département	部門	département	部門	N;MASC;SG	N
grande	偉大	grand	偉大	ADJ;FEM;SG	ADJ
ligne	線	ligne	線	N;FEM;SG	N
ligne	線路	ligne	線路	N;FEM;SG	N
ligne	划	ligne	划	N;FEM;SG	N
ligne	排	ligne	排	N;FEM;SG	N
suite	套房	suite	套房	N;FEM;SG	N
championnat	錦標	championnat	錦標	N;MASC;SG	N
encore	再次	encore	再次	ADV	ADV
encore	仍然	encore	仍然	ADV	ADV
encore	依然	encore	依然	ADV	ADV
image	照片	image	照片	N;FEM;SG	N
image	圖片	image	圖片	N;FEM;SG	N
image	影象	image	影象	N;FEM;SG	N
image	影像	image	影像	N;FEM;SG	N
image	圖片	image	圖片	N;FEM;SG	N
vie	生命	vie	生命	N;FEM;SG	N
vie	人生	vie	人生	N;FEM;SG	N
football	足球	football	足球	N;MASC;SG	N
football	足球	football	足球	N;MASC;SG	N
football	美式	football	美式	N;MASC;SG	N
football	橄欖	football	橄欖	N;MASC;SG	N
jeux	遊戲	jeu	遊戲	N;MASC;PL	N
ouest	西邊	ouest	西邊	N;MASC;SG	N
ouest	西	ouest	西	N;MASC;SG	N
ouest	西部	ouest	西部	N;MASC;SG	N
ouest	西部	ouest	西部	N;MASC;SG	N
nouveau	新	nouveau	新	ADJ;MASC;SG	ADJ
vous	你	vous	你	PRO;PL;2	PRO;2
centre	中心	centre	中心	N;MASC;SG	N
centre	中心	centre	中心	N;MASC;SG	N
cours	課程	cours	課程	N;MASC;SG	N
cours	課程	cours	課程	N;MASC;SG	N
partir	休假	partir	休假	V;NFIN	V
partir	離開	partir	離開	V;NFIN	V
village	村	village	村	N;MASC;SG	N
village	鄉村	village	鄉村	N;MASC;SG	N
village	村	village	村	N;MASC;SG	N
village	村落	village	村落	N;MASC;SG	N
village	村子	village	村子	N;MASC;SG	N
université	大學	université	大學	N;FEM;SG	N
université	學院	université	學院	N;FEM;SG	N
université	書院	université	書院	N;FEM;SG	N
université	大學	université	大學	N;FEM;SG	N
nombre	數字	nombre	數字	N;MASC;SG	N
nombre	數	nombre	數	N;MASC;SG	N
nombre	號碼	nombre	號碼	N;MASC;SG	N
nombre	編號	nombre	編號	N;MASC;SG	N
siècle	世紀	siècle	世紀	N;MASC;SG	N
coupe	理髮	coupe	理髮	N;FEM;SG	N
coupe	盃	coupe	盃	N;FEM;SG	N
coupe	杯	coupe	杯	N;FEM;SG	N
coupe	杯子	coupe	杯子	N;FEM;SG	N
population	人口	population	人口	N;FEM;SG	N
homme	男性	homme	男性	N;MASC;SG	N
homme	男	homme	男	N;MASC;SG	N
homme	男性	homme	男性	N;MASC;SG	N
homme	男人	homme	男人	N;MASC;SG	N
homme	男子	homme	男子	N;MASC;SG	N
homme	人	homme	人	N;MASC;SG	N
homme	男人	homme	男人	N;MASC;SG	N
communes	公社	commune	公社	N;FEM;PL	N
communes	市鎮	commune	市鎮	N;FEM;PL	N
communes	市	commune	市	N;FEM;PL	N
communes	市鎮	commune	市鎮	N;FEM;PL	N
division	組織	division	組織	N;FEM;SG	N
président	總統	président	總統	N;MASC;SG	N
président	主席	président	主席	N;MASC;SG	N
président	椅	président	椅	N;MASC;SG	N
président	椅子	président	椅子	N;MASC;SG	N
président	主席	président	主席	N;MASC;SG	N
président	主席	président	主席	N;MASC;SG	N
société	社會	société	社會	N;FEM;SG	N
société	公司	société	公司	N;FEM;SG	N
quatre	四	quatre	四	NUM	NUM
quatre	四	quatre	四	NUM	NUM
quatre	四	quatre	四	NUM	NUM
