تابی	ヒート	تابی	ヒート	N;NOM;MASC;SG;3	N
تاخت	進撃	تاخت	進撃	N;NOM;MASC;SG;3	N
تاَخُّر	ディレイ	تاَخُّر	ディレイ	N	N
تاخیر	ディレイ	تاخیر	ディレイ	N;NOM;MASC;SG;3	N
تار	ダーク	تار	ダーク	N;NOM;MASC;SG;3	N
تار	直線	تار	直線	N;NOM;MASC;SG;3	N
تار	ライン	تار	ライン	N;NOM;MASC;SG;3	N
تار	スレッド	تار	スレッド	N;NOM;MASC;SG;3	N
تار	電報	تار	電報	N;NOM;MASC;SG;3	N
تار	ワイヤ	تار	ワイヤ	N;NOM;MASC;SG;3	N
تار	針金	تار	針金	N;NOM;MASC;SG;3	N
تار	ワイヤー	تار	ワイヤー	N;NOM;MASC;SG;3	N
تار	暗闇	تار	暗闇	N;NOM;MASC;SG;3	N
تار	電報	تار	電報	N;NOM;MASC;SG;3	N
تاریخ	履歴	تاریخ	履歴	N;NOM;MASC;SG;3	N
تاریخ	由緒	تاریخ	由緒	N;NOM;MASC;SG;3	N
تاریخ	歴史	تاریخ	歴史	N;NOM;MASC;SG;3	N
تاریخ	沿革	تاریخ	沿革	N;NOM;MASC;SG;3	N
تاریک	ダーク	تاریک	ダーク	N;NOM;MASC;SG;3	N
تاڑنا	凝視	تاڑنا	凝視	V;SG;NFIN;ACT	V
تازگی	イノベーション	تازگی	イノベーション	N;NOM;MASC;SG;3	N
تازگی	リニューアル	تازگی	リニューアル	N;NOM;MASC;SG;3	N
تازگی	イノベーション	تازگی	イノベーション	N;NOM;MASC;SG;3	N
تازگی	リニューアル	تازگی	リニューアル	N;NOM;MASC;SG;3	N
تازہ	新しい	تازہ	新しい	ADJ	ADJ
تازہ	新規	تازہ	新規	ADJ	ADJ
تازہ	幸せ	تازہ	幸せ	ADJ	ADJ
تازہ	新しい	تازہ	新しい	ADJ	ADJ
تازہ	新規	تازہ	新規	ADJ	ADJ
تازہ	幸せ	تازہ	幸せ	ADJ	ADJ
تاک	つる	تاک	つる		
تاکید	気圧	تاکید	気圧	N;NOM;MASC;SG;3	N
تاکید	圧力	تاکید	圧力	N;NOM;MASC;SG;3	N
تاکید	訓戒	تاکید	訓戒	N;NOM;MASC;SG;3	N
تاکید	ストレス	تاکید	ストレス	N;NOM;MASC;SG;3	N
تال	ビート	تال	ビート	N;NOM;MASC;SG;3	N
تال	戦車	تال	戦車	N;NOM;MASC;SG;3	N
تال	タンク	تال	タンク	N;NOM;MASC;SG;3	N
تال	プール	تال	プール	N;NOM;MASC;SG;3	N
تالاب	戦車	تالاب	戦車	N;NOM;MASC;SG;3	N
تالاب	タンク	تالاب	タンク	N;NOM;MASC;SG;3	N
تالاب	プール	تالاب	プール	N;NOM;MASC;SG;3	N
تالیف	編纂	تالیف	編纂	N;NOM;MASC;SG;3	N
تالیف	コンパイル	تالیف	コンパイル	N;NOM;MASC;SG;3	N
تان	メロディ	تان	メロディ	N;NOM;MASC;SG;3	N
تان	チューン	تان	チューン	N;NOM;MASC;SG;3	N
تان	ストレッチ	تان	ストレッチ	N;NOM;MASC;SG;3	N
تان	メモ	تان	メモ	N;NOM;MASC;SG;3	N
تان	ノート	تان	ノート	N;NOM;MASC;SG;3	N
تان	テンション	تان	テンション	N;NOM;MASC;SG;3	N
تانتا	シリーズ	تان	シリーズ	N;NOM;MASC;SG;3	N
تانس	威嚇	تانس	威嚇		
تاوان	ダメージ	تاوان	ダメージ	N;NOM;MASC;SG;3	N
تاوان	損害賠償	تاوان	損害賠償	N;NOM;MASC;SG;3	N
تاوان	ペナルティ	تاوان	ペナルティ	N;NOM;MASC;SG;3	N
تاوان	報酬	تاوان	報酬	N;NOM;MASC;SG;3	N
تاوان	ダメージ	تاوان	ダメージ	N;NOM;MASC;SG;3	N
تاوان	損害賠償	تاوان	損害賠償	N;NOM;MASC;SG;3	N
تاوان	ペナルティ	تاوان	ペナルティ	N;NOM;MASC;SG;3	N
تاوان	身代	تاوان	身代	N;NOM;MASC;SG;3	N
تاوان	報酬	تاوان	報酬	N;NOM;MASC;SG;3	N
تائید	ヘルプ	تائید	ヘルプ	N;NOM;MASC;SG;3	N
تائید	扶助	تائید	扶助	N;NOM;MASC;SG;3	N
تائید	ヘルプ	تائید	ヘルプ	N;NOM;MASC;SG;3	N
تائید	扶助	تائید	扶助	N;NOM;MASC;SG;3	N
تبارک	栄光	تبارک	栄光	N;NOM;MASC;SG;3	N
تباغُض	敵意	تباغُض	敵意	N;NOM;MASC;SG;3	N
تباہ	悪い	تباہ	悪い	ADJ	ADJ
تباہی	廃墟	تباہی	廃墟	N;NOM;MASC;SG;3	N
تبدیل	改造	تبدیل	改造	N;NOM;MASC;SG;3	N
تبدیل	チェンジ	تبدیل	チェンジ	N;NOM;MASC;SG;3	N
