마스터즈	αφέντες	마스터즈	αφήντης	N	N;NOM;MASC;PL
표본	δείγμα	표본	δείγμα	N	N;NOM;NEUT;SG
보내기	στέλνει	보내+기	στέλνω	V	V;IPFV;IND;SG;3;PRS;FIN;ACT
보내기	στέλνω	보내+기	στέλνω	V	V;IPFV;IND;SG;1;PRS;FIN;ACT
보내기	στείλε	보내+기	στέλνω	V	V;IPFV;IND;SG;1;PRS;FIN;ACT
보내기	στείλτε	보내+기	στέλνω	V	V;IPFV;IND;PL;2;PRS;FIN;ACT
보내기	στείλω	보내+기	στείλω	V	V;IPFV;IND;SG;1;PRS;FIN;ACT
황소자리	ταύρος	황소자리	ταύρος	N	N;NOM;MASC;SG
위조	πλαστογράφος	위조	πλαστογράφος	N	N;NOM;MASC;SG
위조	πλαστογραφία	위조	πλαστογραφία	N	N;NOM;FEM;SG
위조	πλαστά	위조	πλαστά	N	N;NOM;NEUT;PL
위조	παραχάραξης	위조	παραχάραξη	N	N;GEN;FEM;SG
위조	παραχάραξη	위조	παραχάραξη	N	N;ACC;FEM;SG
위조	παραποίηση	위조	παραποίηση	N	N;ACC;FEM;SG
위조	πλαστά	위조	πλαστά	N	N;NOM;NEUT;PL
가슴이	σεντούκι	가슴+이	σεντούκι	N	N;NOM;NEUT;SG
가슴이	θώρακα	가슴+이	θώρακας	N	N;VOC;MASC;SG
가슴이	μπαούλο	가슴+이	μπαούλος	N	N;NOM;NEUT;SG
가슴이	στήθος	가슴+이	στήθος	N	N;NOM;NEUT;SG
인용된	εισηγμένες	인용+되+ㄴ	εισηγμένος	V	V;PFV;NOM;FEM;PL;V.PTCP;PASS
탐험	εξερεύνηση	탐험	εξερεύνηση	N	N;ACC;FEM;SG
탐험	εξερευνητής	탐험	εξερευνητής	N	N;NOM;MASC;SG
탐험	εξερεύνηση	탐험	εξερεύνηση	N	N;ACC;FEM;SG
탐험	εξερεύνηση	탐험	εξερεύνηση	N	N;ACC;FEM;SG
탐험	εξερευνητές	탐험	εξερευνητής	N	N;NOM;MASC;PL
예언자	προφήτης	예언자	πρόφητος	N	N;NOM;MASC;SG
예언자	προφήτη	예언자	πρόφητος	N	N;NOM;MASC;SG
예언자	προφήτες	예언자	προφήτης	N	N;NOM;MASC;PL
평형	ισορροπία	평형	ισορροπία	N	N;ACC;FEM;SG
자동화	αυτοματοποίηση	자동화	αυτοματοποίηση	N	N;ACC;FEM;SG
강좌	μαθήματα	강좌	μάθημα	N	N;NOM;NEUT;PL
쿠키	μπισκότα	쿠키	μπισκότα	N	N;NOM;NEUT;PL
쿠키	μπισκότο	쿠키	μπισκότο	N	N;NOM;NEUT;SG
복잡도	πολυπλοκότητα	복잡+도	πολυπλοκότητα	N	N;ACC;FEM;SG
발명	επινόηση	발명	επινόηση	N	N;NOM;FEM;SG
발명	εφεύρεση	발명	εφεύρεση	N	N;ACC;FEM;SG
발명	εφευρέσεις	발명	εφεύρεση	N	N;NOM;FEM;PL
발명	εφευρέτης	발명	εφευρέτης	N	N;NOM;MASC;SG
편견	προκατάληψη	편견	προκατάληψη	N	N;NOM;FEM;SG
편견	προκαταλήψεις	편견	προκατάληψη	N	N;NOM;FEM;PL
편견	προκατάληψη	편견	προκατάληψη	N	N;NOM;FEM;SG
증인	μάρτυρες	증인	μάρτυρας	N	N;NOM;MASC;PL
증인	μάρτυς	증인	μάρτυς	N	N;NOM;MASC;SG
증인	μάρτυρας	증인	μάρτυρας	N	N;NOM;MASC;SG
증인	μάρτυρα	증인	μάρτυρα	N	N;ACC;MASC;SG
응답하라	απαντήστε	응답+하+라	απαντώ	V	V;PFV;IMP;PL;2;FIN;ACT
이웃집	γείτονας	이웃집	γείτονας	N	N;NOM;MASC;SG
이웃집	γείτονα	이웃집	γείτονας	N	N;ACC;MASC;SG
이웃집	γειτόνισσα	이웃집	γειτόνισσα	N	N;NOM;FEM;SG
부서	τμήμα	부서	τμήμα	N	N;NOM;NEUT;SG
부서	τμημα	부서	τμημα	N	N;NOM;NEUT;SG
노드	κόμβος	노드	κόμβος	N	N;NOM;MASC;SG
노드	κόμβους	노드	κόμβος	N	N;ACC;MASC;PL
노드	κόμβοι	노드	κόμβος	N	N;NOM;MASC;PL
박해	δίωξη	박해	δίωξη	N	N;ACC;FEM;SG
박해	διώξεις	박해	δίωξη	N	N;NOM;FEM;PL
박해	καταπίεση	박해	καταπίεση	N	N;ACC;FEM;SG
발전기	γεννήτριες	발전기	γεννήτρια	N	N;NOM;FEM;PL
발전기	γεννήτρια	발전기	γεννήτρια	N	N;NOM;FEM;SG
욕구	πόθος	욕구	πόθος	N	N;NOM;MASC;SG
욕구	επιθυμία	욕구	επιθυμία	N	N;ACC;FEM;SG
욕구	επιθυμίες	욕구	επιθυμία	N	N;NOM;FEM;PL
흡혈귀	βρυκόλακας	흡혈귀	βρυκόλακας	N	N;NOM;MASC;SG
흡혈귀	βρικόλακα	흡혈귀	βρικόλακας	N	N;NOM;MASC;SG
흡혈귀	βαμπίρ	흡혈귀	βαμπίρ	N	N;NOM;NEUT;SG
흡혈귀	βρικόλακας	흡혈귀	βρικόλακα	N	N;NOM;MASC;SG
스케치	σκίτσα	스케치	σκίτσα	N	N;NOM;NEUT;PL
스케치	σκίτσο	스케치	σκίτσο	N	N;NOM;NEUT;SG
스케치	σκετς	스케치	σκετός	N	N;NOM;NEUT;SG
자극	ερέθισμα	자극	ερέθισμα	N	N;ACC;NEUT;SG
자극	τόνωση	자극	τόνωση	N	N;ACC;FEM;SG
자극	διέγερση	자극	διέγερση	N	N;ACC;FEM;SG
자극	τόνωση	자극	τόνωση	N	N;ACC;FEM;SG
자극	ερεθισμός	자극	ερεθισμός	N	N;NOM;MASC;SG
자극	ερεθισμό	자극	ερεθισμός	N	N;ACC;MASC;SG
역사학	ιστοριογραφία	역사학	ιστοριογραφία	N	N;NOM;FEM;SG
장례	ταφή	장례	ταφής	N	N;ACC;FEM;SG
장례	κηδεία	장례	κηδεία	N	N;ACC;FEM;SG
셔틀	άκατος	셔틀	άκατος	N	N;NOM;MASC;SG
순교자	μάρτυρες	순교자	μάρτυρας	N	N;NOM;MASC;PL
순교자	μάρτυρας	순교자	μάρτυρας	N	N;NOM;MASC;SG
